Iteration,Trajectory,Legibility
1,"[[ 0.      -4.02425  1.53257 -0.       0.92088 -0.     ]
 [ 0.00004 -3.8851   1.53356  0.       0.78075 -0.00004]
 [-0.      -3.73782  1.52962 -0.       0.63741  0.     ]
 [ 0.00004 -3.58864  1.52099  0.       0.49686 -0.00004]
 [ 0.00003 -3.44337  1.50817  0.       0.3644  -0.00003]
 [ 0.00004 -3.30627  1.49177  0.       0.2437  -0.00004]
 [-0.      -3.17975  1.4724   0.00001  0.13655 -0.00001]
 [ 0.00003 -3.06462  1.45062  0.00012  0.0432  -0.00015]
 [ 0.      -2.96062  1.42689 -0.00001 -0.03707  0.     ]
 [ 0.00001 -2.86688  1.40158  0.00001 -0.1055  -0.00001]
 [ 0.      -2.7823   1.37499 -0.00001 -0.16349  0.00001]
 [-0.      -2.70572  1.34734  0.00001 -0.21242 -0.     ]
 [-0.00001 -2.63606  1.31881 -0.      -0.25355  0.00001]
 [-0.00001 -2.57234  1.28953 -0.      -0.28798  0.00001]
 [-0.      -2.51372  1.2596   0.      -0.31667 -0.     ]
 [ 0.      -2.45947  1.2291  -0.      -0.34043  0.     ]
 [-0.      -2.40897  1.19809  0.      -0.35992 -0.     ]
 [-0.      -2.36169  1.16662  0.      -0.37573 -0.     ]
 [-0.      -2.31721  1.13473 -0.      -0.38832  0.     ]
 [ 0.      -2.27512  1.10242  0.      -0.3981  -0.     ]]","[[0.39230192244805917, 0.47545332372146865, 0.46047762808418935], 0.4427442914179058]"
Iteration,Trajectory,Legibility
1,"[[-0.      -1.5708   1.309    0.      -1.3212   0.     ]
 [-0.00005 -1.57062  1.30882 -0.      -1.3224  -0.     ]
 [-0.00006 -1.57058  1.30878 -0.      -1.3236   0.     ]
 [-0.00007 -1.57056  1.30877 -0.      -1.32479 -0.     ]
 [-0.00007 -1.57056  1.30877 -0.      -1.32598  0.     ]
 [-0.00006 -1.57057  1.30878 -0.      -1.32716  0.     ]
 [-0.00006 -1.57058  1.30879 -0.      -1.32833 -0.     ]
 [-0.00006 -1.5706  -3.14178 -0.      -2.18167 -0.     ]
 [-0.00005 -1.57061 -3.14177 -0.      -2.18167 -0.     ]
 [-0.00005 -1.57063 -3.14175 -0.      -2.18167 -0.     ]
 [-0.00004 -1.57064 -3.14174 -0.      -2.18167 -0.     ]
 [-0.00004 -1.57066 -3.14172 -0.      -2.18167 -0.     ]
 [-0.00003 -1.57067 -3.14171 -0.      -2.18167 -0.     ]
 [-0.00003 -1.57069 -3.14169 -0.      -2.18167 -0.     ]
 [-0.00003 -1.57071 -3.14168 -0.      -2.18167 -0.     ]
 [-0.00002 -1.57072 -3.14167 -0.      -2.18166 -0.     ]
 [-0.00002 -1.57074 -3.14165 -0.      -2.18166 -0.     ]
 [-0.00001 -1.57075 -3.14164 -0.      -2.18166 -0.     ]
 [-0.00001 -1.57077 -3.14162 -0.      -2.18166 -0.     ]
 [ 0.      -1.5708  -3.14159  0.      -2.18166  0.     ]]","[[0.5129583805855928, 0.5218966073244141, 0.5803645265214702], 0.5384065048104923]"
Iteration,Trajectory,Legibility
1,"[[ 0.83023  2.61799  1.309    0.89262  2.0944   2.15423]
 [ 0.83061  2.61797  1.30903  0.89214  2.09438  2.15398]
 [ 0.83099  2.61796  1.30905  0.89166  2.09437  2.15373]
 [ 0.83136  2.61796  1.30906  0.89119  2.09437  2.15349]
 [ 0.83173  2.61795  1.30907  0.89073  2.09436  2.15324]
 [ 0.83209  2.61794  1.30908  0.89027  2.09436  2.153  ]
 [ 0.83245  2.61794  1.30909  0.88982  2.09436  2.15277]
 [ 0.66377  2.53014  1.30909  1.20467  2.08757  2.30733]
 [ 0.81855  2.61794  1.30909  0.9028   2.08589  2.15966]
 [ 0.75994  2.61794  1.30909  0.95703  2.05068  2.18754]
 [ 0.70777  2.61794  1.30908  1.00353  2.01803  2.21022]
 [ 3.14159 -1.53221  1.30908  4.72146  1.57278  2.91843]
 [ 3.14159 -1.48265  1.30907  4.7195   1.57235  2.96798]
 [ 3.14159 -1.44077  1.30906  4.7175   1.57191  3.00986]
 [ 3.14159 -1.40503  1.30905  4.71545  1.57145  3.0456 ]
 [ 3.14159 -1.37424  1.30905  4.71337  1.571    3.07638]
 [ 3.11239 -0.32423  1.30899  4.73723  1.41539  4.0973 ]
 [ 3.14159 -1.28149  1.26     4.71239  1.57079  3.12009]
 [ 3.14159 -1.23442  1.22753  4.71239  1.57079  3.13469]
 [ 3.14159 -1.19057  1.19475  4.71239  1.5708   3.14577]]","[[0.4887319852165237, 0.36955464049799225, 0.4636432709251868], 0.44064329887990095]"
Iteration,Trajectory,Legibility
1,"[[ 0.       2.61799  1.309    0.       2.0944   0.     ]
 [-0.       2.61799  1.309    0.       2.09439  0.     ]
 [-0.       2.61799  1.30901  0.       2.09439  0.     ]
 [-0.       2.61799  1.30901  0.       2.09439  0.     ]
 [-0.       2.61799  1.30901  0.       2.09439  0.     ]
 [-0.       2.61798  1.30901  0.       2.09439  0.     ]
 [-0.       2.61798  1.30901  0.       2.09439  0.     ]
 [-0.       2.61798  1.30901  0.       2.09439  0.     ]
 [-0.       2.61798  1.30901  0.       2.09439  0.     ]
 [-0.       2.61798  1.30901  0.       2.09439  0.     ]
 [-0.       2.61798  1.30901  0.       2.09439  0.     ]
 [-0.       2.61798  1.30901  0.       2.09439  0.     ]
 [-0.       2.61799  1.30901  0.       2.09439  0.     ]
 [-0.       2.61799  1.30901  0.       2.09439  0.     ]
 [-0.      -1.5708   1.0355   0.       2.09439 -0.     ]
 [-0.      -1.5708   1.02386 -0.       2.09439 -0.     ]
 [-0.      -1.5708   1.01224 -0.       2.09439 -0.     ]
 [-0.      -1.5708   1.00065 -0.       2.09439 -0.     ]
 [-0.      -1.5708   0.98907 -0.       2.09439 -0.     ]
 [-0.      -1.5708   0.97753 -0.       2.0944  -0.     ]]","[[0.2931388973208747, 0.35294497886740145, 0.3779413249258477], 0.34134173370470794]"
Iteration,Trajectory,Legibility
1,"[[-0.       0.90483  1.97662  0.      -1.31066 -0.     ]
 [ 0.       0.88939  2.00951  0.      -1.3281   0.     ]
 [ 0.       0.8736   2.04248  0.      -1.34529  0.     ]
 [ 0.       0.85755  2.07556  0.      -1.36231  0.     ]
 [ 0.      -2.38272  1.39351 -0.       2.56     0.     ]
 [ 0.      -2.32861  1.36023 -0.       2.53918  0.     ]
 [ 0.      -2.27999  1.32683 -0.       2.52396  0.     ]
 [ 0.      -2.23571  1.29331 -0.       2.51319  0.     ]
 [ 0.      -2.1949   1.25965 -0.       2.50604  0.     ]
 [ 0.      -2.15691  1.22584 -0.       2.50187  0.     ]
 [ 0.      -2.12125  1.19188 -0.       2.50017  0.     ]
 [ 0.      -2.08751  1.15774 -0.       2.50057  0.     ]
 [ 0.      -2.05538  1.12342 -0.       2.50275  0.     ]
 [-0.      -2.02459  1.08891 -0.       2.50647  0.     ]
 [-0.      -1.99494  1.05419 -0.       2.51154  0.     ]
 [-0.      -1.96625  1.01925 -0.       2.5178   0.     ]
 [-0.      -1.93837  0.98406 -0.       2.52511  0.     ]
 [-0.      -1.91119  0.94863 -0.       2.53336  0.     ]
 [-0.      -1.88459  0.91292 -0.       2.54246  0.     ]
 [ 0.      -1.85848  0.87693 -0.       2.55235  0.     ]]","[[0.3923041321734457, 0.4754626998944553, 0.46048337065855066], 0.44275006757548385]"
