Iteration,Trajectory
4000," -9.5     2.5     0.75 
 -13.068   2.5     5.107
 -13.787   2.5     6.616
 -14.101   2.5     7.719
 -14.039   2.5     8.446
 -13.634   2.5     8.83 
 -12.917   2.5     8.902
 -11.918   2.5     8.693
 -10.671   2.5     8.235
  -9.205   2.5     7.558
  -7.552   2.5     6.695
  -5.745   2.5     5.677
  -3.813   2.5     4.535
  -1.805   2.5     3.316
   1.5     2.5     0.8  "
10000," -9.5     2.5     0.75 
 -19.56    2.5    11.599
 -22.518   2.5    15.346
 -24.462   2.5    18.079
 -25.47    2.5    19.877
 -25.622   2.5    20.818
 -24.998   2.5    20.983
 -23.68    2.5    20.455
 -21.742   2.5    19.307
 -19.264   2.5    17.618
 -16.325   2.5    15.468
 -13.003   2.5    12.935
  -9.379   2.5    10.101
  -5.552   2.5     7.062
   1.5     2.5     0.8  "
900,"-9.5    2.5    0.75 
 -9.693  2.5    1.732
 -9.245  2.5    2.074
 -8.706  2.5    2.324
 -8.083  2.5    2.49 
 -7.382  2.5    2.579
 -6.611  2.5    2.597
 -5.777  2.5    2.552
 -4.886  2.5    2.451
 -3.947  2.5    2.3  
 -2.965  2.5    2.108
 -1.948  2.5    1.88 
 -0.903  2.5    1.624
  0.154  2.5    1.356
  1.5    2.5    0.8  "
1,"-9.5    2.5    0.75 
 -8.715  2.5    0.755
 -7.93   2.5    0.759
 -7.145  2.5    0.762
 -6.359  2.5    0.766
 -5.573  2.5    0.77 
 -4.788  2.5    0.773
 -4.002  2.5    0.777
 -3.216  2.5    0.78 
 -2.43   2.5    0.784
 -1.644  2.5    0.787
 -0.858  2.5    0.79 
 -0.072  2.5    0.794
  0.714  2.5    0.797
  1.5    2.5    0.8  "
200,"-9.5    2.5    0.75 
 -8.932  2.5    0.971
 -8.221  2.5    1.05 
 -7.49   2.5    1.108
 -6.741  2.5    1.148
 -5.974  2.5    1.17 
 -5.191  2.5    1.177
 -4.395  2.5    1.17 
 -3.586  2.5    1.15 
 -2.766  2.5    1.12 
 -1.937  2.5    1.08 
 -1.1    2.5    1.032
 -0.256  2.5    0.978
  0.59   2.5    0.921
  1.5    2.5    0.8  "
8000," -9.5     2.5     0.75 
 -17.408   2.5     9.447
 -19.626   2.5    12.454
 -21.032   2.5    14.65 
 -21.689   2.5    16.096
 -21.66    2.5    16.857
 -21.008   2.5    16.994
 -19.797   2.5    16.572
 -18.088   2.5    15.652
 -15.945   2.5    14.299
 -13.431   2.5    12.574
 -10.61    2.5    10.542
  -7.545   2.5     8.267
  -4.317   2.5     5.828
   1.5     2.5     0.8  "
300,"-9.5    2.5    0.75 
 -9.04   2.5    1.08 
 -8.367  2.5    1.196
 -7.664  2.5    1.282
 -6.932  2.5    1.34 
 -6.175  2.5    1.371
 -5.394  2.5    1.38 
 -4.592  2.5    1.367
 -3.772  2.5    1.336
 -2.935  2.5    1.288
 -2.084  2.5    1.226
 -1.221  2.5    1.153
 -0.349  2.5    1.07 
  0.528  2.5    0.983
  1.5    2.5    0.8  "
9000," -9.5     2.5     0.75 
 -18.488   2.5    10.528
 -21.079   2.5    13.907
 -22.756   2.5    16.374
 -23.591   2.5    17.998
 -23.654   2.5    18.851
 -23.018   2.5    19.003
 -21.752   2.5    18.527
 -19.927   2.5    17.492
 -17.616   2.5    15.969
 -14.888   2.5    14.03 
 -11.814   2.5    11.747
  -8.468   2.5     9.19 
  -4.938   2.5     6.449
   1.5     2.5     0.8  "
6000," -9.5     2.5     0.75 
 -15.241   2.5     7.281
 -16.711   2.5     9.54 
 -17.573   2.5    11.19 
 -17.872   2.5    12.279
 -17.656   2.5    12.852
 -16.972   2.5    12.958
 -15.868   2.5    12.643
 -14.39    2.5    11.954
 -12.585   2.5    10.939
 -10.502   2.5     9.645
  -8.186   2.5     8.118
  -5.686   2.5     6.408
  -3.066   2.5     4.577
   1.5     2.5     0.8  "
5000," -9.5     2.5     0.75 
 -14.155   2.5     6.195
 -15.251   2.5     8.079
 -15.838   2.5     9.456
 -15.957   2.5    10.364
 -15.647   2.5    10.843
 -14.946   2.5    10.932
 -13.895   2.5    10.67 
 -12.533   2.5    10.097
 -10.897   2.5     9.251
  -9.029   2.5     8.172
  -6.967   2.5     6.899
  -4.751   2.5     5.473
  -2.436   2.5     3.947
   1.5     2.5     0.8  "
400,"-9.5    2.5    0.75 
 -9.149  2.5    1.189
 -8.514  2.5    1.342
 -7.838  2.5    1.456
 -7.124  2.5    1.531
 -6.376  2.5    1.573
 -5.597  2.5    1.583
 -4.79   2.5    1.565
 -3.958  2.5    1.522
 -3.103  2.5    1.457
 -2.23   2.5    1.373
 -1.342  2.5    1.274
 -0.441  2.5    1.163
  0.465  2.5    1.045
  1.5    2.5    0.8  "
3000," -9.5     2.5     0.75 
 -11.98    2.5     4.019
 -12.323   2.5     5.151
 -12.361   2.5     5.979
 -12.118   2.5     6.525
 -11.618   2.5     6.814
 -10.883   2.5     6.869
  -9.937   2.5     6.712
  -8.805   2.5     6.369
  -7.508   2.5     5.862
  -6.072   2.5     5.215
  -4.518   2.5     4.451
  -2.872   2.5     3.594
  -1.171   2.5     2.682
   1.5     2.5     0.8  "
500,"-9.5    2.5    0.75 
 -9.258  2.5    1.297
 -8.66   2.5    1.489
 -8.011  2.5    1.629
 -7.316  2.5    1.723
 -6.577  2.5    1.774
 -5.8    2.5    1.786
 -4.987  2.5    1.762
 -4.143  2.5    1.708
 -3.272  2.5    1.626
 -2.377  2.5    1.52 
 -1.463  2.5    1.395
 -0.533  2.5    1.255
  0.403  2.5    1.108
  1.5    2.5    0.8  "
1000,"-9.5    2.5    0.75 
 -9.802  2.5    1.841
 -9.391  2.5    2.22 
 -8.88   2.5    2.498
 -8.274  2.5    2.682
 -7.583  2.5    2.78 
 -6.814  2.5    2.8  
 -5.974  2.5    2.749
 -5.072  2.5    2.636
 -4.115  2.5    2.469
 -3.112  2.5    2.254
 -2.069  2.5    2.001
 -0.995  2.5    1.717
  0.092  2.5    1.418
  1.5    2.5    0.8  "
2000," -9.5     2.5     0.75 
 -10.89    2.5     2.929
 -10.856   2.5     3.685
 -10.619   2.5     4.237
 -10.195   2.5     4.602
  -9.599   2.5     4.795
  -8.846   2.5     4.832
  -7.953   2.5     4.728
  -6.936   2.5     4.5  
  -5.809   2.5     4.162
  -4.588   2.5     3.731
  -3.289   2.5     3.222
  -1.929   2.5     2.65 
  -0.536   2.5     2.047
   1.5     2.5     0.8  "
7000," -9.5     2.5     0.75 
 -16.326   2.5     8.365
 -18.17    2.5    10.999
 -19.304   2.5    12.922
 -19.782   2.5    14.19 
 -19.66    2.5    14.857
 -18.993   2.5    14.979
 -17.835   2.5    14.61 
 -16.242   2.5    13.806
 -14.268   2.5    12.622
 -11.969   2.5    11.112
  -9.401   2.5     9.333
  -6.618   2.5     7.339
  -3.693   2.5     5.203
   1.5     2.5     0.8  "
600,"-9.5    2.5    0.75 
 -9.367  2.5    1.406
 -8.806  2.5    1.635
 -8.185  2.5    1.803
 -7.508  2.5    1.915
 -6.779  2.5    1.975
 -6.003  2.5    1.988
 -5.185  2.5    1.96 
 -4.329  2.5    1.893
 -3.441  2.5    1.794
 -2.524  2.5    1.667
 -1.584  2.5    1.517
 -0.626  2.5    1.347
  0.341  2.5    1.17 
  1.5    2.5    0.8  "
100,"-9.5    2.5    0.75 
 -8.823  2.5    0.862
 -8.075  2.5    0.903
 -7.317  2.5    0.934
 -6.549  2.5    0.956
 -5.773  2.5    0.969
 -4.989  2.5    0.974
 -4.197  2.5    0.972
 -3.4    2.5    0.964
 -2.597  2.5    0.951
 -1.79   2.5    0.933
 -0.978  2.5    0.911
 -0.164  2.5    0.885
  0.652  2.5    0.859
  1.5    2.5    0.8  "
700,"-9.5    2.5    0.75 
 -9.475  2.5    1.515
 -8.953  2.5    1.781
 -8.359  2.5    1.977
 -7.699  2.5    2.107
 -6.98   2.5    2.176
 -6.205  2.5    2.191
 -5.382  2.5    2.157
 -4.515  2.5    2.079
 -3.609  2.5    1.963
 -2.671  2.5    1.814
 -1.706  2.5    1.638
 -0.718  2.5    1.44 
  0.279  2.5    1.232
  1.5    2.5    0.8  "
800,"-9.5    2.5    0.75 
 -9.584  2.5    1.623
 -9.099  2.5    1.928
 -8.533  2.5    2.15 
 -7.891  2.5    2.298
 -7.181  2.5    2.377
 -6.408  2.5    2.394
 -5.579  2.5    2.354
 -4.701  2.5    2.265
 -3.778  2.5    2.132
 -2.818  2.5    1.961
 -1.827  2.5    1.759
 -0.811  2.5    1.532
  0.217  2.5    1.294
  1.5    2.5    0.8  "
