Iteration,Trajectory
4000,"  4.441e-16   2.500e+00   1.300e+01
   4.357e+00   2.500e+00   1.657e+01
   5.866e+00   2.500e+00   1.729e+01
   6.969e+00   2.500e+00   1.760e+01
   7.696e+00   2.500e+00   1.754e+01
   8.080e+00   2.500e+00   1.713e+01
   8.152e+00   2.500e+00   1.642e+01
   7.943e+00   2.500e+00   1.542e+01
   7.485e+00   2.500e+00   1.417e+01
   6.808e+00   2.500e+00   1.271e+01
   5.945e+00   2.500e+00   1.105e+01
   4.927e+00   2.500e+00   9.245e+00
   3.785e+00   2.500e+00   7.313e+00
   2.566e+00   2.500e+00   5.305e+00
   5.000e-02   2.500e+00   2.000e+00"
10000,"  4.441e-16   2.500e+00   1.300e+01
   1.085e+01   2.500e+00   2.306e+01
   1.460e+01   2.500e+00   2.602e+01
   1.733e+01   2.500e+00   2.796e+01
   1.913e+01   2.500e+00   2.897e+01
   2.007e+01   2.500e+00   2.912e+01
   2.023e+01   2.500e+00   2.850e+01
   1.971e+01   2.500e+00   2.718e+01
   1.856e+01   2.500e+00   2.524e+01
   1.687e+01   2.500e+00   2.276e+01
   1.472e+01   2.500e+00   1.982e+01
   1.219e+01   2.500e+00   1.650e+01
   9.351e+00   2.500e+00   1.288e+01
   6.312e+00   2.500e+00   9.052e+00
   5.000e-02   2.500e+00   2.000e+00"
900,"  4.441e-16   2.500e+00   1.300e+01
   9.820e-01   2.500e+00   1.319e+01
   1.324e+00   2.500e+00   1.274e+01
   1.574e+00   2.500e+00   1.221e+01
   1.740e+00   2.500e+00   1.158e+01
   1.829e+00   2.500e+00   1.088e+01
   1.847e+00   2.500e+00   1.011e+01
   1.802e+00   2.500e+00   9.277e+00
   1.701e+00   2.500e+00   8.386e+00
   1.550e+00   2.500e+00   7.447e+00
   1.358e+00   2.500e+00   6.465e+00
   1.130e+00   2.500e+00   5.448e+00
   8.740e-01   2.500e+00   4.403e+00
   6.060e-01   2.500e+00   3.346e+00
   5.000e-02   2.500e+00   2.000e+00"
1,"  4.441e-16   2.500e+00   1.300e+01
   5.000e-03   2.500e+00   1.221e+01
   9.000e-03   2.500e+00   1.143e+01
   1.200e-02   2.500e+00   1.064e+01
   1.600e-02   2.500e+00   9.859e+00
   2.000e-02   2.500e+00   9.073e+00
   2.300e-02   2.500e+00   8.288e+00
   2.700e-02   2.500e+00   7.502e+00
   3.000e-02   2.500e+00   6.716e+00
   3.400e-02   2.500e+00   5.930e+00
   3.700e-02   2.500e+00   5.144e+00
   4.000e-02   2.500e+00   4.358e+00
   4.400e-02   2.500e+00   3.572e+00
   4.700e-02   2.500e+00   2.786e+00
   5.000e-02   2.500e+00   2.000e+00"
200,"  4.441e-16   2.500e+00   1.300e+01
   2.210e-01   2.500e+00   1.243e+01
   3.000e-01   2.500e+00   1.172e+01
   3.580e-01   2.500e+00   1.099e+01
   3.980e-01   2.500e+00   1.024e+01
   4.200e-01   2.500e+00   9.474e+00
   4.270e-01   2.500e+00   8.691e+00
   4.200e-01   2.500e+00   7.895e+00
   4.000e-01   2.500e+00   7.086e+00
   3.700e-01   2.500e+00   6.266e+00
   3.300e-01   2.500e+00   5.437e+00
   2.820e-01   2.500e+00   4.600e+00
   2.280e-01   2.500e+00   3.756e+00
   1.710e-01   2.500e+00   2.910e+00
   5.000e-02   2.500e+00   2.000e+00"
8000,"  4.441e-16   2.500e+00   1.300e+01
   8.697e+00   2.500e+00   2.091e+01
   1.170e+01   2.500e+00   2.313e+01
   1.390e+01   2.500e+00   2.453e+01
   1.535e+01   2.500e+00   2.519e+01
   1.611e+01   2.500e+00   2.516e+01
   1.624e+01   2.500e+00   2.451e+01
   1.582e+01   2.500e+00   2.330e+01
   1.490e+01   2.500e+00   2.159e+01
   1.355e+01   2.500e+00   1.945e+01
   1.182e+01   2.500e+00   1.693e+01
   9.792e+00   2.500e+00   1.411e+01
   7.517e+00   2.500e+00   1.104e+01
   5.078e+00   2.500e+00   7.817e+00
   5.000e-02   2.500e+00   2.000e+00"
300,"  4.441e-16   2.500e+00   1.300e+01
   3.300e-01   2.500e+00   1.254e+01
   4.460e-01   2.500e+00   1.187e+01
   5.320e-01   2.500e+00   1.116e+01
   5.900e-01   2.500e+00   1.043e+01
   6.210e-01   2.500e+00   9.675e+00
   6.300e-01   2.500e+00   8.894e+00
   6.170e-01   2.500e+00   8.092e+00
   5.860e-01   2.500e+00   7.272e+00
   5.380e-01   2.500e+00   6.435e+00
   4.760e-01   2.500e+00   5.584e+00
   4.030e-01   2.500e+00   4.721e+00
   3.200e-01   2.500e+00   3.849e+00
   2.330e-01   2.500e+00   2.972e+00
   5.000e-02   2.500e+00   2.000e+00"
9000,"  4.441e-16   2.500e+00   1.300e+01
   9.778e+00   2.500e+00   2.199e+01
   1.316e+01   2.500e+00   2.458e+01
   1.562e+01   2.500e+00   2.626e+01
   1.725e+01   2.500e+00   2.709e+01
   1.810e+01   2.500e+00   2.715e+01
   1.825e+01   2.500e+00   2.652e+01
   1.778e+01   2.500e+00   2.525e+01
   1.674e+01   2.500e+00   2.343e+01
   1.522e+01   2.500e+00   2.112e+01
   1.328e+01   2.500e+00   1.839e+01
   1.100e+01   2.500e+00   1.531e+01
   8.440e+00   2.500e+00   1.197e+01
   5.699e+00   2.500e+00   8.438e+00
   5.000e-02   2.500e+00   2.000e+00"
6000,"  4.441e-16   2.500e+00   1.300e+01
   6.531e+00   2.500e+00   1.874e+01
   8.790e+00   2.500e+00   2.021e+01
   1.044e+01   2.500e+00   2.107e+01
   1.153e+01   2.500e+00   2.137e+01
   1.210e+01   2.500e+00   2.116e+01
   1.221e+01   2.500e+00   2.047e+01
   1.189e+01   2.500e+00   1.937e+01
   1.120e+01   2.500e+00   1.789e+01
   1.019e+01   2.500e+00   1.609e+01
   8.895e+00   2.500e+00   1.400e+01
   7.368e+00   2.500e+00   1.169e+01
   5.658e+00   2.500e+00   9.186e+00
   3.827e+00   2.500e+00   6.566e+00
   5.000e-02   2.500e+00   2.000e+00"
5000,"  4.441e-16   2.500e+00   1.300e+01
   5.445e+00   2.500e+00   1.766e+01
   7.329e+00   2.500e+00   1.875e+01
   8.706e+00   2.500e+00   1.934e+01
   9.614e+00   2.500e+00   1.946e+01
   1.009e+01   2.500e+00   1.915e+01
   1.018e+01   2.500e+00   1.845e+01
   9.920e+00   2.500e+00   1.739e+01
   9.347e+00   2.500e+00   1.603e+01
   8.501e+00   2.500e+00   1.440e+01
   7.422e+00   2.500e+00   1.253e+01
   6.149e+00   2.500e+00   1.047e+01
   4.723e+00   2.500e+00   8.251e+00
   3.197e+00   2.500e+00   5.936e+00
   5.000e-02   2.500e+00   2.000e+00"
