Iteration,Trajectory,Legibility
1,"[[1500.           250.          2400.         ]
 [1494.72111271   249.853557886 2357.9433193  ]
 [1489.45195833   249.794165613 2315.859161242]
 [1484.183941931  249.743837999 2273.772723044]
 [1478.916987197  249.702428949 2231.683890425]
 [1473.651020884  249.669763176 2189.592553929]
 [1468.385972446  249.645631142 2147.498611793]
 [1463.121773634  249.62978306  2105.401973582]
 [1457.858358013  249.621921788 2063.302564793]
 [1452.595660419  249.621694345 2021.200332683]
 [1447.333616314  249.628681762 1979.095253675]
 [1442.072161026  249.642386866 1936.98734277 ]
 [1436.811228836  249.662219536 1894.876665571]
 [1431.55075187   249.687478834 1852.763353689]
 [1426.290658705  249.717331427 1810.64762456 ]
 [1421.030872599  249.750786069 1768.529806928]
 [1415.771309169  249.78666634  1726.410372925]
 [1410.511873555  249.823597945 1684.289972933]
 [1405.2524607    249.860133408 1642.169424049]
 [1400.           250.          1600.         ]]","[[0.3383284665041679, 0.336957084762102, 0.3365867928509183], 0.33729078137239604]"
100,"[[1500.           250.          2400.         ]
 [1493.071955818  235.623954246 2362.813733039]
 [1487.165493882  229.812957668 2322.845907576]
 [1481.376158543  224.89986485  2282.645432514]
 [1475.697214155  220.867550738 2242.200048331]
 [1470.122107897  217.696205882 2201.498328758]
 [1464.644427127  215.362871067 2160.529956058]
 [1459.257854058  213.840879955 2119.286066276]
 [1453.956116457  213.099189051 2077.759683819]
 [1448.732932759  213.101569003 2035.946270672]
 [1443.581949482  213.805624446 1993.844423618]
 [1438.496668168  215.161601072 1951.456763673]
 [1433.470357984  217.110928334 1908.791076887]
 [1428.495948393  219.584435815 1865.861785689]
 [1423.565893256  222.500178726 1822.691855425]
 [1418.671992328  225.760848639 1779.315263625]
 [1413.805147485  229.251000172 1735.780121451]
 [1408.955033812  232.835793725 1692.152027948]
 [1404.109947534  236.37394488  1648.512473142]
 [1400.           250.          1600.         ]]","[[0.34446441792576005, 0.33458022016243544, 0.3384617824259036], 0.339168806838033]"
200,"[[1500.           250.          2400.         ]
 [1491.210872077  221.766305985 2367.834878383]
 [1484.5677995    210.391866883 2330.049033399]
 [1478.16597534   200.796274063 2291.789255053]
 [1471.993922694  192.940399213 2253.029649319]
 [1466.040276835  186.780258722 2213.746673325]
 [1460.293666602  182.266156918 2173.919635991]
 [1454.742601041  179.341643287 2133.531330461]
 [1449.375357901  177.942240941 2092.568836059]
 [1444.17986983   177.993892176 2051.024539473]
 [1439.143603125  179.411052398 2008.897441082]
 [1434.253422259  182.09434533  1966.194834618]
 [1429.495430982  185.927670418 1922.934478837]
 [1424.854776693  190.774631297 1879.147421138]
 [1420.315397497  196.474148948 1834.88168508 ]
 [1415.859677617  202.835209529 1790.207078716]
 [1411.46795088   209.631230852 1745.221293232]
 [1407.117765868  216.597584102 1700.056375288]
 [1402.78322917   223.458408227 1654.874690062]
 [1400.           250.          1600.         ]]","[[0.3501986973678684, 0.33230734966446085, 0.3402276756499113], 0.34091124089408015]"
300,"[[1500.           250.          2400.         ]
 [1489.140717492  208.395085211 2372.932935266]
 [1481.661427048  191.689000751 2337.361593935]
 [1474.554847497  177.626179205 2301.067397525]
 [1467.806992468  166.1408794   2264.009836146]
 [1461.403655947  157.160901433 2226.152909224]
 [1455.330158239  150.60640016  2187.465768445]
 [1449.571124087  146.388412597 2147.923554566]
 [1444.110285541  144.407034018 2107.508483633]
 [1438.930301219  144.549159405 2066.211256019]
 [1434.012581964  146.685683788 2024.032886215]
 [1429.337110292  150.668025727 1980.987085078]
 [1424.882236845  156.323803318 1937.103372739]
 [1420.624429966  163.451457054 1892.431163386]
 [1416.537941671  171.813606004 1847.04514213 ]
 [1412.594328077  181.129060314 1801.052319768]
 [1408.761710423  191.064249501 1754.601002689]
 [1405.003576006  201.229565977 1707.890186836]
 [1401.277282593  211.220867007 1661.162321887]
 [1400.           250.          1600.         ]]","[[0.3555065703124355, 0.33016212885291385, 0.34188003200679906], 0.3425162437240495]"
400,"[[1500.           250.          2400.         ]
 [1486.85180998   195.4827029   2378.088976443]
 [1478.431955864  173.663154771 2344.755734462]
 [1470.523888913  155.3351068   2310.443950326]
 [1463.113535809  140.401815058 2275.097835451]
 [1456.186000525  128.759087233 2238.668856872]
 [1449.725094439  120.293818036 2201.116414444]
 [1443.712951941  114.882129076 2162.408782918]
 [1438.129717026  112.387025923 2122.524391115]
 [1432.953285533  112.65545976  2081.453534196]
 [1428.159085705  115.514648591 2039.200647813]
 [1423.719876084  120.767471991 1995.787318352]
 [1419.605533576  128.186704372 1951.256266254]
 [1415.782793756  137.507802809 1905.676624539]
 [1412.214885714  148.419954637 1859.150940762]
 [1408.860963924  160.555281041 1811.824415111]
 [1405.675152922  173.477252625 1763.896666297]
 [1402.604841904  186.675894528 1715.633885659]
 [1399.588035407  199.624692754 1667.357731726]
 [1400.           250.          1600.         ]]","[[0.36042451555356664, 0.32814275014561284, 0.3434321034334863], 0.34399978971088857]"
500,"[[1500.           250.          2400.         ]
 [1484.336969484  183.005815686 2383.28892575 ]
 [1474.868690284  156.279449327 2352.210823064]
 [1466.059101696  133.876907341 2319.892493591]
 [1457.89661933   115.66622762  2286.262464073]
 [1450.367950663  101.507663152 2251.259794771]
 [1443.457311932   91.251983371 2214.834664826]
 [1437.145816936   84.738258456 2176.949310869]
 [1431.411011619   81.791018318 2137.57940547 ]
 [1426.226528426   82.216645014 2096.715991732]
 [1421.561832507   85.798814965 2054.368131606]
 [1417.382027296   92.292753839 2010.56648283 ]
 [1413.64767863   101.418002911 1965.368098784]
 [1410.314601512  112.849331816 1918.862853217]
 [1407.333525534  126.205418738 1871.182025105]
 [1404.649497356  141.035167979 1822.509680557]
 [1402.200748506  156.803036992 1773.097184518]
 [1399.916455673  172.8831315   1723.277985667]
 [1397.712642809  188.632118733 1673.452061226]
 [1400.           250.          1600.         ]]","[[0.3649850761660421, 0.32624691446317033, 0.3448953269642779], 0.3453757725311634]"
600,"[[1500.           250.          2400.         ]
 [1481.590953677  170.945034805 2388.522438012]
 [1470.963817677  139.508898416 2359.711778253]
 [1461.150266904  113.21319257  2329.393888274]
 [1452.143905596   91.886655005 2297.481410197]
 [1443.935451073   75.350588376 2263.901270589]
 [1436.511526079   63.416966311 2228.59503572 ]
 [1429.853748285   55.885886596 2191.519733684]
 [1423.938073401   52.542243777 2152.649240205]
 [1418.734350632   53.151452316 2111.976361126]
 [1414.206048065   57.453998556 2069.515794753]
 [1410.310100448   65.158533013 2025.30822699 ]
 [1406.996821109   75.933134561 1979.425908786]
 [1404.209799852   89.394298307 1931.980196093]
 [1401.885670813  105.093181713 1883.131693302]
 [1399.953555689  122.498953523 1833.103758476]
 [1398.333805618  140.980950914 1782.199731891]
 [1396.935211872  159.801674751 1730.820252837]
 [1395.649185285  178.206192846 1679.442766608]
 [1400.           250.          1600.         ]]","[[0.36921669086311343, 0.3244720470653475, 0.34627950574204175], 0.3466560812235009]"
700,"[[1500.           250.          2400.         ]
 [1478.609987737  159.284559027 2393.782047348]
 [1466.711706775  123.327863974 2367.247797971]
 [1455.790020097   93.31261955  2338.934598903]
 [1445.846521331   69.024278051 2308.739171718]
 [1436.878435122   50.241920741 2276.5766875  ]
 [1428.876861692   36.73620451  2242.380746521]
 [1421.825487566   28.26650358  2206.103970639]
 [1415.69969459    24.577100963 2167.71930931 ]
 [1410.466005423   25.392234457 2127.222203648]
 [1406.081804302   30.409738128 2084.63381305 ]
 [1402.495266434   39.292939626 2040.005591938]
 [1399.645416259   51.660377094 1993.42561879 ]
 [1397.462209361   67.072802964 1945.027234091]
 [1395.866483838   85.016921009 1895.000732523]
 [1394.769524223  104.885676448 1843.608986662]
 [1394.071738664  125.95715284  1791.207381857]
 [1393.659316307  147.386453537 1738.263595546]
 [1393.396431323  168.311955993 1685.331771043]
 [1400.           250.          1600.         ]]","[[0.3731438420224269, 0.3228154388047215, 0.34759300845090657], 0.347850763092685]"
800,"[[1500.           250.          2400.         ]
 [1475.391364759  148.011785396 2399.062521576]
 [1462.108311314  107.717476399 2374.811396663]
 [1449.973065592   74.150128653 2348.50542417 ]
 [1438.998095578   47.04798762  2320.025498313]
 [1429.189706948   26.14472944  2289.27548402 ]
 [1420.545605942   11.167283477 2256.181672446]
 [1413.053145228    1.832679878 2220.693033382]
 [1406.688152879   -2.156238822 2182.78236106 ]
 [1401.414256516   -1.11646231  2142.44846247 ]
 [1397.182617938    4.607891236 2099.719608702]
 [1393.931988232   14.636236872 2054.658567485]
 [1391.588977502   28.539638447 2007.369668864]
 [1390.068401699   45.825759873 1958.008535226]
 [1389.273507424   65.920008979 1906.795324233]
 [1389.095745744   88.142669415 1854.032479147]
 [1389.413455341  111.684434715 1800.127376075]
 [1390.087973792  135.597133307 1745.614525467]
 [1390.953635286  158.917071838 1691.124109973]
 [1400.           250.          1600.         ]]","[[0.37678737028192755, 0.3212743368381175, 0.3488429673014822], 0.3489682248071757]"
900,"[[1500.           250.          2400.         ]
 [1471.933099312  137.116931965 2404.360371898]
 [1457.150652916   92.663072536 2382.39767439 ]
 [1443.695495051   55.706203585 2358.100534494]
 [1431.593925639   25.933477093 2331.334212264]
 [1420.86397245     3.030034725 2301.991759493]
 [1411.512128112  -13.323256829 2269.992802808]
 [1403.531038014  -23.453235034 2235.283351138]
 [1396.89799927   -27.699210186 2197.836708967]
 [1391.574151022  -26.419317661 2157.655640888]
 [1387.504243327  -19.998784688 2114.776017783]
 [1384.616866638   -8.860552019 2069.272288923]
 [1382.82500491     6.521177663 2021.265278708]
 [1382.026736513   25.603760706 1970.933012137]
 [1382.105831446   47.754569122 1918.525520116]
 [1382.931833403   72.224854117 1864.384735612]
 [1384.358828694   98.121799992 1808.969874428]
 [1386.221029067  124.398017442 1752.882047525]
 [1388.32035443   149.992091053 1696.826952391]
 [1400.           250.          1600.         ]]","[[0.3801648588898593, 0.31984600309293537, 0.35003546336334146], 0.3500154417820454]"
