Iteration,Trajectory,Legibility
1,"[[1500.           250.          2400.         ]
 [1489.473218921  250.00000837  2363.156936741]
 [1478.946719395  250.00008549  2326.314460794]
 [1468.420249709  250.000199001 2289.472052724]
 [1457.893808177  250.000339281 2252.629709128]
 [1447.367393449  250.000496329 2215.787426475]
 [1436.841004537  250.000659756 2178.945201098]
 [1426.314640839  250.000818765 2142.103029194]
 [1415.788302168  250.000962144 2105.260906808]
 [1405.261988778  250.001078248 2068.418829835]
 [1394.735701395  250.001154996 2031.576794006]
 [1384.209441238  250.001179866 1994.734794882]
 [1373.683210053  250.001139912 1957.892827839]
 [1363.157010119  250.001021808 1921.050888059]
 [1352.630844249  250.000811969 1884.208970514]
 [1342.104715719  250.000496846 1847.367069939]
 [1331.578628027  250.000063753 1810.525180822]
 [1321.052584016  249.999503514 1773.683297403]
 [1310.526581823  249.998822191 1736.841414013]
 [1300.           250.          1700.         ]]","[[0.34268772969066913], 0.34268772969066913]"
100,"[[1500.           250.          2400.         ]
 [1489.427161883  250.000865911 2363.0621107  ]
 [1478.882475796  250.0085903   2326.182944541]
 [1468.340773757  250.019951309 2289.310565566]
 [1457.801887039  250.033986384 2252.444633355]
 [1447.265680598  250.049695566 2215.584794644]
 [1436.732055507  250.066040033 2178.730682765]
 [1426.200951522  250.081940639 2141.881917046]
 [1415.672349773  250.096276523 2105.038102154]
 [1405.146275546  250.107883876 2068.198827372]
 [1394.622801125  250.115555066 2031.363665788]
 [1384.102048557  250.118038479 1994.532173363]
 [1373.584192121  250.114039858 1957.703887843]
 [1363.069459921  250.102226835 1920.878327438]
 [1352.558133254  250.081240704 1884.054989194]
 [1342.050540027  250.049726333 1847.233346992]
 [1331.547030539  250.006414104 1810.412849483]
 [1321.047889819  249.950385304 1773.59292111 ]
 [1310.552932293  249.882244704 1736.77299502 ]
 [1300.           250.          1700.         ]]","[[0.3426906836444878], 0.3426906836444878]"
200,"[[1500.           250.          2400.         ]
 [1489.380653065  250.001790004 2362.966358109]
 [1478.817603468  250.017263788 2326.050146112]
 [1468.260521962  250.040005683 2289.147507505]
 [1457.709071016  250.068090113 2252.257761157]
 [1447.162980401  250.099517201 2215.380200271]
 [1436.622052068  250.132209752 2178.514091264]
 [1426.086165283  250.164010257 2141.658672574]
 [1415.555282015  250.192678006 2104.813153347]
 [1405.029452532  250.215886517 2067.976711997]
 [1394.508821102  250.231221664 2031.148494581]
 [1383.993631574  250.236181244 1994.327612951]
 [1373.484232355  250.228177522 1957.513142575]
 [1362.981079669  250.204546142 1920.704119909]
 [1352.484736363  250.162569534 1883.899539151]
 [1341.995858833  250.099536577 1847.098348242]
 [1331.515148666  250.012906332 1810.299444758]
 [1321.043177376  249.900838812 1773.501677974]
 [1310.57957536   249.76454099  1736.703914719]
 [1300.           250.          1700.         ]]","[[0.3426936368829377], 0.3426936368829377]"
300,"[[1500.           250.          2400.         ]
 [1489.334157824  250.002772007 2362.870636965]
 [1478.752751534  250.026020062 2325.917394187]
 [1468.180297377  250.060162599 2288.984510028]
 [1457.61628893   250.10231056  2252.070962355]
 [1447.060320644  250.149464181 2215.175690566]
 [1436.512095151  250.198508356 2178.29759392 ]
 [1425.971430977  250.246207997 2141.435529744]
 [1415.438270644  250.289203555 2104.588311477]
 [1404.912689092  250.32400701  2067.754706507]
 [1394.394902277  250.346998885 2030.933433748]
 [1383.8852756    250.354427415 1994.12316087 ]
 [1373.384331449  250.342412159 1957.32250104 ]
 [1362.892754184  250.306957159 1920.530008997]
 [1352.411388454  250.243985819 1883.744176191]
 [1341.941219721  250.14943017  1846.963424806]
 [1331.483301858  250.01947625  1810.186101623]
 [1321.038494312  249.851360232 1773.41048113 ]
 [1310.606245005  249.646888718 1736.634864373]
 [1300.           250.          1700.         ]]","[[0.3426965595382196], 0.3426965595382196]"
400,"[[1500.           250.          2400.         ]
 [1489.287676226  250.003811649 2362.774947268]
 [1478.687920093  250.034858722 2325.784688767]
 [1468.10010013   250.080421538 2288.821573136]
 [1457.523540939  250.136647096 2251.88423695 ]
 [1446.95770151   250.199535787 2214.971265531]
 [1436.40218496   250.264935052 2178.081190734]
 [1425.856748826  250.328533006 2141.212488558]
 [1415.321315893  250.385852278 2104.363576546]
 [1404.795985467  250.432244446 2067.532810906]
 [1394.28104489   250.462885826 2030.718483293]
 [1383.776980869  250.472776113 1993.918817122]
 [1373.284489626  250.456742939 1957.13196324 ]
 [1362.804483668  250.409459124 1920.355994703]
 [1352.338089702  250.325488887 1883.588900317]
 [1341.886622836  250.199406551 1846.828576691]
 [1331.45149022   250.026123424 1810.072820085]
 [1321.033840689  249.801949272 1773.319330587]
 [1310.632941243  249.529287752 1736.565843996]
 [1300.           250.          1700.         ]]","[[0.3426994517340641], 0.3426994517340641]"
500,"[[1500.           250.          2400.         ]
 [1489.241208336  250.00490866  2362.679289018]
 [1478.623109243  250.043779368 2325.65202985 ]
 [1468.019930349  250.100781983 2288.658696828]
 [1457.430827198  250.171099096 2251.697584942]
 [1446.85512318   250.249731302 2214.766925167]
 [1436.292321697  250.331489043 2177.864881708]
 [1425.742119049  250.410984431 2140.989549018]
 [1415.204417994  250.482623286 2104.138948554]
 [1404.679341892  250.540597919 2067.311025194]
 [1394.167249179  250.578881583 2030.503643217]
 [1383.668747614  250.591226463 1993.71458171 ]
 [1373.184707105  250.571169033 1956.941529178]
 [1362.716268323  250.512051279 1920.182077031]
 [1352.264840285  250.407078072 1883.433711532]
 [1341.832068322  250.249465161 1846.693803902]
 [1331.41971386   250.032847423 1809.95960015 ]
 [1321.029216571  249.752605643 1773.228226356]
 [1310.659664087  249.411737954 1736.496853601]
 [1300.           250.          1700.         ]]","[[0.342702313593871], 0.342702313593871]"
600,"[[1500.           250.          2400.         ]
 [1489.19475422   250.006062769 2362.583662214]
 [1478.558319081  250.052781604 2325.519417438]
 [1467.939788162  250.121243415 2288.495881107]
 [1457.338147864  250.205665938 2251.511006332]
 [1446.752585835  250.300050009 2214.562669475]
 [1436.182505565  250.398169541 2177.648666843]
 [1425.627541865  250.493561424 2140.766711125]
 [1415.087577176  250.579515691 2103.914427505]
 [1404.562758607  250.649066524 2067.089349374]
 [1394.053515381  250.694985258 2030.288913522]
 [1383.560576066  250.70977759  1993.510454636]
 [1373.084984105  250.685689617 1956.751198857]
 [1362.628108349  250.614732869 1920.008255983]
 [1352.191640376  250.488752708 1883.278609841]
 [1341.777556323  250.299605444 1846.559106444]
 [1331.387972881  250.039647815 1809.846441828]
 [1321.024622017  249.703329055 1773.137168446]
 [1310.686413552  249.294239188 1736.427893204]
 [1300.           250.          1700.         ]]","[[0.34270514524070367], 0.34270514524070367]"
700,"[[1500.           250.          2400.         ]
 [1489.148313944  250.007273709 2362.488066858]
 [1478.493549704  250.061865032 2325.386851531]
 [1467.859673696  250.141805321 2288.333125971]
 [1457.245503091  250.240347    2251.324501122]
 [1446.650089654  250.350491197 2214.358498456]
 [1436.072736765  250.464975755 2177.432546141]
 [1425.513017492  250.57626314  2140.543974881]
 [1414.970793671  250.67652861  2103.6900134  ]
 [1404.446235846  250.757649362 2066.867783448]
 [1393.939843733  250.811195954 2030.074294209]
 [1383.452466455  250.828428625 1993.306435901]
 [1372.985320845  250.800303869 1956.560972277]
 [1362.540003945  250.717503141 1919.834531562]
 [1352.118490151  250.57051213  1883.123595248]
 [1341.723086981  250.349826845 1846.424484321]
 [1331.356267389  250.04652417  1809.733345124]
 [1321.020057091  249.654119219 1773.046156869]
 [1310.71318965   249.176791317 1736.358962816]
 [1300.           250.          1700.         ]]","[[0.34270794679729655], 0.34270794679729655]"
800,"[[1500.           250.          2400.         ]
 [1489.101887571  250.00854121  2362.392502949]
 [1478.428801208  250.071029257 2325.254332129]
 [1467.779587077  250.162467187 2288.170431423]
 [1457.152893034  250.275141662 2251.138069311]
 [1446.547634818  250.401054153 2214.154412112]
 [1435.963015496  250.5319069   2177.216519603]
 [1425.398546147  250.659088734 2140.321340287]
 [1414.854067707  250.773661162 2103.46570624 ]
 [1404.329773844  250.866345533 2066.646327417]
 [1393.826234469  250.927512777 2029.85978528 ]
 [1383.344419011  250.9471787   1993.102525507]
 [1372.885717541  250.915010968 1956.370849441]
 [1362.451955311  250.820361343 1919.660903769]
 [1352.045389784  250.652355676 1882.968667754]
 [1341.668660438  250.400128809 1846.289937539]
 [1331.324597489  250.053476063 1809.620310047]
 [1321.015521852  249.604975848 1772.955191635]
 [1310.739992396  249.059394207 1736.290062451]
 [1300.           250.          1700.         ]]","[[0.3427107183860506], 0.3427107183860506]"
900,"[[1500.           250.          2400.         ]
 [1489.055475168  250.009865007 2362.296970488]
 [1478.364073691  250.080273886 2325.121859233]
 [1467.699528431  250.183228502 2288.007797461]
 [1457.060317847  250.310049308 2250.9517109  ]
 [1446.445221503  250.451738169 2213.950410443]
 [1435.853341959  250.598962191 2177.00058723 ]
 [1425.284128046  250.742037366 2140.098807346]
 [1414.73739951   250.870912469 2103.241506027]
 [1404.213372836  250.975154143 2066.424981283]
 [1393.712687824  251.043934836 2029.645386738]
 [1383.236433961  251.06602695  1992.898723456]
 [1372.786174411  251.029810096 1956.180830351]
 [1362.363962643  250.923306726 1919.487372609]
 [1351.972339446  250.734282688 1882.813827365]
 [1341.614276837  250.450510785 1846.155466103]
 [1331.292963284  250.060503065 1809.507336602]
 [1321.011016361  249.555898655 1772.864272752]
 [1310.766821801  248.942047721 1736.221192124]
 [1300.           250.          1700.         ]]","[[0.3427134601290379], 0.3427134601290379]"
1000,"[[1500.           250.          2400.         ]
 [1489.009076799  250.011244833 2362.201469474]
 [1478.299367247  250.089598524 2324.989432841]
 [1467.619497885  250.204088754 2287.845224087]
 [1456.967777681  250.345069322 2250.765425891]
 [1446.342849889  250.502542538 2213.74649345 ]
 [1435.743716352  250.666140848 2176.784749024]
 [1425.169763405  250.825108197 2139.876376057]
 [1414.620789309  250.968281654 2103.017412763]
 [1404.097033053  251.084074298 2066.203745047]
 [1393.59920403   251.160461243 2029.431098583]
 [1383.128511534  251.184972512 1992.695029749]
 [1372.686691668  251.14470044  1955.990915009]
 [1362.276026139  251.026338545 1919.313938082]
 [1351.89933931   250.816292507 1882.659074083]
 [1341.559936317  250.500972224 1846.021070018]
 [1331.261364878  250.067604751 1809.394424799]
 [1321.006540678  249.506887354 1772.773400232]
 [1310.793677881  248.824751726 1736.152351847]
 [1300.           250.          1700.         ]]","[[0.3427161721479976], 0.3427161721479976]"
2000,"[[1500.           250.          2400.         ]
 [1488.545878969  250.028066704 2361.248188933]
 [1477.65348266   250.187159901 2323.667726756]
 [1466.820765127  250.418021761 2286.222822724]
 [1456.044335494  250.701315628 2248.906612995]
 [1445.3214658    251.017051769 2211.711980906]
 [1434.65013952   251.34454232  2174.631546365]
 [1424.029103919  251.662354931 2137.657654387]
 [1413.457926193  251.948266151 2100.782362586]
 [1402.937053136  252.179216508 2063.99742739 ]
 [1392.467873457  252.331271021 2027.294288627]
 [1382.052780718  252.379592541 1990.664051914]
 [1371.695232194  252.29844325  1954.097468048]
 [1361.399792713  252.061248156 1917.58490814 ]
 [1351.172136279  251.640801919 1881.116332836]
 [1341.018931045  251.009837287 1844.681254476]
 [1330.947372011  250.142636693 1808.268698488]
 [1320.96343622   249.020336273 1771.867227101]
 [1311.063708362  247.654539513 1735.465604775]
 [1300.           250.          1700.         ]]","[[0.34274168406426825], 0.34274168406426825]"
3000,"[[1500.           250.          2400.         ]
 [1488.08415355   250.050204676 2360.298053078]
 [1477.00980795   250.292299071 2322.350671269]
 [1466.024976585  250.641299008 2284.606480357]
 [1455.124559272  251.068135668 2247.055140734]
 [1444.304441659  251.542835187 2209.685936774]
 [1433.561567923  252.034438613 2172.487761374]
 [1422.894020175  252.510918752 2135.449099209]
 [1412.301104633  252.939095422 2098.55800847 ]
 [1401.783444245  253.284552024 2061.802100745]
 [1391.343076619  253.511558986 2025.168518544]
 [1380.983554333  253.583015146 1988.643909667]
 [1370.710040758  253.460429999 1952.214397236]
 [1360.529385153  253.103997572 1915.865543556]
 [1350.450136372  252.472883953 1879.58230537 ]
 [1340.48238343   251.526056423 1843.348978802]
 [1330.637068315  250.224679397 1807.149143491]
 [1320.923375685  248.540067208 1770.965700704]
 [1311.336418621  246.489232105 1734.78187715 ]
 [1300.           250.          1700.         ]]","[[0.3427643550655046], 0.3427643550655046]"
4000,"[[1500.           250.          2400.         ]
 [1487.623960789  250.077405858 2359.351061748]
 [1476.368432555  250.404642847 2321.038266238]
 [1465.232249406  250.873435908 2282.996196955]
 [1454.208591759  251.444944821 2245.211009239]
 [1443.291943009  252.0792217   2207.668361353]
 [1432.478186412  252.735087644 2170.353394475]
 [1421.764712203  253.370003692 2133.250711002]
 [1411.150535153  253.939938058 2096.344350866]
 [1400.636422285  254.399233458 2059.617765474]
 [1390.225029381  254.700481921 2023.053788602]
 [1379.921042578  254.794421755 1986.634603266]
 [1369.731316144  254.629887204 1950.341703022]
 [1359.664984984  254.15387842  1914.155845313]
 [1349.733497913  253.311914547 1878.056993686]
 [1339.950422604  252.049107861 1842.024246627]
 [1330.330547824  250.313329739 1806.035765757]
 [1320.886412635  248.065809871 1770.068830006]
 [1311.611817799  245.328703231 1734.101181557]
 [1300.           250.          1700.         ]]","[[0.34278430154350026], 0.34278430154350026]"
5000,"[[1500.           250.          2400.         ]
 [1487.165358379  250.109425226 2358.407214644]
 [1475.729442112  250.523829656 2319.730511319]
 [1464.442695729  251.113962972 2281.391972208]
 [1453.29656954   251.831176707 2243.374218285]
 [1442.284128165  252.625561184 2205.659254505]
 [1431.400171656  253.445770551 2168.228445579]
 [1420.641371038  254.23883874  2131.06248965 ]
 [1410.006418655  254.949988766 2094.141389558]
 [1399.496193126  255.522440089 2057.444421208]
 [1389.113937402  255.897223187 2020.950098286]
 [1378.865445556  256.013019644 1984.636132153]
 [1368.759247433  255.806065844 1948.479385023]
 [1358.806764707  255.210204762 1912.455813569]
 [1349.02237117   254.157289445 1876.540398986]
 [1339.423170858  252.578486482 1840.707060831]
 [1330.027899158  250.408197629 1804.928570555]
 [1320.852596791  247.597303033 1769.17662337 ]
 [1311.889912838  244.172831491 1733.423530068]
 [1300.           250.          1700.         ]]","[[0.34280163672533676], 0.34280163672533676]"
