Iteration,Trajectory,Legibility
1,"[[1500.           250.          2400.         ]
 [1489.47207916   249.995094158 2363.159490416]
 [1478.945110272  249.99311262  2326.31807597 ]
 [1468.418238798  249.99143947  2289.476584849]
 [1457.89146274   249.990069095 2252.635013358]
 [1447.364779786  249.988994741 2215.793358143]
 [1436.838187264  249.988208345 2178.951616312]
 [1426.311682104  249.987700339 2142.109785563]
 [1415.785260781  249.987459415 2105.267864357]
 [1405.258919257  249.987472255 2068.425852118]
 [1394.732652912  249.98772321  2031.583749494]
 [1384.206456463  249.98819392  1994.741558662]
 [1373.680323868  249.988862857 1957.899283717]
 [1363.154248214  249.989704782 1921.056931152]
 [1352.62822158   249.990690099 1884.214510457]
 [1342.102234873  249.9917841   1847.372034846]
 [1331.576277633  249.992946209 1810.529522106]
 [1321.050337872  249.994129862 1773.686995246]
 [1310.524402497  249.995287894 1736.844480301]
 [1300.           250.          1700.         ]]","[[0.3440066653291453], 0.3440066653291453]"
100,"[[1500.           250.          2400.         ]
 [1489.313124686  249.509883715 2363.317497533]
 [1478.721472284  249.311953876 2326.544487344]
 [1468.139562074  249.144848104 2289.763804241]
 [1457.567194688  249.008000867 2252.975077821]
 [1447.004139159  248.90073304  2216.177972696]
 [1436.450128965  248.822235028 2179.372199618]
 [1425.9048575    248.771547081 2142.557529103]
 [1415.367972874  248.747536228 2105.733808123]
 [1404.839071923  248.748869145 2068.900980603]
 [1394.317693259  248.773980103 2032.059112648]
 [1383.80330916   248.821032898 1995.208423671]
 [1373.295316033  248.887875452 1958.349324942]
 [1362.793023068  248.971985476 1921.482467461]
 [1352.295638614  249.070405677 1884.608801427]
 [1341.802253699  249.179668607 1847.729649293]
 [1331.311822677  249.295720807 1810.846790172]
 [1320.823146443  249.413911467 1773.962524422]
 [1310.334915098  249.529531911 1737.079453384]
 [1300.           250.          1700.         ]]","[[0.3441478520082185], 0.3441478520082185]"
200,"[[1500.           250.          2400.         ]
 [1489.152455485  249.02070943  2363.477170225]
 [1478.495412567  248.625300423 2326.773281737]
 [1467.857855606  248.291509962 2290.054036523]
 [1457.239386614  248.018198463 2253.31869223 ]
 [1446.639544521  247.804000001 2216.566577531]
 [1436.057797247  247.647288677 2179.797114312]
 [1425.49353264   247.546139353 2143.009844844]
 [1414.946048063  247.498281644 2106.204465065]
 [1404.414538387  247.501045771 2069.380865445]
 [1393.898082066  247.551298559 2032.539181275]
 [1383.395624888  247.645367411 1995.679854741]
 [1372.905960842  247.778949575 1958.803711807]
 [1362.427709394  247.947003553 1921.912057713]
 [1351.959288162  248.143619571 1885.00679563 ]
 [1341.498879888  248.361869338 1848.090572452]
 [1331.044393642  248.59365452  1811.166947189]
 [1320.593431051  248.829684649 1774.240519484]
 [1310.143370817  249.060558104 1737.316487552]
 [1300.           250.          1700.         ]]","[[0.3442899607648513], 0.3442899607648513]"
300,"[[1500.           250.          2400.         ]
 [1488.991677053  248.532472082 2363.636911901]
 [1478.269189935  247.940032103 2327.002171318]
 [1467.575934106  247.439975659 2290.344379349]
 [1456.911313705  247.030580638 2253.662420171]
 [1446.274638416  246.70978669  2216.95528598 ]
 [1435.665111565  246.475144945 2180.222110198]
 [1425.08181651   246.32375929  2143.462208096]
 [1414.523701003  246.252217527 2106.675126571]
 [1403.989559146  246.25651033  2069.860705246]
 [1393.478010464  246.3319354   2033.019151661]
 [1382.987475473  246.47298357  1996.151134118]
 [1372.516146929  246.673202839 1959.257896665]
 [1362.061955647  246.925035578 1922.341401986]
 [1351.622529437  247.219624325 1885.404508966]
 [1341.195143442  247.546586532 1848.451190892]
 [1330.776661806  247.893787536 1811.486787436]
 [1320.363486728  248.247308297 1774.518196437]
 [1309.951684021  248.593069895 1737.553208527]
 [1300.           250.          1700.         ]]","[[0.344431566597161], 0.344431566597161]"
400,"[[1500.           250.          2400.         ]
 [1488.830789833  248.045166641 2363.796721668]
 [1478.042805049  247.25614143  2327.231154774]
 [1467.293798447  246.59023535  2290.634831044]
 [1456.582977039  246.045135328 2254.006259678]
 [1445.909422114  245.618079012 2217.344095883]
 [1435.272073366  245.305787942 2180.647185023]
 [1424.669710716  245.104389489 2143.914616628]
 [1414.100933436  245.009325291 2107.145790546]
 [1403.56413605   245.015243419 2070.340498148]
 [1393.057480375  245.1158708   2033.499022278]
 [1382.578862879  245.30386155  1996.622260659]
 [1372.125876256  245.570615853 1959.711878792]
 [1361.695763749  245.906063029 1922.770499975]
 [1351.285364274  246.298402709 1885.801941511]
 [1340.891046064  246.733804643 1848.811505008]
 [1330.508628698  247.196106345 1811.806311536]
 [1320.133314792  247.666771237 1774.795556029]
 [1309.759855778  248.127058652 1737.789617089]
 [1300.           250.          1700.         ]]","[[0.3445726731433168], 0.3445726731433168]"
500,"[[1500.           250.          2400.         ]
 [1488.669794265  247.558788114 2363.956598646]
 [1477.816258566  246.573620972 2327.46023082 ]
 [1467.011449498  245.74227926  2290.925389965]
 [1456.254377686  245.061850556 2254.350208826]
 [1445.54389688   244.528862972 2217.73300512 ]
 [1434.878684092  244.139201892 2181.072336583]
 [1424.257216857  243.888012674 2144.367068263]
 [1413.677747094  243.769586482 2107.616454949]
 [1403.138270936  243.77722577  2070.820242352]
 [1392.636493713  243.903085075 2033.978791648]
 [1382.16978906   244.137981671 1997.093233273]
 [1371.735150777  244.471169368 1960.16565751 ]
 [1361.329135609  244.890067517 1923.199351413]
 [1350.947794497  245.379937613 1886.199093378]
 [1340.586589447  245.923508232 1849.171515223]
 [1330.240295838  246.500597529 1812.125520136]
 [1319.902916547  247.088062365 1775.072599027]
 [1309.567887144  247.662515794 1738.025714031]
 [1300.           250.          1700.         ]]","[[0.34471328400852863], 0.34471328400852863]"
600,"[[1500.           250.          2400.         ]
 [1488.508690786  247.07333154  2364.116541974]
 [1477.589551141  245.892463346 2327.689398193]
 [1466.728888123  244.89609768  2291.216054501]
 [1455.925516714  244.080714427 2254.694265726]
 [1445.178063971  243.442124674 2218.12201162 ]
 [1434.484945175  242.975371129 2181.497562726]
 [1423.844336521  242.674611689 2144.819560877]
 [1413.254143699  242.532982777 2108.087117794]
 [1402.711965634  242.542438256 2071.29993611 ]
 [1392.215052382  242.693558685 2034.458458347]
 [1381.760255956  242.975324392 1997.564050915]
 [1371.34397243   243.374844272 1960.619232188]
 [1360.962073125  243.877030786 1923.627956077]
 [1350.609821916  244.46421205  1886.595964714]
 [1340.281775274  245.115681969 1849.531221994]
 [1329.971664734  245.807247763 1812.444413907]
 [1319.67229329   246.511170652 1775.349326217]
 [1309.375779167  247.19943279  1738.261500163]
 [1300.           250.          1700.         ]]","[[0.3448534027653539], 0.3448534027653539]"
700,"[[1500.           250.          2400.         ]
 [1488.347479832  246.588791996 2364.276550805]
 [1477.362683422  245.212661223 2327.918655654]
 [1466.446115182  244.05168097  2291.506823072]
 [1455.596395183  243.101715128 2255.038428528]
 [1444.811924635  242.35785032  2218.511113353]
 [1434.090858039  241.814280099 2181.922861343]
 [1423.431071288  241.464169501 2145.272092395]
 [1412.830124964  241.299495987 2108.557777149]
 [1402.285221961  241.310861887 2071.779577731]
 [1391.793158272  241.48727223  2034.938021002]
 [1381.350265496  241.815870316 1998.034712593]
 [1370.952343146  242.281621592 1961.072602238]
 [1360.594578183  242.866934711 1924.056313784]
 [1350.271448333  243.551209153 1886.992555703]
 [1339.976605215  244.31031063  1849.890625801]
 [1329.702736886  245.116043812 1812.762993543]
 [1319.441446305  245.936085141 1775.625738404]
 [1309.183532886  246.737801161 1738.496976308]
 [1300.           250.          1700.         ]]","[[0.3449930329540008], 0.3449930329540008]"
800,"[[1500.           250.          2400.         ]
 [1488.186161837  246.105164589 2364.436624309]
 [1477.135656058  244.534207322 2328.148001986]
 [1466.163131528  243.209019558 2291.797694127]
 [1455.267014147  242.124840931 2255.382695421]
 [1444.445480116  241.276026207 2218.900308331]
 [1433.696424101  240.655913358 2182.348230376]
 [1423.017422729  240.256669199 2145.724660794]
 [1412.405692592  240.06910805  2109.028431133]
 [1401.858041726  240.082477808 2072.259165571]
 [1391.370813265  240.284206447 2035.417478294]
 [1380.939819599  240.659600182 1998.505217362]
 [1370.560264842  241.191482491 1961.525767119]
 [1360.226652658  241.859761298 1924.484424389]
 [1349.932675537  242.640912178 1887.38886656 ]
 [1339.671080929  243.507379102 1850.249727157]
 [1329.43351378   244.426972533 1813.081259763]
 [1319.210376869  245.362794945 1775.901836413]
 [1308.99114933   246.277612478 1738.732143305]
 [1300.           250.          1700.         ]]","[[0.3451321780826207], 0.3451321780826207]"
900,"[[1500.           250.          2400.         ]
 [1488.024737232  245.622444465 2364.59676167 ]
 [1476.90846969   243.857094416 2328.377435999]
 [1465.879938013  242.368103937 2292.088666146]
 [1454.937374654  241.15008019  2255.727064626]
 [1444.07873165   240.19663873  2219.289594609]
 [1433.30164477   239.500255569 2182.773667813]
 [1422.603392408  239.052093991 2146.177264101]
 [1411.980848277  238.841801033 2109.499077917]
 [1401.430426725  238.8572673   2072.738698043]
 [1390.94801923   239.084342216 2035.896828949]
 [1380.528920173  239.506494872 1998.975564321]
 [1370.167739423  240.104408269 1961.978726329]
 [1359.858298414  240.855492681 1924.912287784]
 [1349.593505306  241.733304498 1887.784897535]
 [1339.365204067  242.706872374 1850.608526601]
 [1329.163996895  243.740020873 1813.399213305]
 [1318.979086247  244.79128925  1776.177621084]
 [1308.798629519  245.818858363 1738.967002006]
 [1300.           250.          1700.         ]]","[[0.3452708416276179], 0.3452708416276179]"
