Iteration,Trajectory,Legibility
1,"[[1500.           250.          2400.         ]
 [1507.896397531  250.010719516 2363.154700759]
 [1515.791827804  250.015165067 2326.311203455]
 [1523.687167281  250.019002629 2289.467851962]
 [1531.582416511  250.022234449 2252.624653145]
 [1539.477576215  250.024863847 2215.781613787]
 [1547.372647316  250.026895387 2178.938740503]
 [1555.267630963  250.028335071 2142.09603965 ]
 [1563.16252857   250.029190573 2105.2535172  ]
 [1571.057341855  250.029471518 2068.411178584]
 [1578.952072888  250.02918982  2031.5690285  ]
 [1586.846724151  250.028360105 1994.727070656]
 [1594.741298615  250.027000245 1957.885307439]
 [1602.63579984   250.025132089 1921.043739466]
 [1610.530232115  250.02278249  1884.202364942]
 [1618.424600681  250.019984969 1847.361178662]
 [1626.31891214   250.016782804 1810.520170231]
 [1634.213175397  250.013236219 1773.679320105]
 [1642.107404674  250.009445222 1736.83858744 ]
 [1650.           250.          1700.         ]]","[[0.35397887661238003], 0.35397887661238003]"
100,"[[1500.           250.          2400.         ]
 [1508.06081977   251.072472731 2362.839286418]
 [1516.024905416  251.51727061  2325.858350622]
 [1523.979909829  251.901243881 2288.891966057]
 [1531.925887413  252.22461     2251.940812182]
 [1539.862910175  252.487694843 2215.005561313]
 [1547.791070247  252.690949564 2178.086870835]
 [1555.710482803  252.83497039  2141.18537341 ]
 [1563.621289494  252.920522062 2104.30166466 ]
 [1571.523662517  252.948565894 2067.43628761 ]
 [1579.417809497  252.920293849 2030.589712903]
 [1587.303979489  252.837170813 1993.762313343]
 [1595.182470548  252.700988664 1956.954330485]
 [1603.05363973   252.513938689 1920.165829401]
 [1610.917917229  252.278715579 1883.396634161]
 [1618.775828575  251.998683376 1846.646227654]
 [1626.628035428  251.678184789 1809.913572872]
 [1634.475429802  251.323260825 1773.196716635]
 [1642.319434711  250.943932405 1736.491575329]
 [1650.           250.          1700.         ]]","[[0.3543771956981581], 0.3543771956981581]"
200,"[[1500.           250.          2400.         ]
 [1508.226930394  252.145995862 2362.522282011]
 [1516.260376122  253.03608088  2325.403274635]
 [1524.275655886  253.804464711 2288.313309262]
 [1532.27287782   254.451567822 2251.253730169]
 [1540.25218556   254.97802937  2214.225870226]
 [1548.213763285  255.384741185 2177.231035336]
 [1556.157841585  255.672887656 2140.270484836]
 [1564.08470434   255.843992932 2103.345406784]
 [1571.994696866  255.899977363 2066.456886699]
 [1579.888235689  255.843226009 2029.605867777]
 [1587.765820546  255.676673544 1992.793099662]
 [1595.628049511  255.40391278  1956.019071205]
 [1603.475638979  255.029339902 1919.28391943 ]
 [1611.309451911  254.558362914 1882.5872998  ]
 [1619.130542184  253.997734102 1845.928184932]
 [1626.940236125  253.35616942  1809.304506055]
 [1634.740320789  252.645788483 1772.712359325]
 [1642.533644063  251.886673254 1736.143579279]
 [1650.           250.          1700.         ]]","[[0.3547799910061575], 0.3547799910061575]"
300,"[[1500.           250.          2400.         ]
 [1508.393067716  253.22056572  2362.206895071]
 [1516.495884301  254.556425302 2324.950581657]
 [1524.57144668   255.709655145 2287.737740214]
 [1532.619916054  256.680864296 2250.57036503 ]
 [1540.641507302  257.470992609 2213.450437584]
 [1548.636496578  258.081362141 2176.379903268]
 [1556.60523014   258.513737418 2139.360641953]
 [1564.548134686  258.770396713 2102.39443082 ]
 [1572.465729588  258.854217208 2065.482897272]
 [1580.358641573  258.768778282 2028.627458927]
 [1588.227622703  258.518489414 1991.829246303]
 [1596.073573061  258.108753534 1955.089001328]
 [1603.897570691  257.546185481 1918.40693995 ]
 [1611.700913915  256.838925357 1881.782556448]
 [1619.485187794  255.997138041 1845.214320149]
 [1627.25238634   255.03394338  1808.699135913]
 [1635.00519467   253.967577218 1772.231151923]
 [1642.747887353  252.828222372 1735.798122912]
 [1650.           250.          1700.         ]]","[[0.3551832336490459], 0.3551832336490459]"
400,"[[1500.           250.          2400.         ]
 [1508.559230743  254.296178518 2361.893139216]
 [1516.731428453  256.078298193 2324.500291922]
 [1524.8672802    257.616807608 2287.165285422]
 [1532.966999583  258.912489966 2249.890749029]
 [1541.030872347  259.966573257 2212.679300719]
 [1549.059266552  260.780799336 2175.53351616 ]
 [1557.052644381  261.357504884 2138.455889471]
 [1565.011575956  261.699717071 2101.448783524]
 [1572.936755661  261.811267779 2064.514366904]
 [1580.829021736  261.696932021 2027.654533476]
 [1588.689380241  261.362599209 1990.870798673]
 [1596.519035281  260.815491707 1954.164163325]
 [1604.319428881  260.064456918 1917.534929353]
 [1612.092297341  259.120385971 1880.982437397]
 [1619.839759765  257.996880841 1844.504660607]
 [1627.564480872  256.71149603  1808.097483024]
 [1635.270046862  255.288621241 1771.75310773 ]
 [1642.96216074   253.768579636 1735.455211982]
 [1650.           250.          1700.         ]]","[[0.35558691575696477], 0.35558691575696477]"
500,"[[1500.           250.          2400.         ]
 [1508.725418483  255.372830349 2361.581028121]
 [1516.967007087  257.601693692 2324.052425752]
 [1525.163154445  259.525914293 2286.59597151 ]
 [1533.314125887  261.146435092 2249.214914576]
 [1541.420277649  262.464759674 2211.912497124]
 [1549.482069639  263.483039296 2174.691915724]
 [1557.500080232  264.204174849 2137.556272294]
 [1565.475023585  264.63193723  2100.508511846]
 [1573.407770074  264.771110968 2063.551343362]
 [1581.299370782  264.627668119 2026.687138733]
 [1589.15108746   264.208983269 1989.917802347]
 [1596.964430273  263.524107669 1953.244599809]
 [1604.741207583  262.584135335 1916.667926145]
 [1612.483596311  261.402727518 1880.186976017]
 [1620.194252477  259.99694793  1843.799233651]
 [1627.876514546  258.388816606 1807.499567974]
 [1635.534872806  256.608914727 1771.278240023]
 [1643.176460404  254.707744971 1735.114852192]
 [1650.           250.          1700.         ]]","[[0.35599102935220023], 0.35599102935220023]"
600,"[[1500.           250.          2400.         ]
 [1508.89162995   256.450517188 2361.27057552 ]
 [1517.202618715  259.126605762 2323.607003557]
 [1525.459067417  261.436967153 2286.029825216]
 [1533.661292452  263.382689643 2248.542894218]
 [1541.809720177  264.965539878 2211.150064454]
 [1549.904902286  266.188068157 2173.855143847]
 [1557.947533629  267.053731682 2136.661835518]
 [1565.938473027  267.567039966 2099.573662934]
 [1573.878767833  267.733728205 2062.593874605]
 [1581.769683332  267.560967007 2025.725322185]
 [1589.612738679  267.057621488 1988.970303059]
 [1597.409752158  266.234581371 1952.330353526]
 [1605.162900853  265.10520149  1915.805968935]
 [1612.874804969  263.685932457 1879.396205751]
 [1620.548660337  261.997324515 1843.098066664]
 [1628.18848221   260.065894202 1806.905411354]
 [1635.799667966  257.928451804 1770.806562055]
 [1643.39078255   255.645718339 1734.777049202]
 [1650.           250.          1700.         ]]","[[0.3563955663480434], 0.3563955663480434]"
700,"[[1500.           250.          2400.         ]
 [1509.05786416   257.529234887 2360.961795204]
 [1517.438261856  260.653028182 2323.164045833]
 [1525.755017129  263.349957905 2285.466873393]
 [1534.008496777  265.621243288 2247.87472064 ]
 [1542.199196908  267.468901539 2210.392040524]
 [1550.327760952  268.895871665 2173.023242594]
 [1558.395000523  269.906159322 2135.772624422]
 [1566.401919748  270.505007595 2098.644284125]
 [1574.349743962  270.699100445 2061.642008779]
 [1582.239954024  270.496808637 2024.769131496]
 [1590.074328232  269.908493297 1988.028346703]
 [1597.854995077  268.946892337 1951.421467357]
 [1605.58450277   267.627635758 1914.949096441]
 [1613.265917486  265.969982934 1878.610160111]
 [1620.902977776  263.997995566 1842.401187066]
 [1628.50037874   261.742717774 1806.31503376 ]
 [1636.064427836  259.247226553 1770.338087058]
 [1643.605123404  256.582499741 1734.441808626]
 [1650.           250.          1700.         ]]","[[0.3568005185477125], 0.3568005185477125]"
800,"[[1500.           250.          2400.         ]
 [1509.224120136  258.608979173 2360.654701024]
 [1517.673935035  262.180954547 2322.723573159]
 [1526.051001602  265.264878021 2284.907143003]
 [1534.355736369  267.862085401 2247.210426663]
 [1542.58870483   269.974831977 2209.638463305]
 [1550.75064211   271.606435165 2172.196254204]
 [1558.842476881  272.761441273 2134.88868447 ]
 [1566.865359231  273.445821969 2097.720422942]
 [1574.820693499  273.667208165 2060.695794213]
 [1582.710177515  273.435172487 2023.818614502]
 [1590.535850478  272.761577664 1987.091979327]
 [1598.300153195  271.661019657 1950.517984315]
 [1606.006007435  270.151418133 1914.097347475]
 [1613.656928054  268.254860775 1877.82887268 ]
 [1621.257199253  265.998945816 1841.708622314]
 [1628.812199039  263.419276127 1805.728455793]
 [1636.329147932  260.565232996 1769.872828241]
 [1643.819479214  257.518089198 1734.109136038]
 [1650.           250.          1700.         ]]","[[0.3572058776433417], 0.3572058776433417]"
900,"[[1500.           250.          2400.         ]
 [1509.390396904  259.68974565  2360.349306882]
 [1517.909636784  263.710378265 2322.285606197]
 [1526.347018864  267.181718722 2284.350661117]
 [1534.703008746  270.105205047 2246.550045238]
 [1542.978240946  272.483318152 2208.889370919]
 [1551.173542247  274.319743601 2171.37422108 ]
 [1559.289958684  275.619560596 2134.010061305]
 [1567.328786975  276.389464473 2096.802127091]
 [1575.291611505  276.638031355 2059.755279413]
 [1583.180348483  276.376037543 2022.873819206]
 [1590.997299794  275.616853082 1986.161247127]
 [1598.745220698  274.37694198  1949.619947535]
 [1606.427408976  272.676528217 1913.250760953]
 [1614.047830895  270.540547484 1877.052377107]
 [1621.611319253  268.000159755 1841.020399898]
 [1629.123938037  265.095557912 1805.145698058]
 [1636.5938238    261.882465091 1769.410798789]
 [1644.033846254  258.452486758 1733.779036972]
 [1650.           250.          1700.         ]]","[[0.35761163521502765], 0.35761163521502765]"
