Iteration,Trajectory,Legibility
1,"[[1500.           250.          2400.         ]
 [1499.999999604  249.99999993  2347.368419834]
 [1499.999999406  249.999999895 2294.736840277]
 [1499.999999208  249.99999986  2242.10526072 ]
 [1499.999999011  249.999999826 2189.473681163]
 [1499.999998813  249.999999791 2136.842101606]
 [1499.999998615  249.999999756 2084.210522049]
 [1499.999998417  249.999999721 2031.578942492]
 [1499.999998219  249.999999686 1978.947362935]
 [1499.999998021  249.999999651 1926.315783379]
 [1499.999997823  249.999999616 1873.684203822]
 [1499.999997625  249.999999581 1821.052624265]
 [1499.999997427  249.999999546 1768.421044708]
 [1499.99999723   249.999999511 1715.789465151]
 [1499.999997032  249.999999477 1663.157885594]
 [1499.999996834  249.999999442 1610.526306037]
 [1499.999996636  249.999999407 1557.89472648 ]
 [1499.999996438  249.999999372 1505.263146924]
 [1499.99999624   249.999999337 1452.631567367]
 [1500.           250.          1400.         ]]","[[0.34593113340119547], 0.34593113340119547]"
100,"[[1500.           250.          2400.         ]
 [1499.999960422  249.999993021 2347.36829915 ]
 [1499.999940633  249.999989532 2294.736659251]
 [1499.999920845  249.999986043 2242.105019353]
 [1499.999901056  249.999982553 2189.473379454]
 [1499.999881267  249.999979064 2136.841739556]
 [1499.999861478  249.999975575 2084.210099657]
 [1499.999841689  249.999972086 2031.578459759]
 [1499.9998219    249.999968596 1978.94681986 ]
 [1499.999802111  249.999965107 1926.315179962]
 [1499.999782322  249.999961618 1873.683540063]
 [1499.999762533  249.999958128 1821.051900165]
 [1499.999742744  249.999954639 1768.420260266]
 [1499.999722955  249.99995115  1715.788620368]
 [1499.999703167  249.99994766  1663.15698047 ]
 [1499.999683378  249.999944171 1610.525340572]
 [1499.999663589  249.999940682 1557.893700673]
 [1499.9996438    249.999937192 1505.262060775]
 [1499.999624011  249.999933703 1452.630420877]
 [1500.           250.          1400.         ]]","[[0.34593119730516686], 0.34593119730516686]"
200,"[[1500.           250.          2400.         ]
 [1499.999920845  249.999986043 2347.368177247]
 [1499.999881267  249.999979064 2294.736476396]
 [1499.999841689  249.999972086 2242.104775546]
 [1499.999802112  249.999965107 2189.473074696]
 [1499.999762534  249.999958128 2136.841373846]
 [1499.999722956  249.99995115  2084.209672996]
 [1499.999683378  249.999944171 2031.577972146]
 [1499.9996438    249.999937192 1978.946271296]
 [1499.999604222  249.999930214 1926.314570446]
 [1499.999564644  249.999923235 1873.682869596]
 [1499.999525066  249.999916256 1821.051168747]
 [1499.999485488  249.999909278 1768.419467898]
 [1499.99944591   249.999902299 1715.787767049]
 [1499.999406332  249.99989532  1663.1560662  ]
 [1499.999366754  249.999888342 1610.524365351]
 [1499.999327176  249.999881363 1557.892664503]
 [1499.999287599  249.999874384 1505.260963655]
 [1499.999248021  249.999867406 1452.629262807]
 [1500.           250.          1400.         ]]","[[0.34593126185480627], 0.34593126185480627]"
300,"[[1500.           250.          2400.         ]
 [1499.999881267  249.999979064 2347.368055342]
 [1499.999821901  249.999968596 2294.73629354 ]
 [1499.999762534  249.999958128 2242.104531737]
 [1499.999703167  249.99994766  2189.472769935]
 [1499.999643801  249.999937192 2136.841008133]
 [1499.999584434  249.999926725 2084.209246331]
 [1499.999525067  249.999916257 2031.57748453 ]
 [1499.9994657    249.999905789 1978.945722728]
 [1499.999406333  249.999895321 1926.313960927]
 [1499.999346966  249.999884852 1873.682199126]
 [1499.999287599  249.999874384 1821.050437326]
 [1499.999228232  249.999863916 1768.418675526]
 [1499.999168865  249.999853448 1715.786913727]
 [1499.999109497  249.99984298  1663.155151928]
 [1499.99905013   249.999832512 1610.523390129]
 [1499.998990763  249.999822044 1557.891628331]
 [1499.998931396  249.999811576 1505.259866534]
 [1499.998872029  249.999801108 1452.628104737]
 [1500.           250.          1400.         ]]","[[0.3459313264046207], 0.3459313264046207]"
400,"[[1500.           250.          2400.         ]
 [1499.99984169   249.999972086 2347.367933437]
 [1499.999762534  249.999958128 2294.736110682]
 [1499.999683379  249.999944171 2242.104287927]
 [1499.999604224  249.999930214 2189.472465172]
 [1499.999525068  249.999916257 2136.840642418]
 [1499.999445912  249.999902299 2084.208819664]
 [1499.999366756  249.999888342 2031.57699691 ]
 [1499.9992876    249.999874385 1978.945174157]
 [1499.999208444  249.999860427 1926.313351405]
 [1499.999129288  249.99984647  1873.681528653]
 [1499.999050131  249.999832512 1821.049705902]
 [1499.998970975  249.999818555 1768.417883151]
 [1499.998891818  249.999804598 1715.786060401]
 [1499.998812662  249.99979064  1663.154237652]
 [1499.998733505  249.999776683 1610.522414904]
 [1499.998654349  249.999762725 1557.890592157]
 [1499.998575193  249.999748768 1505.258769411]
 [1499.998496037  249.999734811 1452.626946666]
 [1500.           250.          1400.         ]]","[[0.34593139095460856], 0.34593139095460856]"
500,"[[1500.           250.          2400.         ]
 [1499.999802112  249.999965107 2347.367811531]
 [1499.999703168  249.999947661 2294.735927823]
 [1499.999604224  249.999930214 2242.104044115]
 [1499.99950528   249.999912767 2189.472160407]
 [1499.999406335  249.999895321 2136.8402767  ]
 [1499.99930739   249.999877874 2084.208392994]
 [1499.999208445  249.999860428 2031.576509288]
 [1499.9991095    249.999842981 1978.944625583]
 [1499.999010555  249.999825534 1926.312741879]
 [1499.998911609  249.999808087 1873.680858176]
 [1499.998812663  249.99979064  1821.048974474]
 [1499.998713717  249.999773194 1768.417090773]
 [1499.998614771  249.999755747 1715.785207073]
 [1499.998515825  249.9997383   1663.153323374]
 [1499.99841688   249.999720853 1610.521439677]
 [1499.998317934  249.999703406 1557.889555982]
 [1499.998218989  249.99968596  1505.257672288]
 [1499.998120044  249.999668513 1452.625788595]
 [1500.           250.          1400.         ]]","[[0.3459314555047712], 0.3459314555047712]"
600,"[[1500.           250.          2400.         ]
 [1499.999762535  249.999958129 2347.367689624]
 [1499.999643802  249.999937193 2294.735744962]
 [1499.999525069  249.999916257 2242.103800301]
 [1499.999406336  249.999895321 2189.47185564 ]
 [1499.999287603  249.999874385 2136.83991098 ]
 [1499.999168869  249.999853449 2084.207966321]
 [1499.999050135  249.999832513 2031.576021663]
 [1499.9989314    249.999811577 1978.944077006]
 [1499.998812665  249.999790641 1926.31213235 ]
 [1499.99869393   249.999769705 1873.680187695]
 [1499.998575195  249.999748768 1821.048243042]
 [1499.998456459  249.999727832 1768.416298391]
 [1499.998337724  249.999706896 1715.784353741]
 [1499.998218988  249.99968596  1663.152409094]
 [1499.998100253  249.999665023 1610.520464448]
 [1499.997981518  249.999644087 1557.888519804]
 [1499.997862784  249.999623151 1505.256575163]
 [1499.99774405   249.999602215 1452.624630523]
 [1500.           250.          1400.         ]]","[[0.34593152005510897], 0.34593152005510897]"
700,"[[1500.           250.          2400.         ]
 [1499.999722958  249.99995115  2347.367567716]
 [1499.999584436  249.999926725 2294.7355621  ]
 [1499.999445915  249.9999023   2242.103556485]
 [1499.999307393  249.999877875 2189.471550871]
 [1499.99916887   249.999853449 2136.839545258]
 [1499.999030347  249.999829024 2084.207539645]
 [1499.998891824  249.999804599 2031.575534035]
 [1499.9987533    249.999780173 1978.943528425]
 [1499.998614776  249.999755748 1926.311522817]
 [1499.998476251  249.999731322 1873.679517212]
 [1499.998337726  249.999706896 1821.047511608]
 [1499.998199201  249.999682471 1768.415506006]
 [1499.998060676  249.999658045 1715.783500407]
 [1499.99792215   249.999633619 1663.15149481 ]
 [1499.997783626  249.999609193 1610.519489217]
 [1499.997645101  249.999584768 1557.887483625]
 [1499.997506577  249.999560342 1505.255478037]
 [1499.997368054  249.999535917 1452.623472452]
 [1500.           250.          1400.         ]]","[[0.3459315846056211], 0.3459315846056211]"
800,"[[1500.           250.          2400.         ]
 [1499.999683381  249.999944171 2347.367445807]
 [1499.999525071  249.999916257 2294.735379237]
 [1499.99936676   249.999888343 2242.103312668]
 [1499.999208449  249.999860428 2189.471246099]
 [1499.999050138  249.999832514 2136.839179532]
 [1499.998891826  249.999804599 2084.207112967]
 [1499.998733513  249.999776684 2031.575046403]
 [1499.9985752    249.999748769 1978.942979841]
 [1499.998416886  249.999720854 1926.310913282]
 [1499.998258571  249.999692939 1873.678846724]
 [1499.998100257  249.999665024 1821.04678017 ]
 [1499.997941942  249.999637109 1768.414713618]
 [1499.997783627  249.999609194 1715.782647069]
 [1499.997625312  249.999581278 1663.150580524]
 [1499.997466997  249.999553363 1610.518513983]
 [1499.997308683  249.999525448 1557.886447445]
 [1499.99715037   249.999497533 1505.254380911]
 [1499.996992058  249.999469619 1452.62231438 ]
 [1500.           250.          1400.         ]]","[[0.3459316491563077], 0.3459316491563077]"
900,"[[1500.           250.          2400.         ]
 [1499.999643804  249.999937193 2347.367323897]
 [1499.999465705  249.999905789 2294.735196372]
 [1499.999287606  249.999874386 2242.103068848]
 [1499.999109506  249.999842982 2189.470941326]
 [1499.998931406  249.999811578 2136.838813805]
 [1499.998753304  249.999780174 2084.206686286]
 [1499.998575202  249.99974877  2031.574558769]
 [1499.998397099  249.999717365 1978.942431254]
 [1499.998218996  249.999685961 1926.310303742]
 [1499.998040892  249.999654556 1873.678176234]
 [1499.997862787  249.999623152 1821.046048728]
 [1499.997684682  249.999591747 1768.413921227]
 [1499.997506577  249.999560342 1715.781793729]
 [1499.997328473  249.999528938 1663.149666235]
 [1499.997150368  249.999497533 1610.517538747]
 [1499.996972265  249.999466129 1557.885411262]
 [1499.996794162  249.999434724 1505.253283783]
 [1499.996616061  249.99940332  1452.621156308]
 [1500.           250.          1400.         ]]","[[0.3459317137071696], 0.3459317137071696]"
