Iteration,Trajectory,Legibility
1,"[[1500.           250.          2400.         ]
 [1500.           249.999181506 2347.368693007]
 [1500.           249.998850693 2294.737232105]
 [1500.           249.998572021 2242.10575798 ]
 [1500.           249.998345181 2189.474269679]
 [1500.           249.99816967  2136.842766269]
 [1500.           249.998044743 2084.211246859]
 [1500.           249.997969359 2031.579710635]
 [1500.           249.99794212  1978.948156899]
 [1500.           249.997961181 1926.316585134]
 [1500.           249.998024147 1873.684995081]
 [1500.           249.998127936 1821.05338685 ]
 [1500.           249.998268606 1768.421761073]
 [1500.           249.998441138 1715.790119108]
 [1500.           249.99863918  1663.158463302]
 [1500.           249.998854832 1610.526797295]
 [1500.           249.999078761 1557.895126168]
 [1500.           249.999301535 1505.263455805]
 [1500.           249.999517972 1452.631789913]
 [1500.           250.          1400.         ]]","[[0.37247158882438597], 0.37247158882438597]"
100,"[[1500.           250.          2400.         ]
 [1500.           249.918154065 2347.395619822]
 [1500.           249.885074447 2294.775846963]
 [1500.           249.857208758 2242.154751568]
 [1500.           249.83452624  2189.532238338]
 [1500.           249.816976407 2136.908213912]
 [1500.           249.804484729 2084.282589231]
 [1500.           249.796947273 2031.655282761]
 [1500.           249.794224043 1979.02622487 ]
 [1500.           249.796130594 1926.39536376 ]
 [1500.           249.802427399 1873.762673569]
 [1500.           249.812806274 1821.128165414]
 [1500.           249.82687302  1768.491902512]
 [1500.           249.844125635 1715.854020638]
 [1500.           249.863928942 1663.214754736]
 [1500.           249.885492969 1610.574468799]
 [1500.           249.907884507 1557.933670988]
 [1500.           249.930160447 1505.292949541]
 [1500.           249.95180287  1452.652675188]
 [1500.           250.          1400.         ]]","[[0.37257440011841875], 0.37257440011841875]"
200,"[[1500.           250.          2400.         ]
 [1500.           249.836315096 2347.422825323]
 [1500.           249.770159207 2294.81486163 ]
 [1500.           249.71443098  2242.20425246 ]
 [1500.           249.669068838 2189.590807126]
 [1500.           249.633971759 2136.974338835]
 [1500.           249.60899063  2084.354669425]
 [1500.           249.593917548 2031.731635816]
 [1500.           249.588472484 1979.105098747]
 [1500.           249.592286515 1926.474954666]
 [1500.           249.604880559 1873.841151908]
 [1500.           249.625638225 1821.203712807]
 [1500.           249.65377109  1768.562763911]
 [1500.           249.688275125 1715.91857691 ]
 [1500.           249.727879968 1663.271621844]
 [1500.           249.771005693 1610.622626834]
 [1500.           249.815786012 1557.972608264]
 [1500.           249.860335004 1505.322742517]
 [1500.           249.90361726  1452.673770783]
 [1500.           250.          1400.         ]]","[[0.3726782220910763], 0.3726782220910763]"
300,"[[1500.           250.          2400.         ]
 [1500.           249.754483098 2347.45003755 ]
 [1500.           249.655254289 2294.853886096]
 [1500.           249.571666676 2242.253765822]
 [1500.           249.503627807 2189.649390559]
 [1500.           249.450986069 2137.040480012]
 [1500.           249.413517721 2084.426766879]
 [1500.           249.390910844 2031.808006509]
 [1500.           249.382745341 1979.183990029]
 [1500.           249.38846778  1926.554562166]
 [1500.           249.407359498 1873.919645523]
 [1500.           249.438495868 1821.279273736]
 [1500.           249.480694223 1768.633636808]
 [1500.           249.532448482 1715.983142484]
 [1500.           249.591853083 1663.328496048]
 [1500.           249.656538177 1610.670789884]
 [1500.           249.723704515 1558.011548663]
 [1500.           249.790523671 1505.352536818]
 [1500.           249.855443168 1452.694865733]
 [1500.           250.          1400.         ]]","[[0.37278201608318257], 0.37278201608318257]"
400,"[[1500.           250.          2400.         ]
 [1500.           249.672658075 2347.477256495]
 [1500.           249.5403597   2294.89292035 ]
 [1500.           249.428915857 2242.30329164 ]
 [1500.           249.338203161 2189.707988618]
 [1500.           249.268019354 2137.106637426]
 [1500.           249.218066018 2084.498881571]
 [1500.           249.187927179 2031.884394819]
 [1500.           249.177042632 1979.262898693]
 [1500.           249.184674407 1926.634186239]
 [1500.           249.209864233 1873.998154389]
 [1500.           249.251379221 1821.35484818 ]
 [1500.           249.307642433 1768.704521185]
 [1500.           249.376645715 1716.047717343]
 [1500.           249.455848295 1663.385377335]
 [1500.           249.542090424 1610.71895794 ]
 [1500.           249.631640018 1558.050492181]
 [1500.           249.720726445 1505.382332444]
 [1500.           249.807280587 1452.715960039]
 [1500.           250.          1400.         ]]","[[0.3728857820732713], 0.3728857820732713]"
500,"[[1500.           250.          2400.         ]
 [1500.           249.590840034 2347.504482152]
 [1500.           249.425475447 2294.931964383]
 [1500.           249.286178533 2242.352829899]
 [1500.           249.172794911 2189.766601289]
 [1500.           249.085071627 2137.172811057]
 [1500.           249.022635537 2084.571013479]
 [1500.           248.984966569 2031.960800723]
 [1500.           248.971364376 1979.341824716]
 [1500.           248.980906415 1926.713826859]
 [1500.           249.01239478  1874.076678484]
 [1500.           249.064288298 1821.430436118]
 [1500.           249.134615733 1768.775417023]
 [1500.           249.220866837 1716.112301472]
 [1500.           249.319865612 1663.442265691]
 [1500.           249.427662439 1610.767130992]
 [1500.           249.539592521 1558.089438811]
 [1500.           249.650943325 1505.41212939 ]
 [1500.           249.759129513 1452.737053701]
 [1500.           250.          1400.         ]]","[[0.37298952003993274], 0.37298952003993274]"
600,"[[1500.           250.          2400.         ]
 [1500.           249.50902898  2347.531714513]
 [1500.           249.31060154  2294.971018185]
 [1500.           249.143454714 2242.402380588]
 [1500.           249.007403071 2189.825228555]
 [1500.           248.902142903 2137.239000886]
 [1500.           248.827226295 2084.643162584]
 [1500.           248.782029032 2032.037224199]
 [1500.           248.765710589 1979.420768074]
 [1500.           248.777163821 1926.793484004]
 [1500.           248.814951158 1874.155217785]
 [1500.           248.877223115 1821.506037527]
 [1500.           248.961614137 1768.846324301]
 [1500.           249.065111856 1716.176894852]
 [1500.           249.183905041 1663.499161103]
 [1500.           249.313254225 1610.815309031]
 [1500.           249.447562026 1558.128388547]
 [1500.           249.581174308 1505.441927654]
 [1500.           249.710989942 1452.758146719]
 [1500.           250.          1400.         ]]","[[0.37309322996182964], 0.37309322996182964]"
700,"[[1500.           250.          2400.         ]
 [1500.           249.427224918 2347.558953572]
 [1500.           249.195737986 2295.010081744]
 [1500.           249.000744412 2242.451943693]
 [1500.           248.842027653 2189.8838704  ]
 [1500.           248.719233197 2137.305206895]
 [1500.           248.631838308 2084.715328865]
 [1500.           248.579114586 2032.113665223]
 [1500.           248.560081292 1979.499728744]
 [1500.           248.573446644 1926.873157651]
 [1500.           248.617533383 1874.233772269]
 [1500.           248.690183688 1821.581652387]
 [1500.           248.788637658 1768.917243001]
 [1500.           248.909380784 1716.241497469]
 [1500.           249.04796659  1663.556063559]
 [1500.           249.198865787 1610.863492047]
 [1500.           249.355548533 1558.167341382]
 [1500.           249.511419392 1505.471727234]
 [1500.           249.662861869 1452.779239094]
 [1500.           250.          1400.         ]]","[[0.373196911817679], 0.373196911817679]"
800,"[[1500.           250.          2400.         ]
 [1500.           249.345427853 2347.586199322]
 [1500.           249.080884793 2295.049155051]
 [1500.           248.858047636 2242.501519199]
 [1500.           248.67666867  2189.942526808]
 [1500.           248.536342525 2137.371429065]
 [1500.           248.436471592 2084.787512299]
 [1500.           248.376223248 2032.190123775]
 [1500.           248.3544765   1979.578706702]
 [1500.           248.369754902 1926.952847776]
 [1500.           248.420141473 1874.312341914]
 [1500.           248.503170032 1821.657280677]
 [1500.           248.615686309 1768.988173103]
 [1500.           248.753673632 1716.306109305]
 [1500.           248.912050265 1663.612973044]
 [1500.           249.084497128 1610.91168003 ]
 [1500.           249.263552042 1558.206297311]
 [1500.           249.441678576 1505.501528127]
 [1500.           249.614745289 1452.800330827]
 [1500.           250.          1400.         ]]","[[0.37330056558626673], 0.37330056558626673]"
900,"[[1500.           250.          2400.         ]
 [1500.           249.263637791 2347.613451756]
 [1500.           248.966041969 2295.088238096]
 [1500.           248.715364396 2242.551107095]
 [1500.           248.511326135 2190.001197761]
 [1500.           248.3534709   2137.437667377]
 [1500.           248.241126164 2084.859712868]
 [1500.           248.173355036 2032.266599832]
 [1500.           248.148896234 1979.657701926]
 [1500.           248.166088612 1927.032554355]
 [1500.           248.222775444 1874.390926697]
 [1500.           248.316182163 1821.732922374]
 [1500.           248.442760103 1769.059114588]
 [1500.           248.597990409 1716.370730344]
 [1500.           248.776156073 1663.669889547]
 [1500.           248.970148252 1610.959872972]
 [1500.           249.171572555 1558.245256328]
 [1500.           249.371951858 1505.531330329]
 [1500.           249.566640198 1452.821421918]
 [1500.           250.          1400.         ]]","[[0.37340419124644], 0.37340419124644]"
