Iteration,Trajectory,Legibility
1,"[[1500.           250.          2400.         ]
 [1499.999999988  249.999727124 2347.368510919]
 [1499.999999982  249.999616831 2294.736970928]
 [1499.999999975  249.999523918 2242.105426529]
 [1499.999999969  249.999448283 2189.473877405]
 [1499.999999963  249.999389757 2136.842323244]
 [1499.999999957  249.999348092 2084.21076375 ]
 [1499.999999951  249.999322942 2031.579198651]
 [1499.999999945  249.99931384  1978.947627715]
 [1499.999999939  249.999320172 1926.316050769]
 [1499.999999932  249.999341138 1873.684467728]
 [1499.999999926  249.999375712 1821.052878627]
 [1499.99999992   249.99942258  1768.421283677]
 [1499.999999914  249.999480069 1715.789683331]
 [1499.999999908  249.999546061 1663.158078372]
 [1499.999999902  249.999617922 1610.526470012]
 [1499.999999896  249.999692543 1557.894859946]
 [1499.999999889  249.999766779 1505.263250134]
 [1499.999999883  249.999838902 1452.631641813]
 [1500.           250.          1400.         ]]","[[0.37247089905329955, 0.34593111714323627, 0.34529494264846267], 0.3545656529483328]"
100,"[[1500.           250.          2400.         ]
 [1499.999998772  249.972712828 2347.377408057]
 [1499.999998158  249.961683707 2294.749724878]
 [1499.999997543  249.952392584 2242.1216009  ]
 [1499.999996929  249.944829212 2189.493004365]
 [1499.999996315  249.93897677  2136.863904161]
 [1499.999995701  249.934810418 2084.234270607]
 [1499.999995086  249.932295517 2031.604076527]
 [1499.999994472  249.931385406 1978.973298708]
 [1499.999993858  249.932018607 1926.341919882]
 [1499.999993243  249.934115279 1873.709931419]
 [1499.999992629  249.937572698 1821.077337016]
 [1499.999992014  249.942259467 1768.444157731]
 [1499.9999914    249.948008253 1715.810438808]
 [1499.999990786  249.954607333 1663.176258545]
 [1499.999990171  249.961793379 1610.541738258]
 [1499.999989557  249.969255307 1557.907047328]
 [1499.999988942  249.976678714 1505.272381844]
 [1499.999988328  249.983890915 1452.637865412]
 [1500.           250.          1400.         ]]","[[0.37250543530172314, 0.34592957147333997, 0.34529347589258574], 0.35457616088921623]"
200,"[[1500.           250.          2400.         ]
 [1499.999997544  249.945426447 2347.386395765]
 [1499.999996316  249.923368584 2294.762608677]
 [1499.999995088  249.904786696 2242.137939945]
 [1499.99999386   249.889660282 2189.512326047]
 [1499.999992632  249.877955692 2136.885704751]
 [1499.999991403  249.869623243 2084.258016689]
 [1499.999990175  249.864593653 2031.629207507]
 [1499.999988946  249.862773593 1978.999230783]
 [1499.999987717  249.864040104 1926.368051982]
 [1499.999986488  249.868233504 1873.735653854]
 [1499.999985259  249.875148339 1821.102043801]
 [1499.99998403   249.884521812 1768.467263955]
 [1499.999982801  249.896019256 1715.831404817]
 [1499.999981572  249.90921722  1663.194623001]
 [1499.999980343  249.923589051 1610.557161154]
 [1499.999979114  249.938512594 1557.919358046]
 [1499.999977885  249.953359076 1505.281605846]
 [1499.999976656  249.967783177 1452.644151732]
 [1500.           250.          1400.         ]]","[[0.3725403173037901, 0.34592801011870816, 0.345291994252535], 0.35458677389167775]"
300,"[[1500.           250.          2400.         ]
 [1499.999996318  249.918140856 2347.395384178]
 [1499.999994476  249.885054632 2294.775493501]
 [1499.999992635  249.857182336 2242.154280292]
 [1499.999990793  249.834493209 2189.531649256]
 [1499.999988951  249.816936767 2136.907507031]
 [1499.999987108  249.804438477 2084.28176456 ]
 [1499.999985265  249.796894407 2031.654340309]
 [1499.999983422  249.794164562 1979.025164646]
 [1499.999981579  249.796064494 1926.394185775]
 [1499.999979735  249.802354676 1873.761377831]
 [1499.999977891  249.812726923 1821.126751935]
 [1499.999976048  249.826787036 1768.490371303]
 [1499.999974204  249.844033008 1715.85237171 ]
 [1499.99997236   249.86382966  1663.212988104]
 [1499.999970516  249.885387015 1610.572584478]
 [1499.999968673  249.90777186  1557.931668997]
 [1499.999966829  249.930041086 1505.2908299  ]
 [1499.999964985  249.951676786 1452.650437908]
 [1500.           250.          1400.         ]]","[[0.37257519619213875, 0.3459264486918513, 0.3452905125437242], 0.3545973858092381]"
400,"[[1500.           250.          2400.         ]
 [1499.999995092  249.890856055 2347.404373294]
 [1499.999992638  249.84674185  2294.788379349]
 [1499.999990183  249.809579505 2242.170621942]
 [1499.999987727  249.779327995 2189.550973992]
 [1499.999985271  249.755919996 2136.929311002]
 [1499.999982815  249.73925612  2084.30551422 ]
 [1499.999980358  249.729197782 2031.679474931]
 [1499.9999779    249.725558313 1979.051100295]
 [1499.999975442  249.728091776 1926.420321258]
 [1499.999972984  249.736478796 1873.787103349]
 [1499.999970525  249.750308452 1821.151461416]
 [1499.999968066  249.769055139 1768.513479774]
 [1499.999965608  249.792049509 1715.873339488]
 [1499.999963149  249.818444654 1663.231353853]
 [1499.99996069   249.847187272 1610.588008228]
 [1499.999958232  249.877033107 1557.94398018 ]
 [1499.999955773  249.906724744 1505.300054006]
 [1499.999953315  249.935571741 1452.656723939]
 [1500.           250.          1400.         ]]","[[0.37261007196596346, 0.34592488719281383, 0.34528903076619677], 0.35460799664165804]"
500,"[[1500.           250.          2400.         ]
 [1499.999993867  249.863572045 2347.413363114]
 [1499.9999908    249.808430239 2294.801266221]
 [1499.999987732  249.761978204 2242.186964894]
 [1499.999984664  249.72416464  2189.570300254]
 [1499.999981594  249.694905379 2136.951116662]
 [1499.999978523  249.674076172 2084.329265667]
 [1499.999975452  249.661503778 2031.704611373]
 [1499.99997238   249.656954847 1979.077037729]
 [1499.999969307  249.660121951 1926.44645843 ]
 [1499.999966234  249.670605863 1873.812830407]
 [1499.99996316   249.687892925 1821.176172244]
 [1499.999960087  249.711326122 1768.536589367]
 [1499.999957013  249.740068761 1715.894308149]
 [1499.999953939  249.773062202 1663.249720249]
 [1499.999950865  249.808989822 1610.603432406]
 [1499.999947792  249.846296333 1557.956291595]
 [1499.999944718  249.88341005  1505.309278165]
 [1499.999941645  249.919468043 1452.663009825]
 [1500.           250.          1400.         ]]","[[0.372644944624455, 0.3459233256216407, 0.34528754891999386], 0.3546186063886965]"
600,"[[1500.           250.          2400.         ]
 [1499.999992643  249.836288826 2347.422353637]
 [1499.999988964  249.7701198   2294.814154118]
 [1499.999985283  249.714378432 2242.203309147]
 [1499.999981602  249.669003145 2189.589628041]
 [1499.999977918  249.633892917 2136.972924011]
 [1499.999974234  249.608898635 2084.353018902]
 [1499.999970548  249.593812394 2031.729749633]
 [1499.999966862  249.588354165 1979.102976947]
 [1499.999963174  249.592155021 1926.472597292]
 [1499.999959486  249.604735879 1873.838559005]
 [1499.999955797  249.625480343 1821.200884418]
 [1499.999952108  249.653599984 1768.559700083]
 [1499.999948419  249.688090763 1715.915277692]
 [1499.99994473   249.727682304 1663.268087291]
 [1499.999941041  249.770794666 1610.618857009]
 [1499.999937352  249.815561539 1557.968603242]
 [1499.999933664  249.860097003 1505.318502375]
 [1499.999929975  249.90336569  1452.669295566]
 [1500.           250.          1400.         ]]","[[0.3726798141668112, 0.34592176397837754, 0.3452860670051588], 0.3546292150501158]"
700,"[[1500.           250.          2400.         ]
 [1499.99999142   249.809006398 2347.431344863]
 [1499.999987129  249.731810532 2294.827043038]
 [1499.999982836  249.66678019  2242.2196547  ]
 [1499.999978541  249.61384351  2189.608957352]
 [1499.999974245  249.572882611 2136.994733049]
 [1499.999969947  249.543723509 2084.376773924]
 [1499.999965647  249.526123633 2031.754889712]
 [1499.999961346  249.519756266 1979.12891795 ]
 [1499.999957043  249.524190984 1926.498737842]
 [1499.99995274   249.538868845 1873.864289141]
 [1499.999948436  249.563070707 1821.225597937]
 [1499.999944131  249.595876728 1768.582811919]
 [1499.999939827  249.636115517 1715.936248118]
 [1499.999935522  249.682304961 1663.286454978]
 [1499.999931218  249.732601802 1610.634282038]
 [1499.999926914  249.784828725 1557.98091512 ]
 [1499.99992261   249.836785604 1505.327726637]
 [1499.999918306  249.887264683 1452.675581163]
 [1500.           250.          1400.         ]]","[[0.3727146805922282, 0.3459202022630689, 0.3452845850217346], 0.3546398226256772]"
800,"[[1500.           250.          2400.         ]
 [1499.999990198  249.781724762 2347.440336793]
 [1499.999985295  249.693502436 2294.839932981]
 [1499.99998039   249.619183478 2242.236001554]
 [1499.999975483  249.558685734 2189.628288188]
 [1499.999970573  249.51187446  2137.016543773]
 [1499.999965661  249.478550794 2084.400530731]
 [1499.999960747  249.458437494 2031.780031607]
 [1499.999955832  249.451161153 1979.154860735]
 [1499.999950914  249.456229843 1926.524880079]
 [1499.999945996  249.47300476  1873.890020814]
 [1499.999941076  249.500664017 1821.2503128  ]
 [1499.999936156  249.538156353 1768.605924876]
 [1499.999931236  249.584143021 1715.957219425]
 [1499.999926316  249.636930173 1663.30482331 ]
 [1499.999921396  249.694411232 1610.649707493]
 [1499.999916476  249.754097891 1557.99322723 ]
 [1499.999911557  249.813475852 1505.336950951]
 [1499.999906638  249.871165022 1452.681866616]
 [1500.           250.          1400.         ]]","[[0.37274954389989795, 0.34591864047575865, 0.34528310296976245], 0.3546504291151397]"
900,"[[1500.           250.          2400.         ]
 [1499.999988976  249.754443917 2347.449329424]
 [1499.999983462  249.655195512 2294.852823947]
 [1499.999977945  249.571588298 2242.252349707]
 [1499.999972426  249.50352982  2189.647620547]
 [1499.999966903  249.450868466 2137.038356184]
 [1499.999961378  249.413380492 2084.424289323]
 [1499.99995585   249.390753979 2031.805175318]
 [1499.999950319  249.382568826 1979.180805302]
 [1499.999944787  249.388271598 1926.551024003]
 [1499.999939253  249.407143627 1873.915754025]
 [1499.999933718  249.438260274 1821.275029006]
 [1499.999928182  249.480438859 1768.629038952]
 [1499.999922646  249.532173278 1715.978191613]
 [1499.99991711   249.591557939 1663.323192286]
 [1499.999911574  249.656222956 1610.665133372]
 [1499.999906039  249.723369036 1558.00553957 ]
 [1499.999900504  249.790167747 1505.346175316]
 [1499.99989497   249.855066707 1452.688151924]
 [1500.           250.          1400.         ]]","[[0.3727844040890228, 0.34591707861649307, 0.3452816208492866], 0.35466103451826747]"
