Iteration,Trajectory,Legibility
1,"[[1500.           250.          2400.         ]
 [1492.105235639  249.999999705 2363.157896412]
 [1484.21048749   249.999999559 2326.315791974]
 [1476.315740951  249.999999418 2289.473687509]
 [1468.420995997  249.999999284 2252.631583006]
 [1460.526252602  249.99999916  2215.78947845 ]
 [1452.631510731  249.999999046 2178.947373829]
 [1444.736770347  249.999998947 2142.10526913 ]
 [1436.842031404  249.999998863 2105.263164342]
 [1428.947293852  249.999998797 2068.421059452]
 [1421.052557629  249.999998751 2031.578954452]
 [1413.157822668  249.999998726 1994.736849331]
 [1405.263088888  249.999998723 1957.894744084]
 [1397.368356198  249.999998743 1921.052638708]
 [1389.473624492  249.999998786 1884.210533201]
 [1381.578893646  249.999998851 1847.368427569]
 [1373.684163516  249.999998936 1810.526321823]
 [1365.78943393   249.999999038 1773.684215981]
 [1357.894704672  249.999999151 1736.842110076]
 [1350.           250.          1700.         ]]","[[0.33854858871241433], 0.33854858871241433]"
100,"[[1500.           250.          2400.         ]
 [1492.102511266  249.999970461 2363.158062262]
 [1484.20664374   249.999955919 2326.316039472]
 [1476.31093718   249.999941834 2289.474014085]
 [1468.415389208  249.999928439 2252.631984788]
 [1460.519997019  249.999915965 2215.78995027 ]
 [1452.624757315  249.99990464  2178.947909235]
 [1444.729666253  249.999894686 2142.105860423]
 [1436.834719363  249.999886316 2105.263802628]
 [1428.939911469  249.999879729 2068.421734725]
 [1421.04523659   249.999875101 2031.579655704]
 [1413.150687826  249.999872585 1994.737564712]
 [1405.256257219  249.999872293 1957.895461102]
 [1397.361935588  249.999874292 1921.053344503]
 [1389.467712321  249.999878584 1884.211214902]
 [1381.573575098  249.999885087 1847.369072754]
 [1373.679509495  249.999893613 1810.526919139]
 [1365.785498287  249.999903819 1773.684755996]
 [1357.891519835  249.999915128 1736.842586597]
 [1350.           250.          1700.         ]]","[[0.3385489847949169], 0.3385489847949169]"
200,"[[1500.           250.          2400.         ]
 [1492.099759372  249.999940919 2363.158229804]
 [1484.202761161  249.999911833 2326.316289494]
 [1476.306084881  249.999883663 2289.474343991]
 [1468.40972578   249.999856872 2252.632390667]
 [1460.513678241  249.999831923 2215.790426899]
 [1452.617935676  249.999809271 2178.948450097]
 [1444.722490393  249.999789363 2142.10645774 ]
 [1436.827333454  249.999772623 2105.264447415]
 [1428.932454508  249.999759447 2068.422416873]
 [1421.037841592  249.999750193 2031.580364094]
 [1413.143480906  249.999745161 1994.738287371]
 [1405.249356534  249.999744578 1957.896185412]
 [1397.355450114  249.999748576 1921.054057474]
 [1389.461740422  249.99975716  1884.21190353 ]
 [1381.568202821  249.999770168 1847.369724493]
 [1373.674808457  249.999787221 1810.52752252 ]
 [1365.781522884  249.999807633 1773.685301492]
 [1357.888302826  249.999830252 1736.843067952]
 [1350.           250.          1700.         ]]","[[0.3385493848785116], 0.3385493848785116]"
300,"[[1500.           250.          2400.         ]
 [1492.097007476  249.999911373 2363.158397363]
 [1484.198878579  249.999867743 2326.316539541]
 [1476.301232578  249.999825486 2289.474673929]
 [1468.404062345  249.999785298 2252.632796584]
 [1460.507359458  249.999747872 2215.790903571]
 [1452.61111403   249.999713894 2178.948991007]
 [1444.715314525  249.999684031 2142.107055108]
 [1436.819947536  249.99965892  2105.265092255]
 [1428.924997537  249.999639157 2068.423099075]
 [1421.030446585  249.999625275 2031.581072538]
 [1413.136273976  249.999617727 1994.739010083]
 [1405.242455839  249.999616854 1957.896909772]
 [1397.348964631  249.999622852 1921.054770492]
 [1389.455768515  249.999635729 1884.212592202]
 [1381.562830536  249.999655242 1847.37037627 ]
 [1373.670107414  249.999680823 1810.528125934]
 [1365.777547477  249.999711443 1773.685847014]
 [1357.885085813  249.999745373 1736.843549326]
 [1350.           250.          1700.         ]]","[[0.33854978496236654], 0.33854978496236654]"
400,"[[1500.           250.          2400.         ]
 [1492.094255578  249.999881825 2363.158564938]
 [1484.194995993  249.999823648 2326.316789613]
 [1476.29638027   249.999767303 2289.475003899]
 [1468.398398906  249.999713717 2252.633202539]
 [1460.501040668  249.999663814 2215.791380288]
 [1452.604292376  249.999618509 2178.949531965]
 [1444.708138648  249.99957869  2142.107652527]
 [1436.81256161   249.999545208 2105.265737149]
 [1428.917540558  249.999518856 2068.423781332]
 [1421.023051568  249.999500348 2031.581781036]
 [1413.129067037  249.999490284 1994.739732847]
 [1405.235555135  249.999489121 1957.897634183]
 [1397.342479139  249.999497119 1921.055483556]
 [1389.4497966    249.99951429  1884.213280916]
 [1381.557458244  249.99954031  1847.371028085]
 [1373.665406364  249.999574419 1810.52872938 ]
 [1365.773572066  249.999615248 1773.686392563]
 [1357.881868798  249.99966049  1736.84403072 ]
 [1350.           250.          1700.         ]]","[[0.3385501850464821], 0.3385501850464821]"
500,"[[1500.           250.          2400.         ]
 [1492.091503677  249.999852275 2363.15873253 ]
 [1484.191113404  249.99977955  2326.317039709]
 [1476.291527958  249.999709115 2289.4753339  ]
 [1468.39273546   249.999642129 2252.633608532]
 [1460.494721871  249.999579749 2215.791857047]
 [1452.597470715  249.999523115 2178.950072971]
 [1444.700962764  249.99947334  2142.108249998]
 [1436.805175675  249.999431486 2105.266382096]
 [1428.910083569  249.999398547 2068.424463643]
 [1421.015656541  249.999375411 2031.582489589]
 [1413.121860088  249.999362832 1994.740455665]
 [1405.228654421  249.999361379 1957.898358643]
 [1397.335993637  249.999371379 1921.056196668]
 [1389.443824676  249.999392843 1884.213969672]
 [1381.552085944  249.999425371 1847.371679937]
 [1373.660705308  249.999468009 1810.529332858]
 [1365.769596649  249.999519049 1773.686938138]
 [1357.878651779  249.999575604 1736.844512135]
 [1350.           250.          1700.         ]]","[[0.33855058513085645], 0.33855058513085645]"
600,"[[1500.           250.          2400.         ]
 [1492.088751774  249.999822721 2363.158900138]
 [1484.187230811  249.999735447 2326.317289829]
 [1476.286675642  249.999650921 2289.475663933]
 [1468.387072009  249.999570535 2252.634014563]
 [1460.488403068  249.999495676 2215.792333851]
 [1452.590649046  249.999427712 2178.950614025]
 [1444.693786871  249.99936798  2142.10884752 ]
 [1436.797789731  249.999317755 2105.267027097]
 [1428.902626571  249.999278227 2068.425146008]
 [1421.008261505  249.999250465 2031.583198195]
 [1413.11465313   249.999235371 1994.741178535]
 [1405.221753698  249.999233628 1957.899083155]
 [1397.329508127  249.99924563  1921.056909827]
 [1389.437852744  249.999271389 1884.214658471]
 [1381.546713636  249.999310425 1847.372331827]
 [1373.656004245  249.999361594 1810.529936368]
 [1365.765621229  249.999422844 1773.687483738]
 [1357.875434758  249.999490714 1736.844993569]
 [1350.           250.          1700.         ]]","[[0.3385509852154926], 0.3385509852154926]"
700,"[[1500.           250.          2400.         ]
 [1492.085999868  249.999793164 2363.159067763]
 [1484.183348215  249.99969134  2326.317539974]
 [1476.281823321  249.999592722 2289.475993998]
 [1468.381408553  249.999498934 2252.634420633]
 [1460.482084258  249.999411595 2215.792810697]
 [1452.58382737   249.999332302 2178.951155127]
 [1444.68661097   249.999262612 2142.109445093]
 [1436.790403778  249.999204015 2105.267672151]
 [1428.895169563  249.999157898 2068.425828428]
 [1421.00086646   249.999125509 2031.583906855]
 [1413.107446161  249.9991079   1994.741901457]
 [1405.214852966  249.999105868 1957.899807716]
 [1397.323022608  249.999119872 1921.057623032]
 [1389.431880804  249.999149928 1884.215347313]
 [1381.541341322  249.999195473 1847.372983754]
 [1373.651303177  249.999255173 1810.53053991 ]
 [1365.761645803  249.999326636 1773.688029365]
 [1357.872217735  249.99940582  1736.845475024]
 [1350.           250.          1700.         ]]","[[0.33855138530038725], 0.33855138530038725]"
800,"[[1500.           250.          2400.         ]
 [1492.083247961  249.999763604 2363.159235405]
 [1484.179465616  249.999647228 2326.317790143]
 [1476.276970995  249.999534517 2289.476324094]
 [1468.375745091  249.999427327 2252.63482674 ]
 [1460.475765442  249.999327506 2215.793287588]
 [1452.577005687  249.999236882 2178.951696277]
 [1444.679435062  249.999157235 2142.110042717]
 [1436.783017817  249.999090265 2105.268317258]
 [1428.887712547  249.99903756  2068.426510902]
 [1420.993471404  249.999000543 2031.58461557 ]
 [1413.100239184  249.99898042  1994.742624433]
 [1405.207952223  249.998978099 1957.900532328]
 [1397.316537079  249.998994107 1921.058336284]
 [1389.425908855  249.999028459 1884.216036198]
 [1381.535968999  249.999080514 1847.373635719]
 [1373.646602102  249.999148747 1810.531143485]
 [1365.757670373  249.999230422 1773.688575019]
 [1357.869000708  249.999320923 1736.845956498]
 [1350.           250.          1700.         ]]","[[0.3385517853855431], 0.3385517853855431]"
900,"[[1500.           250.          2400.         ]
 [1492.080496051  249.999734041 2363.159403063]
 [1484.175583013  249.999603112 2326.318040337]
 [1476.272118665  249.999476307 2289.476654222]
 [1468.370081624  249.999355712 2252.635232885]
 [1460.46944662   249.99924341  2215.793764522]
 [1452.570183997  249.999141454 2178.952237475]
 [1444.672259145  249.999051848 2142.110640393]
 [1436.775631847  249.998976506 2105.268962419]
 [1428.880255521  249.998917211 2068.42719343 ]
 [1420.98607634   249.998875568 2031.585324339]
 [1413.093032196  249.99885293  1994.743347461]
 [1405.201051472  249.998850322 1957.90125699 ]
 [1397.310051542  249.998868333 1921.059049584]
 [1389.419936898  249.998906983 1884.216725125]
 [1381.53059667   249.998965548 1847.374287722]
 [1373.641901021  249.999042315 1810.531747091]
 [1365.753694938  249.999134204 1773.689120698]
 [1357.865783678  249.999236023 1736.846437993]
 [1350.           250.          1700.         ]]","[[0.33855218547095894], 0.33855218547095894]"
