Iteration,Trajectory,Legibility
1,"[[1500.           250.          2400.         ]
 [1489.473367647  250.000464633 2363.158719135]
 [1478.946983845  250.000762006 2326.316915387]
 [1468.420646927  250.001086546 2289.475045281]
 [1457.894347925  250.001426676 2252.633114179]
 [1447.368078627  250.001771253 2215.791127281]
 [1436.841831537  250.00210956  2178.949089633]
 [1426.315599834  250.002431292 2142.107006131]
 [1415.789377343  250.002726541 2105.264881527]
 [1405.263158498  250.002985795 2068.422720438]
 [1394.736938315  250.003199928 2031.580527348]
 [1384.210712364  250.00336021  1994.738306619]
 [1373.68447675   250.003458327 1957.896062495]
 [1363.158228097  250.003486422 1921.053799114]
 [1352.631963548  250.003437206 1884.211520514]
 [1342.1056808    250.003304191 1847.369230649]
 [1331.579378218  250.003082305 1810.526933403]
 [1321.053055233  250.002769746 1773.684632584]
 [1310.526714024  250.002375715 1736.842331754]
 [1300.           250.          1700.         ]]","[[0.34311893139684174], 0.34311893139684174]"
100,"[[1500.           250.          2400.         ]
 [1489.44205661   250.046645811 2363.24034739 ]
 [1478.908953243  250.076470316 2326.428399807]
 [1468.380537073  250.109005836 2289.609815961]
 [1457.855911168  250.143092808 2252.785131893]
 [1447.33425407   250.177615663 2215.954867517]
 [1436.814815859  250.211501367 2179.119527239]
 [1426.296914432  250.243718117 2142.279600566]
 [1415.779932038  250.273274284 2105.43556272 ]
 [1405.263312039  250.299217653 2068.587875249]
 [1394.746555958  250.320635165 2031.736986665]
 [1384.229220859  250.336653441 1994.883333118]
 [1373.7109172    250.346440728 1958.027339138]
 [1363.191307451  250.349211568 1921.169418486]
 [1352.670106146  250.344237222 1884.309975182]
 [1342.147083133  250.330869676 1847.449404762]
 [1331.622075236  250.308602724 1810.588095652]
 [1321.095025722  250.277257893 1773.726429036]
 [1310.566152919  250.237758076 1736.864761018]
 [1300.           250.          1700.         ]]","[[0.34316970183248413], 0.34316970183248413]"
200,"[[1500.           250.          2400.         ]
 [1489.410487198  250.09366126  2363.322826117]
 [1478.870623774  250.153486945 2326.541048669]
 [1468.340132529  250.218722933 2289.74599778 ]
 [1457.817219032  250.287046815 2252.938745213]
 [1447.300239877  250.356224476 2216.120330508]
 [1436.787694794  250.424107165 2179.291762229]
 [1426.278219232  250.488628923 2142.454019206]
 [1415.770577417  250.547804466 2105.60805175 ]
 [1405.263655889  250.599727714 2068.754782893]
 [1394.756457602  250.642571287 2031.895109655]
 [1384.248096687  250.674587592 1995.029904396]
 [1373.737794157  250.694112752 1958.16001629 ]
 [1363.224875145  250.699575989 1921.286273033]
 [1352.708769008  250.689520525 1884.409482883]
 [1342.189015824  250.662651672 1847.530437175]
 [1331.665289719  250.61795915  1810.649913063]
 [1321.137477829  250.555089313 1773.768673262]
 [1310.606017669  250.475893737 1736.887430367]
 [1300.           250.          1700.         ]]","[[0.34322116984616674], 0.34322116984616674]"
300,"[[1500.           250.          2400.         ]
 [1489.378976078  250.141047753 2363.405330995]
 [1478.83238016   250.231051962 2326.65373617 ]
 [1468.299839178  250.32915399  2289.882229809]
 [1457.778660638  250.431865287 2253.092419078]
 [1447.266378687  250.535830192 2216.285862848]
 [1436.760742285  250.637821553 2179.464073603]
 [1426.259704082  250.734736883 2142.628519301]
 [1415.761410012  250.823595222 2105.780625215]
 [1405.264189614  250.901534962 2068.921775794]
 [1394.766547179  250.965813134 2032.053316565]
 [1384.267153909  251.013807099 1995.176556155]
 [1373.764841473  251.043020488 1958.292768502]
 [1363.258597862  251.051097341 1921.403195406]
 [1352.747567547  251.035853546 1884.509049584]
 [1342.231061218  250.995349095 1847.611518431]
 [1331.708590782  250.928071781 1810.711768138]
 [1321.179987843  250.833496094 1773.810943294]
 [1310.645909964  250.714408114 1736.910113375]
 [1300.           250.          1700.         ]]","[[0.3432728242614999], 0.3432728242614999]"
400,"[[1500.           250.          2400.         ]
 [1489.347523348  250.188806701 2363.487862097]
 [1478.794222544  250.309167456 2326.766462421]
 [1468.259657198  250.440301721 2290.018512192]
 [1457.740236186  250.577551499 2253.246153656]
 [1447.232670713  250.716436579 2216.451464731]
 [1436.733958545  250.852648705 2179.636461571]
 [1426.241369186  250.982046487 2142.803101073]
 [1415.752430012  251.100651252 2105.953283344]
 [1405.264913377  251.204644196 2069.088854183]
 [1394.776824825  251.290365498 2032.211607622]
 [1384.286392629  251.354316633 1995.323288614]
 [1373.79205922   251.393168372 1958.42559598 ]
 [1363.292475643  251.403779718 1921.520185793]
 [1352.786501776  251.383239941 1884.60867545 ]
 [1342.2732193    251.328965068 1847.692648673]
 [1331.751978385  251.238943127 1810.773660994]
 [1321.222555705  251.112480078 1773.85323922 ]
 [1310.68582973   250.953302345 1736.932810102]
 [1300.           250.          1700.         ]]","[[0.34332466581255133], 0.34332466581255133]"
500,"[[1500.           250.          2400.         ]
 [1489.31612911   250.236939526 2363.570419501]
 [1478.756151068  250.387835521 2326.879227532]
 [1468.219586764  250.552168851 2290.15484507 ]
 [1457.701945874  250.724108747 2253.39994912 ]
 [1447.199116166  250.898047425 2216.617136351]
 [1436.707343786  251.068592818 2179.808926345]
 [1426.223214748  251.230562243 2142.977764747]
 [1415.743637601  251.378977273 2106.126026368]
 [1405.26582734   251.509060238 2069.256018292]
 [1394.78729067   251.616233191 2032.369983053]
 [1384.305812948  251.696120884 1995.470101992]
 [1373.819447467  251.744560859 1958.558498927]
 [1363.326508526  251.757627236 1921.637244381]
 [1352.825571701  251.731683379 1884.708360649]
 [1342.315490052  251.663502727 1847.773828044]
 [1331.795452486  251.550575713 1810.835591746]
 [1321.265181355  251.392043115 1773.895561132]
 [1310.725776889  251.192577571 1736.955520611]
 [1300.           250.          1700.         ]]","[[0.34337669523712494], 0.34337669523712494]"
600,"[[1500.           250.          2400.         ]
 [1489.284793463  250.285447651 2363.653003281]
 [1478.718165875  250.467058263 2326.992031614]
 [1468.179628051  250.664758118 2290.291228588]
 [1457.663789899  250.871540336 2253.553805639]
 [1447.165715252  251.080666533 2216.782877902]
 [1436.680898217  251.285658104 2179.981468137]
 [1426.205240965  251.48028868  2143.152510547]
 [1415.735032962  251.658578027 2106.298854519]
 [1405.266931661  251.814787933 2069.423268355]
 [1394.797944845  251.943421048 2032.528443089]
 [1384.325414965  252.039224562 1995.616996508]
 [1373.847006279  252.097202427 1958.691477551]
 [1363.360696545  252.112644025 1921.754371358]
 [1352.864777328  252.081187547 1884.808105346]
 [1342.357873452  251.998965222 1847.855056686]
 [1331.839013043  251.862972073 1810.897560512]
 [1321.307864729  251.672187065 1773.937909119]
 [1310.765751363  251.43223494  1736.978244967]
 [1300.           250.          1700.         ]]","[[0.34342891327678804], 0.34342891327678804]"
700,"[[1500.           250.          2400.         ]
 [1489.253516504  250.33433251  2363.735613514]
 [1478.680267104  250.546837798 2327.104874781]
 [1468.139781233  250.778072271 2290.427662888]
 [1457.625768457  251.019849591 2253.707723387]
 [1447.132468179  251.264297724 2216.948689579]
 [1436.654622042  251.503848797 2180.15408716 ]
 [1426.187448035  251.731230346 2143.3273387  ]
 [1415.726616271  251.939458277 2106.47176803 ]
 [1405.268226492  252.121832146 2069.590604605]
 [1394.808787474  252.271933926 2032.686987958]
 [1384.345198771  252.383632402 1995.763972384]
 [1373.874735718  252.45109757  1958.824532057]
 [1363.39503973   252.468834237 1921.871566912]
 [1352.904118657  252.431756149 1884.907909709]
 [1342.400369475  252.335355717 1847.936334743]
 [1331.882660007  252.176134753 1810.959567411]
 [1321.350605762  251.952913795 1773.980283273]
 [1310.805753074  251.672275603 1737.000983231]
 [1300.           250.          1700.         ]]","[[0.34348132067689235], 0.34348132067689235]"
800,"[[1500.           250.          2400.         ]
 [1489.222298333  250.383595541 2363.818250275]
 [1478.642454896  250.627176251 2327.217757142]
 [1468.100046481  250.892114073 2290.564148117]
 [1457.58788174   251.16903985  2253.861702535]
 [1447.099375148  251.448944837 2217.114571578]
 [1436.628515465  251.72316915  2180.326783628]
 [1426.169836149  251.983391814 2143.502249432]
 [1415.718387704  252.221622806 2106.644767134]
 [1405.269711984  252.430197766 2069.758027277]
 [1394.819818677  252.601776702 2032.845617892]
 [1384.365164456  252.729349157 1995.911029841]
 [1373.90263584   252.806250807 1958.957662655]
 [1363.429538106  252.826202041 1921.988831234]
 [1352.943595687  252.783392905 1885.007773907]
 [1342.442978094  252.67267739  1848.01766236 ]
 [1331.926393331  252.490066311 1811.02161256 ]
 [1321.393404388  252.234225178 1774.022683683]
 [1310.845781938  251.912700717 1737.023735467]
 [1300.           250.          1700.         ]]","[[0.3435339181866011], 0.3435339181866011]"
900,"[[1500.           250.          2400.         ]
 [1489.191139046  250.433238188 2363.900913643]
 [1478.604729389  250.708075754 2327.330678812]
 [1468.060423964  251.0068863   2290.700684417]
 [1457.550129939  251.319114465 2254.015743257]
 [1447.066436362  251.634611728 2217.280524096]
 [1436.602578685  251.943623434 2180.499557757]
 [1426.152405498  252.236777674 2143.677242971]
 [1415.710347432  252.50507642  2106.817852066]
 [1405.271388282  252.739889703 2069.925536607]
 [1394.831038572  252.932954279 2033.004333122]
 [1384.385312107  253.076379603 1996.0581691  ]
 [1373.9307067    253.162666673 1959.09086955 ]
 [1363.464191697  253.184751627 1922.106164514]
 [1352.983208412  253.136101552 1885.107698108]
 [1342.485699279  253.010933433 1848.09903968 ]
 [1331.970212963  252.804769315 1811.083696077]
 [1321.436260538  252.516123099 1774.065110443]
 [1310.885837876  252.153511445 1737.046501739]
 [1300.           250.          1700.         ]]","[[0.3435867065589083], 0.3435867065589083]"
