Iteration,Trajectory,Legibility
1,"[[1500.           250.          2400.         ]
 [1494.727604623  250.150153058 2368.379844069]
 [1489.460833284  250.21272186  2336.783019351]
 [1484.194681817  250.266951127 2305.188124437]
 [1478.929114866  250.312856996 2273.59524025 ]
 [1473.664098911  250.350471181 2242.004444332]
 [1468.399602205  250.379842965 2210.415809798]
 [1463.135594716  250.40104151  2178.829404075]
 [1457.872048051  250.414158556 2147.245287383]
 [1452.608935391  250.419311597 2115.663510879]
 [1447.346231407  250.416647699 2084.084114388]
 [1442.083912175  250.406348178 2052.507123592]
 [1436.821955065  250.388634529 2020.93254647 ]
 [1431.560338605  250.363776353 1989.360368652]
 [1426.299042264  250.332102796 1957.790547026]
 [1421.038046047  250.294021144 1926.2230001  ]
 [1415.777329532  250.250052768 1894.657591113]
 [1410.516868725  250.200922038 1863.094090173]
 [1405.256621041  250.147873255 1831.532049353]
 [1400.           250.          1800.         ]]","[[0.347428203745777, 0.3366983017232139, 0.33686936761402575], 0.3403319576943389]"
100,"[[1500.           250.          2400.         ]
 [1493.886396549  265.346391763 2364.368460893]
 [1488.29640677   271.761091145 2331.032933974]
 [1482.765426961  277.330653292 2297.886306472]
 [1477.28922015   282.053519899 2264.935838512]
 [1471.863860109  285.929996991 2232.188731332]
 [1466.485716336  288.962476506 2199.652025933]
 [1461.151440342  291.155692733 2167.332474819]
 [1455.857953143  292.517020759 2135.236380841]
 [1450.602433842  293.056826914 2103.369395389]
 [1445.382309083  292.788885915 2071.736265694]
 [1440.195243036  291.730887993 2040.340516844]
 [1435.039127232  289.905075949 2009.184046678]
 [1429.9120688    287.339087365 1978.266597024]
 [1424.812373522  284.067159826 1947.585031535]
 [1419.738513461  280.132075503 1917.132264952]
 [1414.68904444   275.588899018 1886.895427655]
 [1409.662324419  270.514182443 1856.851851837]
 [1404.655105659  265.038525621 1826.956130783]
 [1400.           250.          1800.         ]]","[[0.3546347891475072, 0.3390440959316559, 0.3341514725863965], 0.3426101192218532]"
200,"[[1500.           250.          2400.         ]
 [1493.163434717  281.390234038 2360.492337237]
 [1487.306224132  294.5523102   2325.481922968]
 [1481.561461466  306.000788433 2290.840119357]
 [1475.919558628  315.725824858 2256.579297525]
 [1470.37181858   323.721900381 2222.712260516]
 [1464.910356139  329.988321575 2189.252083904]
 [1459.528030177  334.529801177 2156.211889827]
 [1454.218387364  337.35713232  2123.604538306]
 [1448.975617435  338.487976063 2091.442215872]
 [1443.794519647  337.94779113  2059.735896046]
 [1438.670479707  335.770952062 2028.494637654]
 [1433.599455688  332.002136045 1997.724671784]
 [1428.577969945  326.698131681 1967.428198132]
 [1423.603100052  319.930394394 1937.60174356 ]
 [1418.672449682  311.789126943 1908.233759747]
 [1413.784035182  302.391066238 1879.300599035]
 [1408.935809076  291.898549113 1850.757958598]
 [1404.123053354  280.586351713 1822.514038382]
 [1400.           250.          1800.         ]]","[[0.3625391134593495, 0.34151474130039244, 0.331228495470745], 0.3450941167434956]"
300,"[[1500.           250.          2400.         ]
 [1492.530720343  298.178547361 2356.863211765]
 [1486.447623623  318.443444448 2320.29398277 ]
 [1480.525628546  336.101741326 2284.262278275]
 [1474.749219998  351.128052673 2248.782592899]
 [1469.104652987  363.504336711 2213.870842685]
 [1463.579703989  373.220754841 2179.544257626]
 [1458.16346103   380.276671081 2145.821155887]
 [1452.846154664  384.681811902 2112.720565333]
 [1447.619031222  386.457614535 2080.261650965]
 [1442.474268782  385.638805224 2048.462897577]
 [1437.404934996  382.275274525 2017.340983521]
 [1432.404984224  376.434368573 1986.909258648]
 [1427.469288535  368.203827931 1957.175694458]
 [1422.593691096  357.695872448 1928.140071921]
 [1417.775053265  345.053637302 1899.789903258]
 [1413.011203718  330.463343176 1872.093756435]
 [1408.300395228  314.183893287 1844.987503406]
 [1403.637742482  296.649581426 1818.332536624]
 [1400.           250.          1800.         ]]","[[0.3711297796831376, 0.34409841566289573, 0.3281231837881272], 0.3477837930447201]"
400,"[[1500.           250.          2400.         ]
 [1491.941219035  315.762491304 2353.571728263]
 [1485.650482564  343.510386011 2315.604058303]
 [1479.565693343  367.732759676 2278.330131117]
 [1473.66550124   388.380845289 2241.762527802]
 [1467.931549623  405.416759651 2205.916637991]
 [1462.347881633  418.814825336 2170.810797005]
 [1456.90043784   428.563114528 2136.466248354]
 [1451.57665416   434.665241121 2102.906865149]
 [1446.365166689  437.142435942 2070.158550899]
 [1441.255627337  436.035956179 2038.248225098]
 [1436.238630654  431.409912822 2007.202279573]
 [1431.305747983  423.354669006 1977.044361553]
 [1426.449659294  411.991115894 1947.792281547]
 [1421.664363473  397.476501188 1919.453710042]
 [1416.94542481   380.013463442 1892.019966828]
 [1412.290133994  359.866928217 1865.456082942]
 [1407.697081134  337.40488351  1839.681034318]
 [1403.161926849  313.23828641  1814.509887908]
 [1400.           250.          1800.         ]]","[[0.380468920490568, 0.34680809981007715, 0.3248328842475837], 0.3507033015160763]"
500,"[[1500.           250.          2400.         ]
 [1491.335848881  334.194685833 2350.733626777]
 [1484.826713331  369.831111703 2311.584578412]
 [1478.5657677    400.995650002 2273.270553168]
 [1472.526745244  427.607691183 2235.79687409 ]
 [1466.68800722   449.60154411  2199.173290154]
 [1461.031340578  466.928349679 2163.414651737]
 [1455.540932085  479.558326903 2128.541367817]
 [1450.202544251  487.483382984 2094.579524666]
 [1445.002913369  490.720126806 2061.560520892]
 [1439.929383158  489.313342157 2029.520047899]
 [1434.96977919   483.340014587 1998.49621681 ]
 [1430.112519237  472.914090245 1968.526596121]
 [1425.346942723  458.192340085 1939.643858348]
 [1420.66382595   439.382178205 1911.869577187]
 [1416.056018375  416.753550584 1885.205276097]
 [1411.519038751  390.660886004 1859.618414841]
 [1407.051018755  361.595621865 1835.015572757]
 [1402.64815449   330.364219018 1811.167289192]
 [1400.           250.          1800.         ]]","[[0.3906185151141686, 0.3496579958113519, 0.32135713862591236], 0.35387788318381097]"
600,"[[1500.           250.          2400.         ]
 [1490.640836359  353.524335651 2348.494943252]
 [1483.866320392  397.47837564  2308.453229484]
 [1477.381116979  435.985066837 2269.370235439]
 [1471.155980058  468.922876195 2231.237065637]
 [1465.168431227  496.189715128 2194.050847382]
 [1459.400575975  517.705600412 2157.816360254]
 [1453.837219072  533.415791961 2122.547446617]
 [1448.464338741  543.294443697 2088.26799742 ]
 [1443.26796913   547.34880898  2055.012259768]
 [1438.233526301  545.624056807 2022.82416663 ]
 [1433.345594921  538.208793804 1991.755346392]
 [1428.588171426  525.241483439 1961.861426583]
 [1423.945334876  506.918188453 1933.196180322]
 [1419.402287176  483.502648524 1905.802902221]
 [1414.946658956  455.341277999 1879.701904559]
 [1410.569860932  422.890458311 1854.87134482 ]
 [1406.267744092  386.781248223 1831.212038555]
 [1402.036151567  348.035815855 1808.45362381 ]
 [1400.           250.          1800.         ]]","[[0.40163340496073985, 0.35266273360733386, 0.3176992992135965], 0.3573318125938901]"
700,"[[1500.           250.          2400.         ]
 [1489.764760486  373.789342867 2347.036259446]
 [1482.63299351   426.507897835 2306.479306056]
 [1475.832357908  472.77283595  2266.984079818]
 [1469.333815307  512.412061813 2228.518534851]
 [1463.117868034  545.277986572 2191.057875961]
 [1457.170885682  571.251116826 2154.58770455 ]
 [1451.481893558  590.244299947 2119.107033419]
 [1446.039946361  602.207666276 2084.630834995]
 [1440.832192481  607.134309467 2051.191697766]
 [1435.842707116  605.066755661 2018.840082393]
 [1431.052136804  596.104307776 1987.642600531]
 [1426.438155477  580.411454336 1957.677688439]
 [1421.976684094  558.227802313 1929.027995447]
 [1417.643772379  529.880690574 1901.768671181]
 [1413.417972262  495.803530507 1875.950230539]
 [1409.282889695  456.568654457 1851.572784951]
 [1405.229022365  412.964441097 1828.540801823]
 [1401.249919631  366.249697257 1806.549047351]
 [1400.           250.          1800.         ]]","[[0.4135502655024171, 0.3558359602558135, 0.3138688810045993], 0.36108503558761]"
800,"[[1500.           250.          2400.         ]
 [1488.59553331   395.004778699 2346.57379773 ]
 [1480.959607757  456.941111415 2305.985336032]
 [1473.699537012  511.385079091 2266.537315449]
 [1466.791197764  558.103984889 2228.163251452]
 [1460.223583941  596.895362404 2190.804320201]
 [1453.992969406  627.591694285 2154.414760418]
 [1448.097733012  650.065994681 2118.967382347]
 [1442.534079128  664.238299398 2084.458657451]
 [1437.292857802  670.083103695 2050.912701492]
 [1432.357640888  667.637789717 2018.383317   ]
 [1427.704145166  657.0121138   1986.953149596]
 [1423.301013867  638.398927408 1956.728952213]
 [1419.111878595  612.086603961 1927.831933498]
 [1415.098527947  578.474447724 1900.382104159]
 [1411.22490108   538.094571762 1874.475095987]
 [1407.461444531  491.650422157 1850.147920519]
 [1403.78872956   440.106294301 1827.321550882]
 [1400.194829135  384.978286405 1805.664876275]
 [1400.           250.          1800.         ]]","[[0.42637232521006946, 0.35918812865442135, 0.30988466438789347], 0.36514837275079476]"
900,"[[1500.           250.          2400.         ]
 [1486.997810619  417.147834873 2347.35395326 ]
 [1478.644367687  488.742656311 2307.338878573]
 [1470.717062432  551.772407696 2268.514562598]
 [1463.203220401  605.933644606 2230.766064155]
 [1456.107884155  650.959789911 2193.985166532]
 [1449.444936937  686.627194994 2158.078991983]
 [1443.229118029  712.762277726 2122.979184882]
 [1437.469341072  729.249782716 2088.650860746]
 [1432.163684402  736.042204322 2055.100245506]
 [1427.296343623  733.170409491 2022.379685303]
 [1422.836723177  720.755516786 1990.588531071]
 [1418.740701868  699.022185761 1959.868331867]
 [1414.95394736   668.313787192 1930.390816897]
 [1411.416988046  629.11082337  1902.33722434 ]
 [1408.071579225  582.056489784 1875.867268586]
 [1404.867668556  528.000900231 1851.074050015]
 [1401.76956314   468.102700303 1827.911842902]
 [1398.755243677  404.154258249 1806.03603741 ]
 [1400.           250.          1800.         ]]","[[0.4400513235953546, 0.3627233981341697, 0.30577826960992877], 0.36951766377981765]"
