Iteration,Trajectory,Legibility
1,"[[1500.           250.          2400.         ]
 [1507.896205987  249.995075666 2363.159462902]
 [1515.791541506  249.993084889 2326.318035017]
 [1523.686788356  249.991402515 2289.476531089]
 [1531.581948286  249.990022945 2252.634947731]
 [1539.477023327  249.988939446 2215.793281891]
 [1547.372015823  249.98814398  2178.951530956]
 [1555.266928473  249.987627009 2142.109692888]
 [1563.161764378  249.987377262 2105.26776638 ]
 [1571.056527089  249.98738147  2068.425751051]
 [1578.951220675  249.987624034 2031.583647694]
 [1586.845849787  249.988086655 1994.741458571]
 [1594.740419746  249.988747869 1957.899187783]
 [1602.634936648  249.989582505 1921.056841735]
 [1610.529407475  249.990561023 1884.214429712]
 [1618.423840259  249.991648742 1847.37196459 ]
 [1626.318244263  249.992805027 1810.529463673]
 [1634.212630186  249.993983035 1773.686949387]
 [1642.107010038  249.995134701 1736.844447342]
 [1650.           250.          1700.         ]]","[[0.34341514338353296], 0.34341514338353296]"
100,"[[1500.           250.          2400.         ]
 [1508.041704509  249.508045072 2363.31473981 ]
 [1515.996335179  249.309196423 2326.540382627]
 [1523.942098086  249.141173282 2289.758415925]
 [1531.879167885  249.003411482 2252.968500207]
 [1539.807747172  248.895233761 2216.170329958]
 [1547.728069976  248.815832946 2179.363644271]
 [1555.640405744  248.764252328 2142.548239855]
 [1563.545063928  248.739362661 2105.723986986]
 [1571.442399258  248.739835071 2068.890849107]
 [1579.332817872  248.764109019 2032.048906962]
 [1587.216784473  248.810354185 1995.198388427]
 [1595.094830771  248.876424885 1958.339705511]
 [1602.967565576  248.959805307 1921.473500432]
 [1610.835687061  249.05754375  1884.600703091]
 [1618.699997942  249.166175276 1847.722602201]
 [1626.561424357  249.281640625 1810.840928835]
 [1634.42103659   249.399260935 1773.957925085]
 [1642.280036151  249.514237568 1737.076149761]
 [1650.           250.          1700.         ]]","[[0.343556388190959], 0.343556388190959]"
200,"[[1500.           250.          2400.         ]
 [1508.188779317  249.017053363 2363.471641996]
 [1516.203356412  248.619817175 2326.765053342]
 [1524.200196375  248.284202146 2290.043235044]
 [1532.179647792  248.00907131  2253.305506634]
 [1540.142115039  247.793062335 2216.551256595]
 [1548.088065267  247.63455402  2179.779963556]
 [1556.018036397  247.531627149 2142.99122224 ]
 [1563.932646289  247.482018607 2106.184775269]
 [1571.832603325  247.483067324 2069.360552229]
 [1579.718718683  247.531650297 2032.518717799]
 [1587.591920684  247.624106469 1995.659731224]
 [1595.453271718  247.75614565  1958.784420107]
 [1603.30398848   247.922739064 1921.894072313]
 [1611.145466547  248.117987881 1884.99055064 ]
 [1618.9793108    248.334968614 1848.076434758]
 [1626.807373286  248.565571125 1811.155187875]
 [1634.63179483   248.800448684 1774.231293379]
 [1642.454979961  249.03001983  1737.309864553]
 [1650.           250.          1700.         ]]","[[0.34369853723801136], 0.34369853723801136]"
300,"[[1500.           250.          2400.         ]
 [1508.33596082   248.527019754 2363.628600324]
 [1516.410536714  247.93185464  2326.98980019 ]
 [1524.45850451   247.429076578 2290.328139738]
 [1532.480385999  247.01696721  2253.642596074]
 [1540.476786523  246.693471385 2216.93225121 ]
 [1548.44840546   246.456147058 2180.196323772]
 [1556.396048226  246.302106762 2143.43420781 ]
 [1564.320640056  246.227948938 2106.645520355]
 [1572.223241906  246.22967703  2069.830159835]
 [1580.105068898  246.302603683 2032.988378035]
 [1587.967511892  246.441236714 1996.120869037]
 [1595.812162934  246.639142617 1959.228879592]
 [1603.640845679  246.888782496 1922.314346607]
 [1611.455652335  247.181314957 1885.380068742]
 [1619.258989406  247.506364326 1848.429918829]
 [1627.053634608  247.851777928 1811.469093251]
 [1634.842799569  248.203552106 1774.504315878]
 [1642.630093332  248.547338301 1737.543250132]
 [1650.           250.          1700.         ]]","[[0.3438401649502857], 0.3438401649502857]"
400,"[[1500.           250.          2400.         ]
 [1508.483248569  248.037939165 2363.785613837]
 [1516.61787542   247.245301255 2327.214621772]
 [1524.71702161   246.57578663  2290.613128214]
 [1532.781381421  246.027086995 2253.979766418]
 [1540.811760347  245.59644667  2217.313311471]
 [1548.809089097  245.280596011 2180.612722474]
 [1556.774439613  245.075673593 2143.877194121]
 [1564.709043475  244.977134884 2107.106219918]
 [1572.614313134  244.979644597 2070.299669824]
 [1580.491866571  245.076949171 2033.457885885]
 [1588.343556106  245.261724924 1996.581800464]
 [1596.17150242   245.525396243 1959.67308298 ]
 [1603.978135201  245.857916956 1922.734322749]
 [1611.766242525  246.247507661 1885.769257218]
 [1619.539031969  246.680346826 1848.783054557]
 [1627.300206683  247.140247548 1811.782645335]
 [1635.054049349  247.608560125 1774.776993079]
 [1642.805375021  248.066184539 1737.776307018]
 [1650.           250.          1700.         ]]","[[0.34398127507383564], 0.34398127507383564]"
500,"[[1500.           250.          2400.         ]
 [1508.630642122  247.54980655  2363.942681601]
 [1516.825371867  246.560149509 2327.439516712]
 [1524.975746802  245.724322424 2290.898198714]
 [1533.082632979  245.039418561 2254.317015596]
 [1541.147035239  244.501974052 2217.694435094]
 [1549.170114729  244.10788494  2181.029157266]
 [1557.153208951  243.852310188 2144.320178783]
 [1565.097854799  243.729557807 2107.566871692]
 [1573.005815156  243.732950572 2070.769080157]
 [1580.879109768  243.854666892 2033.927239624]
 [1588.720051347  244.085551244 1997.042524158]
 [1596.531288186  244.414887122 1960.11702934 ]
 [1604.315855089  244.830123929 1923.15400022 ]
 [1612.07723523   245.316548793 1886.15811593 ]
 [1619.819436712  245.856900635 1849.135842118]
 [1627.547087881  246.430966587 1812.095844529]
 [1635.265542726  247.01546173  1775.049325501]
 [1642.980823791  247.586550141 1738.009035747]
 [1650.           250.          1700.         ]]","[[0.34412187132202493], 0.34412187132202493]"
600,"[[1500.           250.          2400.         ]
 [1508.778141038  247.062616894 2364.099802694]
 [1517.033025396  245.87639194  2327.664483663]
 [1525.234679213  244.874674147 2291.183349513]
 [1533.384139597  244.053949888 2254.654341581]
 [1541.482609932  243.410039488 2218.07561984 ]
 [1549.531480913  242.937998016 2181.445625809]
 [1557.532354638  242.631999215 2144.763159467]
 [1565.487072293  242.485199199 2108.027473468]
 [1573.397746126  242.489575638 2071.238388852]
 [1581.266796565  242.635737119 2034.396437585]
 [1589.096995645  242.912695956 1997.503038829]
 [1596.891518255  243.307595982 1960.560717791]
 [1604.654003394  243.805385026 1923.57337855 ]
 [1612.388628571  244.38842127  1886.546644781]
 [1620.100201867  245.036010373 1849.488281728]
 [1627.794276583  245.723921731 1812.408691267]
 [1635.477278264  246.424245974 1775.321313691]
 [1643.15643842   247.108426749 1738.241436881]
 [1650.           250.          1700.         ]]","[[0.3442619573758039], 0.3442619573758039]"
700,"[[1500.           250.          2400.         ]
 [1508.925744877  246.576365221 2364.256976213]
 [1517.240835352  245.19402114  2327.889521301]
 [1525.493817979  244.026832057 2291.468578918]
 [1533.68590021   243.070669036 2254.991742386]
 [1541.818483168  242.320629032 2218.456863519]
 [1549.893186214  241.770919519 2181.862125813]
 [1557.911875083  241.414723463 2145.206133897]
 [1565.876694231  241.244040681 2108.488023097]
 [1573.790104208  241.249500611 2071.707593986]
 [1581.654925049  241.42014026  2034.865478158]
 [1589.474387042  241.743139482 1997.963343242]
 [1597.25219066   242.203503688 1961.004147502]
 [1604.992578181  242.783681985 1923.992457312]
 [1612.700420682  243.463108126 1886.934843717]
 [1620.381325679  244.217660766 1849.840373633]
 [1628.041771183  245.019099749 1812.721186009]
 [1635.689254538  245.834901976 1775.59295822 ]
 [1643.332217693  246.631806046 1738.473511   ]
 [1650.           250.          1700.         ]]","[[0.3444015368839781], 0.3444015368839781]"
800,"[[1500.           250.          2400.         ]
 [1509.073453202  246.091046586 2364.414201274]
 [1517.448801084  244.513029748 2328.114628326]
 [1525.753162239  243.180786476 2291.753885271]
 [1533.987913754  242.089564149 2255.329216064]
 [1542.154653695  241.233728834 2218.838163986]
 [1550.255229207  240.606633839 2182.278655039]
 [1558.291768702  240.200465839 2145.649099852]
 [1566.266718896  240.006064003 2108.948518483]
 [1574.182887579  240.012706444 2072.176693693]
 [1582.043493317  240.207856863 2035.334359788]
 [1589.852223592  240.576862378 1998.423436212]
 [1597.613303446  241.102591237 1961.447317693]
 [1605.331577524  241.764996672 1924.411236126]
 [1613.01260971   242.540592511 1887.322712719]
 [1620.662806401  243.401836639 1850.192118116]
 [1628.289570082  244.316487498 1813.033329248]
 [1635.901470132  245.247418919 1775.864259683]
 [1643.508160405  246.156679758 1738.705258703]
 [1650.           250.          1700.         ]]","[[0.3445406134634715], 0.3445406134634715]"
900,"[[1500.           250.          2400.         ]
 [1509.221265579  245.606656078 2364.571477005]
 [1517.656921942  243.833410457 2328.339803466]
 [1526.012711135  242.336527793 2292.039266944]
 [1534.290179172  241.110623454 2255.666760705]
 [1542.491120269  240.14932514  2219.219519141]
 [1550.617608471  239.445125475 2182.6952113  ]
 [1558.672033922  238.989209372 2146.092055165]
 [1566.657144579  238.771251041 2109.40895759 ]
 [1574.576094423  238.779174222 2072.645686164]
 [1582.432499476  238.998867612 2035.803080977]
 [1590.230503357  239.413845341 1998.88331661 ]
 [1597.974854668  240.004839759 1961.890227631]
 [1605.67099951   240.749311076 1924.829714653]
 [1613.325193809  241.620857689 1887.71025181 ]
 [1620.944642301  242.58852292  1850.543515493]
 [1628.537671694  243.616071917 1813.3451215  ]
 [1636.113923643  244.661786051 1776.135218698]
 [1643.684265363  245.683039654 1738.93668061 ]
 [1650.           250.          1700.         ]]","[[0.3446791906996021], 0.3446791906996021]"
