Iteration,Trajectory,Legibility
1000,"[[1500.           250.          2400.         ]
 [1500.076150187  243.845005107 2354.975096871]
 [1500.104600701  241.319102209 2308.636772777]
 [1500.127203254  239.159778585 2262.194647612]
 [1500.144372326  237.365074917 2215.64185208 ]
 [1500.15650871   235.931861369 2168.971666542]
 [1500.164001869  234.855602086 2122.177647495]
 [1500.167232633  234.130068683 2075.253794044]
 [1500.166576328  233.74698972  2028.194766969]
 [1500.162406417  233.695619078 1980.99617744 ]
 [1500.155098776  233.962200491 1933.654968744]
 [1500.145036732  234.529297233 1886.169923618]
 [1500.132617001  235.374943844 1838.542343546]
 [1500.118256644  236.471558247 1790.776967763]
 [1500.102400967  237.784524634 1742.883233776]
 [1500.085531569  239.270321179 1694.877035466]
 [1500.06817073   240.874071892 1646.783201916]
 [1500.050863797  242.526936673 1598.638783421]
 [1500.034033955  244.150190822 1550.49394108 ]
 [1500.           250.          1500.         ]]","[[0.347175956107534, 0.338684467223656, 0.3382399884523219], 0.3413668039278373]"
2000,"[[1500.           250.          2400.         ]
 [1500.157085717  237.756519564 2357.348836501]
 [1500.216251023  232.73667515  2312.054242404]
 [1500.263536615  228.448099972 2266.550014874]
 [1500.299722899  224.886325091 2220.821988983]
 [1500.325570301  222.044596389 2174.856427252]
 [1500.34182436   219.91341455  2128.6402718  ]
 [1500.349221382  218.479973563 2082.161474313]
 [1500.348494794  217.727471312 2035.409428612]
 [1500.340382426  217.634257405 1988.375539557]
 [1500.325634937  218.172771622 1941.053974798]
 [1500.305025698  219.308209465 1893.442664501]
 [1500.279362435  220.996826245 1845.544642211]
 [1500.249500907  223.18375329  1797.369863453]
 [1500.216360571  225.800143041 1748.937707892]
 [1500.18094078   228.759387121 1700.280480268]
 [1500.144330144  231.952167419 1651.448357437]
 [1500.107672924  235.241208056 1602.515929556]
 [1500.071882379  238.469735582 1553.583694915]
 [1500.           250.          1500.         ]]","[[0.35111859891059843, 0.3385138990475139, 0.3376432639284], 0.3424252539621708]"
3000,"[[1500.           250.          2400.         ]
 [1500.242949103  231.731541669 2359.750310878]
 [1500.335162585  224.248238028 2315.511881263]
 [1500.409276137  217.859046332 2270.956032449]
 [1500.466384791  212.556462647 2226.060913039]
 [1500.507564863  208.329642352 2180.805504397]
 [1500.533882496  205.163725059 2135.169994714]
 [1500.546402707  203.039008097 2089.136266855]
 [1500.546199215  201.929928255 2042.688536682]
 [1500.534365378  201.803798579 1995.814192054]
 [1500.512026624  202.619228793 1948.50490197 ]
 [1500.480354875  204.324131844 1900.758093626]
 [1500.440585487  206.853180515 1852.578937771]
 [1500.394037219  210.12452005  1803.983048835]
 [1500.342135275  214.035456251 1755.000211569]
 [1500.286435488  218.456729624 1705.679611137]
 [1500.228638962  223.225018501 1656.097237992]
 [1500.170543852  228.135033446 1606.365650387]
 [1500.11362086   232.952658034 1556.635787339]
 [1500.           250.          1500.         ]]","[[0.3549426567169136, 0.33832214135646943, 0.3370357313563831], 0.3434335098099221]"
4000,"[[1500.           250.          2400.         ]
 [1500.333864578  225.767040618 2362.177315722]
 [1500.461519713  215.849266011 2319.006425689]
 [1500.56466189   207.38664014  2275.408451131]
 [1500.644646958  200.368123246 2231.353496495]
 [1500.702821098  194.778341689 2186.813030833]
 [1500.740533774  190.59670582  2141.760377282]
 [1500.759150819  187.796326815 2096.171350776]
 [1500.76006806   186.342678063 2050.025092485]
 [1500.744725949  186.191928926 2003.305167448]
 [1500.714625807  187.288853852 1956.001017817]
 [1500.671348371  189.564184048 1908.1099022  ]
 [1500.616575481  192.931216316 1859.639509118]
 [1500.552115685  197.281414704 1810.611521892]
 [1500.479934065  202.478623756 1761.066554226]
 [1500.402183976  208.351367316 1711.071097162]
 [1500.32122706   214.682761467 1660.727371671]
 [1500.239571518  221.199939354 1610.186276022]
 [1500.15931309   227.592167532 1559.649229895]
 [1500.           250.          1500.         ]]","[[0.35865355217363054, 0.3381107045614437, 0.3364184898869198], 0.344394248873998]"
5000,"[[1500.           250.          2400.         ]
 [1500.429939576  219.859995642 2364.627891735]
 [1500.595481657  207.535248881 2322.534977413]
 [1500.729900873  197.024922283 2279.903503692]
 [1500.834757816  188.313963496 2236.695204108]
 [1500.911620479  181.38205849  2192.873833885]
 [1500.962082833  176.202548883 2148.405765735]
 [1500.987782741  172.741098994 2103.260767287]
 [1500.990419774  170.954043782 2057.413020315]
 [1500.971773589  170.786326122 2010.842464461]
 [1500.933723709  172.16890002  1963.536580779]
 [1500.878271689  175.015430578 1915.492778449]
 [1500.80756682   179.218054272 1866.721620711]
 [1500.723936562  184.641862492 1817.251238967]
 [1500.629922322  191.11762337  1767.133463257]
 [1500.528318116  198.432076449 1716.452475069]
 [1500.4221958    206.315217746 1665.337097694]
 [1500.31483072   214.427049344 1613.976889895]
 [1500.209011248  222.380958271 1562.623736667]
 [1500.           250.          1500.         ]]","[[0.3622568363200587, 0.33788096021384717, 0.3357925075101626], 0.3453101013480228]"
6000,"[[1500.           250.          2400.         ]
 [1500.531266038  214.007426162 2367.100291336]
 [1500.737184532  199.301736245 2326.094953772]
 [1500.905169577  186.768012266 2284.43783876 ]
 [1501.036928378  176.386736074 2242.082011047]
 [1501.134200907  168.132268376 2198.983337805]
 [1501.198785546  161.971570563 2155.101179269]
 [1501.232562745  157.862627312 2110.399293802]
 [1501.237517459  155.752486495 2064.847029142]
 [1501.215761313  155.574805069 2018.420898782]
 [1501.169555581  157.246750558 1971.106681681]
 [1501.101336336  160.66505155  1922.90224169 ]
 [1501.013743317  165.700908158 1873.821351091]
 [1500.909654184  172.193350547 1823.898939577]
 [1500.792225232  179.940453924 1773.198406935]
 [1500.664936147  188.68760273  1721.821971857]
 [1500.531620083  198.112114235 1669.925390271]
 [1500.396377376  207.807312628 1617.737155077]
 [1500.262756389  217.311446853 1565.559553585]
 [1500.           250.          1500.         ]]","[[0.36575807158964885, 0.3376341483858602, 0.33515863347545793], 0.34618361781698903]"
7000,"[[1500.           250.          2400.         ]
 [1500.637921559  208.206414293 2369.592949703]
 [1500.886743026  191.144371276 2329.684044366]
 [1501.090616228  176.610153154 2289.008463304]
 [1501.251334999  164.5793458   2247.510331544]
 [1501.370759907  155.020625623 2205.137479107]
 [1501.450852604  147.894289459 2161.842212798]
 [1501.493706228  143.150436579 2117.582335069]
 [1501.501572941  140.726704493 2072.322493317]
 [1501.476889861  140.545427175 2026.035974752]
 [1501.42230484   142.510037789 1978.707107986]
 [1501.340703842  146.500471026 1930.334500828]
 [1501.235241969  152.367222078 1880.935447362]
 [1501.10938038   159.92357343  1830.551998577]
 [1500.966930754  168.93528869  1779.259445861]
 [1500.812105107  179.10682222  1727.178356981]
 [1500.649550175  190.0632514   1674.491712774]
 [1500.484249657  201.331679401 1621.467171423]
 [1500.320578842  212.375955938 1568.457318789]
 [1500.           250.          1500.         ]]","[[0.3691627457236398, 0.3373713865616639, 0.3345176106225115], 0.3470172476359384]"
8000,"[[1500.           250.          2400.         ]
 [1500.749970374  202.454120995 2372.104459784]
 [1501.044251874  183.058914934 2333.300173672]
 [1501.286362734  166.54574385  2293.612693043]
 [1501.478121757  152.884889948 2252.976957434]
 [1501.621457399  142.039011434 2211.332633747]
 [1501.718452611  133.961482611 2168.624953464]
 [1501.771383071  128.594337649 2124.805829932]
 [1501.782750302  125.865704789 2079.835350699]
 [1501.755311312  125.686579294 2033.683776177]
 [1501.692106665  127.946729221 1986.334228754]
 [1501.596489226  132.509450083 1937.78633503 ]
 [1501.472156208  139.204770213 1888.061203144]
 [1501.323187431  147.820539298 1837.208302925]
 [1501.154092189  158.09058774  1785.315109966]
 [1500.969862945  169.678859725 1732.520820869]
 [1500.776013291  182.15862767  1679.035898833]
 [1500.578469004  194.991231544 1625.167360006]
 [1500.382498596  207.566852523 1571.317950438]
 [1500.           250.          1500.         ]]","[[0.3724762104899992, 0.3370936792625099, 0.33387008718189637], 0.3478133256448019]"
9000,"[[1500.           250.          2400.         ]
 [1500.867464218  196.747797118 2374.633550852]
 [1501.20978714   175.041262527 2336.941468984]
 [1501.492506362  156.569361168 2298.248109962]
 [1501.717402511  141.29668581  2258.479005555]
 [1501.886418091  129.179566987 2217.565554879]
 [1502.001714757  120.164223982 2175.445909414]
 [1502.065720525  114.184471283 2132.066171986]
 [1502.081168913  111.158852294 2087.382016246]
 [1502.051132176  110.98702811  2041.360874066]
 [1501.97905107   113.545187061 1993.984897881]
 [1501.868763978  118.680151341 1945.254993872]
 [1501.724538701  126.201726264 1895.196357073]
 [1501.551110605  135.872644186 1843.866149915]
 [1501.353730394  147.395177021 1791.364297735]
 [1501.138220344  160.393172684 1737.848876228]
 [1500.911014975  174.388528304 1683.558056603]
 [1500.679041016  188.777276937 1628.838370943]
 [1500.448525681  202.876649109 1574.14255795 ]
 [1500.           250.          1500.         ]]","[[0.3757036398347956, 0.3368019278513287, 0.3332166277809298], 0.34857406515568473]"
10000,"[[1500.           250.          2400.         ]
 [1500.99044306   191.084790377 2377.17907018 ]
 [1501.383407312  167.087454185 2340.606233013]
 [1501.709121185  146.67577381  2302.912526014]
 [1501.969262666  129.808288183 2264.013872866]
 [1502.165733529  116.434714425 2223.833319839]
 [1502.300731116  106.493908954 2182.301949276]
 [1502.376805693   99.911336142 2139.360142332]
 [1502.396906033   96.595901291 2094.959309027]
 [1502.364416047   96.435955101 2049.064249035]
 [1502.283185539   99.294206646 2001.656373112]
 [1502.157558599  105.001180879 1952.738114267]
 [1501.992403735  113.346708883 1902.33900892 ]
 [1501.793150323  124.068720998 1850.524163711]
 [1501.565835663  136.838300999 1797.406194267]
 [1501.317162275  151.23960764  1743.162278572]
 [1501.054540287  166.743585992 1688.05849251 ]
 [1500.785956232  182.6814148   1632.481010762]
 [1500.518660511  198.298075207 1576.93237276 ]
 [1500.           250.          1500.         ]]","[[0.3788500029498167, 0.3364969401400717, 0.33255772351950547], 0.34930155553646464]"
