Iteration,Trajectory,Legibility
1,"[[1500.           250.          2400.         ]
 [1500.000094291  250.004347925 2373.683238182]
 [1500.000131665  250.006149169 2347.367030381]
 [1500.000162874  250.007704547 2321.050869815]
 [1500.000188174  250.009016397 2294.734757909]
 [1500.000207812  250.010087395 2268.418696003]
 [1500.000222033  250.010920591 2242.102685332]
 [1500.000231075  250.011519454 2215.786727009]
 [1500.000235174  250.011887911 2189.470821993]
 [1500.000234559  250.012030404 2163.154971064]
 [1500.000229459  250.011951953 2136.839174783]
 [1500.000220103  250.011658236 2110.523433452]
 [1500.000206716  250.011155686 2084.20774706 ]
 [1500.00018953   250.010451632 2057.892115213]
 [1500.000168784  250.009554514 2031.576537037]
 [1500.000144731  250.008474274 2005.26101103 ]
 [1500.000117662  250.0072232   1978.945534756]
 [1500.00008795   250.005818326 1952.630104078]
 [1500.000056239  250.004291205 1926.314710104]
 [1500.           250.          1900.         ]]","[[0.35090198487979557, 0.3388495053562794, 0.33889361197521045], 0.3428817007370952]"
100,"[[1500.           250.          2400.         ]
 [1500.009416732  250.435091568 2373.58699539 ]
 [1500.013148253  250.615358754 2347.229381079]
 [1500.016263792  250.771029464 2320.876488182]
 [1500.018788941  250.902334553 2294.528458775]
 [1500.020748693  251.009539051 2268.185426715]
 [1500.022167489  251.092945742 2241.847515735]
 [1500.023069266  251.152899209 2215.514837222]
 [1500.023477519  251.189790469 2189.187487621]
 [1500.023415373  251.204062347 2162.865545402]
 [1500.022905679  251.19621586  2136.549067447]
 [1500.021971137  251.16681804  2110.238084714]
 [1500.020634473  251.116512006 2083.932596874]
 [1500.018918706  251.046030957 2057.632565375]
 [1500.016847592  250.956219799 2031.337903768]
 [1500.014446479  250.84807402  2005.048462334]
 [1500.011744165  250.722824694 1978.763998214]
 [1500.008777936  250.582178636 1952.484097641]
 [1500.005611936  250.429296861 1926.207870712]
 [1500.           250.          1900.         ]]","[[0.35114132557059796, 0.3388360317343439, 0.33891374791819434], 0.3429637017410454]"
200,"[[1500.           250.          2400.         ]
 [1500.01880848   250.870787869 2373.489819864]
 [1500.026259709  251.231610891 2347.090397154]
 [1500.032479937  251.543220982 2320.700412853]
 [1500.037520591  251.806074037 2294.320150477]
 [1500.041431862  252.020694799 2267.949877511]
 [1500.044262797  252.187684054 2241.589841575]
 [1500.046061395  252.307726774 2215.240265957]
 [1500.046874732  252.381601431 2188.9013444  ]
 [1500.046749102  252.410190813 2162.573234983]
 [1500.045730214  252.39449484  2136.256052859]
 [1500.043863432  252.335646279 2109.949861521]
 [1500.041194131  252.234930966 2083.654662   ]
 [1500.03776823   252.093815865 2057.370378917]
 [1500.033633086  251.913992452 2031.096841016]
 [1500.028839189  251.697454621 2004.833750291]
 [1500.023443885  251.446669007 1978.580622038]
 [1500.017521444  251.165056061 1952.336628951]
 [1500.01119978   250.858949407 1926.099989641]
 [1500.           250.          1900.         ]]","[[0.35138368929695785, 0.3388222919791522, 0.3389340198215862], 0.3430466670325654]"
300,"[[1500.           250.          2400.         ]
 [1500.028175334  251.307089683 2373.39268505 ]
 [1500.039334503  251.848757558 2346.95147091 ]
 [1500.048648613  252.316576038 2320.524407732]
 [1500.056195166  252.711220235 2294.111919819]
 [1500.062049756  253.033469276 2267.714408039]
 [1500.066286199  253.284217155 2241.33224404 ]
 [1500.068976681  253.464485028 2214.96576352 ]
 [1500.070191941  253.57543526  2188.615258359]
 [1500.070001492  253.618387728 2162.280967384]
 [1500.068473901  253.594839141 2135.963065405]
 [1500.065677163  253.506486704 2109.661650028]
 [1500.061679227  253.355258568 2083.376725345]
 [1500.056548797  253.143356044 2057.108180877]
 [1500.050356671  252.873318848 2030.85576222 ]
 [1500.043178282  252.548142217 2004.619024525]
 [1500.035099276  252.171532864 1978.397242266]
 [1500.026230602  251.74863173  1952.189174835]
 [1500.016763573  251.288956693 1925.992147774]
 [1500.           250.          1900.         ]]","[[0.3516266627752997, 0.3388084210566197, 0.33895422358349736], 0.34312976913847226]"
400,"[[1500.           250.          2400.         ]
 [1500.037517386  251.743997789 2373.295592054]
 [1500.052372773  252.466799905 2346.812603997]
 [1500.064769998  253.09109612  2320.348474977]
 [1500.074812883  253.617774933 2293.903769428]
 [1500.082602625  254.047864511 2267.479021341]
 [1500.088237971  254.382547259 2241.074726522]
 [1500.091815418  254.623176302 2214.691333572]
 [1500.093429452  254.771294325 2188.329233343]
 [1500.093172847  254.828655417 2161.988746542]
 [1500.091137037  254.797250959 2135.670109025]
 [1500.08741261   254.679341297 2109.373454089]
 [1500.082090017  254.477496498 2083.098790591]
 [1500.075260631  254.194652809 2056.845974695]
 [1500.067018538  253.83419987  2030.614670517]
 [1500.057463911  253.400137216 2004.404287817]
 [1500.046710453  252.897416184 1978.213861289]
 [1500.034905489  252.332905094 1952.041737262]
 [1500.022303361  251.719317771 1925.884346632]
 [1500.           250.          1900.         ]]","[[0.3518702472678796, 0.3387944184877484, 0.3389743588332003], 0.3432130081962761]"
500,"[[1500.           250.          2400.         ]
 [1500.046834728  252.181512964 2373.198541994]
 [1500.065374653  253.085739079 2346.673798073]
 [1500.080844272  253.866782715 2320.172616765]
 [1500.093373961  254.525739915 2293.695701957]
 [1500.103090723  255.063882537 2267.24372049 ]
 [1500.110118394  255.482676584 2240.817292444]
 [1500.114577905  255.783802929 2214.416979809]
 [1500.116587574  255.969180996 2188.043273233]
 [1500.116263478  256.040996208 2161.696576433]
 [1500.113719921  256.001732489 2135.377187694]
 [1500.109070057  255.854212037 2109.085277591]
 [1500.10242676   255.601646439 2082.820861455]
 [1500.093903963  255.24770747  2056.583763843]
 [1500.083618881  254.796636397 2030.37356907 ]
 [1500.071696234  254.253440026 2004.189542974]
 [1500.058277534  253.624318885 1978.030481516]
 [1500.043546185  252.917875602 1951.894318217]
 [1500.027819187  252.150031693 1925.776587748]
 [1500.           250.          1900.         ]]","[[0.35211444403831227, 0.338780283793983, 0.33899442520015377], 0.34329638434414966]"
600,"[[1500.           250.          2400.         ]
 [1500.056127453  252.619635988 2373.101535999]
 [1500.078340285  253.705576227 2346.535054815]
 [1500.096871618  254.643637309 2319.996835292]
 [1500.111878624  255.435116964 2293.487720079]
 [1500.123514305  256.081525382 2267.008508581]
 [1500.131927752  256.584607343 2240.559945256]
 [1500.137264445  256.946367237 2214.142705956]
 [1500.139666618  257.169097641 2187.757381942]
 [1500.139273695  257.255412421 2161.404461065]
 [1500.136222858  257.208285925 2135.084305424]
 [1500.130649789  257.031100902 2108.797124456]
 [1500.122689718  256.727710069 2082.542941686]
 [1500.112479022  256.302521335 2056.32155182 ]
 [1500.100157896  255.760629303 2030.132461067]
 [1500.085875409  255.108051048 2003.974792823]
 [1500.069800639  254.35224088  1977.847105376]
 [1500.052152772  253.503542703 1951.746919697]
 [1500.033311098  252.581097515 1925.66887266 ]
 [1500.           250.          1900.         ]]","[[0.3523592543515658, 0.3387660164972307, 0.3390144223140142], 0.34337989772093686]"
700,"[[1500.           250.          2400.         ]
 [1500.065395655  253.058367638 2373.004575203]
 [1500.091269808  254.326312498 2346.396375912]
 [1500.11285222   255.421661388 2319.821132771]
 [1500.130327094  256.345907863 2293.279826491]
 [1500.143873631  257.100795075 2266.773388739]
 [1500.15366633   257.68834175  2240.30268844 ]
 [1500.159875343  258.110871556 2213.868515773]
 [1500.162666899  258.371046626 2187.47156342 ]
 [1500.162203815  258.471906378 2161.112404484]
 [1500.158646156  258.416913455 2134.791466262]
 [1500.152152098  258.210009863 2108.508998643]
 [1500.142879157  257.855689063 2082.265035066]
 [1500.130986043  257.359095707 2056.059342161]
 [1500.116635781  256.726179461 2029.891349728]
 [1500.100001596  255.963970679 2003.760040216]
 [1500.08127989   255.08118208  1977.663735315]
 [1500.060725334  254.089905842 1951.599543714]
 [1500.03877914   253.012514289 1925.561202916]
 [1500.           250.          1900.         ]]","[[0.35260467947395013, 0.338751616119879, 0.3390343498046441], 0.3434635484661577]"
800,"[[1500.           250.          2400.         ]
 [1500.074639429  253.497708694 2372.907660753]
 [1500.104163363  254.947949038 2346.257763067]
 [1500.128786264  256.200856437 2319.645511436]
 [1500.148719599  257.258114397 2293.072023913]
 [1500.164168962  258.121693646 2266.538364114]
 [1500.175334417  258.793882019 2240.045525508]
 [1500.182410907  259.277318213 2213.594413052]
 [1500.185588736  259.575030315 2187.185821651]
 [1500.185054157  259.690480398 2160.820410772]
 [1500.180990123  259.627617268 2134.498674292]
 [1500.173577275  259.390940892 2108.220904144]
 [1500.162995343  258.985585093 2081.987145413]
 [1500.149425263  258.417431886 2055.797138427]
 [1500.133052738  257.693287737 2029.650238298]
 [1500.114074957  256.821199313 2003.54528803 ]
 [1500.092715409  255.811142391 1977.480373799]
 [1500.069263954  254.676964465 1951.452192294]
 [1500.044223362  253.44428107  1925.453580072]
 [1500.           250.          1900.         ]]","[[0.35285072067310375, 0.3387370821848095, 0.33905420730212416], 0.3435473367200124]"
900,"[[1500.           250.          2400.         ]
 [1500.083858871  253.937659933 2372.810793805]
 [1500.117021093  255.570486994 2346.119217998]
 [1500.144673937  256.981223943 2319.469973537]
 [1500.167056367  258.171738346 2292.864315087]
 [1500.184400561  259.144223122 2266.303437883]
 [1500.196932305  259.901230362 2239.788460002]
 [1500.204871448  260.445709534 2213.32040162 ]
 [1500.208432451  260.781051071 2186.900160653]
 [1500.207825044  260.911136796 2160.528484046]
 [1500.203255075  260.840399546 2134.205933634]
 [1500.194925618  260.573895955 2107.932844989]
 [1500.183038548  260.117399826 2081.709276577]
 [1500.16779692   259.477531165 2055.534944215]
 [1500.149408969  258.661954993 2029.409130049]
 [1500.128095657  257.679737341 2003.330539163]
 [1500.104107321  256.542121719 1977.297023315]
 [1500.077768717  255.264718012 1951.304867476]
 [1500.049643811  253.876396912 1925.346005695]
 [1500.           250.          1900.         ]]","[[0.35309737921798473, 0.33872241421541904, 0.339073994436763], 0.3436312626233889]"
