Iteration,Trajectory,Legibility
1,"[[1500.           250.          2400.         ]
 [1492.105258481  250.000010572 2363.157909723]
 [1484.210520644  250.000016367 2326.315810102]
 [1476.315783513  250.000022296 2289.473709355]
 [1468.421046956  250.000028212 2252.631607562]
 [1460.526310854  250.000033975 2215.7895048  ]
 [1452.631575094  250.000039445 2178.947401145]
 [1444.736839576  250.00004449  2142.105296671]
 [1436.842104204  250.000048982 2105.263191449]
 [1428.947368895  250.000052797 2068.42108555 ]
 [1421.052633572  250.000055816 2031.578979044]
 [1413.157898164  250.000057926 1994.736871996]
 [1405.263162611  250.000059018 1957.894764474]
 [1397.368426858  250.000058989 1921.052656543]
 [1389.473690859  250.000057747 1884.210548265]
 [1381.578954577  250.00005521  1847.368439704]
 [1373.684217985  250.000051321 1810.526330922]
 [1365.789481073  250.000046073 1773.684221983]
 [1357.894743876  250.000039627 1736.842112953]
 [1350.           250.          1700.         ]]","[[0.339271956235691], 0.339271956235691]"
100,"[[1500.           250.          2400.         ]
 [1492.104795445  250.001057299 2363.159393348]
 [1484.209959165  250.001636763 2326.317852268]
 [1476.315193396  250.002229687 2289.476198653]
 [1468.420485103  250.002821375 2252.634440421]
 [1460.525822227  250.003397606 2215.792585307]
 [1452.631193651  250.003944631 2178.950640864]
 [1444.736589161  250.004449162 2142.10861447 ]
 [1436.84199941   250.00489837  2105.266513338]
 [1428.947415885  250.00527989  2068.424344516]
 [1421.052830882  250.005581828 2031.582114894]
 [1413.158237477  250.005792793 1994.739831218]
 [1405.263629509  250.005901941 1957.897500091]
 [1397.369001583  250.005899076 1921.055127988]
 [1389.47434908   250.005774847 1884.212721273]
 [1381.579668239  250.005521164 1847.370286224]
 [1373.684956372  250.005132212 1810.527829081]
 [1365.790212536  250.004607369 1773.685356166]
 [1357.895440252  250.003962779 1736.842874227]
 [1350.           250.          1700.         ]]","[[0.3392727299374474], 0.3392727299374474]"
200,"[[1500.           250.          2400.         ]
 [1492.10432775   250.002114711 2363.160891968]
 [1484.20939204   250.003273692 2326.319915075]
 [1476.314597353  250.004459591 2289.478713112]
 [1468.419917615  250.005643011 2252.637301915]
 [1460.525328711  250.006795513 2215.795696953]
 [1452.630808406  250.007889596 2178.953913332]
 [1444.736336272  250.008898683 2142.111965811]
 [1436.841893614  250.009797118 2105.269868811]
 [1428.947463408  250.010560167 2068.427636429]
 [1421.053030244  250.011164046 2031.585282449]
 [1413.158580273  250.011585969 1994.742820359]
 [1405.264101177  250.01180425  1957.900263366]
 [1397.369582162  250.011798496 1921.057624422]
 [1389.475013992  250.011550006 1884.214916252]
 [1381.580389146  250.011042601 1847.372151413]
 [1373.685702247  250.01026465  1810.529342388]
 [1365.790951408  250.009214911 1773.686501818]
 [1357.896143673  250.007925675 1736.843643198]
 [1350.           250.          1700.         ]]","[[0.33927351150165713], 0.33927351150165713]"
300,"[[1500.           250.          2400.         ]
 [1492.103860072  250.003172235 2363.162390597]
 [1484.208824941  250.004910788 2326.321977896]
 [1476.314001343  250.00668971  2289.481227588]
 [1468.419350167  250.008464908 2252.64016343 ]
 [1460.524835241  250.01019372  2215.798808622]
 [1452.630423212  250.011834894 2178.957185826]
 [1444.736083438  250.013348564 2142.115317178]
 [1436.841787875  250.014696243 2105.273224312]
 [1428.94751099   250.015840832 2068.430928371]
 [1421.053229664  250.016746654 2031.588450032]
 [1413.158923126  250.017379528 1994.745809527]
 [1405.264572899  250.017706926 1957.903026668]
 [1397.37016279   250.01769826  1921.060120879]
 [1389.475678948  250.017325477 1884.217111253]
 [1381.581110089  250.016564311 1847.374016621]
 [1373.68644815   250.015397313 1810.53085571 ]
 [1365.7916903    250.013822627 1773.68764748 ]
 [1357.896847104  250.011888687 1736.844412177]
 [1350.           250.          1700.         ]]","[[0.33927429311339125], 0.33927429311339125]"
400,"[[1500.           250.          2400.         ]
 [1492.103392412  250.004229872 2363.163889235]
 [1484.208257868  250.006548049 2326.32404073 ]
 [1476.313405367  250.008920045 2289.483742081]
 [1468.41878276   250.011287065 2252.643024965]
 [1460.524341818  250.013592227 2215.801920315]
 [1452.63003807   250.015780525 2178.960458346]
 [1444.735830658  250.017798803 2142.118668573]
 [1436.841682195  250.019595745 2105.276579841]
 [1428.94755863   250.021121884 2068.434220341]
 [1421.053429142  250.02232965  2031.591617644]
 [1413.159266035  250.02317347  1994.748798723]
 [1405.265044674  250.023609969 1957.905789995]
 [1397.370743467  250.023598368 1921.062617361]
 [1389.476343947  250.02310126  1884.219306275]
 [1381.581831069  250.022086293 1847.375881848]
 [1373.687194082  250.020530203 1810.532369047]
 [1365.792429211  250.018430516 1773.688793155]
 [1357.897550545  250.015851814 1736.845181163]
 [1350.           250.          1700.         ]]","[[0.33927507477265334], 0.33927507477265334]"
500,"[[1500.           250.          2400.         ]
 [1492.10292477   250.005287621 2363.165387881]
 [1484.20769082   250.008185476 2326.326103577]
 [1476.312809424  250.011150596 2289.486256592]
 [1468.418215394  250.014109484 2252.645886521]
 [1460.523848441  250.016991035 2215.805032032]
 [1452.629652979  250.01972649  2178.963730892]
 [1444.735577934  250.022249402 2142.122019996]
 [1436.841576571  250.024495625 2105.279935399]
 [1428.947606329  250.026403325 2068.437512341]
 [1421.053628678  250.027913037 2031.594785285]
 [1413.159609001  250.028967795 1994.751787947]
 [1405.265516502  250.029513381 1957.908553349]
 [1397.371324193  250.02949882  1921.065113867]
 [1389.477008989  250.028877355 1884.221501319]
 [1381.582552086  250.027608547 1847.377747093]
 [1373.687940042  250.025663318 1810.533882399]
 [1365.793168143  250.023038578 1773.68993884 ]
 [1357.898253998  250.019815058 1736.845950157]
 [1350.           250.          1700.         ]]","[[0.3392758564794458], 0.3392758564794458]"
600,"[[1500.           250.          2400.         ]
 [1492.102457145  250.006345483 2363.166886537]
 [1484.207123799  250.00982307  2326.328166437]
 [1476.312213515  250.013381363 2289.488771119]
 [1468.417648068  250.016932164 2252.648748098]
 [1460.523355111  250.020390143 2215.808143772]
 [1452.62926794   250.023672788 2178.967003463]
 [1444.735325266  250.026700361 2142.125371447]
 [1436.841471005  250.029395883 2105.283290986]
 [1428.947654086  250.031685153 2068.44080437 ]
 [1421.053828273  250.033496813 2031.597952954]
 [1413.159952023  250.034762502 1994.754777199]
 [1405.265988384  250.03541716  1957.911316729]
 [1397.371904968  250.035399616 1921.067610397]
 [1389.477674075  250.034653763 1884.223696383]
 [1381.583273139  250.033131074 1847.379612356]
 [1373.688686031  250.030796659 1810.535395766]
 [1365.793907094  250.027646813 1773.691084537]
 [1357.89895746   250.023778419 1736.846719159]
 [1350.           250.          1700.         ]]","[[0.33927663823377346], 0.33927663823377346]"
700,"[[1500.           250.          2400.         ]
 [1492.101989538  250.007403457 2363.168385202]
 [1484.206556804  250.011460829 2326.33022931 ]
 [1476.31161764   250.015612346 2289.491285664]
 [1468.417080782  250.019755104 2252.651609694]
 [1460.522861827  250.023789552 2215.811255536]
 [1452.628882952  250.02761942  2178.970276061]
 [1444.735072652  250.031151678 2142.128722925]
 [1436.841365497  250.034296518 2105.286646601]
 [1428.947701902  250.036967369 2068.444096428]
 [1421.054027926  250.039080979 2031.601120652]
 [1413.160295102  250.040557593 1994.757766478]
 [1405.266460319  250.041321307 1957.914080135]
 [1397.372485792  250.041300756 1921.070106951]
 [1389.478339204  250.040430482 1884.22589147 ]
 [1381.583994228  250.038653874 1847.381477638]
 [1373.689432049  250.035930227 1810.536909148]
 [1365.794646066  250.032255221 1773.692230246]
 [1357.899660934  250.027741895 1736.847488168]
 [1350.           250.          1700.         ]]","[[0.3392774200356376], 0.3392774200356376]"
800,"[[1500.           250.          2400.         ]
 [1492.101521948  250.008461544 2363.169883875]
 [1484.205989834  250.013098755 2326.332292197]
 [1476.311021798  250.017843544 2289.493800226]
 [1468.416513538  250.022578306 2252.654471312]
 [1460.52236859   250.027189261 2215.814367323]
 [1452.628498015  250.031566385 2178.973548684]
 [1444.734820093  250.035603355 2142.13207443 ]
 [1436.841260046  250.039197531 2105.290002245]
 [1428.947749776  250.042249973 2068.447388515]
 [1421.054227637  250.044665535 2031.604288379]
 [1413.160638238  250.046353066 1994.760755785]
 [1405.266932308  250.047225821 1957.916843567]
 [1397.373066666  250.047202239 1921.072603529]
 [1389.479004376  250.046207514 1884.228086578]
 [1381.584715354  250.044176946 1847.383342938]
 [1373.690178095  250.04106402  1810.538422545]
 [1365.795385057  250.036863803 1773.693375965]
 [1357.900364418  250.031705488 1736.848257185]
 [1350.           250.          1700.         ]]","[[0.33927820188504315], 0.33927820188504315]"
900,"[[1500.           250.          2400.         ]
 [1492.101054376  250.009519743 2363.171382558]
 [1484.205422891  250.014736846 2326.334355097]
 [1476.31042599   250.020074959 2289.496314804]
 [1468.415946333  250.025401769 2252.65733295 ]
 [1460.5218754    250.030589271 2215.817479133]
 [1452.62811313   250.035513684 2178.976821333]
 [1444.734567589  250.040055392 2142.135425963]
 [1436.841154652  250.044098922 2105.293357918]
 [1428.947797709  250.047532965 2068.450680631]
 [1421.054427406  250.05025048  2031.607456134]
 [1413.16098143   250.052148923 1994.76374512 ]
 [1405.26740435   250.053130704 1957.919607026]
 [1397.373647588  250.053104067 1921.075100131]
 [1389.479669592  250.051984858 1884.230281707]
 [1381.585436516  250.04970029  1847.385208256]
 [1373.69092417   250.046198039 1810.539935957]
 [1365.796124068  250.041472558 1773.694521697]
 [1357.901067912  250.035669196 1736.84902621 ]
 [1350.           250.          1700.         ]]","[[0.3392789837819927], 0.3392789837819927]"
