Iteration,Trajectory,Legibility
1,"[[1500.           250.          2400.         ]
 [1507.894899528  250.000871681 2363.158704201]
 [1515.78965963   250.001302674 2326.316909729]
 [1523.684389844  250.001720679 2289.475057715]
 [1531.579096211  250.002118671 2252.633151861]
 [1539.473784325  250.002489848 2215.791195783]
 [1547.368459354  250.002827633 2178.949193014]
 [1555.263126053  250.00312567  2142.107147003]
 [1563.15778878   250.003377822 2105.265061122]
 [1571.052451514  250.00357818  2068.422938664]
 [1578.947117863  250.003721068 2031.580782851]
 [1586.841791076  250.003801059 1994.738596834]
 [1594.736474048  250.003813013 1957.896383697]
 [1602.63116932   250.003752132 1921.054146464]
 [1610.525879064  250.003614087 1884.211888108]
 [1618.420605038  250.003395273 1847.369611564]
 [1626.315348462  250.003093424 1810.527319777]
 [1634.210109638  250.002709395 1773.685015802]
 [1642.104886429  250.002254128 1736.842703291]
 [1650.           250.          1700.         ]]","[[0.3416161063121563], 0.3416161063121563]"
100,"[[1500.           250.          2400.         ]
 [1507.910982183  250.087351404 2363.238854701]
 [1515.808034026  250.130537868 2326.427834862]
 [1523.702098022  250.172419242 2289.611060279]
 [1531.593778458  250.212291157 2252.788901063]
 [1539.483635018  250.24947208  2215.961718695]
 [1547.372184543  250.28330298  2179.129866274]
 [1555.259902696  250.313147138 2142.293688766]
 [1563.147225511  250.338390193 2105.453523254]
 [1571.034550806  250.358440492 2068.609699199]
 [1578.922239423  250.372729985 2031.762538727]
 [1586.810616221  250.380715958 1994.912356945]
 [1594.699970677  250.381884318 1958.059462356]
 [1602.590556794  250.375755758 1921.204157411]
 [1610.482591653  250.361897893 1884.346739416]
 [1618.376250912  250.339951044 1847.487502224]
 [1626.271656355  250.309689992 1810.626740099]
 [1634.168837877  250.271202008 1773.764758965]
 [1642.067581463  250.225583927 1736.901923898]
 [1650.           250.          1700.         ]]","[[0.34167153091532176], 0.34167153091532176]"
200,"[[1500.           250.          2400.         ]
 [1507.927180572  250.175073956 2363.319841959]
 [1515.826525261  250.261623403 2326.539920394]
 [1523.719896123  250.345549764 2289.748488221]
 [1531.608502212  250.425440878 2252.946285393]
 [1539.493463303  250.499930686 2216.134034657]
 [1547.375813416  250.567698555 2179.312442059]
 [1555.256504144  250.627468913 2142.482197431]
 [1563.136407744  250.678011327 2105.643974891]
 [1571.016319967  250.718141234 2068.798433365]
 [1578.896962538  250.746721718 2031.946217148]
 [1586.778985135  250.762667017 1995.087956545]
 [1594.662966595  250.764949089 1958.224268677]
 [1602.549414738  250.75260998  1921.355758598]
 [1610.438763461  250.724786132 1884.483021086]
 [1618.331363747  250.68076     1847.606644031]
 [1626.227458755  250.620083699 1810.727216157]
 [1634.127107765  250.54293536  1773.845349523]
 [1642.029882041  250.451514312 1736.96177452 ]
 [1650.           250.          1700.         ]]","[[0.34172768089623945], 0.34172768089623945]"
300,"[[1500.           250.          2400.         ]
 [1507.943331996  250.263168902 2363.400856539]
 [1515.844947373  250.393258447 2326.652046112]
 [1523.737604818  250.519393957 2289.885968092]
 [1531.623118628  250.63945205  2253.103732001]
 [1539.503169077  250.751379132 2216.306421646]
 [1547.379307702  250.853190394 2179.495095859]
 [1555.252962287  250.94296926  2142.670789239]
 [1563.125441506  251.018867513 2105.834512893]
 [1570.997939157  251.079106413 2068.987255215]
 [1578.87153788   251.121979369 2032.129982715]
 [1586.747212134  251.145857229 1995.263640984]
 [1594.625830003  251.149198152 1958.38915588 ]
 [1602.508152929  251.130566204 1921.507435205]
 [1610.394831367  251.088667864 1884.619371382]
 [1618.286391286  251.022429552 1847.725846521]
 [1626.183196815  250.93118328  1810.827744003]
 [1634.085336107  250.815201643 1773.925982228]
 [1641.992165004  250.677792149 1737.021657148]
 [1650.           250.          1700.         ]]","[[0.3417839978344494], 0.3417839978344494]"
400,"[[1500.           250.          2400.         ]
 [1507.959436442  250.351637494 2363.48189847 ]
 [1515.863300349  250.525444846 2326.76421206 ]
 [1523.755224096  250.693954224 2290.023499947]
 [1531.637627705  250.854327571 2253.261240956]
 [1539.512752355  251.003820749 2216.478879736]
 [1547.382667434  251.13978218  2179.677827754]
 [1555.249277183  251.259652129 2142.859464274]
 [1563.114326877  251.360962879 2106.025137347]
 [1570.979408475  251.441340236 2069.176164835]
 [1578.845965568  251.498507127 2032.313835514]
 [1586.715297356  251.530290664 1995.439410341]
 [1594.588561049  251.534635364 1958.554124037]
 [1602.466771523  251.509627977 1921.659187298]
 [1610.350795525  251.453546247 1884.755790361]
 [1618.241333682  251.364962395 1847.845109742]
 [1626.138870678  251.242990903 1810.928323674]
 [1634.043523035  251.088002454 1774.006657108]
 [1641.954430463  250.904418437 1737.0815718  ]
 [1650.           250.          1700.         ]]","[[0.3418404823268181], 0.3418404823268181]"
500,"[[1500.           250.          2400.         ]
 [1507.9754939    250.440480988 2363.562967784]
 [1515.881584177  250.658184458 2326.876418281]
 [1523.772753952  250.869232975 2290.161083842]
 [1531.652029447  251.070070354 2253.418812322]
 [1539.522213154  251.25725888  2216.651409001]
 [1547.385892649  251.427477611 2179.860637824]
 [1555.245448889  251.577521487 2143.048222622]
 [1563.103063938  251.704301567 2106.21584834 ]
 [1570.960728024  251.804846929 2069.365162312]
 [1578.820245727  251.876309195 2032.497775626]
 [1586.68324094   251.915971409 1995.615264695]
 [1594.551159885  251.921264595 1958.719173221]
 [1602.425270677  251.889798865 1921.811014944]
 [1610.306656096  251.819424454 1884.892278081]
 [1618.19619109   251.708361234 1847.964433742]
 [1626.094480491  251.555508746 1811.028955209]
 [1634.001668679  251.361339395 1774.087374192]
 [1641.916678535  251.131394177 1737.141518494]
 [1650.           250.          1700.         ]]","[[0.3418971349729321], 0.3418971349729321]"
600,"[[1500.           250.          2400.         ]
 [1507.991504359  250.529700646 2363.644064508]
 [1515.899798846  250.791479144 2326.988664819]
 [1523.790194379  251.045232631 2290.298719833]
 [1531.66632386   251.286683321 2253.576446167]
 [1539.531551498  251.511696882 2216.824009518]
 [1547.388983389  251.7162804   2180.043526152]
 [1555.241477469  251.896581319 2143.237064367]
 [1563.091652775  252.04888774  2106.406645959]
 [1570.941897915  252.169630732 2069.554247733]
 [1578.794378485  252.255389797 2032.681803137]
 [1586.651043032  252.302903567 1995.791204128]
 [1594.513626667  252.309089733 1958.884303507]
 [1602.383650556  252.271082445 1921.962918208]
 [1610.262413244  252.18630567  1885.0288346  ]
 [1618.15096367   252.052628786 1848.08381857 ]
 [1626.050026402  251.868738993 1811.129638647]
 [1633.959773173  251.635214074 1774.168133507]
 [1641.878909334  251.358720377 1737.201497249]
 [1650.           250.          1700.         ]]","[[0.3419539563751099], 0.3419539563751099]"
700,"[[1500.           250.          2400.         ]
 [1508.007467811  250.619297736 2363.725188674]
 [1515.917944347  250.925330777 2327.100951717]
 [1523.807545375  251.221955624 2290.436407976]
 [1531.680510951  251.504169407 2253.734142556]
 [1539.540767409  251.767138126 2216.996681359]
 [1547.391939699  252.006194277 2180.226492818]
 [1555.23736299   252.216835625 2143.425989596]
 [1563.08009348   252.394725576 2106.59753029 ]
 [1570.922918259  252.535695904 2069.743421183]
 [1578.768363975  252.635753172 2032.86591813 ]
 [1586.618703781  252.691091259 1995.967228717]
 [1594.475961558  252.69811468  1959.049514968]
 [1602.341911327  252.653482311 1922.114897156]
 [1610.218067137  252.554193093 1885.165459975]
 [1618.105651582  252.397767777 1848.203264273]
 [1626.005508562  252.182683839 1811.230374025]
 [1633.917836655  251.909628106 1774.248935082]
 [1641.841122978  251.586398046 1737.261508083]
 [1650.           250.          1700.         ]]","[[0.3420109471384186], 0.3420109471384186]"
800,"[[1500.           250.          2400.         ]
 [1508.023384247  250.70927353  2363.80634031 ]
 [1515.936020674  251.059741234 2327.213279018]
 [1523.824806939  251.399404395 2290.574148326]
 [1531.694590732  251.722531559 2253.891901556]
 [1539.549860917  252.023585997 2217.169424602]
 [1547.394761627  252.297222985 2180.409537904]
 [1555.233105525  252.538288421 2143.614998393]
 [1563.068386146  252.74181927  2106.788501421]
 [1570.903789175  252.903046723 2069.93268275 ]
 [1578.742202336  253.017403577 2033.05012069 ]
 [1586.586223342  253.080538621 1996.143338542]
 [1594.438164722  253.088343357 1959.214807676]
 [1602.300053161  253.037002072 1922.266951855]
 [1610.173617946  252.923089934 1885.302154262]
 [1618.060254993  252.743780948 1848.3227709  ]
 [1625.960927126  252.497345487 1811.331161382]
 [1633.875859262  252.184583113 1774.329778946]
 [1641.803319586  251.8144282   1737.321551014]
 [1650.           250.          1700.         ]]","[[0.34206810787068787], 0.34206810787068787]"
900,"[[1500.           250.          2400.         ]
 [1508.039253661  250.799629306 2363.887519447]
 [1515.954027821  251.194712402 2327.325646767]
 [1523.841979072  251.577581395 2290.71194094 ]
 [1531.708563217  251.941772737 2254.049723235]
 [1539.558832053  252.281043893 2217.34223932 ]
 [1547.397449226  252.589370285 2180.592661491]
 [1555.228705148  252.860943741 2143.804090844]
 [1563.056530875  253.090173036 2106.979559439]
 [1570.884510785  253.271687481 2070.122032521]
 [1578.715893711  253.400345287 2033.2344109  ]
 [1586.553601874  253.471249808 1996.319533685]
 [1594.400236331  253.479779697 1959.380181707]
 [1602.258076235  253.421645349 1922.41908237 ]
 [1610.129065847  253.292999417 1885.438917521]
 [1618.014774073  253.090671047 1848.442338499]
 [1625.916282251  252.812726149 1811.432000756]
 [1633.833841135  252.460080722 1774.410665125]
 [1641.765499278  252.042811857 1737.38162606 ]
 [1650.           250.          1700.         ]]","[[0.34212543918252375], 0.34212543918252375]"
