Iteration,Trajectory,Legibility
1000,"[[1500.           250.          2400.         ]
 [1492.091654103  250.004773356 2363.158264773]
 [1484.191704702  250.007485023 2326.316303692]
 [1476.292726073  250.010297473 2289.474323502]
 [1468.394654753  250.013124445 2252.632328854]
 [1460.497430567  250.015880107 2215.790323298]
 [1452.60099639   250.018478986 2178.948309331]
 [1444.705297888  250.020835925 2142.106288456]
 [1436.810283243  250.022866049 2105.264261247]
 [1428.915902844  250.024484763 2068.422227445]
 [1421.022108938  250.025607809 2031.580186059]
 [1413.128855228  250.026151399 1994.738135499]
 [1405.236096409  250.026032528 1957.896073748]
 [1397.343787579  250.025169601 1921.053998565]
 [1389.451883499  250.023483742 1884.211907752]
 [1381.560337515  250.020901691 1847.369799504]
 [1373.669099803  250.017362987 1810.527672889]
 [1365.778113607  250.012841263 1773.685528593]
 [1357.887303259  250.00743064  1736.843370477]
 [1350.           250.          1700.         ]]","[[0.3385501553277649, 0.339276777537085, 0.33875273991268046], 0.3388598909258434]"
2000,"[[1500.           250.          2400.         ]
 [1492.078045718  250.009551319 2363.158634714]
 [1484.172884076  250.014976807 2326.316817776]
 [1476.269663952  250.020603653 2289.47496263 ]
 [1468.368258417  250.026259293 2252.633078578]
 [1460.468547114  250.031772024 2215.791172723]
 [1452.57041579   250.036970881 2178.949250056]
 [1444.673755775  250.041685533 2142.107313579]
 [1436.778463429  250.045746222 2105.265364442]
 [1428.884439526  250.048983764 2068.423402123]
 [1420.991588557  250.051229646 2031.581424637]
 [1413.099817932  250.052316309 1994.739428806]
 [1405.209037034  250.052077765 1957.897410592]
 [1397.319156065  250.050350846 1921.05536551 ]
 [1389.430084544  250.046977828 1884.213289168]
 [1381.541729171  250.041812231 1847.371177953]
 [1373.6539903    250.034733163 1810.529030002]
 [1365.766754429  250.025687932 1773.686846684]
 [1357.879870235  250.014864827 1736.844635729]
 [1350.           250.          1700.         ]]","[[0.33855172584600673, 0.339281608212763, 0.3387513041399351], 0.3388615460662349]"
3000,"[[1500.           250.          2400.         ]
 [1492.064438003  250.014333891 2363.159004559]
 [1484.154064438  250.022475352 2326.317331725]
 [1476.246603112  250.03091854  2289.475601594]
 [1468.341863623  250.03940454  2252.633828122]
 [1460.439665432  250.04767575  2215.79202196 ]
 [1452.539837149  250.055475682 2178.950190595]
 [1444.642215767  250.062548821 2142.108338526]
 [1436.746645821  250.068640519 2105.266467479]
 [1428.852978467  250.073497    2068.424576664]
 [1420.96107044   250.076865508 2031.582663103]
 [1413.07078285   250.078494729 1994.740722026]
 [1405.181979773  250.078135707 1957.898747372]
 [1397.294526512  250.075543731 1921.056732416]
 [1389.408287347  250.070482259 1884.214670563]
 [1381.523122335  250.062731617 1847.3725564  ]
 [1373.638882016  250.052110527 1810.530387126]
 [1365.75539615   250.038540006 1773.688164802]
 [1357.872437772  250.02230256  1736.845901018]
 [1350.           250.          1700.         ]]","[[0.3385532962662561, 0.3392864404474317, 0.3387498663417545], 0.3388632010184807]"
4000,"[[1500.           250.          2400.         ]
 [1492.05083096   250.019121069 2363.159374309]
 [1484.135245787  250.029980657 2326.317845539]
 [1476.223543552  250.041242132 2289.476240394]
 [1468.315470372  250.052560187 2252.634577484]
 [1460.41078552   250.063591282 2215.792871008]
 [1452.509260469  250.073993389 2178.951130947]
 [1444.610677866  250.083425787 2142.109363299]
 [1436.71483042   250.091548936 2105.267570358]
 [1428.821519669  250.098024468 2068.425751069]
 [1420.930554585  250.102515394 2031.583901456]
 [1413.041749982  250.104686655 1994.742015158]
 [1405.154924625  250.104206352 1957.90008409 ]
 [1397.269898919  250.100748254 1921.058099281]
 [1389.386491908  250.09399703  1884.216051939]
 [1381.504517009  250.083659848 1847.373934843]
 [1373.623774954  250.069495076 1810.531744263]
 [1365.74403877   250.051397484 1773.689482944]
 [1357.86500587   250.029743837 1736.847166344]
 [1350.           250.          1700.         ]]","[[0.3385548665884589, 0.3392912742407293, 0.33874842651831594], 0.33886485578250136]"
5000,"[[1500.           250.          2400.         ]
 [1492.037224587  250.023912854 2363.159743963]
 [1484.116428126  250.03749272  2326.318359219]
 [1476.200485273  250.051574428 2289.476879031]
 [1468.289078665  250.065726231 2252.635326665]
 [1460.38190738   250.07951862  2215.793719868]
 [1452.478685749  250.092523999 2178.952071114]
 [1444.579142072  250.104316429 2142.110387896]
 [1436.683017229  250.11447147  2105.268673079]
 [1428.790063133  250.122566167 2068.426925337]
 [1420.900040996  250.1281793   2031.585139698]
 [1413.01271933   250.130892085 1994.743308203]
 [1405.127871592  250.130289699 1957.901420744]
 [1397.245273289  250.125964414 1921.059466105]
 [1389.364698229  250.117522141 1884.217433295]
 [1381.485913194  250.104596923 1847.375313285]
 [1373.608669112  250.08688681  1810.533101413]
 [1365.732682291  250.064260365 1773.690801112]
 [1357.857574528  250.037188659 1736.848431708]
 [1350.           250.          1700.         ]]","[[0.33855643681256337, 0.3392961095922943, 0.3387469846697957], 0.3388665103582178]"
6000,"[[1500.           250.          2400.         ]
 [1492.023618886  250.028709244 2363.160113522]
 [1484.097611453  250.045011541 2326.318872764]
 [1476.177428277  250.061915426 2289.477517505]
 [1468.262688503  250.078902671 2252.636075664]
 [1460.353031014  250.095457761 2215.794568539]
 [1452.448112991  250.111067509 2178.953011096]
 [1444.547608387  250.125220745 2142.111412319]
 [1436.651206247  250.137408121 2105.269775642]
 [1428.758608859  250.147122093 2068.428099469]
 [1420.869529672  250.153857224 2031.586377827]
 [1412.983690896  250.157111018 1994.744601161]
 [1405.100820676  250.156385745 1957.902757336]
 [1397.220649622  250.151192208 1921.06083289 ]
 [1389.342906311  250.14105759  1884.21881463 ]
 [1381.46731089   250.12554284  1847.376691723]
 [1373.593564492  250.104285728 1810.534458574]
 [1365.721326713  250.077128647 1773.692119305]
 [1357.850143748  250.044637024 1736.84969711 ]
 [1350.           250.          1700.         ]]","[[0.3385580069385182, 0.3393009465017646, 0.3387455407963722], 0.33886816474555165]"
7000,"[[1500.           250.          2400.         ]
 [1492.010013856  250.033510239 2363.160482985]
 [1484.07879577   250.052537118 2326.319386174]
 [1476.154372563  250.072265125 2289.478155815]
 [1468.236299887  250.092089504 2252.636824482]
 [1460.32415642   250.111408702 2215.795417022]
 [1452.417542196  250.129623917 2178.953950891]
 [1444.516076811  250.146138733 2142.112436566]
 [1436.619397475  250.160358884 2105.270878047]
 [1428.727156849  250.171692244 2068.429273465]
 [1420.839020614  250.179549164 2031.587615844]
 [1412.954664679  250.183343449 1994.745894032]
 [1405.073771876  250.182494486 1957.904093865]
 [1397.196027919  250.176431634 1921.062199634]
 [1389.321116154  250.164603374 1884.220195945]
 [1381.448710099  250.146497597 1847.378070159]
 [1373.578461094  250.121691827 1810.535815748]
 [1365.709972036  250.09000233  1773.693437524]
 [1357.842713529  250.052088932 1736.850962549]
 [1350.           250.          1700.         ]]","[[0.3385595769662697, 0.3393057849687783, 0.3387440948982212], 0.3388698189444231]"
8000,"[[1500.           250.          2400.         ]
 [1491.996409499  250.038315838 2363.160852353]
 [1484.059981077  250.060069451 2326.319899449]
 [1476.131318132  250.082623525 2289.478793962]
 [1468.209912817  250.10528673  2252.637573119]
 [1460.295283601  250.127371444 2215.796265317]
 [1452.386973364  250.148193223 2178.9548905  ]
 [1444.484547346  250.167070389 2142.113460639]
 [1436.587590916  250.183323758 2105.271980294]
 [1428.695707104  250.196276618 2068.430447325]
 [1420.808513825  250.205255117 2031.588853749]
 [1412.925640682  250.209589378 1994.747186815]
 [1405.046725195  250.208615922 1957.905430331]
 [1397.171408182  250.20168269  1921.063566338]
 [1389.299327759  250.188159491 1884.22157724 ]
 [1381.43011082   250.167461191 1847.379448592]
 [1373.56335892   250.139105106 1810.537172934]
 [1365.698618261  250.102881413 1773.694755768]
 [1357.835283872  250.059544382 1736.852228025]
 [1350.           250.          1700.         ]]","[[0.3385611468957671, 0.3393106249929737, 0.33874264697552026], 0.3388714729547537]"
9000,"[[1500.           250.          2400.         ]
 [1491.982805814  250.043126041 2363.161221625]
 [1484.041167374  250.067608538 2326.32041259 ]
 [1476.108264986  250.092990622 2289.479431945]
 [1468.183527295  250.118494347 2252.638321575]
 [1460.266412558  250.143345982 2215.797113423]
 [1452.356406498  250.166775422 2178.955829924]
 [1444.453019993  250.188015712 2142.114484536]
 [1436.555786569  250.20630274  2105.273082383]
 [1428.664259626  250.220875212 2068.431621048]
 [1420.778009305  250.230975081 2031.590091542]
 [1412.896618904  250.235848801 1994.748479512]
 [1405.019680633  250.23475005  1957.906766735]
 [1397.146790411  250.226945373 1921.064933002]
 [1389.277541128  250.21172594  1884.222958515]
 [1381.411513055  250.188433623 1847.380827022]
 [1373.54825797   250.156525565 1810.538530133]
 [1365.687265388  250.115765894 1773.696074038]
 [1357.827854777  250.067003373 1736.853493538]
 [1350.           250.          1700.         ]]","[[0.3385627167269569, 0.3393154665739888, 0.3387411970284481], 0.33887312677646464]"
10000,"[[1500.           250.          2400.         ]
 [1491.969202802  250.047940846 2363.161590802]
 [1484.022354662  250.075154379 2326.320925596]
 [1476.085213124  250.103366417 2289.480069764]
 [1468.15714332   250.131712353 2252.639069849]
 [1460.237543291  250.159332317 2215.797961341]
 [1452.325841597  250.185370514 2178.956769162]
 [1444.421494752  250.2089747   2142.115508258]
 [1436.523984437  250.229295829 2105.274184315]
 [1428.632814414  250.245488023 2068.432794635]
 [1420.747507055  250.256709053 2031.591329223]
 [1412.867599349  250.262121715 1994.749772121]
 [1404.992638191  250.260896867 1957.908103075]
 [1397.122174606  250.252219682 1921.066299625]
 [1389.255756261  250.235302719 1884.22433977 ]
 [1381.392916805  250.209414889 1847.38220545 ]
 [1373.533158243  250.173953201 1810.539887344]
 [1365.675913417  250.128655773 1773.697392332]
 [1357.820426244  250.074465906 1736.854759089]
 [1350.           250.          1700.         ]]","[[0.33856428645978726, 0.33932030971146093, 0.3387397450571821], 0.3388747804094767]"
