Iteration,Trajectory,Legibility
1,"[[1500.           250.          2400.         ]
 [1507.894741125  250.000009267 2363.157908214]
 [1515.789478936  250.00001435  2326.315808026]
 [1523.68421613   250.000019553 2289.473706827]
 [1531.578952818  250.00002475  2252.631604688]
 [1539.473689103  250.000029814 2215.789501677]
 [1547.36842508   250.000034628 2178.947397864]
 [1555.263160837  250.000039073 2142.105293312]
 [1563.157896454  250.000043039 2105.263188089]
 [1571.052632003  250.000046416 2068.421082255]
 [1578.94736755   250.000049101 2031.578975875]
 [1586.842103154  250.000050993 1994.736869008]
 [1594.736838868  250.000051997 1957.894761713]
 [1602.631574739  250.000052024 1921.052654049]
 [1610.526310804  250.00005099  1884.210546073]
 [1618.421047097  250.000048825 1847.368437842]
 [1626.31578364   250.000045476 1810.526329412]
 [1634.210520442  250.000040936 1773.68422084 ]
 [1642.105257476  250.000035343 1736.842112186]
 [1650.           250.          1700.         ]]","[[0.3386711957755063], 0.3386711957755063]"
100,"[[1500.           250.          2400.         ]
 [1507.895165079  250.000926788 2363.159242432]
 [1515.789998869  250.001435045 2326.317644725]
 [1523.684770894  250.00195541  2289.475945888]
 [1531.579492314  250.002475055 2252.63415301 ]
 [1539.474173447  250.002981563 2215.792273017]
 [1547.368823807  250.003462915 2178.950312678]
 [1555.263452132  250.003907489 2142.10827861 ]
 [1563.158066417  250.004304058 2105.266177284]
 [1571.052673937  250.004641787 2068.424015025]
 [1578.947281277  250.004910251 2031.581798026]
 [1586.841894347  250.005099449 1994.739532347]
 [1594.736518402  250.005199855 1957.897223926]
 [1602.631158045  250.005202495 1921.05487859 ]
 [1610.525817213  250.005099123 1884.212502066]
 [1618.420499116  250.004882578 1847.370100008]
 [1626.315206066  250.004547653 1810.527678039]
 [1634.209938941  250.004093636 1773.685241853]
 [1642.104694985  250.003534377 1736.842797532]
 [1650.           250.          1700.         ]]","[[0.33867183279202456], 0.33867183279202456]"
200,"[[1500.           250.          2400.         ]
 [1507.895593303  250.001853666 2363.160590134]
 [1515.790524035  250.002870224 2326.319499987]
 [1523.685331238  250.003910993 2289.47820758 ]
 [1531.580037229  250.00495032  2252.636727089]
 [1539.474662649  250.005963367 2215.795072368]
 [1547.369226523  250.006926098 2178.953256956]
 [1555.26374633   250.007815268 2142.111294085]
 [1563.158238055  250.00860842  2105.269196696]
 [1571.052716253  250.009283887 2068.426977442]
 [1578.947194089  250.009820816 2031.584648707]
 [1586.841683388  250.010199207 1994.742222611]
 [1594.736194659  250.010400006 1957.899711031]
 [1602.630737108  250.010405269 1921.05712562 ]
 [1610.525318605  250.0101985   1884.214477833]
 [1618.419945573  250.009765376 1847.371778977]
 [1626.314622638  250.009095489 1810.5290403  ]
 [1634.209351553  250.008187413 1773.68627319 ]
 [1642.104126805  250.007068849 1736.843489806]
 [1650.           250.          1700.         ]]","[[0.3386724762786059], 0.3386724762786059]"
300,"[[1500.           250.          2400.         ]
 [1507.896021514  250.002780634 2363.161937844]
 [1515.791049182  250.004305536 2326.32135526 ]
 [1523.685891556  250.00586675  2289.480469285]
 [1531.580582115  250.007425795 2252.639301185]
 [1539.475151817  250.008945413 2215.797871738]
 [1547.369629203  250.01038955  2178.956201254]
 [1555.264040487  250.011723337 2142.114309581]
 [1563.158409651  250.012913087 2105.27221613 ]
 [1571.052758525  250.0139263   2068.429939882]
 [1578.94710686   250.014731696 2031.58749941 ]
 [1586.841472389  250.015299275 1994.744912896]
 [1594.735870878  250.015600455 1957.902198157]
 [1602.630316134  250.01560832  1921.059372669]
 [1610.524819965  250.015298128 1884.216453617]
 [1618.419392004  250.014648395 1847.373457962]
 [1626.314039189  250.013643509 1810.530402573]
 [1634.208764149  250.01228133  1773.687304535]
 [1642.103558618  250.010603416 1736.844182087]
 [1650.           250.          1700.         ]]","[[0.33867311980092146], 0.33867311980092146]"
400,"[[1500.           250.          2400.         ]
 [1507.896449712  250.003707693 2363.16328556 ]
 [1515.79157431   250.005740981 2326.323210543]
 [1523.686451851  250.007822681 2289.482731004]
 [1531.581126972  250.009901481 2252.641875296]
 [1539.475640952  250.011927702 2215.800671127]
 [1547.370031844  250.01385327  2178.959145572]
 [1555.264334603  250.015631695 2142.117325099]
 [1563.158581205  250.017218058 2105.275235587]
 [1571.052800755  250.018569026 2068.432902345]
 [1578.947019587  250.01964289  2031.590350136]
 [1586.841261348  250.020399652 1994.747603204]
 [1594.735547057  250.020801201 1957.904685303]
 [1602.629895124  250.02081165  1921.061619737]
 [1610.524321294  250.02039801  1884.218429418]
 [1618.418838408  250.019531635 1847.375136961]
 [1626.313455719  250.018191712 1810.531764857]
 [1634.208176732  250.016375389 1773.688335889]
 [1642.102990423  250.014138078 1736.844874373]
 [1650.           250.          1700.         ]]","[[0.33867376335897276], 0.33867376335897276]"
500,"[[1500.           250.          2400.         ]
 [1507.896877898  250.004634843 2363.164633284]
 [1515.792099419  250.007176561 2326.325065836]
 [1523.68701212   250.009778786 2289.484992736]
 [1531.581671799  250.012377376 2252.644449424]
 [1539.476130052  250.014910232 2215.803470534]
 [1547.370434448  250.017317259 2178.962089911]
 [1555.26462868   250.019540342 2142.120340639]
 [1563.158752717  250.021523333 2105.278255067]
 [1571.052842942  250.023212065 2068.43586483 ]
 [1578.946932272  250.024554399 2031.593200885]
 [1586.841050266  250.025500339 1994.750293534]
 [1594.735223197  250.026002245 1957.907172471]
 [1602.629474078  250.026015258 1921.063866825]
 [1610.52382259   250.025498144 1884.220405237]
 [1618.418284786  250.024415096 1847.376815974]
 [1626.312872228  250.022740098 1810.533127154]
 [1634.2075893    250.020469588 1773.689367253]
 [1642.10242222   250.017672834 1736.845566666]
 [1650.           250.          1700.         ]]","[[0.3386744069527625], 0.3386744069527625]"
600,"[[1500.           250.          2400.         ]
 [1507.897306071  250.005562082 2363.165981015]
 [1515.792624509  250.008612274 2326.32692114 ]
 [1523.687572366  250.011735064 2289.487254481]
 [1531.582216596  250.014853481 2252.647023569]
 [1539.476619119  250.017893004 2215.80626996 ]
 [1547.370837014  250.020781517 2178.965034271]
 [1555.264922716  250.02344928  2142.123356201]
 [1563.158924187  250.025828914 2105.281274569]
 [1571.052885086  250.027855416 2068.438827339]
 [1578.946844914  250.029466223 2031.596051656]
 [1586.840839142  250.030601335 1994.752983886]
 [1594.734899297  250.031203585 1957.909659659]
 [1602.629052997  250.031219145 1921.066113931]
 [1610.523323855  250.030598531 1884.222381072]
 [1618.417731136  250.029298778 1847.378495002]
 [1626.312288717  250.027288668 1810.534489463]
 [1634.207001853  250.024563928 1773.690398625]
 [1642.10185401   250.021207684 1736.846258964]
 [1650.           250.          1700.         ]]","[[0.3386750505822926], 0.3386750505822926]"
700,"[[1500.           250.          2400.         ]
 [1507.897734231  250.006489413 2363.167328753]
 [1515.793149581  250.01004812  2326.328776454]
 [1523.688132586  250.013691516 2289.489516241]
 [1531.582761364  250.017329796 2252.649597729]
 [1539.477108151  250.020876018 2215.809069405]
 [1547.371239543  250.024246043 2178.967978651]
 [1555.265216712  250.027358507 2142.126371785]
 [1563.159095615  250.030134798 2105.284294095]
 [1571.052927187  250.032499081 2068.441789871]
 [1578.946757514  250.034378361 2031.598902451]
 [1586.840627977  250.03570264  1994.75567426 ]
 [1594.734575359  250.036405223 1957.912146867]
 [1602.628631879  250.03642331  1921.068361057]
 [1610.522825089  250.03569917  1884.224356924]
 [1618.41717746   250.034182681 1847.380174045]
 [1626.311705184  250.031837421 1810.535851784]
 [1634.206414393  250.028658409 1773.691430007]
 [1642.101285793  250.02474263  1736.846951269]
 [1650.           250.          1700.         ]]","[[0.33867569424756555], 0.33867569424756555]"
800,"[[1500.           250.          2400.         ]
 [1507.898162378  250.007416833 2363.168676498]
 [1515.793674633  250.0114841   2326.330631779]
 [1523.688692782  250.015648142 2289.491778014]
 [1531.583306102  250.019806322 2252.652171906]
 [1539.47759715   250.023859274 2215.811868868]
 [1547.371642034  250.027710838 2178.970923051]
 [1555.265510667  250.031268023 2142.129387391]
 [1563.159267     250.034440988 2105.287313642]
 [1571.052969245  250.037143059 2068.444752426]
 [1578.94667007   250.039290813 2031.601753268]
 [1586.84041677   250.040804254 1994.758364655]
 [1594.734251381  250.041607158 1957.914634097]
 [1602.628210726  250.041627753 1921.070608201]
 [1610.52232629   250.040800063 1884.226332794]
 [1618.416623758  250.039066804 1847.381853103]
 [1626.311121631  250.036386357 1810.537214117]
 [1634.205826917  250.032753031 1773.692461397]
 [1642.100717568  250.02827767  1736.84764358 ]
 [1650.           250.          1700.         ]]","[[0.33867633794858254], 0.33867633794858254]"
900,"[[1500.           250.          2400.         ]
 [1507.898590512  250.008344344 2363.17002425 ]
 [1515.794199667  250.012920213 2326.332487115]
 [1523.689252954  250.017604941 2289.4940398  ]
 [1531.58385081   250.022283058 2252.6547461  ]
 [1539.478086114  250.026842771 2215.81466835 ]
 [1547.372044488  250.031175901 2178.973867472]
 [1555.265804583  250.03517783  2142.132403018]
 [1563.159438344  250.038747481 2105.290333213]
 [1571.05301126   250.041787349 2068.447715003]
 [1578.946582584  250.044203581 2031.604604107]
 [1586.840205522  250.045906178 1994.761055073]
 [1594.733927365  250.046809391 1957.917121347]
 [1602.627789537  250.046832474 1921.072855365]
 [1610.52182746   250.045901208 1884.22830868 ]
 [1618.416070029  250.043951149 1847.383532175]
 [1626.310538057  250.040935476 1810.538576462]
 [1634.205239428  250.036847793 1773.693492797]
 [1642.100149335  250.031812805 1736.848335897]
 [1650.           250.          1700.         ]]","[[0.3386769816853472], 0.3386769816853472]"
