Iteration,Trajectory,Legibility
1,"[[1500.           250.          2400.         ]
 [1489.471848768  250.010662166 2363.154773343]
 [1478.944765926  250.015079228 2326.311311965]
 [1468.417783093  250.018888689 2289.467995647]
 [1457.890899745  250.022093011 2252.624830853]
 [1447.36411518   250.024695753 2215.781823944]
 [1436.837428482  250.026701734 2178.938981097]
 [1426.310838499  250.028117238 2142.096308213]
 [1415.784343804  250.028950247 2105.253810788]
 [1405.257942651  250.029210728 2068.411493761]
 [1394.731632922  250.028910977 2031.56936132 ]
 [1384.205412067  250.028066048 1994.727416645]
 [1373.679277017  250.02669431  1957.885661579]
 [1363.153224076  250.02481819  1921.044096175]
 [1352.627248759  250.022465246 1884.202718056]
 [1342.101345536  250.019669882 1847.361521403]
 [1331.57550734   250.016476544 1810.520495174]
 [1321.049724418  250.012947063 1773.679619173]
 [1310.523980646  250.009183236 1736.838852383]
 [1300.           250.          1700.         ]]","[[0.3543943085738988], 0.3543943085738988]"
100,"[[1500.           250.          2400.         ]
 [1489.290140947  251.066733054 2362.846543692]
 [1478.687121527  251.508679849 2325.869199768]
 [1468.094104513  251.889840971 2288.906331841]
 [1457.511037917  252.210455718 2251.958579102]
 [1446.937851371  252.470873664 2215.026571787]
 [1436.374453496  252.671571755 2178.110923378]
 [1425.820728832  252.813174401 2141.21222082 ]
 [1415.276534218  252.896477306 2104.331012223]
 [1404.741694493  252.922476022 2067.467791338]
 [1394.215997289  252.89240072  2030.622977813]
 [1383.699186591  252.807759439 1993.796891763]
 [1373.190954498  252.670393587 1956.989720352]
 [1362.690930149  252.482552572 1920.201472444]
 [1352.198663718  252.247001372 1883.431913778]
 [1341.71360057   251.967192507 1846.680466158]
 [1331.235032453  251.64758572  1809.94602804 ]
 [1320.761982411  251.294382685 1773.226581288]
 [1310.292837054  250.917782179 1736.518025523]
 [1300.           250.          1700.         ]]","[[0.35479550669975213], 0.35479550669975213]"
200,"[[1500.           250.          2400.         ]
 [1489.106600335  252.134506981 2362.536794008]
 [1478.426880933  253.018885363 2325.424968866]
 [1467.76716946   253.78164089  2288.342034911]
 [1457.127362457  254.423237886 2251.289255784]
 [1446.507319418  254.944363086 2214.267880101]
 [1435.906857502  255.345960093 2177.279125884]
 [1425.32574537   255.629269855 2140.324160976]
 [1414.763695946  255.795878632 2103.404078378]
 [1404.220357795  255.84777544  2066.519865058]
 [1393.695304716  255.787421941 2029.672362255]
 [1383.188022854  255.617839291 1992.862214306]
 [1372.697894238  255.342719539 1956.089801393]
 [1362.224174652  254.966575286 1919.355148291]
 [1351.765961641  254.494955281 1882.657794014]
 [1341.32214287   253.934788928 1845.99658929 ]
 [1330.891298536  253.295026356 1809.369336637]
 [1320.471471367  252.588108356 1772.772002848]
 [1310.059432628  251.834471055 1736.196390036]
 [1300.           250.          1700.         ]]","[[0.3552011896606538], 0.3552011896606538]"
300,"[[1500.           250.          2400.         ]
 [1488.923063424  253.203318026 2362.228658949]
 [1478.166648219  254.53061091  2324.983116477]
 [1467.440249588  255.675392248 2287.780819235]
 [1456.743713122  256.638337136 2250.623640403]
 [1446.076828397  257.420457075 2213.513434947]
 [1435.439321017  258.023152059 2176.452016318]
 [1424.830843342  258.448271746 2139.441127067]
 [1414.250963608  258.69818786  2102.482401742]
 [1403.699152981  258.775880871 2065.577319917]
 [1393.174769934  258.685045338 2028.727146321]
 [1382.67704093   258.430220734 1991.932853623]
 [1372.205035732  258.016959109 1955.195020922]
 [1361.75763425   257.452050185 1918.513696041]
 [1351.333478578  256.743845433 1881.888198914]
 [1340.930895591  255.902775647 1845.316816451]
 [1330.547750633  254.942312094 1808.796260996]
 [1320.181102775  253.881172104 1772.320487512]
 [1309.826106028  252.750067384 1735.877203776]
 [1300.           250.          1700.         ]]","[[0.3556072992860551], 0.3556072992860551]"
400,"[[1500.           250.          2400.         ]
 [1488.73953126   254.27316231  2361.922151842]
 [1477.906424958  256.043850675 2324.543662398]
 [1467.113347005  257.5710873   2287.222710742]
 [1456.360092556  258.855743811 2249.96176451 ]
 [1445.646381492  259.899144095 2212.763272808]
 [1434.97184776   260.703134311 2175.629635244]
 [1424.336026985  261.270165032 2138.563162728]
 [1413.738341926  261.603388421 2101.566027899]
 [1403.178085206  261.706774463 2064.640202237]
 [1392.654398467  261.585252117 2027.787375823]
 [1382.166246616  261.244884488 1991.008853772]
 [1371.712384937  260.693093117 1954.305420048]
 [1361.291314915  259.938958929 1917.677152737]
 [1350.901220354  258.993655211 1881.123160458]
 [1340.539864232  257.871138803 1844.641173703]
 [1330.204393729  256.589432953 1808.226820557]
 [1319.890880923  255.173568945 1771.872047589]
 [1309.592860745  253.664571928 1735.560471692]
 [1300.           250.          1700.         ]]","[[0.35601382760246086], 0.35601382760246086]"
500,"[[1500.           250.          2400.         ]
 [1488.556004879  255.344035837 2361.617286067]
 [1477.646212714  257.558598662 2324.106626513]
 [1466.786463805  259.46871806  2286.667735477]
 [1455.976503394  261.075447954 2249.303659794]
 [1445.215981875  262.380412263 2212.017430331]
 [1434.504441434  263.385893109 2174.812023402]
 [1423.841300513  264.09493424  2137.690311786]
 [1413.225835598  264.511463285 2100.655002628]
 [1402.657159605  264.640437885 2063.708558536]
 [1392.134195813  264.488023004 2026.85309676 ]
 [1381.655645685  264.061810803 1990.090258982]
 [1371.219947779  263.371101947 1953.421040023]
 [1360.82522259   262.427282783 1916.845555537]
 [1350.469192761  261.244367671 1880.362710715]
 [1340.149054256  259.839864279 1843.969687161]
 [1329.86123277   258.236378786 1807.661034785]
 [1319.600810071  256.465293811 1771.426695384]
 [1309.359700233  254.577985444 1735.246198716]
 [1300.           250.          1700.         ]]","[[0.3564207665246081], 0.3564207665246081]"
600,"[[1500.           250.          2400.         ]
 [1488.372485316  256.415934484 2361.314075065]
 [1477.386013042  259.074848689 2323.672028793]
 [1466.459602075  261.368276298 2286.115919596]
 [1455.592948253  263.297439309 2248.649358084]
 [1444.785632698  264.864249342 2211.275944322]
 [1434.03710572   266.071414317 2173.999221711]
 [1423.346668121  266.922563457 2136.822618253]
 [1412.713449299  267.422394954 2099.7493719  ]
 [1402.136381284  267.576852323 2062.782435519]
 [1391.614167442  267.393338238 2025.92435531 ]
 [1381.145243876  266.880979458 1989.177113643]
 [1370.727730153  266.050965537 1952.541922242]
 [1360.359363182  264.917002616 1916.018941718]
 [1350.037401558  263.49596553  1879.606881835]
 [1339.758471091  261.808937702 1843.302382996]
 [1329.518272666  259.883139272 1807.098923171]
 [1319.310894437  257.75634155  1770.984443207]
 [1309.126627919  255.490308683 1734.934389762]
 [1300.           250.          1700.         ]]","[[0.35682810785458247], 0.35682810785458247]"
700,"[[1500.           250.          2400.         ]
 [1488.188973598  257.488854003 2361.012532332]
 [1477.125827488  260.592594388 2323.239889291]
 [1466.132763885  263.269753535 2285.567289366]
 [1455.209429737  265.521707314 2247.998891342]
 [1444.355337099  267.350642736 2210.538851741]
 [1433.569844281  268.759683391 2173.19127126 ]
 [1422.852133981  269.753036328 2135.960126327]
 [1412.201187681  270.336165458 2098.849181874]
 [1401.615755325  270.515998475 2061.861880078]
 [1391.094318797  270.301177564 2025.001197827]
 [1380.6350469    269.702369751 1988.269462308]
 [1370.235737922  268.732663375 1951.668108235]
 [1359.893742564  267.408098894 1915.197348664]
 [1349.605852466  265.748431165 1878.855706053]
 [1339.368120124  263.778344429 1842.639287429]
 [1329.175518288  261.529703907 1806.540505232]
 [1319.021138206  259.046706916 1770.545303365]
 [1308.893647196  256.401542381 1734.625049729]
 [1300.           250.          1700.         ]]","[[0.35723584328100133], 0.35723584328100133]"
800,"[[1500.           250.          2400.         ]
 [1488.005470744  258.562790019 2360.712671421]
 [1476.865657589  262.111829201 2322.810228144]
 [1465.805951296  265.173141041 2285.021871163]
 [1454.825950435  267.748241097 2247.352291662]
 [1443.925098195  269.839579489 2209.8061897  ]
 [1433.10266076   271.450685378 2172.388213307]
 [1422.357702243  272.586336046 2135.102880384]
 [1411.689055369  273.252756345 2097.954478892]
 [1401.095286782  273.457856539 2060.946939285]
 [1390.57465529   273.211520229 2024.083670836]
 [1380.125060438  272.525960492 1987.36734968 ]
 [1369.743976914  271.416174494 1950.799639667]
 [1359.428366574  269.90055167  1914.380813866]
 [1349.174551167  268.001746607 1878.109215681]
 [1338.978006708  265.748069551 1841.980426734]
 [1328.832974471  263.176062006 1805.985800505]
 [1318.731545527  260.336384563 1770.109288167]
 [1308.660761424  257.311687252 1734.3181835  ]
 [1300.           250.          1700.         ]]","[[0.3576439643782617], 0.3576439643782617]"
900,"[[1500.           250.          2400.         ]
 [1487.82197777   259.637738029 2360.414505937]
 [1476.605504873  263.632546377 2322.383065568]
 [1465.479166356  267.078429835 2284.479691468]
 [1454.44251292   269.977029477 2246.709591269]
 [1443.494919087  272.331046275 2209.077995463]
 [1432.635558778  274.144404909 2171.590089274]
 [1421.863377033  275.422445348 2134.250924973]
 [1411.177056964  276.17214868  2097.065309474]
 [1400.57498068   276.402406212 2060.037660389]
 [1390.055182304  276.124344972 2023.171821029]
 [1379.615290135  275.35173     1986.470820617]
 [1369.252452925  274.10147746  1949.936558332]
 [1358.963241014  272.394340584 1913.569374921]
 [1348.743503308  270.255893532 1877.367443106]
 [1338.588136154  267.718097881 1841.325827228]
 [1328.490646009  264.822202692 1805.43482855 ]
 [1318.44212051   261.625369044 1769.676409923]
 [1308.427973931  258.220743988 1734.013795946]
 [1300.           250.          1700.         ]]","[[0.3580524626058475], 0.3580524626058475]"
