Iteration,Trajectory,Legibility
1,"[[1500.           250.          2400.         ]
 [1507.894879369  250.000876889 2363.158605544]
 [1515.789629765  250.00131041  2326.316762314]
 [1523.684350968  250.001730798 2289.474862676]
 [1531.57904929   250.002130965 2252.632910887]
 [1539.473730547  250.002504056 2215.790911107]
 [1547.368400082  250.002843445 2178.948867408]
 [1555.263062778  250.003142735 2142.106783772]
 [1563.157723081  250.003395758 2105.264664095]
 [1571.052385013  250.003596575 2068.42251219 ]
 [1578.947052181  250.00373949  2031.580331794]
 [1586.841727799  250.003819066 1994.738126568]
 [1594.736414683  250.003830156 1957.895900103]
 [1602.631115259  250.003767967 1921.053655928]
 [1610.525831546  250.003628185 1884.211397517]
 [1618.420565109  250.003407233 1847.369128297]
 [1626.315316935  250.003102893 1810.526851669]
 [1634.210087046  250.002716102 1773.684571016]
 [1642.104872975  250.002257946 1736.842289601]
 [1650.           250.          1700.         ]]","[[0.3418812774511196], 0.3418812774511196]"
100,"[[1500.           250.          2400.         ]
 [1507.908965489  250.087868997 2363.228987378]
 [1515.805046393  250.131306681 2326.413091049]
 [1523.698208997  250.173424834 2289.5915534  ]
 [1531.589084672  250.21351294  2252.764799949]
 [1539.478255308  250.250884028 2215.933246778]
 [1547.366255243  250.284874323 2179.097300838]
 [1555.253573092  250.314843052 2142.257360244]
 [1563.140653446  250.340172479 2105.413814591]
 [1571.02789843   250.36026827  2068.567045283]
 [1578.915669075  250.374560389 2031.717425896]
 [1586.804286425  250.382504873 1994.865322591]
 [1594.694032241  250.383587158 1958.0110946  ]
 [1602.585148971  250.37732835  1921.155094842]
 [1610.477838324  250.363297525 1884.297670732]
 [1618.372256703  250.341137829 1847.439165297]
 [1626.268502544  250.310628866 1810.579918671]
 [1634.166577801  250.271866076 1773.720269174]
 [1642.066235471  250.225960747 1736.860543392]
 [1650.           250.          1700.         ]]","[[0.3419317600870575], 0.3419317600870575]"
200,"[[1500.           250.          2400.         ]
 [1507.923145553  250.176102566 2363.300104086]
 [1515.82054764   250.263151296 2326.510428033]
 [1523.712115101  250.347548246 2289.709468334]
 [1531.599111163  250.427869025 2252.898075745]
 [1539.482700012  250.502736753 2216.077082203]
 [1547.363950659  250.570821354 2179.247301424]
 [1555.243840594  250.630839186 2142.409529511]
 [1563.123259185  250.681553099 2105.564545577]
 [1571.003010794  250.721773184 2068.713112411]
 [1578.883817515  250.750358575 2031.855977195]
 [1586.766321398  250.766221012 1994.993872329]
 [1594.651085841  250.768331521 1958.127516402]
 [1602.538595546  250.755732968 1921.257615415]
 [1610.42925366   250.727564709 1884.384864399]
 [1618.323372645  250.683114847 1847.509949643]
 [1626.221148941  250.621945129 1810.633551673]
 [1634.122585925  250.544250016 1773.756347423]
 [1642.027188856  250.452257697 1736.87899038 ]
 [1650.           250.          1700.         ]]","[[0.34198290860942315], 0.34198290860942315]"
300,"[[1500.           250.          2400.         ]
 [1507.937277033  250.264701917 2363.371244918]
 [1515.835977426  250.395535628 2326.607800508]
 [1523.725928847  250.522372554 2289.827429118]
 [1531.609026862  250.643071055 2253.031406464]
 [1539.48701836   250.755561387 2216.220980103]
 [1547.361507358  250.85784465  2179.397370336]
 [1555.233960479  250.947992215 2142.561771124]
 [1563.105712054  251.024145841 2105.715351025]
 [1570.97796879   251.084518799 2068.859254188]
 [1578.85181388   251.127398596 2031.994601434]
 [1586.728210333  251.151152344 1995.12249148 ]
 [1594.608003066  251.154236808 1958.244002397]
 [1602.491918839  251.135217278 1921.360193433]
 [1610.380561964  251.0928046   1884.472107436]
 [1618.274400615  251.025933653 1847.580774189]
 [1626.17372881   250.933950883 1810.687214877]
 [1634.078550816  250.817153362 1773.792445334]
 [1641.988123423  250.678891817 1736.897446268]
 [1650.           250.          1700.         ]]","[[0.34203421443381615], 0.34203421443381615]"
400,"[[1500.           250.          2400.         ]
 [1507.951359926  250.353668263 2363.442409931]
 [1515.851335752  250.528461469 2326.705208559]
 [1523.739650245  250.697900087 2289.945435859]
 [1531.618831793  250.859121839 2253.164792233]
 [1539.491210392  251.00936116  2216.364940622]
 [1547.358925399  251.145947778 2179.547507732]
 [1555.223932829  251.266305967 2142.714085251]
 [1563.088012157  251.367954704 2105.866231106]
 [1570.952772543  251.448509191 2069.005470786]
 [1578.819658313  251.505684509 2032.13329878 ]
 [1586.689953389  251.537302811 1995.251180204]
 [1594.564784084  251.541306753 1958.360552734]
 [1602.44511902   251.515784717 1921.462829031]
 [1610.331763404  251.459020257 1884.559399962]
 [1618.225340774  251.369596856 1847.651639038]
 [1626.1262423    251.246648229 1810.740908363]
 [1634.034472607  251.090577661 1773.828562966]
 [1641.949039284  250.905864081 1736.915911094]
 [1650.           250.          1700.         ]]","[[0.342085678122147], 0.342085678122147]"
500,"[[1500.           250.          2400.         ]
 [1507.965394234  250.443002821 2363.513599181]
 [1515.866622623  250.661930618 2326.802652266]
 [1523.753279308  250.87413318  2290.063488665]
 [1531.628525981  251.076024199 2253.298233179]
 [1539.495276153  251.26413931  2216.508963907]
 [1547.356204849  251.435134323 2179.697713771]
 [1555.21375773   251.585784287 2142.866472059]
 [1563.070159602  251.712983704 2106.017185991]
 [1570.927422185  251.813748453 2069.151762376]
 [1578.787350962  251.885220387 2032.272069402]
 [1586.651550726  251.924676369 1995.379938662]
 [1594.521429066  251.929545104 1958.477167563]
 [1602.398196264  251.897438737 1921.565522345]
 [1610.282858151  251.826214751 1884.646742096]
 [1618.176193286  251.714107078 1847.722544289]
 [1626.078689563  251.560039275 1810.794632213]
 [1633.990351431  251.36452447  1773.86470038 ]
 [1641.909936551  251.133175465 1736.934384899]
 [1650.           250.          1700.         ]]","[[0.3421373002388985], 0.3421373002388985]"
600,"[[1500.           250.          2400.         ]
 [1507.979379956  250.532706815 2363.584812724]
 [1515.881838044  250.795944881 2326.900131715]
 [1523.766816052  251.051074183 2290.181587641]
 [1531.638109457  251.293780969 2253.431729431]
 [1539.49921569   251.519899092 2216.653050102]
 [1547.353345774  251.725407884 2179.847988611]
 [1555.203435274  251.906431036 2143.018931715]
 [1563.052154504  252.059236873 2106.168215853]
 [1570.901917847  252.180240693 2069.298129132]
 [1578.75489198   252.266010321 2032.410913469]
 [1586.613002512  252.313276994 1995.508767016]
 [1594.477938186  252.318955626 1958.593847035]
 [1602.351150749  252.280182802 1921.668273512]
 [1610.233846383  252.194391167 1884.734133958]
 [1618.126958319  252.059466949 1847.793490045]
 [1626.031070751  251.87412614  1810.848386507]
 [1633.946187423  251.638995349 1773.900857637]
 [1641.870815337  251.360826949 1736.952867722]
 [1650.           250.          1700.         ]]","[[0.342189081351139], 0.342189081351139]"
700,"[[1500.           250.          2400.         ]
 [1507.993317095  250.622781474 2363.656050618]
 [1515.896982023  250.930506072 2326.997646988]
 [1523.780260492  251.22872545  2290.299732897]
 [1531.647582251  251.512394992 2253.565281118]
 [1539.503029052  251.776643773 2216.797199352]
 [1547.350348245  252.016772075 2179.998332411]
 [1555.192965555  252.22825009  2143.171464387]
 [1563.033996979  252.406718259 2106.319320864]
 [1570.876259671  252.547990038 2069.444571226]
 [1578.722281522  252.648058416 2032.549831151]
 [1586.574308918  252.703108676 1995.637665428]
 [1594.434311625  252.709542099 1958.710591301]
 [1602.303982658  252.664020392 1921.771082668]
 [1610.184728278  252.563552602 1884.821575668]
 [1618.077636043  252.40567911  1847.864476407]
 [1625.983386023  252.18891095  1810.902171329]
 [1633.901980722  251.913991866 1773.937034797]
 [1641.831675759  251.588819519 1736.971359604]
 [1650.           250.          1700.         ]]","[[0.34224102202853995], 0.34224102202853995]"
800,"[[1500.           250.          2400.         ]
 [1508.007205655  250.713228031 2363.72731292 ]
 [1515.912054568  251.065616011 2327.09519817 ]
 [1523.793612649  251.407089348 2290.41792454 ]
 [1531.656944397  251.731869125 2253.698888368]
 [1539.506716293  252.034376633 2216.941411806]
 [1547.34721234   252.309230524 2180.148745331]
 [1555.182348671  252.55124534  2143.324070245]
 [1563.015687149  252.755431927 2106.470501199]
 [1570.850447798  252.91700063  2069.591088834]
 [1578.689519752  253.031368797 2032.688822618]
 [1586.535470118  253.09417542  1995.766634059]
 [1594.390549566  253.101308318 1958.827400511]
 [1602.256692178  253.048955    1921.873949951]
 [1610.135504021  252.933702164 1884.909067347]
 [1618.028226634  252.752746214 1847.935503476]
 [1625.935635536  252.504395842 1810.955986758]
 [1633.857731468  252.189515594 1773.973231923]
 [1641.792517932  251.817154163 1736.989860584]
 [1650.           250.          1700.         ]]","[[0.3422931228433856], 0.3422931228433856]"
900,"[[1500.           250.          2400.         ]
 [1508.021045639  250.804047724 2363.798599687]
 [1515.92705569   251.201276527 2327.192785343]
 [1523.806872543  251.586168255 2290.536162678]
 [1531.666195934  251.952206238 2253.832551311]
 [1539.510277471  252.293100967 2217.085687608]
 [1547.343938137  252.602786875 2180.29922753 ]
 [1555.171584726  252.875420696 2143.476749456]
 [1562.997225141  253.10538196  2106.621757031]
 [1570.824482377  253.287276631 2069.737682127]
 [1578.656606836  253.415945604 2032.827888039]
 [1586.496486295  253.486481252 1995.895673074]
 [1594.3466522    253.494258093 1958.944274818]
 [1602.209279501  253.434990135 1921.976875498]
 [1610.086173799  253.304842975 1884.996609116]
 [1617.978730269  253.100670925 1848.006571355]
 [1625.887819454  252.820582957 1811.009832879]
 [1633.813439802  252.465568114 1774.009449075]
 [1641.753341975  252.045831875 1737.008370703]
 [1650.           250.          1700.         ]]","[[0.3423453843705899], 0.3423453843705899]"
