Iteration,Trajectory,Legibility
1,"[[1500.           160.          2400.         ]
 [1515.792089268  159.999946186 2363.158199934]
 [1531.582634515  159.999919713 2326.316244804]
 [1547.373024742  159.999894115 2289.474284715]
 [1563.163262243  159.999869834 2252.632317157]
 [1578.953349724  159.999847311 2215.790339626]
 [1594.743290354  159.999826982 2178.948349653]
 [1610.533087824  159.999809272 2142.106344831]
 [1626.322746421  159.999794586 2105.264322856]
 [1642.112271102  159.999783303 2068.422281582]
 [1657.901667596  159.999775763 2031.580219079]
 [1673.690942516  159.999772255 1994.738133714]
 [1689.480103495  159.999772995 1957.89602425 ]
 [1705.269159363  159.99977811  1921.053889979]
 [1721.058120366  159.999787602 1884.211730882]
 [1736.846998483  159.999801313 1847.369547865]
 [1752.635807893  159.999818861 1810.527343079]
 [1768.424565793  159.999839557 1773.685120445]
 [1784.213294032  159.999862228 1736.842886609]
 [1800.           160.          1700.         ]]","[[0.352539313775324], 0.352539313775324]"
100,"[[1500.           160.          2400.         ]
 [1516.05104756   159.994605634 2363.188487705]
 [1531.947685059  159.991952269 2326.361430425]
 [1547.828820189  159.989386865 2289.53387429 ]
 [1563.694682325  159.986953795 2252.705567653]
 [1579.545541883  159.984697299 2215.876259612]
 [1595.381715571  159.982661033 2179.045702588]
 [1611.203572408  159.980887497 2142.213655549]
 [1627.011540703  159.979417327 2105.379888032]
 [1642.806116169  159.978288409 2068.544185184]
 [1658.587871481  159.977534764 2031.706354055]
 [1674.357467661  159.977185157 1994.866231511]
 [1690.115667922  159.97726133  1958.023694248]
 [1705.863354951  159.977775739 1921.178671624]
 [1721.60155339   159.978728597 1884.331162438]
 [1737.331460953  159.980103858 1847.48125768 ]
 [1753.054495642  159.981863457 1810.629173236]
 [1768.772377319  159.983938133 1773.775301899]
 [1784.487291461  159.98621056  1736.920309063]
 [1800.           160.          1700.         ]]","[[0.35260843236732003], 0.35260843236732003]"
200,"[[1500.           160.          2400.         ]
 [1516.312652724  159.98918516  2363.219228743]
 [1532.316469283  159.983866095 2326.407289393]
 [1548.289280465  159.978723977 2289.594346536]
 [1564.231544757  159.973847809 2252.779895391]
 [1580.1438027    159.969326292 2215.963432924]
 [1596.026687385  159.965246909 2179.144462994]
 [1611.880936507  159.961694788 2142.322502811]
 [1627.707406311  159.958751283 2105.497090992]
 [1643.507087835  159.956492199 2068.667797632]
 [1659.281126029  159.954985569 2031.834236892]
 [1675.030842542  159.954288868 1994.996082818]
 [1690.757763425  159.954445482 1958.153089354]
 [1706.463653715  159.955480187 1921.305115986]
 [1722.150562445  159.957393234 1884.452161291]
 [1737.820884912  159.960152334 1847.594408398]
 [1753.477457183  159.96368112  1810.732290391]
 [1769.123719388  159.967840814 1773.866594334]
 [1784.764043534  159.972396453 1736.998652758]
 [1800.           160.          1700.         ]]","[[0.35267824738044773], 0.35267824738044773]"
300,"[[1500.           160.          2400.         ]
 [1516.574289248  159.983738567 2363.250117907]
 [1532.685300145  159.975741464 2326.453366466]
 [1548.74980202   159.968011315 2289.65510106 ]
 [1564.768482203  159.960682018 2252.854562303]
 [1580.742151071  159.95388695  2216.050993785]
 [1596.671757775  159.947757595 2179.243649824]
 [1612.558408337  159.942421837 2142.431805149]
 [1628.403386566  159.938001829 2105.614766995]
 [1644.208178437  159.93461133  2068.791890205]
 [1659.974500773  159.932352375 2031.962596115]
 [1675.704335455  159.931311092 1995.12639626 ]
 [1691.399970993  159.931552415 1958.282922384]
 [1707.064054446  159.933113305 1921.431964874]
 [1722.699658976  159.93599388  1884.573523058]
 [1738.310377335  159.9401454   1847.707873357]
 [1753.900463726  159.945452971 1810.835667363]
 [1769.475078942  159.951708031 1773.958087894]
 [1785.040782583  159.958557677 1737.077136356]
 [1800.           160.          1700.         ]]","[[0.3527480606143118], 0.3527480606143118]"
400,"[[1500.           160.          2400.         ]
 [1516.835957202  159.978265845 2363.281155256]
 [1533.054177751  159.967578361 2326.499661728]
 [1549.210384992  159.957248859 2289.716137978]
 [1565.305494836  159.947456397 2252.929568527]
 [1581.340587196  159.938379244 2216.138942359]
 [1597.316926966  159.930193057 2179.343263266]
 [1613.235988145  159.923068607 2142.541562768]
 [1629.099481734  159.917168926 2105.73291626 ]
 [1644.909388252  159.912645762 2068.916463134]
 [1660.667995997  159.90963514  2032.091431957]
 [1676.377946684  159.908251788 1995.257172069]
 [1692.042290903  159.908582092 1958.413193561]
 [1707.6645574    159.910675059 1921.559218495]
 [1723.248843214  159.914530503 1884.695247921]
 [1738.79993842   159.920083031 1847.821652704]
 [1754.323515423  159.92717899  1810.93930426 ]
 [1769.826456084  159.935539773 1774.049782639]
 [1785.317508657  159.944694231 1737.155759866]
 [1800.           160.          1700.         ]]","[[0.35281787204480014], 0.35281787204480014]"
500,"[[1500.           160.          2400.         ]
 [1517.097656656  159.972766983 2363.312340848]
 [1533.423102205  159.959376769 2326.546175267]
 [1549.67102952   159.94643659  2289.777457402]
 [1565.842582824  159.934170921 2253.004914204]
 [1581.939111275  159.922803144 2216.227278811]
 [1597.962195186  159.912553264 2179.443303504]
 [1613.913676182  159.903635063 2142.651775874]
 [1629.795692083  159.896252535 2105.851539008]
 [1645.610717561  159.890595453 2069.04151665 ]
 [1661.361611988  159.886833822 2032.220744656]
 [1677.051676513  159.885110916 1995.38841048 ]
 [1692.684723429  159.885534472 1958.543903111]
 [1708.265162836  159.88816541  1921.686877057]
 [1723.798115392  159.893003069 1884.817336062]
 [1739.289568363  159.899965201 1847.93574659 ]
 [1754.746612428  159.908859158 1811.043201192]
 [1770.177850918  159.919336031 1774.14167863 ]
 [1785.594221805  159.930806112 1737.2345233  ]
 [1800.           160.          1700.         ]]","[[0.3528876816477887], 0.3528876816477887]"
600,"[[1500.           160.          2400.         ]
 [1517.359387682  159.967241973 2363.343674741]
 [1533.792073614  159.951136673 2326.592907169]
 [1550.131735742  159.935574488 2289.839059448]
 [1566.379746338  159.920825566 2253.080599474]
 [1582.537723509  159.907158622 2216.316003306]
 [1598.607562661  159.894838182 2179.543770726]
 [1614.591472696  159.884121168 2142.762444672]
 [1630.49201788   159.875252617 2105.97063546 ]
 [1646.312166643  159.868460363 2069.167050983]
 [1662.055349031  159.86394838  2032.350534447]
 [1677.725525225  159.861888432 1995.520111727]
 [1693.327268846  159.862409515 1958.675051259]
 [1708.865871011  159.865584322 1921.814940768]
 [1724.347475739  159.871411548 1884.939787667]
 [1739.77926736   159.879791882 1848.050155166]
 [1755.169754893  159.890493455 1811.147358267]
 [1770.529263546  159.903096792 1774.233775929]
 [1785.870922076  159.91689332  1737.313426666]
 [1800.           160.          1700.         ]]","[[0.3529574893991481], 0.3529574893991481]"
700,"[[1500.           160.          2400.         ]
 [1517.62115035   159.961690802 2363.375156993]
 [1534.161092081  159.94285806  2326.639857521]
 [1550.592503798  159.924662531 2289.900944229]
 [1566.91698555   159.907420307 2253.156624479]
 [1583.136424096  159.891445648 2216.405116008]
 [1599.253029616  159.877047778 2179.64466512 ]
 [1615.269377936  159.864526886 2142.873569369]
 [1631.188459389  159.854169133 2106.090205837]
 [1647.013735776  159.846240451 2069.293066365]
 [1662.749207409  159.840978772 2032.480801566]
 [1678.399493105  159.838584297 1995.652276045]
 [1693.969927429  159.839207181 1958.806638232]
 [1709.466682181  159.842931759 1921.943409838]
 [1724.896924488  159.849755905 1885.062602918]
 [1740.269035608  159.859563049 1848.164878581]
 [1755.592942972  159.872081863 1811.251775594]
 [1770.880694073  159.886822046 1774.326074597]
 [1786.147609521  159.902955852 1737.392469974]
 [1800.           160.          1700.         ]]","[[0.35302729527472937], 0.35302729527472937]"
800,"[[1500.           160.          2400.         ]
 [1517.88294473   159.956113462 2363.406787663]
 [1534.530157713  159.934540912 2326.68702641 ]
 [1551.053333824  159.9137007   2289.963111861]
 [1567.454300628  159.893955118 2253.232989358]
 [1583.735213238  159.875664194 2216.494617083]
 [1599.898596278  159.85918202  2179.745986872]
 [1615.947392149  159.84485218  2142.985150171]
 [1631.885016879  159.833002045 2106.210250361]
 [1647.71542524   159.823935676 2069.419563029]
 [1663.443187408  159.817924957 2032.61154625 ]
 [1679.073580436  159.815198469 1995.784903668]
 [1694.612699453  159.815927431 1958.938664254]
 [1710.067596605  159.820207683 1922.072284476]
 [1725.446461869  159.82803611  1885.185781999]
 [1740.758873302  159.839278674 1848.279916986]
 [1756.016176819  159.853624362 1811.356453284]
 [1771.232142601  159.870511783 1774.418574697]
 [1786.424284187  159.888993707 1737.471653235]
 [1800.           160.          1700.         ]]","[[0.35309709925038174], 0.35309709925038174]"
900,"[[1500.           160.          2400.         ]
 [1518.144770892  159.950509941 2363.438566808]
 [1534.899270613  159.926185215 2326.734413923]
 [1551.514225961  159.902688975 2290.025562457]
 [1567.991691743  159.880429975 2253.309694253]
 [1584.334091132  159.859814229 2216.584506697]
 [1600.544262873  159.841240873 2179.847736171]
 [1616.625515585  159.825097014 2143.097187284]
 [1632.581690615  159.811751312 2106.330769254]
 [1648.417235312  159.801545998 2069.546541207]
 [1664.137289313  159.794786892 2032.742768737]
 [1679.747787502  159.791730906 1995.917994834]
 [1695.255585192  159.792570225 1959.071129554]
 [1710.66861454   159.797412058 1922.201564892]
 [1725.996088114  159.806252129 1885.309325096]
 [1741.24878064   159.818938731 1848.395270533]
 [1756.439456585  159.835120933 1811.461391445]
 [1771.583609234  159.854165991 1774.511276291]
 [1786.700946126  159.875006882 1737.550976459]
 [1800.           160.          1700.         ]]","[[0.35316690130193845], 0.35316690130193845]"
