Iteration,Trajectory,Legibility
1,"[[1500.           250.          2400.         ]
 [1494.733818827  250.011388976 2368.43382886 ]
 [1489.470024083  250.017068825 2336.859919275]
 [1484.20669776   250.022616899 2305.285173088]
 [1478.943759836  250.027944376 2273.709637026]
 [1473.68113496   250.032964563 2242.133357056]
 [1468.418752327  250.037592885 2210.5563784  ]
 [1463.156545553  250.041746889 2178.978745569]
 [1457.894452559  250.045346281 2147.40050239 ]
 [1452.632415468  250.048312986 2115.82169204 ]
 [1447.370380522  250.050571277 2084.242357093]
 [1442.108298023  250.052047994 2052.662539588]
 [1436.84612232   250.052672951 2021.082281109]
 [1431.583811884  250.05237967  1989.501622941]
 [1426.32132955   250.051106825 1957.920606313]
 [1421.058643163  250.048801309 1926.339272891]
 [1415.795727282  250.045425642 1894.757665866]
 [1410.532568358  250.040979645 1863.175832938]
 [1405.269186039  250.035588011 1831.593837592]
 [1400.           250.          1800.         ]]","[[0.33667907388547713], 0.33667907388547713]"
100,"[[1500.           250.          2400.         ]
 [1494.442331543  251.185424483 2369.701211278]
 [1489.119198192  251.775531453 2338.627210566]
 [1483.842618818  252.350830923 2307.469416138]
 [1478.604509654  252.902005717 2276.232476516]
 [1473.397263196  253.420004576 2244.920972965]
 [1468.213735897  253.896041337 2213.539421062]
 [1463.047236583  254.321596048 2182.092272453]
 [1457.891515736  254.688418769 2150.583916936]
 [1452.740755912  254.988537327 2119.018685117]
 [1447.589563808  255.214271246 2087.400852022]
 [1442.432964915  255.358255967 2055.734642333]
 [1437.26640268   255.413485288 2024.024238507]
 [1432.085746092  255.373388494 1992.27379421 ]
 [1426.887314667  255.231979331 1960.487458471]
 [1421.667943508  254.984170674 1928.669423524]
 [1416.425155267  254.626530744 1896.824033113]
 [1411.157683917  254.159489307 1864.956080002]
 [1405.867623486  253.596223664 1833.07193004 ]
 [1400.           250.          1800.         ]]","[[0.3370828593204789], 0.3370828593204789]"
200,"[[1500.           250.          2400.         ]
 [1494.163921637  252.468304282 2370.986341458]
 [1488.788440931  253.694854552 2340.419574548]
 [1483.505460091  254.888372097 2309.684954218]
 [1478.298644148  256.029307784 2278.791729918]
 [1473.152630363  257.098755819 2247.74903494 ]
 [1468.053004934  258.0784528   2216.565887982]
 [1462.986281118  258.950781378 2185.251194921]
 [1457.939878982  259.69877995  2153.813751122]
 [1452.902107269  260.306160853 2122.262244797]
 [1447.862148367  260.75734155  2090.605262197]
 [1442.810048296  261.037497104 2058.851296022]
 [1437.736715514  261.132650077 2027.008759549]
 [1432.633936561  261.029831397 1995.086011464]
 [1427.494426651  260.717387883 1963.091402138]
 [1422.311961184  260.185627543 1931.033367439]
 [1417.081723324  259.428363677 1898.920643591]
 [1411.801362273  258.447405728 1866.762860283]
 [1406.475328118  257.270594196 1834.572782238]
 [1400.           250.          1800.         ]]","[[0.3375084613882257], 0.3375084613882257]"
300,"[[1500.           250.          2400.         ]
 [1493.902037123  253.854101577 2372.276203806]
 [1488.482018427  255.766027535 2342.218841956]
 [1483.19979788   257.623080749 2311.909306975]
 [1478.030617533  259.39450869  2281.361403884]
 [1472.951210785  261.050697371 2250.588791021]
 [1467.939768783  262.5631719   2219.604979952]
 [1462.975908915  263.904605019 2188.423335475]
 [1458.040645607  265.048835588 2157.057076246]
 [1453.116364105  265.97090067  2125.519276815]
 [1448.186798665  266.647087888 2093.822872312]
 [1443.237018046  267.055020651 2061.980667881]
 [1438.253424083  267.173800839 2030.005356674]
 [1433.223775493  266.984260136 1997.909553924]
 [1428.137264502  266.469435681 1965.705863295]
 [1422.984716075  265.615561871 1933.407014702]
 [1417.759114784  264.414434125 1901.026183937]
 [1412.457208373  262.870263729 1868.577879365]
 [1407.086065582  261.02712748  1836.081293942]
 [1400.           250.          1800.         ]]","[[0.3379528472218632], 0.3379528472218632]"
400,"[[1500.           250.          2400.         ]
 [1493.657038508  255.348624505 2373.570542919]
 [1488.200439095  257.997619005 2344.024633727]
 [1482.92624807   260.566076254 2314.141978021]
 [1477.801109219  263.01100844  2283.940893417]
 [1472.79370373   265.291185939 2253.439538708]
 [1467.874706212  267.367142017 2222.655910428]
 [1463.01674346   269.201189567 2191.60783924 ]
 [1458.194356147  270.757452236 2160.312986909]
 [1453.383964281  272.001914631 2128.788844928]
 [1448.56383831   272.902500467 2097.052736533]
 [1443.714079751  273.429195531 2065.121824942]
 [1438.816619165  273.554248766 2033.013132975]
 [1433.855247912  273.252520907 2000.743584162]
 [1428.815721016  272.502137756 1968.330087016]
 [1423.686025334  271.285844199 1935.789714868]
 [1418.457089476  269.594219397 1903.140128386]
 [1413.124943657  267.434975708 1870.400753772]
 [1407.699536889  264.870091546 1837.59723762 ]
 [1400.           250.          1800.         ]]","[[0.33841703940914486], 0.33841703940914486]"
500,"[[1500.           250.          2400.         ]
 [1493.429206508  256.958054029 2374.869086358]
 [1487.944090397  260.398747527 2345.836545489]
 [1482.685263629  263.729191403 2316.38243777 ]
 [1477.610593937  266.893066133 2286.529552954]
 [1472.680563659  269.836561532 2256.300528236]
 [1467.858214358  272.508389407 2225.717839722]
 [1463.109094843  274.859812915 2194.803793306]
 [1458.401212705  276.844695215 2163.580515927]
 [1453.70499038   278.419572955 2132.069948651]
 [1448.993228095  279.543765527 2100.293843751]
 [1444.241078606  280.179541314 2068.27376945 ]
 [1439.426043695  280.292383067 2036.03112885 ]
 [1434.528013309  279.851440748 2003.587205766]
 [1429.529394674  278.830371752 1970.963264717]
 [1424.415450652  277.209072589 1938.180770682]
 [1419.175196693  274.977777108 1905.261912617]
 [1413.804128276  272.148880208 1872.231070931]
 [1408.315333531  268.804024783 1839.120366987]
 [1400.           250.          1800.         ]]","[[0.3389021279987363], 0.3389021279987363]"
600,"[[1500.           250.          2400.         ]
 [1493.21872364   258.688972976 2376.171543586]
 [1487.713211217  262.979124406 2347.654145982]
 [1482.4770979    267.125027774 2318.63012136 ]
 [1477.459296324  271.05586642  2289.126693814]
 [1472.611946754  274.704223204 2259.170959588]
 [1467.890348173  278.006106166 2228.789871641]
 [1463.252893408  280.900996188 2198.010223039]
 [1458.661008395  283.331919188 2166.858630397]
 [1454.079096753  285.24554904  2135.361519154]
 [1449.474492587  286.592354087 2103.545113397]
 [1444.817427556  287.326812729 2071.435434708]
 [1440.081024416  287.407749313 2039.058317972]
 [1435.241342598  286.798898058 2006.439459551]
 [1430.277533462  285.469939321 1973.604530689]
 [1425.172250198  283.398623969 1940.57943505 ]
 [1419.912736156  280.575785947 1907.390931238]
 [1414.494131683  277.019771936 1874.068387227]
 [1408.932917972  272.833755335 1840.650415679]
 [1400.           250.          1800.         ]]","[[0.3394092753035946], 0.3394092753035946]"
700,"[[1500.           250.          2400.         ]
 [1493.02565245   260.548397356 2377.477604858]
 [1487.507859208  265.749099807 2349.476975409]
 [1482.301761238  270.767015383 2320.884426479]
 [1477.347137299  275.515591047 2291.731581531]
 [1472.587647834  279.912710512 2262.049979373]
 [1467.970749034  283.880739368 2231.871049952]
 [1463.447611604  287.346598119 2201.22608822 ]
 [1458.973044301  290.241865209 2170.146227566]
 [1454.505423724  292.502916642 2138.662414957]
 [1450.006633897  294.071116748 2106.80539107 ]
 [1445.442022984  294.893089794 2074.605680731]
 [1440.780391761  294.921132831 2042.093603078]
 [1435.994044291  294.113897545 2009.299319588]
 [1431.058969142  292.437631277 1976.252958493]
 [1425.955322433  289.868708555 1942.984907874]
 [1420.66871243   286.399588842 1909.526535142]
 [1415.1940983    282.055933538 1875.912225966]
 [1409.551600896  276.964421682 1842.187095865]
 [1400.           250.          1800.         ]]","[[0.3399397209193458], 0.3399397209193458]"
800,"[[1500.           250.          2400.         ]
 [1492.84990978   262.543810041 2378.786940078]
 [1487.327872197  268.719712334 2351.304543727]
 [1482.158969785  274.669476769 2323.144711113]
 [1477.273670761  280.289495652 2294.343433089]
 [1472.607025914  285.481790857 2264.93667759 ]
 [1468.098560576  290.154086505 2234.960354731]
 [1463.692171913  294.219915941 2204.450279032]
 [1459.336031734  297.598764325 2173.44213055 ]
 [1454.982496705  300.216253415 2141.971417473]
 [1450.588030367  302.004384541 2110.073443996]
 [1446.113145752  302.901873503 2077.783289736]
 [1441.522385923  302.854647082 2045.135811613]
 [1436.78437804   301.816649494 2012.165689108]
 [1431.872040357  299.751296375 1978.907557213]
 [1426.763140437  296.634427214 1945.396332769]
 [1421.441781676  292.461238409 1911.668028778]
 [1415.902907451  287.266169064 1877.762075252]
 [1410.170514658  281.201494333 1843.730096778]
 [1400.           250.          1800.         ]]","[[0.3404947869156058], 0.3404947869156058]"
900,"[[1500.           250.          2400.         ]
 [1492.691236343  264.683196865 2380.099197619]
 [1487.172822582  271.902742137 2353.13632889 ]
 [1482.048084968  278.847695591 2325.410291235]
 [1477.238008854  285.395991858 2296.961414081]
 [1472.668916399  291.432552745 2267.830084304]
 [1468.272329465  296.849397245 2238.056698613]
 [1463.984838397  301.545792784 2207.681611951]
 [1459.747977185  305.42844764  2176.745083954]
 [1455.508107569  308.411750705 2145.287226442]
 [1451.216317572  310.418075613 2113.347956385]
 [1446.82834508   311.378186834 2080.96696154 ]
 [1442.30454675   311.231826736 2048.183691264]
 [1437.609953384  309.928653061 2015.037396297]
 [1432.714502662  307.42991344  1981.56726763 ]
 [1427.593675147  303.711831503 1947.812793705]
 [1422.230189461  298.773544474 1913.814667349]
 [1416.619126595  292.659838936 1879.617385806]
 [1410.788582325  285.550798554 1845.279083195]
 [1400.           250.          1800.         ]]","[[0.34107588313705517], 0.34107588313705517]"
