Iteration,Trajectory,Legibility
1,"[[1500.           250.          2400.         ]
 [1500.00000029   250.000010335 2363.157895066]
 [1500.000000413  250.000014673 2326.315789931]
 [1500.00000052   250.000018458 2289.473684772]
 [1500.000000612  250.00002169  2252.631579591]
 [1500.000000689  250.000024369 2215.78947439 ]
 [1500.000000751  250.000026494 2178.947369169]
 [1500.000000797  250.000028066 2142.10526393 ]
 [1500.000000827  250.000029085 2105.263158674]
 [1500.000000841  250.000029551 2068.421053402]
 [1500.00000084   250.000029465 2031.578948116]
 [1500.000000823  250.000028827 1994.736842817]
 [1500.00000079   250.00002764  1957.894737505]
 [1500.000000741  250.000025904 1921.052632182]
 [1500.000000676  250.000023624 1884.21052685 ]
 [1500.000000595  250.000020805 1847.36842151 ]
 [1500.000000499  250.000017459 1810.526316163]
 [1500.000000388  250.00001361  1773.68421081 ]
 [1500.000000265  250.000009334 1736.842105454]
 [1500.           250.          1700.         ]]","[[0.3357648161936047, 0.33575709720445823, 0.335505328808341], 0.3356757474021346]"
100,"[[1500.           250.          2400.         ]
 [1500.000028999  250.001033505 2363.157927686]
 [1500.000041261  250.001467328 2326.31583518 ]
 [1500.000052012  250.001845841 2289.473740361]
 [1500.000061238  250.002169028 2252.63164335 ]
 [1500.000068929  250.002436882 2215.789544271]
 [1500.000075073  250.002649402 2178.947443245]
 [1500.00007966   250.002806594 2142.105340396]
 [1500.00008268   250.002908477 2105.263235847]
 [1500.000084125  250.002955085 2068.421129721]
 [1500.00008399   250.00294647  2031.579022142]
 [1500.000082267  250.002882718 1994.736913233]
 [1500.000078956  250.00276396  1957.894803119]
 [1500.000074054  250.002590403 1921.052691926]
 [1500.000067566  250.002362384 1884.210579779]
 [1500.000059504  250.002080492 1847.368466808]
 [1500.000049896  250.001745853 1810.526353146]
 [1500.000038811  250.001360993 1773.684238936]
 [1500.000026462  250.000933412 1736.842124354]
 [1500.           250.          1700.         ]]","[[0.3357648160814494, 0.3357571180756574, 0.3355053481441844], 0.33567576076709704]"
200,"[[1500.           250.          2400.         ]
 [1500.000057998  250.00206701  2363.157960634]
 [1500.000082521  250.002934657 2326.315880886]
 [1500.000104023  250.003691682 2289.473796511]
 [1500.000122477  250.004338057 2252.631707752]
 [1500.000137858  250.004873765 2215.789614856]
 [1500.000150146  250.005298805 2178.947518067]
 [1500.000159319  250.005613189 2142.105417633]
 [1500.000165359  250.005816955 2105.263313797]
 [1500.00016825   250.005910169 2068.421206809]
 [1500.000167979  250.00589294  2031.579096913]
 [1500.000164534  250.005765436 1994.736984359]
 [1500.000157911  250.005527919 1957.894869395]
 [1500.000148107  250.005180804 1921.052752271]
 [1500.000135132  250.004724766 1884.210633241]
 [1500.000119008  250.004160981 1847.368512563]
 [1500.000099792  250.003491701 1810.526390502]
 [1500.000077621  250.002721981 1773.684267345]
 [1500.000052924  250.001866818 1736.842143445]
 [1500.           250.          1700.         ]]","[[0.3357648159681611, 0.3357571391571584, 0.33550536767487127], 0.3356757742667303]"
300,"[[1500.           250.          2400.         ]
 [1500.000086997  250.003100515 2363.157993581]
 [1500.000123782  250.004401987 2326.315926591]
 [1500.000156034  250.005537525 2289.473852659]
 [1500.000183714  250.006507087 2252.631772153]
 [1500.000206787  250.007310649 2215.789685439]
 [1500.000225219  250.007948208 2178.947592888]
 [1500.000238978  250.008419784 2142.105494867]
 [1500.000248038  250.008725433 2105.263391746]
 [1500.000252375  250.008865254 2068.421283894]
 [1500.000251967  250.008839409 2031.579171683]
 [1500.000246801  250.008648152 1994.737055483]
 [1500.000236865  250.008291877 1957.894935668]
 [1500.00022216   250.007771204 1921.052812615]
 [1500.000202697  250.007087145 1884.210686702]
 [1500.000178512  250.006241466 1847.368558316]
 [1500.000149688  250.005237546 1810.526427856]
 [1500.000116431  250.004082964 1773.684295754]
 [1500.000079386  250.002800218 1736.842162535]
 [1500.           250.          1700.         ]]","[[0.33576481585487117, 0.3357571602381369, 0.3355053872050873], 0.33567578776603174]"
400,"[[1500.           250.          2400.         ]
 [1500.000115996  250.004134021 2363.158026528]
 [1500.000165042  250.005869317 2326.315972296]
 [1500.000208045  250.007383368 2289.473908807]
 [1500.000244952  250.008676117 2252.631836552]
 [1500.000275716  250.009747534 2215.789756021]
 [1500.000300291  250.010597612 2178.947667707]
 [1500.000318637  250.01122638  2142.1055721  ]
 [1500.000330717  250.011633911 2105.263469692]
 [1500.000336499  250.011820339 2068.421360978]
 [1500.000335956  250.011785878 2031.57924645 ]
 [1500.000329067  250.011530868 1994.737126605]
 [1500.00031582   250.011055834 1957.89500194 ]
 [1500.000296213  250.010361601 1921.052872956]
 [1500.000270262  250.009449522 1884.21074016 ]
 [1500.000238015  250.008321948 1847.368604067]
 [1500.000199583  250.006983387 1810.52646521 ]
 [1500.000155241  250.005443942 1773.684324161]
 [1500.000105847  250.003733613 1736.842181624]
 [1500.           250.          1700.         ]]","[[0.33576481574158146, 0.3357571813185946, 0.3355054067348335], 0.3356758012650032]"
500,"[[1500.           250.          2400.         ]
 [1500.000144995  250.005167527 2363.158059474]
 [1500.000206302  250.007336648 2326.316017999]
 [1500.000260055  250.009229211 2289.473964953]
 [1500.000306189  250.010845149 2252.631900949]
 [1500.000344644  250.012184419 2215.789826602]
 [1500.000375363  250.013247017 2178.947742524]
 [1500.000398295  250.014032977 2142.105649331]
 [1500.000413395  250.01454239  2105.263547637]
 [1500.000420622  250.014775423 2068.421438059]
 [1500.000419943  250.014732347 2031.579321216]
 [1500.000411332  250.014413584 1994.737197725]
 [1500.000394773  250.013819789 1957.89506821 ]
 [1500.000370265  250.012951997 1921.052933297]
 [1500.000337827  250.011811896 1884.210793618]
 [1500.000297518  250.010402427 1847.368649818]
 [1500.000249478  250.008729223 1810.526502562]
 [1500.00019405   250.006804916 1773.684352568]
 [1500.000132308  250.004667003 1736.842200713]
 [1500.           250.          1700.         ]]","[[0.33576481562829186, 0.33575720239852963, 0.33550542626410823], 0.3356758147636432]"
600,"[[1500.           250.          2400.         ]
 [1500.000173994  250.006201034 2363.15809242 ]
 [1500.000247562  250.008803979 2326.316063701]
 [1500.000312066  250.011075056 2289.474021098]
 [1500.000367427  250.013014181 2252.631965346]
 [1500.000413572  250.014621306 2215.78989718 ]
 [1500.000450434  250.015896422 2178.947817339]
 [1500.000477953  250.016839574 2142.10572656 ]
 [1500.000496073  250.017450869 2105.26362558 ]
 [1500.000504746  250.017730508 2068.421515139]
 [1500.000503931  250.017678816 2031.579395979]
 [1500.000493598  250.017296298 1994.737268843]
 [1500.000473727  250.016583743 1957.895134478]
 [1500.000444316  250.015542391 1921.052993635]
 [1500.000405391  250.014174268 1884.210847074]
 [1500.00035702   250.012482903 1847.368695566]
 [1500.000299372  250.010475056 1810.526539913]
 [1500.000232859  250.008165885 1773.684380973]
 [1500.000158768  250.005600387 1736.842219801]
 [1500.           250.          1700.         ]]","[[0.335764815515001, 0.3357572234779433, 0.33550544579291275], 0.33567582826195236]"
700,"[[1500.           250.          2400.         ]
 [1500.000202992  250.007234541 2363.158125365]
 [1500.000288822  250.010271311 2326.316109403]
 [1500.000364076  250.012920901 2289.474077242]
 [1500.000428663  250.015183214 2252.632029741]
 [1500.000482499  250.017058193 2215.789967758]
 [1500.000525505  250.018545829 2178.947892153]
 [1500.000557611  250.019646172 2142.105803787]
 [1500.00057875   250.020359349 2105.26370352 ]
 [1500.000588868  250.020685594 2068.421592217]
 [1500.000587918  250.020625284 2031.579470741]
 [1500.000575862  250.020179012 1994.737339959]
 [1500.00055268   250.019347696 1957.895200744]
 [1500.000518368  250.018132783 1921.053053972]
 [1500.000472954  250.016536637 1884.210900528]
 [1500.000416522  250.014563376 1847.368741314]
 [1500.000349266  250.012220885 1810.526577263]
 [1500.000271667  250.00952685  1773.684409378]
 [1500.000185228  250.006533765 1736.842238888]
 [1500.           250.          1700.         ]]","[[0.33576481540171, 0.3357572445568356, 0.33550546532124675], 0.3356758417599308]"
800,"[[1500.           250.          2400.         ]
 [1500.000231991  250.008268049 2363.15815831 ]
 [1500.000330082  250.011738644 2326.316155104]
 [1500.000416086  250.014766746 2289.474133385]
 [1500.0004899    250.017352247 2252.632094134]
 [1500.000551427  250.019495081 2215.790038333]
 [1500.000600576  250.021195236 2178.947966965]
 [1500.000637268  250.02245277  2142.105881012]
 [1500.000661427  250.023267829 2105.263781459]
 [1500.000672991  250.023640679 2068.421669292]
 [1500.000671904  250.023571752 2031.5795455  ]
 [1500.000658126  250.023061725 1994.737411074]
 [1500.000631632  250.022111648 1957.895267008]
 [1500.000592418  250.020723173 1921.053114307]
 [1500.000540518  250.018899004 1884.21095398 ]
 [1500.000476024  250.016643845 1847.36878706 ]
 [1500.00039916   250.01396671  1810.526614612]
 [1500.000310476  250.010887809 1773.684437782]
 [1500.000211688  250.007467138 1736.842257975]
 [1500.           250.          1700.         ]]","[[0.3357648152884182, 0.33575726563520664, 0.33550548484911075], 0.33567585525757854]"
900,"[[1500.           250.          2400.         ]
 [1500.000260989  250.009301556 2363.158191254]
 [1500.000371341  250.013205977 2326.316200803]
 [1500.000468096  250.016612593 2289.474189526]
 [1500.000551136  250.019521282 2252.632158526]
 [1500.000620354  250.021931969 2215.790108907]
 [1500.000675647  250.023844644 2178.948041775]
 [1500.000716925  250.025259369 2142.105958235]
 [1500.000744104  250.026176309 2105.263859396]
 [1500.000757113  250.026595764 2068.421746366]
 [1500.00075589   250.02651822  2031.579620258]
 [1500.00074039   250.025944437 1994.737482186]
 [1500.000710584  250.024875598 1957.895333271]
 [1500.000666469  250.023313561 1921.05317464 ]
 [1500.00060808   250.021261368 1884.211007432]
 [1500.000535525  250.018724311 1847.368832805]
 [1500.000449053  250.015712531 1810.52665196 ]
 [1500.000349283  250.012248764 1773.684466185]
 [1500.000238148  250.008400506 1736.842277062]
 [1500.           250.          1700.         ]]","[[0.3357648151751268, 0.3357572867130544, 0.3355055043765039], 0.335675868754895]"
