Iteration,Trajectory,Legibility
1,"[[1500.           250.          2400.         ]
 [1505.269901658  250.020458279 2363.182673733]
 [1510.534518392  250.03073364  2326.349953501]
 [1515.798119862  250.040815618 2289.515395522]
 [1521.060885193  250.050541446 2252.679121314]
 [1526.322981183  250.05975257  2215.841250523]
 [1531.584562658  250.068294579 2179.001900967]
 [1536.845772803  250.076017163 2142.161188681]
 [1542.106743488  250.082774092 2105.319227969]
 [1547.367595565  250.08842324  2068.476131463]
 [1552.628439144  250.092826683 2031.632010183]
 [1557.889373828  250.095850927 1994.786973626]
 [1563.15048888   250.097367368 1957.941129874]
 [1568.411863274  250.097253236 1921.094585745]
 [1573.67356548   250.095393563 1884.247447038]
 [1578.935652654  250.09168563  1847.39981895 ]
 [1584.198168176  250.086050327 1810.55180691 ]
 [1589.461133486  250.078467404 1773.703518552]
 [1594.724512162  250.069128022 1736.855069986]
 [1600.           250.          1700.         ]]","[[0.33790139062312086], 0.33790139062312086]"
100,"[[1500.           250.          2400.         ]
 [1505.912925169  252.214980715 2365.648958034]
 [1511.310224548  253.323188542 2329.751586326]
 [1516.606803571  254.40648917  2293.669931958]
 [1521.820797669  255.44712283  2257.416009013]
 [1526.969090281  256.427926383 2221.001665859]
 [1532.067347515  257.332323382 2184.438591503]
 [1537.130050471  258.144317813 2147.738321372]
 [1542.170525328  258.848492227 2110.912242755]
 [1547.20097111   259.430011738 2073.971600224]
 [1552.23248463   259.87463671  2036.92750148 ]
 [1557.275081502  260.168749681 1999.790924293]
 [1562.337710656  260.299407763 1962.572725695]
 [1567.428256736  260.254444845 1925.283655507]
 [1572.553516941  260.022680627 1887.934378373]
 [1577.719117092  259.594386221 1850.535513654]
 [1582.929259146  258.962464631 1813.097717147]
 [1588.18588876   258.126100808 1775.631879754]
 [1593.485025507  257.106537721 1738.149764791]
 [1600.           250.          1700.         ]]","[[0.3391068944901531], 0.3391068944901531]"
200,"[[1500.           250.          2400.         ]
 [1506.511643592  254.799115106 2368.167738984]
 [1512.018790805  257.191625404 2333.228216582]
 [1517.326244689  259.522196561 2297.919056137]
 [1522.470738449  261.752050116 2262.263995824]
 [1527.486451523  263.84397699  2226.286487972]
 [1532.405080586  265.762314561 2190.0097158  ]
 [1537.255903788  267.472934867 2153.456607303]
 [1542.065839045  268.94324484  2116.649846954]
 [1546.859496685  270.142201027 2079.611885996]
 [1551.659225945  271.040344151 2042.364952406]
 [1556.48515334   271.609864505 2004.931062032]
 [1561.355208034  271.824721056 1967.332033394]
 [1566.285122939  271.660864186 1929.589510527]
 [1571.288384331  271.096679817 1891.72500251 ]
 [1576.376058183  270.113964546 1853.759958863]
 [1581.556273224  268.700380127 1815.715929916]
 [1586.832520232  266.857018984 1777.614965833]
 [1592.196153488  264.631066537 1739.480912923]
 [1600.           250.          1700.         ]]","[[0.3404656082959341], 0.3404656082959341]"
300,"[[1500.           250.          2400.         ]
 [1507.058001011  257.798485229 2370.716075746]
 [1512.650198656  261.673443195 2336.748384105]
 [1517.945662124  265.435844704 2302.224550549]
 [1523.000193756  269.022191468 2267.179728165]
 [1527.865672063  272.371937911 2231.648712981]
 [1532.590165529  275.427459187 2195.665975267]
 [1537.218032927  278.13404174  2159.265684   ]
 [1541.790012202  280.439896601 2122.481725707]
 [1546.343299074  282.296198199 2085.347719129]
 [1550.911615092  283.657155977 2047.897027489]
 [1555.525262589  284.480135001 2010.162770912]
 [1560.211159424  284.725860276 1972.177842956]
 [1564.99283647   284.35878164  1933.974938161]
 [1569.890356444  283.347781599 1895.586604038]
 [1574.920044167  281.667706742 1857.045347055]
 [1580.09369148   279.303196049 1818.383868059]
 [1585.415948979  276.260448764 1779.635663069]
 [1590.872832741  272.617979304 1740.837000887]
 [1600.           250.          1700.         ]]","[[0.3419855434689818], 0.3419855434689818]"
400,"[[1500.           250.          2400.         ]
 [1507.552010289  261.266524624 2373.296013993]
 [1513.204632321  266.84765509  2340.315098881]
 [1518.465600499  272.250345501 2306.590306036]
 [1523.410250969  277.382162314 2272.167872721]
 [1528.108533816  282.155456101 2237.093660437]
 [1532.625183051  286.487333181 2201.413205214]
 [1537.019863969  290.299665456 2165.171755321]
 [1541.347301521  293.519136762 2128.414298323]
 [1545.65739187   296.077327696 2091.185579642]
 [1549.995297263  297.910847275 2053.530115287]
 [1554.401521053  298.961532238 2015.492202443]
 [1558.9119534    299.176760542 1977.115933532]
 [1563.557864581  298.509984138 1938.445223401]
 [1568.3657896    296.921732172 1899.523868161]
 [1573.357154561  294.381748585 1860.395676213]
 [1578.547186298  290.874301033 1821.10477453 ]
 [1583.941351665  286.414462622 1781.696412257]
 [1589.51969432   281.118276023 1742.21964252 ]
 [1600.           250.          1700.         ]]","[[0.3436898305847591], 0.3436898305847591]"
500,"[[1500.           250.          2400.         ]
 [1507.995680206  265.265565719 2375.90982681 ]
 [1513.685282899  272.80644632  2343.931706524]
 [1518.890622159  280.085790699 2311.020649024]
 [1523.707002664  286.977412752 2277.233620828]
 [1528.222757306  293.362230838 2242.627250362]
 [1532.519496678  299.128266596 2207.257901978]
 [1536.672324387  304.1707025   2171.181729907]
 [1540.750023443  308.391992774 2134.454714802]
 [1544.81521674   311.702027222 2097.13268586 ]
 [1548.924501863  314.018356054 2059.271332139]
 [1553.128555976  315.266500069 2020.926207999]
 [1557.472198478  315.380404335 1982.152740143]
 [1561.994381677  314.303169731 1943.006248842]
 [1566.728037359  311.988386819 1903.542007366]
 [1571.69958827   308.402932987 1863.815391743]
 [1576.927539419  303.533876487 1823.88225299 ]
 [1582.417911029  297.409611834 1783.799924123]
 [1588.144217721  290.190876651 1743.630629593]
 [1600.           250.          1700.         ]]","[[0.3456060294820181], 0.3456060294820181]"
600,"[[1500.           250.          2400.         ]
 [1508.393991102  269.868776473 2378.560033037]
 [1514.099811706  279.658041888 2347.601915522]
 [1519.23125107   289.083193998 2315.520377187]
 [1523.903953048  297.978767906 2282.382731845]
 [1528.224838782  306.189257081 2248.256053346]
 [1532.292473036  313.56917669  2213.207278543]
 [1536.197382807  319.983211891 2177.303280882]
 [1540.02233448   325.306439597 2140.610918039]
 [1543.842572598  329.424618577 2103.197057441]
 [1547.726019437  332.234553631 2065.128584289]
 [1551.733428973  333.644560155 2026.472398381]
 [1555.918478787  333.575098001 1987.295409146]
 [1560.327762286  331.959739184 1947.664544731]
 [1565.000591975  328.746872082 1907.646804989]
 [1569.968379378  323.903215221 1867.309422804]
 [1575.25287503   317.422439549 1826.720296506]
 [1580.860527284  309.351529895 1785.949200347]
 [1586.757899157  299.904244713 1745.071945459]
 [1600.           250.          1700.         ]]","[[0.34776718859764655], 0.34776718859764655]"
700,"[[1500.           250.          2400.         ]
 [1508.756322374  275.162590292 2381.249410937]
 [1514.462490478  287.530304241 2351.329817649]
 [1519.506814389  299.409184817 2320.09478634 ]
 [1524.025533738  310.588121545 2287.621566038]
 [1528.144192932  320.869398741 2253.987328732]
 [1531.978181447  330.068877935 2219.269307107]
 [1535.633211875  338.016298453 2183.544891694]
 [1539.20574154   344.555675226 2146.891691657]
 [1542.783338759  349.545780789 2109.387563804]
 [1546.444989607  352.860711858 2071.110615515]
 [1550.261334073  354.390566338 2032.13918925 ]
 [1554.294808618  354.042308909 1992.551840213]
 [1558.599647426  351.74102052  1952.427326414]
 [1563.221633992  347.432017722 1911.844647315]
 [1568.197323099  341.085144339 1870.883208557]
 [1573.551880533  332.70524458  1829.623307797]
 [1579.292278574  322.364160806 1788.147548024]
 [1585.377921936  310.338396245 1746.545774282]
 [1600.           250.          1700.         ]]","[[0.35021318878613505], 0.35021318878613505]"
800,"[[1500.           250.          2400.         ]
 [1509.098555198  281.249755489 2383.98100177 ]
 [1514.797352809  296.575247299 2355.119893499]
 [1519.74962476   311.261895684 2324.749678066]
 [1524.112275889  325.045574707 2292.957094343]
 [1528.029244346  337.679626278 2259.829036409]
 [1531.632300775  348.935237922 2225.452732621]
 [1535.041771943  358.601980746 2189.915870984]
 [1538.367191201  366.488472645 2153.30667565 ]
 [1541.707870999  372.423141352 2115.713939912]
 [1545.153385474  376.255078201 2077.227022322]
 [1548.783942625  377.855004342 2037.935815069]
 [1552.670612119  377.116434402 1997.930698398]
 [1556.875347161  373.957263705 1957.302504061]
 [1561.450670085  368.322353802 1916.142530716]
 [1566.438693966  360.188667737 1874.542702726]
 [1571.868487766  349.577737217 1832.59610152 ]
 [1577.747986778  336.593751032 1790.398580317]
 [1584.029565391  321.587378223 1748.054500984]
 [1600.           250.          1700.         ]]","[[0.35299244373954825], 0.35299244373954825]"
900,"[[1500.           250.          2400.         ]
 [1509.446191109  288.253148497 2386.758093796]
 [1515.142866619  306.974679058 2358.976989183]
 [1520.011178671  324.878317725 2329.491329973]
 [1524.228472154  341.638348657 2298.396863129]
 [1527.956447275  356.951294055 2265.789797058]
 [1531.34234171   370.53659085  2231.767029532]
 [1534.520029299  382.137480927 2196.426306754]
 [1537.61102893   391.522059826 2159.866318875]
 [1540.725406023  398.484440068 2122.186737902]
 [1543.962538824  402.846004657 2083.48820551 ]
 [1547.411711336  404.456763228 2043.872281315]
 [1551.152480221  403.196898981 2003.441367739]
 [1555.254733925  398.978762616 1962.298638425]
 [1559.778287466  391.749982688 1920.548020395]
 [1564.771635224  381.499515144 1878.29433631 ]
 [1570.268727593  368.272259719 1835.643872124]
 [1576.279425144  352.213745181 1792.706190813]
 [1582.749707594  333.76230001  1749.600693614]
 [1600.           250.          1700.         ]]","[[0.35616403453463114], 0.35616403453463114]"
