Iteration,Trajectory,Legibility
1000,"[[1500.           250.          2400.         ]
 [1489.130145715  250.476681477 2364.110394347]
 [1478.522828312  250.7797633   2327.632963292]
 [1467.963341819  251.109606713 2291.087435256]
 [1457.443091953  251.454545887 2254.478346738]
 [1446.954164777  251.803358805 2217.810093784]
 [1436.489291294  252.145253272 2181.086937533]
 [1426.041814217  252.469854901 2144.313009492]
 [1415.605656872  252.767197532 2107.492316606]
 [1405.175294308  253.02771691  2070.628746247]
 [1394.745726834  253.242249225 2033.726071276]
 [1384.312456571  253.40203754  1996.787955448]
 [1373.871468292  253.498752205 1959.817959645]
 [1363.419217325  253.524538244 1922.819549979]
 [1352.952631111  253.472119816 1885.796110052]
 [1342.469141551  253.33503972  1848.750963355]
 [1331.966799784  253.108268826 1811.68742391 ]
 [1321.444666787  252.790064949 1774.608944522]
 [1310.90450254   252.389734537 1737.51974925 ]
 [1300.           250.          1700.         ]]","[[0.343323223798098], 0.343323223798098]"
2000,"[[1500.           250.          2400.         ]
 [1488.792041168  250.992579533 2365.066437052]
 [1478.106299593  251.617486718 2328.955357872]
 [1467.516019511  252.294670112 2292.707949088]
 [1457.003957202  253.000447818 2256.33324728 ]
 [1446.554235642  253.712057734 2219.840014342]
 [1436.152274311  254.407630569 2183.236749061]
 [1425.78472346   255.066167512 2146.531697847]
 [1415.439402641  255.667523276 2109.732864817]
 [1405.105243519  256.192396106 2072.848021504]
 [1394.772237391  256.622327839 2035.88471654 ]
 [1384.431388524  256.939720073 1998.850285906]
 [1374.074675819  257.127878671 1961.751864749]
 [1363.695028406  257.171112785 1924.596402856]
 [1353.28632841   257.054949152 1887.390688449]
 [1342.843475315  256.766619133 1850.141392291]
 [1332.362615789  256.296292745 1812.855168507]
 [1321.841927605  255.640834879 1775.538951446]
 [1311.285011647  254.819468436 1738.201225101]
 [1300.           250.          1700.         ]]","[[0.34392412556466123], 0.34392412556466123]"
3000,"[[1500.           250.          2400.         ]
 [1488.459473235  251.54925099  2366.026071301]
 [1477.697927847  252.515469512 2330.283044292]
 [1467.07926341   253.558179446 2294.335317201]
 [1456.577530366  254.641317394 2258.196389784]
 [1446.168839226  255.730249289 2221.879359184]
 [1435.831256041  256.791731613 2185.396938044]
 [1425.544704744  257.793880613 2148.761470872]
 [1415.29087583   258.706150413 2111.984949085]
 [1405.053141308  259.499322197 2075.079025159]
 [1394.816476456  260.145508993 2038.055026506]
 [1384.567389983  260.618185087 2000.923969993]
 [1374.293866362  260.892258472 1963.696578681]
 [1363.985328769  260.944225916 1926.383303945]
 [1353.632642571  260.752502653 1888.994360044]
 [1343.228211343  260.298165168 1851.539789247]
 [1332.766322002  259.566825424 1814.029612347]
 [1322.244324853  258.554323988 1776.474274527]
 [1311.667742247  257.29043788  1738.886556294]
 [1300.           250.          1700.         ]]","[[0.34454636816219353], 0.34454636816219353]"
4000,"[[1500.           250.          2400.         ]
 [1488.132535337  252.148325847 2366.989347082]
 [1477.297844514  253.476119103 2331.616095879]
 [1466.653231915  254.903264756 2295.969633981]
 [1456.163984608  256.380936538 2260.067886889]
 [1445.79815118   257.862282041 2223.928255987]
 [1435.526403191  259.302373512 2187.567643662]
 [1425.321905951  260.658170712 2151.002475514]
 [1415.1601977    261.888496744 2114.248720279]
 [1405.019076915  262.954029511 2077.321908159]
 [1394.878498354  263.817314652 2040.237148459]
 [1384.720479901  264.442811914 2003.009147794]
 [1374.529025228  264.796999603 1965.652231077]
 [1364.290073562  264.848590281 1928.180369545]
 [1353.991503342  264.568981547 1890.607225342]
 [1343.623259429  263.933263056 1852.94623694 ]
 [1333.177813834  262.922746912 1815.210818882]
 [1322.6517448    261.532638417 1777.414957049]
 [1312.052576096  259.803935489 1739.575765771]
 [1300.           250.          1700.         ]]","[[0.345190829916699], 0.345190829916699]"
5000,"[[1500.           250.          2400.         ]
 [1487.811310083  252.791511735 2367.956315955]
 [1476.90616453   254.501957673 2332.954588267]
 [1466.238060972  256.333205469 2297.610996771]
 [1455.763464537  258.223267895 2261.947854742]
 [1445.442312552  260.112712597 2225.986836359]
 [1435.2378421    261.944604029 2189.749009327]
 [1425.116429396  263.66446229  2153.254863104]
 [1415.04743958   265.220239576 2116.52433366 ]
 [1405.003086386  266.562317261 2079.576825713]
 [1394.958302284  267.643530663 2042.43123368 ]
 [1384.890621669  268.419236335 2005.105963005]
 [1374.780083304  268.847452763 1967.618954697]
 [1364.609166266  268.889141472 1929.987718515]
 [1354.362793064  268.508784789 1892.229386781]
 [1344.028487568  267.675665759 1854.36081937 ]
 [1333.59695163   266.36707117  1816.398852187]
 [1323.064046242  264.577981765 1778.361042275]
 [1312.439375608  262.361313801 1740.268875857]
 [1300.           250.          1700.         ]]","[[0.3458584360247668], 0.3458584360247668]"
6000,"[[1500.           250.          2400.         ]
 [1487.495867498  253.480598705 2368.927031089]
 [1476.522983658  255.595629234 2334.298599444]
 [1465.833860509  257.851439597 2299.25950593 ]
 [1455.376081774  260.172465968 2263.836413065]
 [1445.101424524  262.486318419 2228.055235925]
 [1434.965652729  264.723715785 2191.941182759]
 [1424.928325169  266.818443059 2155.518789433]
 [1414.952615717  268.707331663 2118.81194895 ]
 [1405.005145092  270.330265777 2081.843937344]
 [1395.055824707  271.630222886 2044.637437488]
 [1385.077715577  272.553366197 2007.214562957]
 [1375.046909818  273.049226075 1969.596885432]
 [1364.942451933  273.071051512 1931.80547226 ]
 [1354.746340583  272.576520958 1893.860948705]
 [1344.443716708  271.529304042 1855.783621762]
 [1334.023556379  269.902954115 1817.593776883]
 [1323.481057237  267.692660993 1779.312573358]
 [1312.827981684  264.96398901  1740.965908158]
 [1300.           250.          1700.         ]]","[[0.34655016165270164], 0.34655016165270164]"
7000,"[[1500.           250.          2400.         ]
 [1487.18626302   254.21746435  2369.901547288]
 [1476.148375479  256.759907215 2335.648209797]
 [1465.440710412  259.461573617 2300.915264898]
 [1455.001909947  262.232889063 2265.733685227]
 [1444.775542476  264.988111567 2230.133594394]
 [1434.709861881  267.645261478 2194.144316066]
 [1424.757583645  270.126080304 2157.794414823]
 [1414.875675218  272.356018282 2121.111730398]
 [1405.025159326  274.264253893 2084.123406946]
 [1395.170930797  275.783754454 2046.855919271]
 [1385.281590358  276.85139813  2009.335098631]
 [1375.329304205  277.408200838 1971.586162296]
 [1365.28970961   277.399743255 1933.633754698]
 [1355.141914436  276.777020982 1895.502017305]
 [1344.868714863  275.498297227 1857.214730501]
 [1334.457404896  273.533702202 1818.795658055]
 [1323.902571461  270.879092722 1780.269593246]
 [1313.218211273  267.613444965 1741.66688346 ]
 [1300.           250.          1700.         ]]","[[0.3472670352630941], 0.3472670352630941]"
8000,"[[1500.           250.          2400.         ]
 [1486.88253524   255.004079301 2370.879921028]
 [1475.782387985  257.99770258  2337.003502158]
 [1465.058655992  261.167393041 2302.578380243]
 [1454.640979041  264.409112081 2267.639798303]
 [1444.464669292  267.623353419 2232.222055626]
 [1434.47043556   270.715070198 2196.358565799]
 [1424.604127036  273.593638393 2160.081904186]
 [1414.816493     276.172855506 2123.423846825]
 [1405.062956835  278.370977549 2086.415402814]
 [1395.303404824  280.110804244 2049.086842507]
 [1385.50199368   281.319835421 2011.467724657]
 [1375.626986971  281.930548367 1973.586927402]
 [1365.650643838  281.88090578  1935.472692216]
 [1355.549215207  281.115351727 1897.152700558]
 [1345.303190528  279.586964681 1858.654233045]
 [1334.898224442  277.262781604 1820.00456115 ]
 [1324.32834413   274.139809969 1781.232144565]
 [1313.609854659  270.311237449 1742.371821604]
 [1300.           250.          1700.         ]]","[[0.34801014218515497], 0.34801014218515497]"
9000,"[[1500.           250.          2400.         ]
 [1486.584703345  255.842513126 2371.862210478]
 [1475.425039737  259.312072547 2338.364561837]
 [1464.68770285   262.972873764 2304.248961711]
 [1454.293269024  266.705940238 2269.55488313 ]
 [1444.1687478    270.39757046  2234.320767687]
 [1434.247270356  273.939264902 2198.584093014]
 [1424.467799876  277.227697529 2162.381427071]
 [1414.774859571  280.164729791 2125.748471663]
 [1405.118276169  282.657469716 2088.72009767 ]
 [1395.452939334  284.618386649 2051.330374769]
 [1385.738581457  285.965507138 2013.612599294]
 [1375.939589439  286.622748    1975.599325926]
 [1366.024875108  286.520510844 1937.322413613]
 [1355.967866957  285.596830511 1898.813108147]
 [1345.746785296  283.799838089 1860.102217824]
 [1335.345686691  281.093828002 1821.22055186 ]
 [1324.758087433  277.477469346 1782.200269497]
 [1314.002672421  273.05899876  1743.080741364]
 [1300.           250.          1700.         ]]","[[0.34878062844589963], 0.34878062844589963]"
10000,"[[1500.           250.          2400.         ]
 [1486.292764225  256.734940647 2372.848475522]
 [1475.076315518  260.706229934 2339.731476658]
 [1464.327811084  264.882194232 2305.927122263]
 [1453.95870264   269.128423784 2271.479074344]
 [1443.887652252  273.316571197 2236.429882894]
 [1434.04018372   277.324281146 2200.821063309]
 [1424.348358291  281.035173851 2164.693157696]
 [1414.75046953   284.338878947 2128.085782971]
 [1405.190754685  287.131121726 2091.037668663]
 [1395.619122975  289.313872732 2053.586687703]
 [1385.990905828  290.795588589 2015.769884394]
 [1376.266642218  291.491606349 1977.623506043]
 [1366.411929142  291.324830468 1939.183050012]
 [1356.397407602  290.227040612 1900.483351349]
 [1346.199065572  288.141674553 1861.558774118]
 [1335.799400975  285.030657046 1822.443695992]
 [1325.191465426  280.89485874  1783.174009641]
 [1314.396392036  275.858442616 1743.793660299]
 [1300.           250.          1700.         ]]","[[0.34957970487999557], 0.34957970487999557]"
