Iteration,Trajectory,Legibility
1,"[[1500.           250.          2400.         ]
 [1505.263159317  250.000004996 2368.42105838 ]
 [1510.526317539  250.000007489 2336.84211328 ]
 [1515.789475554  250.000009926 2305.263167805]
 [1521.052633396  250.000012267 2273.684221975]
 [1526.315791097  250.000014476 2242.10527581 ]
 [1531.578948689  250.000016514 2210.526329332]
 [1536.842106199  250.000018346 2178.94738256 ]
 [1542.105263653  250.000019937 2147.368435513]
 [1547.368421077  250.000021253 2115.789488212]
 [1552.631578493  250.000022261 2084.210540674]
 [1557.894735923  250.000022928 2052.631592919]
 [1563.157893386  250.000023224 2021.052644966]
 [1568.4210509    250.000023119 1989.473696833]
 [1573.684208481  250.000022587 1957.894748538]
 [1578.947366142  250.000021605 1926.315800101]
 [1584.210523894  250.000020154 1894.73685154 ]
 [1589.473681745  250.000018236 1863.157902877]
 [1594.736839685  250.000015903 1831.578954141]
 [1600.           250.          1800.         ]]","[[0.336398090297179], 0.336398090297179]"
100,"[[1500.           250.          2400.         ]
 [1505.263300112  250.000499636 2368.421627516]
 [1510.526490711  250.000748951 2336.842906994]
 [1515.789660617  250.000992613 2305.264148915]
 [1521.052813254  250.00122675  2273.685355369]
 [1526.315951843  250.001447579 2242.10652841 ]
 [1531.579079412  250.001651408 2210.527670059]
 [1536.8421988    250.001834635 2178.94878231 ]
 [1542.10531266   250.001993752 2147.369867124]
 [1547.368423465  250.002125344 2115.790926433]
 [1552.631533512  250.002226096 2084.211962147]
 [1557.894644923  250.002292805 2052.632976147]
 [1563.157759648  250.002322392 2021.0539703  ]
 [1568.420879459  250.002311939 1989.474946456]
 [1573.684005947  250.002258749 1957.895906465]
 [1578.947140487  250.002160476 1926.316852196]
 [1584.210284178  250.002015449 1894.737785589]
 [1589.473437633  250.001823614 1863.158708784]
 [1594.736600119  250.001590343 1831.579624633]
 [1600.           250.          1800.         ]]","[[0.3363982542903947], 0.3363982542903947]"
200,"[[1500.           250.          2400.         ]
 [1505.263442325  250.000999291 2368.422202402]
 [1510.526665628  250.00149793  2336.843708726]
 [1515.789847545  250.001985263 2305.265139938]
 [1521.052994922  250.002453543 2273.686500214]
 [1526.316114205  250.002895207 2242.107793664]
 [1531.579211448  250.00330287  2210.529024332]
 [1536.842292328  250.003669329 2178.950196202]
 [1542.105362152  250.003987566 2147.371313198]
 [1547.368425868  250.004250751 2115.792379186]
 [1552.631488066  250.004452256 2084.213397981]
 [1557.894552994  250.004585672 2052.63437335 ]
 [1563.15762455   250.004644843 2021.055309024]
 [1568.42070628   250.004623933 1989.476208704]
 [1573.683801361  250.004517546 1957.89707609 ]
 [1578.946912547  250.004320993 1926.317914921]
 [1584.210042037  250.004030933 1894.738729075]
 [1589.473191054  250.003647253 1863.159522833]
 [1594.736358132  250.003180701 1831.5803019  ]
 [1600.           250.          1800.         ]]","[[0.3363984199433097], 0.3363984199433097]"
300,"[[1500.           250.          2400.         ]
 [1505.263584537  250.001498965 2368.422777288]
 [1510.526840541  250.002246936 2336.84451046 ]
 [1515.790034468  250.002977948 2305.266130963]
 [1521.053176584  250.00368038  2273.687645062]
 [1526.316276559  250.004342885 2242.109058921]
 [1531.579343475  250.004954387 2210.530378608]
 [1536.842385847  250.005504082 2178.951610098]
 [1542.105411636  250.005981442 2147.372759275]
 [1547.368428261  250.006376221 2115.793831941]
 [1552.631442612  250.006678479 2084.214833818]
 [1557.894461057  250.0068786   2052.635770557]
 [1563.157489444  250.006967353 2021.056647751]
 [1568.420533093  250.006935982 1989.477470955]
 [1573.683596768  250.006776393 1957.898245718]
 [1578.946684602  250.006481554 1926.318977649]
 [1584.209799891  250.006046451 1894.739672563]
 [1589.472944473  250.005470917 1863.160336884]
 [1594.736116145  250.004771075 1831.580979168]
 [1600.           250.          1800.         ]]","[[0.3363985855994419], 0.3363985855994419]"
400,"[[1500.           250.          2400.         ]
 [1505.263726745  250.001998657 2368.423352176]
 [1510.52701545   250.00299597  2336.845312195]
 [1515.790221384  250.003970668 2305.26712199 ]
 [1521.053358239  250.004907259 2273.688789912]
 [1526.316438905  250.005790613 2242.110324181]
 [1531.579475493  250.00660596  2210.531732887]
 [1536.842479357  250.007338895 2178.953023996]
 [1542.10546111   250.007975379 2147.374205356]
 [1547.368430645  250.008501755 2115.7952847  ]
 [1552.631397148  250.008904765 2084.216269658]
 [1557.894369111  250.009171591 2052.637167766]
 [1563.157354329  250.009289923 2021.057986481]
 [1568.420359898  250.009248086 1989.478733208]
 [1573.683392169  250.009035289 1957.899415348]
 [1578.946456652  250.008642156 1926.320040378]
 [1584.209557742  250.008062003 1894.740616053]
 [1589.472697889  250.007294606 1863.161150937]
 [1594.735874157  250.006361464 1831.581656438]
 [1600.           250.          1800.         ]]","[[0.3363987512587924], 0.3363987512587924]"
500,"[[1500.           250.          2400.         ]
 [1505.26386895   250.002498368 2368.423927065]
 [1510.527190355  250.003745031 2336.846113933]
 [1515.790408296  250.004963425 2305.268113019]
 [1521.053539888  250.006134182 2273.689934765]
 [1526.316601244  250.00723839  2242.111589444]
 [1531.579607504  250.008257587 2210.533087169]
 [1536.842572858  250.009173766 2178.954437898]
 [1542.105510575  250.009969378 2147.37565144 ]
 [1547.368433019  250.010627352 2115.796737463]
 [1552.631351676  250.011131114 2084.217705502]
 [1557.894277156  250.011464643 2052.638564978]
 [1563.157219207  250.011612551 2021.059325213]
 [1568.420186696  250.011560244 1989.479995465]
 [1573.683187563  250.011294235 1957.900584981]
 [1578.946228697  250.010802801 1926.32110311 ]
 [1584.209315589  250.010077589 1894.741559545]
 [1589.472451303  250.00911832  1863.161964991]
 [1594.735632168  250.007951869 1831.582333709]
 [1600.           250.          1800.         ]]","[[0.33639891692136115], 0.33639891692136115]"
600,"[[1500.           250.          2400.         ]
 [1505.264011153  250.002998098 2368.424501955]
 [1510.527365255  250.00449412  2336.846915671]
 [1515.790595202  250.005956217 2305.26910405 ]
 [1521.05372153   250.007361148 2273.69107962 ]
 [1526.316763576  250.008686216 2242.112854709]
 [1531.579739506  250.009909269 2210.534441454]
 [1536.84266635   250.011008696 2178.955851803]
 [1542.10556003   250.01196344  2147.377097527]
 [1547.368435385  250.012753012 2115.798190228]
 [1552.631306193  250.013357527 2084.219141349]
 [1557.894185192  250.013757758 2052.639962194]
 [1563.157084076  250.013935238 2021.060663949]
 [1568.420013486  250.013872457 1989.481257724]
 [1573.682982951  250.013553229 1957.901754617]
 [1578.946000736  250.012963488 1926.322165845]
 [1584.209073433  250.01209321  1894.742503039]
 [1589.472204714  250.01094206  1863.162779048]
 [1594.735390179  250.009542289 1831.583010982]
 [1600.           250.          1800.         ]]","[[0.3363990825871474], 0.3363990825871474]"
700,"[[1500.           250.          2400.         ]
 [1505.264153352  250.003497846 2368.425076846]
 [1510.527540152  250.005243236 2336.847717412]
 [1515.790782102  250.006949044 2305.270095083]
 [1521.053903166  250.008588157 2273.692224477]
 [1526.3169259    250.010134093 2242.114119977]
 [1531.5798715    250.011561006 2210.535795742]
 [1536.842759834  250.012843685 2178.957265711]
 [1542.105609476  250.013957563 2147.378543618]
 [1547.36843774   250.014878736 2115.799642997]
 [1552.631260702  250.015584003 2084.220577199]
 [1557.894093219  250.016050934 2052.641359412]
 [1563.156948936  250.016257985 2021.062002688]
 [1568.419840269  250.016184725 1989.482519986]
 [1573.682778333  250.015812273 1957.902924255]
 [1578.94577277   250.015124217 1926.323228582]
 [1584.208831272  250.014108865 1894.743446536]
 [1589.471958124  250.012765825 1863.163593106]
 [1594.73514819   250.011132725 1831.583688257]
 [1600.           250.          1800.         ]]","[[0.33639924825615164], 0.33639924825615164]"
800,"[[1500.           250.          2400.         ]
 [1505.264295549  250.003997612 2368.425651738]
 [1510.527715044  250.005992379 2336.848519153]
 [1515.790968997  250.007941908 2305.271086118]
 [1521.054084794  250.009815209 2273.693369337]
 [1526.317088216  250.011582018 2242.115385248]
 [1531.580003485  250.013212798 2210.537150033]
 [1536.842853308  250.014678733 2178.958679622]
 [1542.105658913  250.015951747 2147.379989712]
 [1547.368440087  250.017004522 2115.801095769]
 [1552.631215201  250.017810543 2084.222013052]
 [1557.894001237  250.018344172 2052.642756634]
 [1563.156813788  250.01858079  2021.06334143 ]
 [1568.419667044  250.018497048 1989.483782251]
 [1573.682573708  250.018071366 1957.904093895]
 [1578.945544799  250.017284988 1926.324291321]
 [1584.208589108  250.016124554 1894.744390034]
 [1589.471711531  250.014589615 1863.164407167]
 [1594.734906199  250.012723177 1831.584365534]
 [1600.           250.          1800.         ]]","[[0.33639941392837425], 0.33639941392837425]"
900,"[[1500.           250.          2400.         ]
 [1505.264437743  250.004497398 2368.426226631]
 [1510.527889932  250.006741551 2336.849320897]
 [1515.791155887  250.008934807 2305.272077156]
 [1521.054266417  250.011042304 2273.6945142  ]
 [1526.317250525  250.013029994 2242.116650522]
 [1531.580135462  250.014864645 2210.538504327]
 [1536.842946774  250.01651384  2178.960093537]
 [1542.105708341  250.017945994 2147.381435809]
 [1547.368442424  250.019130372 2115.802548544]
 [1552.631169691  250.020037145 2084.223448909]
 [1557.893909246  250.020637472 2052.644153859]
 [1563.156678632  250.020903654 2021.064680174]
 [1568.419493812  250.020809426 1989.485044518]
 [1573.682369076  250.020330508 1957.905263539]
 [1578.945316823  250.019445802 1926.325354062]
 [1584.20834694   250.018140277 1894.745333535]
 [1589.471464936  250.016413431 1863.165221229]
 [1594.734664209  250.014313643 1831.585042812]
 [1600.           250.          1800.         ]]","[[0.3363995796038147], 0.3363995796038147]"
