Iteration,Trajectory,Legibility
1,"[[1500.           250.          2400.         ]
 [1505.26316662   250.000216329 2368.420989529]
 [1510.526328199  250.000305803 2336.842014788]
 [1515.789489328  250.000382921 2305.263042988]
 [1521.052650009  250.000447784 2273.684074242]
 [1526.315810248  250.000500518 2242.105108658]
 [1531.578970046  250.000541273 2210.526146338]
 [1536.84212941   250.000570231 2178.947187376]
 [1542.105288344  250.000587605 2147.368231858]
 [1547.368446856  250.000593648 2115.789279854]
 [1552.631604952  250.000588656 2084.210331419]
 [1557.894762642  250.000572975 2052.631386589]
 [1563.157919934  250.000547011 2021.052445371]
 [1568.42107684   250.00051124  1989.473507743]
 [1573.684233374  250.000466224 1957.894573636]
 [1578.947389549  250.000412635 1926.315642929]
 [1584.210545385  250.000351303 1894.736715415]
 [1589.473700905  250.000283325 1863.15779075 ]
 [1594.736856162  250.000210453 1831.578868264]
 [1600.           250.          1800.         ]]","[[0.34735846568602585], 0.34735846568602585]"
100,"[[1500.           250.          2400.         ]
 [1505.264030442  250.021633535 2368.414742529]
 [1510.527556728  250.030581308 2336.833057992]
 [1515.791038039  250.038293377 2305.25166754 ]
 [1521.054474649  250.044779957 2273.670582437]
 [1526.317866894  250.050053558 2242.08981351 ]
 [1531.581215178  250.054129295 2210.50937099 ]
 [1536.844519975  250.057025225 2178.929264326]
 [1542.107781842  250.058762754 2147.349501952]
 [1547.371001425  250.059367106 2115.770091013]
 [1552.634179468  250.058867881 2084.191037022]
 [1557.897316826  250.057299737 2052.612343439]
 [1563.160414477  250.054703242 2021.034011138]
 [1568.42347354   250.051125986 1989.456037711]
 [1573.686495299  250.046624153 1957.878416508]
 [1578.949481253  250.041265004 1926.301135195]
 [1584.212433225  250.035131509 1894.724173225]
 [1589.47535373   250.028333461 1863.147496179]
 [1594.738247792  250.021045893 1831.571037096]
 [1600.           250.          1800.         ]]","[[0.3473680678792482], 0.3473680678792482]"
200,"[[1500.           250.          2400.         ]
 [1505.264903003  250.04326841  2368.408432736]
 [1510.528797688  250.061164596 2336.824011171]
 [1515.792602421  250.076589333 2305.240177757]
 [1521.056317753  250.089563032 2273.656955019]
 [1526.319944355  250.100110709 2242.074364609]
 [1531.583483032  250.108262578 2210.492426989]
 [1536.846934736  250.114054747 2178.911161054]
 [1542.110300579  250.11753002  2147.330583675]
 [1547.373581853  250.118738836 2115.750709144]
 [1552.636780046  250.117740394 2084.171548491]
 [1557.89989687   250.114604009 2052.593108639]
 [1563.162934279  250.109410814 2021.015391343]
 [1568.425894511  250.102255991 1989.438391788]
 [1573.688780135  250.093251916 1957.862096681]
 [1578.951594148  250.082533117 1926.286481357]
 [1584.214340196  250.070265548 1894.711504728]
 [1589.477023311  250.056668808 1863.137097952]
 [1594.739653537  250.042092989 1831.56312711 ]
 [1600.           250.          1800.         ]]","[[0.3473777682993785], 0.3473777682993785]"
300,"[[1500.           250.          2400.         ]
 [1505.265775579  250.064904625 2368.402123252]
 [1510.53003867   250.091749865 2336.814964801]
 [1515.794166832  250.114887866 2305.228688547]
 [1521.058160891  250.134349227 2273.643328275]
 [1526.322021855  250.150171453 2242.058916456]
 [1531.585750931  250.16239985  2210.475483785]
 [1536.849349546  250.171088568 2178.893058604]
 [1542.112819369  250.176301798 2147.311666221]
 [1547.376162337  250.178115193 2115.731328077]
 [1552.639380684  250.176617542 2084.152060722]
 [1557.902476974  250.171912817 2052.573874549]
 [1563.165454143  250.164122715 2020.996772193]
 [1568.428315544  250.153390016 1989.420746442]
 [1573.691065034  250.13988329  1957.845777362]
 [1578.953707106  250.12380434  1926.271827961]
 [1584.216247229  250.105402117 1894.698836613]
 [1589.478692953  250.08500604  1863.126700058]
 [1594.741059342  250.063141289 1831.555217412]
 [1600.           250.          1800.         ]]","[[0.34738746996097886], 0.34738746996097886]"
400,"[[1500.           250.          2400.         ]
 [1505.266648169  250.08654218  2368.395814078]
 [1510.531279673  250.122337114 2336.805918881]
 [1515.79573127   250.153188977 2305.21719991 ]
 [1521.060004063  250.179138542 2273.629702203]
 [1526.324099395  250.200235791 2242.043469052]
 [1531.588018875  250.216541113 2210.45854138 ]
 [1536.851764405  250.228126687 2178.874956977]
 [1542.115338212  250.235078089 2147.292749591]
 [1547.378742877  250.237496175 2115.711947813]
 [1552.64198138   250.235499325 2084.132573717]
 [1557.90505714   250.22922616  2052.554641168]
 [1563.167974068  250.218838948 2020.978153689]
 [1568.430736641  250.204528062 1989.403101673]
 [1573.693349996  250.186518275 1957.82945855 ]
 [1578.955820127  250.165078674 1926.257175008]
 [1584.218154325  250.140541215 1894.686168882]
 [1589.480362655  250.113345159 1863.116302497]
 [1594.742465205  250.084190792 1831.547308002]
 [1600.           250.          1800.         ]]","[[0.34739717286425875], 0.34739717286425875]"
500,"[[1500.           250.          2400.         ]
 [1505.267520774  250.108181076 2368.389505213]
 [1510.532520698  250.152926345 2336.796873412]
 [1515.797295737  250.191492667 2305.205711846]
 [1521.06184727   250.223930977 2273.616076804]
 [1526.326176975  250.250303724 2242.028022397]
 [1531.590286864  250.270686366 2210.441599774]
 [1536.854179314  250.285169105 2178.856856173]
 [1542.117857107  250.293858893 2147.273833785]
 [1547.381323473  250.296881784 2115.692568352]
 [1552.644582134  250.294385743 2084.113087476]
 [1557.907637365  250.286544041 2052.535408497]
 [1563.170494056  250.273559512 2020.959535832]
 [1568.4331578    250.25567013  1989.385457482]
 [1573.695635021  250.233156871 1957.813140246]
 [1578.95793321   250.206356118 1926.242522497]
 [1584.220061482  250.175682843 1894.673501534]
 [1589.482032418  250.141686164 1863.105905268]
 [1594.743871128  250.105241499 1831.539398878]
 [1600.           250.          1800.         ]]","[[0.3474068770094256], 0.3474068770094256]"
600,"[[1500.           250.          2400.         ]
 [1505.268393393  250.129821312 2368.383196658]
 [1510.533761743  250.183517558 2336.787828394]
 [1515.798860231  250.229798937 2305.194224356]
 [1521.06369051   250.268726533 2273.60245208 ]
 [1526.328254594  250.300375251 2242.012576491]
 [1531.592554897  250.32483561  2210.424658967]
 [1536.856594271  250.342215824 2178.838756194]
 [1542.120376056  250.352644212 2147.254918803]
 [1547.383904125  250.356272022 2115.673189695]
 [1552.647182948  250.353276798 2084.093601999]
 [1557.910217651  250.343866459 2052.516176537]
 [1563.173014105  250.328284407 2020.940918621]
 [1568.435579022  250.306816219 1989.367813869]
 [1573.69792011   250.27979908  1957.796822452]
 [1578.960046356  250.247636674 1926.227870429]
 [1584.221968701  250.210827003 1894.660834571]
 [1589.483702241  250.170029055 1863.095508371]
 [1594.745277109  250.12629341  1831.531490043]
 [1600.           250.          1800.         ]]","[[0.3474165823966877], 0.3474165823966877]"
700,"[[1500.           250.          2400.         ]
 [1505.269266027  250.15146289  2368.376888413]
 [1510.535002811  250.214110752 2336.778783827]
 [1515.800424754  250.268107785 2305.182737439]
 [1521.065533785  250.313525211 2273.588828029]
 [1526.330332253  250.350450374 2241.997131335]
 [1531.594822975  250.378988846 2210.40771896 ]
 [1536.859009278  250.399266844 2178.82065704 ]
 [1542.122895058  250.411434045 2147.236004647]
 [1547.386484834  250.415666887 2115.653811843]
 [1552.649783819  250.412172489 2084.074117287]
 [1557.912797998  250.401193416 2052.496945288]
 [1563.175534217  250.383013636 2020.922302058]
 [1568.438000306  250.35796633  1989.350170834]
 [1573.700205261  250.326444902 1957.780505166]
 [1578.962159565  250.288920342 1926.213218804]
 [1584.223875983  250.245973693 1894.648167991]
 [1589.485372126  250.198373833 1863.085111808]
 [1594.746683149  250.147346524 1831.523581496]
 [1600.           250.          1800.         ]]","[[0.34742628902625167], 0.34742628902625167]"
800,"[[1500.           250.          2400.         ]
 [1505.270138675  250.173105808 2368.370580479]
 [1510.536243899  250.244705929 2336.769739712]
 [1515.801989304  250.306419214 2305.171251096]
 [1521.067377093  250.35832701  2273.575204652]
 [1526.332409952  250.400529093 2241.981686929]
 [1531.597091097  250.433146074 2210.390779753]
 [1536.861424334  250.456322164 2178.80255871 ]
 [1542.125414112  250.470228394 2147.217091317]
 [1547.389065598  250.475066382 2115.634434794]
 [1552.65238475   250.471072818 2084.054633341]
 [1557.915378405  250.458524911 2052.477714751]
 [1563.17805439   250.437747198 2020.903686143]
 [1568.440421653  250.409120465 1989.332528378]
 [1573.702490475  250.373094337 1957.764188389]
 [1578.964272837  250.330207121 1926.198567622]
 [1584.225783326  250.281122914 1894.635501796]
 [1589.487042071  250.226720498 1863.074715579]
 [1594.748089248  250.168400842 1831.515673237]
 [1600.           250.          1800.         ]]","[[0.34743599689832855], 0.34743599689832855]"
900,"[[1500.           250.          2400.         ]
 [1505.271011337  250.194750068 2368.364272854]
 [1510.537485009  250.275303088 2336.760696048]
 [1515.803553883  250.344733223 2305.159765328]
 [1521.069220436  250.403131931 2273.561581951]
 [1526.33448769   250.450611409 2241.966243274]
 [1531.599359265  250.487307295 2210.373841347]
 [1536.863839439  250.513381787 2178.784461206]
 [1542.127933219  250.52902726  2147.198178813]
 [1547.391646418  250.534470506 2115.615058552]
 [1552.654985739  250.529977785 2084.03515016 ]
 [1557.917958873  250.515860946 2052.458484926]
 [1563.180574625  250.492485093 2020.885070876]
 [1568.442843063  250.460278623 1989.314886502]
 [1573.704775752  250.419747386 1957.747872123]
 [1578.966386172  250.371497013 1926.183916885]
 [1584.227690731  250.316274667 1894.622835985]
 [1589.488712076  250.25506905  1863.064319683]
 [1594.749495406  250.189456364 1831.507765266]
 [1600.           250.          1800.         ]]","[[0.34744570601312563], 0.34744570601312563]"
