Iteration,Trajectory,Legibility
1,"[[1500.           250.          2400.         ]
 [1505.263159962  250.000004896 2357.894743442]
 [1510.526318319  250.000007372 2315.789482688]
 [1515.789476378  250.000009807 2273.684221391]
 [1521.052634194  250.00001216  2231.578959592]
 [1526.315791819  250.000014388 2189.473697331]
 [1531.578949302  250.000016451 2147.368434645]
 [1536.842106683  250.000018312 2105.263171575]
 [1542.105264004  250.000019933 2063.157908157]
 [1547.368421299  250.000021277 2021.052644429]
 [1552.631578599  250.000022309 1978.947380428]
 [1557.894735931  250.000022998 1936.842116189]
 [1563.157893321  250.00002331  1894.73685175 ]
 [1568.421050786  250.000023217 1852.631587144]
 [1573.684208345  250.000022691 1810.526322406]
 [1578.947366008  250.000021708 1768.421057571]
 [1584.210523785  250.000020253 1726.315792672]
 [1589.473681675  250.000018325 1684.210527742]
 [1594.736839664  250.00001598  1642.105262809]
 [1600.           250.          1600.         ]]","[[0.3366809004020535], 0.3366809004020535]"
100,"[[1500.           250.          2400.         ]
 [1505.263364608  250.00048959  2357.895396807]
 [1510.526568737  250.00073718  2315.790374042]
 [1515.789743024  250.000980729 2273.68529702 ]
 [1521.052893073  250.001215974 2231.580169763]
 [1526.316024048  250.001438786 2189.474996236]
 [1531.579140683  250.001645167 2147.36978034 ]
 [1536.842247293  250.001831249 2105.26452592 ]
 [1542.105347787  250.001993292 2063.159236761]
 [1547.368445678  250.002127692 2021.053916595]
 [1552.631544091  250.002230977 1978.948569096]
 [1557.894645774  250.002299822 1936.843197888]
 [1563.157753104  250.002331062 1894.737806538]
 [1568.420868085  250.002321724 1852.632398567]
 [1573.683992347  250.002269089 1810.526977441]
 [1578.947127124  250.002170821 1768.421546575]
 [1584.210273186  250.002025291 1726.31610932 ]
 [1589.473430626  250.001832515 1684.21066892 ]
 [1594.736597996  250.001597986 1642.105228279]
 [1600.           250.          1600.         ]]","[[0.33668101259348165], 0.33668101259348165]"
200,"[[1500.           250.          2400.         ]
 [1505.263571318  250.000979198 2357.896056774]
 [1510.526821681  250.001474389 2315.791274402]
 [1515.790012358  250.001961494 2273.686383516]
 [1521.05315456   250.002431991 2231.581392162]
 [1526.316258615  250.002877622 2189.476308265]
 [1531.579333989  250.003290389 2147.371139632]
 [1536.842389313  250.003662557 2105.265893949]
 [1542.105432407  250.003986647 2063.16057879 ]
 [1547.368470293  250.004255448 2021.055201615]
 [1552.631509225  250.004462018 1978.949769776]
 [1557.894554698  250.004599706 1936.844290517]
 [1563.157611463  250.004662183 1894.738770976]
 [1568.42068353   250.004643503 1852.63321819 ]
 [1573.683774161  250.004538226 1810.527639095]
 [1578.946885823  250.004341684 1768.42204052 ]
 [1584.210020052  250.004050616 1726.316429168]
 [1589.47317704   250.003665056 1684.210811525]
 [1594.736353887  250.003195987 1642.1051934  ]
 [1600.           250.          1600.         ]]","[[0.3366811259210282], 0.3366811259210282]"
300,"[[1500.           250.          2400.         ]
 [1505.263778025  250.001468826 2357.896716742]
 [1510.527074621  250.002211625 2315.792174765]
 [1515.790281687  250.002942296 2273.687470015]
 [1521.053416041  250.003648052 2231.582614563]
 [1526.316493174  250.004316508 2189.477620298]
 [1531.579527286  250.004935667 2147.372498928]
 [1536.842531325  250.005493924 2105.267261983]
 [1542.105517017  250.005980064 2063.161920823]
 [1547.3684949    250.006383267 2021.056486641]
 [1552.63147435   250.006693122 1978.950970461]
 [1557.894463613  250.006899652 1936.84538315 ]
 [1563.157469813  250.006993363 1894.739735417]
 [1568.420498968  250.006965336 1852.634037817]
 [1573.683555969  250.006807413 1810.528300753]
 [1578.946644515  250.006512589 1768.422534469]
 [1584.209766915  250.006075975 1726.316749018]
 [1589.472923451  250.005497621 1684.210954132]
 [1594.736109776  250.004794004 1642.105158522]
 [1600.           250.          1600.         ]]","[[0.33668123925146004], 0.33668123925146004]"
400,"[[1500.           250.          2400.         ]
 [1505.263984729  250.001958472 2357.897376712]
 [1510.527327556  250.002948889 2315.793075129]
 [1515.79055101   250.003923133 2273.688556516]
 [1521.053677516  250.004864157 2231.583836968]
 [1526.316727726  250.005755444 2189.478932335]
 [1531.579720576  250.006581001 2147.373858227]
 [1536.842673329  250.007325352 2105.268630021]
 [1542.105601619  250.007973544 2063.163262861]
 [1547.368519497  250.00851115  2021.057771671]
 [1552.631439466  250.00892429  1978.95217115 ]
 [1557.894372518  250.00919966  1936.846475788]
 [1563.157328155  250.009324602 1894.740699863]
 [1568.420314398  250.009287224 1852.634857448]
 [1573.68333777   250.009076649 1810.528962414]
 [1578.946403203  250.008683537 1768.42302842 ]
 [1584.209513773  250.008101368 1726.31706887 ]
 [1589.47266986   250.007330211 1684.21109674 ]
 [1594.735865665  250.006392035 1642.105123644]
 [1600.           250.          1600.         ]]","[[0.33668135258477916], 0.33668135258477916]"
500,"[[1500.           250.          2400.         ]
 [1505.264191431  250.002448138 2357.898036683]
 [1510.527580488  250.003686182 2315.793975495]
 [1515.790820329  250.004904007 2273.68964302 ]
 [1521.053938984  250.006080306 2231.585059376]
 [1526.31696227   250.007194431 2189.480244376]
 [1531.579913858  250.008226389 2147.375217532]
 [1536.842815323  250.009156838 2105.269998064]
 [1542.105686211  250.009967085 2063.164604904]
 [1547.368544085  250.010639097 2021.059056706]
 [1552.631404573  250.011155521 1978.953371845]
 [1557.894281415  250.01149973  1936.847568431]
 [1563.157186489  250.0116559   1894.741664313]
 [1568.420129821  250.011609168 1852.635677083]
 [1573.683119565  250.011345934 1810.529624079]
 [1578.946161885  250.010854526 1768.423522374]
 [1584.209260628  250.010126795 1726.317388724]
 [1589.472416267  250.009162827 1684.211239349]
 [1594.735621554  250.007990082 1642.105088767]
 [1600.           250.          1600.         ]]","[[0.33668146592098364], 0.33668146592098364]"
600,"[[1500.           250.          2400.         ]
 [1505.264398129  250.002937822 2357.898696655]
 [1510.527833415  250.004423502 2315.794875863]
 [1515.791089641  250.005884917 2273.690729527]
 [1521.054200445  250.007296498 2231.586281788]
 [1526.317196807  250.008633467 2189.48155642 ]
 [1531.580107131  250.009871834 2147.37657684 ]
 [1536.842957309  250.010988385 2105.271366111]
 [1542.105770794  250.011960689 2063.165946952]
 [1547.368568663  250.012767107 2021.060341745]
 [1552.631369671  250.013386816 1978.954572543]
 [1557.894190304  250.013799862 1936.848661078]
 [1563.157044814  250.013987257 1894.742628768]
 [1568.419945237  250.013931165 1852.636496722]
 [1573.682901353  250.013615268 1810.530285747]
 [1578.945920562  250.013025558 1768.42401633 ]
 [1584.209007479  250.012152256 1726.31770858 ]
 [1589.472162671  250.010995467 1684.21138196 ]
 [1594.735377441  250.009588144 1642.10505389 ]
 [1600.           250.          1600.         ]]","[[0.3366815792600746], 0.3366815792600746]"
700,"[[1500.           250.          2400.         ]
 [1505.264604825  250.003427525 2357.899356628]
 [1510.528086338  250.00516085  2315.795776234]
 [1515.791358949  250.006865864 2273.691816037]
 [1521.0544619    250.008512734 2231.587504202]
 [1526.317431337  250.010072554 2189.482868468]
 [1531.580300396  250.011517333 2147.377936152]
 [1536.843099286  250.012819991 2105.272734163]
 [1542.105855369  250.013954355 2063.167289004]
 [1547.368593232  250.014895181 2021.06162679 ]
 [1552.631334759  250.015618175 1978.955773247]
 [1557.894099183  250.016100056 1936.84975373 ]
 [1563.156903132  250.016318674 1894.743593226]
 [1568.419760645  250.016253218 1852.637316365]
 [1573.682683135  250.015884651 1810.530947418]
 [1578.945679234  250.015196631 1768.424510289]
 [1584.208754326  250.014177751 1726.318028438]
 [1589.471909073  250.012828132 1684.211524571]
 [1594.735133328  250.011186221 1642.105019013]
 [1600.           250.          1600.         ]]","[[0.33668169260205144], 0.33668169260205144]"
800,"[[1500.           250.          2400.         ]
 [1505.264811518  250.003917248 2357.900016603]
 [1510.528339257  250.005898226 2315.796676606]
 [1515.791628251  250.007846847 2273.692902549]
 [1521.054723349  250.009729014 2231.58872662 ]
 [1526.31766586   250.011511691 2189.48418052 ]
 [1531.580493653  250.013162889 2147.379295469]
 [1536.843241254  250.014651656 2105.274102219]
 [1542.105939934  250.015948084 2063.168631061]
 [1547.368617793  250.017023319 2021.062911839]
 [1552.631299839  250.017849597 1978.956973955]
 [1557.894008053  250.018400313 1936.850846386]
 [1563.156761441  250.018650149 1894.744557689]
 [1568.419576045  250.018575325 1852.638136011]
 [1573.68246491   250.018154084 1810.531609093]
 [1578.945437901  250.017367747 1768.425004251]
 [1584.208501169  250.01620328  1726.318348298]
 [1589.471655473  250.014660821 1684.211667184]
 [1594.734889215  250.012784313 1642.104984137]
 [1600.           250.          1600.         ]]","[[0.3366818059469147], 0.3366818059469147]"
900,"[[1500.           250.          2400.         ]
 [1505.265018209  250.004406989 2357.90067658 ]
 [1510.528592171  250.006635631 2315.797576981]
 [1515.791897547  250.008827866 2273.693989064]
 [1521.054984791  250.010945338 2231.589949041]
 [1526.317900374  250.012950878 2189.485492575]
 [1531.580686902  250.014808499 2147.38065479 ]
 [1536.843383214  250.016483381 2105.275470279]
 [1542.10602449   250.017941875 2063.169973123]
 [1547.368642343  250.01915152  2021.064196893]
 [1552.631264909  250.020081082 1978.958174668]
 [1557.893916915  250.020700631 1936.851939047]
 [1563.156619741  250.020981684 1894.745522156]
 [1568.419391438  250.020897487 1852.638955662]
 [1573.682246679  250.020423565 1810.532270771]
 [1578.945196562  250.019538905 1768.425498216]
 [1584.208248008  250.018228842 1726.31866816 ]
 [1589.47140187   250.016493536 1684.211809798]
 [1594.7346451    250.01438242  1642.104949261]
 [1600.           250.          1600.         ]]","[[0.33668191929466473], 0.33668191929466473]"
