Iteration,Trajectory,Legibility
1,"[[1500.           250.          2400.         ]
 [1500.00015833   250.010889624 2373.681166785]
 [1500.000223844  250.015389457 2347.3640657  ]
 [1500.000280354  250.01926719  2321.047110592]
 [1500.000327949  250.022529863 2294.730305571]
 [1500.000366727  250.025185529 2268.413654495]
 [1500.000396802  250.027243356 2242.097160908]
 [1500.000418301  250.028713748 2215.78082798 ]
 [1500.000431369  250.029608474 2189.464658425]
 [1500.000436169  250.029940828 2163.148654412]
 [1500.000432887  250.029725804 2136.832817456]
 [1500.000421733  250.028980312 2110.517148286]
 [1500.000402948  250.027723457 2084.201646688]
 [1500.000376811  250.025976891 2057.886311293]
 [1500.000343649  250.023765363 2031.571139283]
 [1500.000303862  250.021117641 2005.256125926]
 [1500.000257968  250.018068476 1978.941263667]
 [1500.000206726  250.014664023 1952.626539757]
 [1500.000151549  250.010983608 1926.311927   ]
 [1500.           250.          1900.         ]]","[[0.3509053609906689], 0.3509053609906689]"
100,"[[1500.           250.          2400.         ]
 [1500.015834997  251.091097818 2373.380118393]
 [1500.022387257  251.542101853 2346.933293403]
 [1500.028039093  251.930827414 2320.501045752]
 [1500.03279919   252.257958707 2294.083782959]
 [1500.036677459  252.52428281  2267.681888814]
 [1500.039685172  252.730700303 2241.295717584]
 [1500.041835109  252.878237219 2214.925587263]
 [1500.043141737  252.968058623 2188.57177169 ]
 [1500.043621427  253.001484179 2162.234491278]
 [1500.043292726  252.980006362 2135.913902029]
 [1500.04217671   252.905312297 2109.610082279]
 [1500.04029748   252.779311114 2083.323016303]
 [1500.037682895  252.604170564 2057.052573091]
 [1500.034365773  252.382371281 2030.798476671]
 [1500.030386102  252.116800195 2004.560258957]
 [1500.025795746  251.810947663 1978.33716811 ]
 [1500.020670628  251.469451728 1952.127930634]
 [1500.015152125  251.100283835 1925.929822356]
 [1500.           250.          1900.         ]]","[[0.35148085684801406], 0.35148085684801406]"
200,"[[1500.           250.          2400.         ]
 [1500.031673998  252.186534696 2373.076609549]
 [1500.044780325  253.090617056 2346.499009523]
 [1500.056085538  253.870003659 2319.950522528]
 [1500.065606949  254.52602247  2293.431956443]
 [1500.073364344  255.060210651 2266.944074935]
 [1500.079380241  255.474336162 2240.487585723]
 [1500.083680194  255.770422041 2214.063126897]
 [1500.086293144  255.950773925 2187.671250907]
 [1500.087251853  256.018011599 2161.312405734]
 [1500.086593445  255.975105815 2134.986912537]
 [1500.084360116  255.825422409 2108.694938712]
 [1500.080600116  255.572777484 2082.436464565]
 [1500.075369213  255.221511161 2056.211240228]
 [1500.068733101  254.776596797 2030.018725549]
 [1500.060771811  254.243828823 2003.857994802]
 [1500.051589135  253.630218987 1977.727552045]
 [1500.041337014  252.94508985  1951.624852883]
 [1500.030298379  252.20446302  1925.544440222]
 [1500.           250.          1900.         ]]","[[0.35206666108380336], 0.35206666108380336]"
300,"[[1500.           250.          2400.         ]
 [1500.047516942  253.286348884 2372.773704917]
 [1500.067179114  254.645602439 2346.065600469]
 [1500.084139212  255.81760324  2319.401102518]
 [1500.098423122  256.804282161 2292.78141189 ]
 [1500.110060464  257.607889027 2266.207667953]
 [1500.119084983  258.231025553 2239.680930833]
 [1500.125534996  258.67668233  2213.202160626]
 [1500.129453926  258.948280696 2186.77219304 ]
 [1500.130890949  259.04972067  2160.391710712]
 [1500.1299018    258.985436812 2134.061209131]
 [1500.126549832  258.760465078 2107.780955555]
 [1500.120907495  258.380526305 2081.550938226]
 [1500.113058523  257.85213766  2055.370800781]
 [1500.103101538  257.182777499 2029.239750914]
 [1500.091156675  256.381168683 2003.156415957]
 [1500.077379721  255.457875943 1977.118563833]
 [1500.061998728  254.426953659 1951.122382   ]
 [1500.045438364  253.312553583 1925.159671701]
 [1500.           250.          1900.         ]]","[[0.3526570300380585], 0.3526570300380585]"
400,"[[1500.           250.          2400.         ]
 [1500.06336377   254.390579074 2372.471425931]
 [1500.089583532  256.207115486 2345.633098059]
 [1500.112199992  257.773701518 2318.852827343]
 [1500.131247553  259.092829697 2292.13219987 ]
 [1500.146765631  260.167424661 2265.47272627 ]
 [1500.158799172  261.000887818 2238.875817788]
 [1500.167399254  261.59714744  2212.342758247]
 [1500.172623789  261.960715295 2185.874671125]
 [1500.174538387  262.096751408 2159.472480736]
 [1500.173217427  262.011139411 2133.136866074]
 [1500.168745466  261.710576599 2106.868205151]
 [1500.161219202  261.202686234 2080.666506201]
 [1500.150750388  260.496167248 2054.531318933]
 [1500.137470634  259.601015473 2028.461611161]
 [1500.12154024   258.528903495 2002.455574233]
 [1500.103167054  257.293981183 1976.510248133]
 [1500.082655336  255.91508289  1950.620555089]
 [1500.060571676  254.424571769 1924.775545962]
 [1500.           250.          1900.         ]]","[[0.3532520112713925], 0.3532520112713925]"
500,"[[1500.           250.          2400.         ]
 [1500.079214421  255.499264396 2372.169794551]
 [1500.111993486  257.77521434  2345.201534894]
 [1500.140267753  259.738374721 2318.305739654]
 [1500.164080083  261.391758054 2291.484372214]
 [1500.18347965   262.738925508 2264.739309758]
 [1500.19852258   263.784043682 2238.07231312 ]
 [1500.209272704  264.531948223 2211.484991364]
 [1500.215802432  264.988215664 2184.978760105]
 [1500.218193832  265.159245459 2158.55479229 ]
 [1500.216539959  265.052355295 2132.2139596  ]
 [1500.210946621  264.675894845 2105.956761769]
 [1500.201534812  264.039387401 2079.783239237]
 [1500.188444365  263.153718443 2053.692860562]
 [1500.171839934  262.031413952 2027.684366202]
 [1500.151922045  260.687117907 2001.755522743]
 [1500.128950677  259.138598057 1975.902650675]
 [1500.103306399  257.409517731 1950.119410075]
 [1500.075697909  255.540534053 1924.392092725]
 [1500.           250.          1900.         ]]","[[0.3538516529159137], 0.3538516529159137]"
600,"[[1500.           250.          2400.         ]
 [1500.095068831  256.612444431 2371.868833274]
 [1500.134408882  259.349957811 2344.770944378]
 [1500.168342367  261.711699951 2317.759883157]
 [1500.196920552  263.70116128  2290.83798205 ]
 [1500.220202326  265.322500773 2264.007479806]
 [1500.238254976  266.580615268 2237.270485061]
 [1500.251155078  267.48121705  2210.628933427]
 [1500.258989552  268.030921347 2184.084536882]
 [1500.261856944  268.237346111 2157.638723874]
 [1500.259869024  268.109227788 2131.292567963]
 [1500.253152894  267.656559274 2105.046701656]
 [1500.241853899  266.890761429 2078.901209961]
 [1500.226140006  265.824911111 2052.855493282]
 [1500.206208977  264.47407733  2026.908077505]
 [1500.182301625  262.855897512 2001.056315946]
 [1500.154730131  260.991790613 1975.29581829 ]
 [1500.123951477  258.910298829 1949.618985718]
 [1500.090816653  256.660457141 1924.009342271]
 [1500.           250.          1900.         ]]","[[0.3544560036813869], 0.3544560036813869]"
700,"[[1500.           250.          2400.         ]
 [1500.110926938  257.730159212 2371.568565149]
 [1500.156829627  260.931405378 2344.341360734]
 [1500.196423708  263.693755194 2317.215302643]
 [1500.229768796  266.021134503 2290.193083836]
 [1500.256933461  267.918260916 2263.277299353]
 [1500.277996125  269.390726108 2236.470403585]
 [1500.293046105  270.445087825 2209.774659787]
 [1500.302184841  271.088973505 2183.192080361]
 [1500.305527381  271.331198313 2156.724356056]
 [1500.303204247  271.181901871 2130.372771492]
 [1500.295363879  270.652710953 2104.138103084]
 [1500.28217603   269.756941447 2078.02049293 ]
 [1500.263836858  268.509866474 2052.019286494]
 [1500.240577296  266.929111172 2026.132808135]
 [1500.212678507  265.03532885  2000.358009673]
 [1500.180504951  262.853623612 1974.689798932]
 [1500.14459012   260.417467301 1949.119321638]
 [1500.105927493  257.784357983 1923.62732545 ]
 [1500.           250.          1900.         ]]","[[0.35506511286128933], 0.35506511286128933]"
800,"[[1500.           250.          2400.         ]
 [1500.12678868   258.852449227 2371.269013788]
 [1500.179255623  262.519617204 2343.912819033]
 [1500.224511645  265.684619331 2316.672044013]
 [1500.262624653  268.351773943 2289.549733393]
 [1500.293672856  270.52631767  2262.548832929]
 [1500.317745791  272.214501164 2235.672140457]
 [1500.334945513  273.423695999 2208.92224774 ]
 [1500.345387989  274.162514934 2182.301471508]
 [1500.349204797  274.440948691 2155.811771522]
 [1500.346545247  274.270524198 2129.454652642]
 [1500.337579165  273.66449257  2103.231046406]
 [1500.322500767  272.638062102 2077.141164678]
 [1500.301534464  271.20870713  2051.184311425]
 [1500.27494442   269.396622226 2025.358622794]
 [1500.243052218  267.225499426 1999.660661163]
 [1500.206274666  264.724162536 1974.084641709]
 [1500.16522188   261.931064737 1948.620458324]
 [1500.121030014  258.91225378  1923.246073693]
 [1500.           250.          1900.         ]]","[[0.3556790303387699], 0.3556790303387699]"
900,"[[1500.           250.          2400.         ]
 [1500.142653991  259.979355427 2370.970203386]
 [1500.201686774  264.114654136 2343.485355205]
 [1500.252606048  267.684372144 2316.130154309]
 [1500.295487956  270.693176924 2288.907987936]
 [1500.330420307  273.146784053 2261.822146696]
 [1500.357503735  275.052066833 2234.875769274]
 [1500.376853023  276.417178589 2208.071776576]
 [1500.388598681  277.251690076 2181.4127934  ]
 [1500.392888841  277.566745562 2154.901055134]
 [1500.389891638  277.375243112 2128.538296053]
 [1500.379798336  276.692048448 2102.325614107]
 [1500.362827667  275.534259578 2076.263303771]
 [1500.339232359  273.921557059 2050.350641179]
 [1500.309309872  271.876718435 2024.585587858]
 [1500.273422275  269.426497715 1998.964329096]
 [1500.232038803  266.603473593 1973.480396906]
 [1500.1858463    263.451133215 1948.122437164]
 [1500.136123796  260.044161994 1922.865619027]
 [1500.           250.          1900.         ]]","[[0.3562978065924692], 0.3562978065924692]"
1000,"[[1500.           250.          2400.         ]
 [1500.158522808  261.110919228 2370.67215873 ]
 [1500.224122981  265.716577716 2343.059006069]
 [1500.280706784  269.693094323 2315.589681737]
 [1500.328358537  273.045441882 2288.267906115]
 [1500.367175612  275.779774377 2261.097308488]
 [1500.397269714  277.903550967 2234.081365512]
 [1500.418768356  279.425674187 2207.223327635]
 [1500.431816599  280.356645043 2180.526131282]
 [1500.436579158  280.708738952 2153.992293986]
 [1500.433243032  280.49620866  2127.623788601]
 [1500.422020971  279.735524564 2101.421890863]
 [1500.403156284  278.445671605 2075.386990857]
 [1500.376930076  276.64854164  2049.518350785]
 [1500.343673171  274.369508947 2023.813771426]
 [1500.303788193  271.638413174 1998.269073635]
 [1500.257796883  268.491623732 1972.877116018]
 [1500.206462922  264.977715305 1947.625300457]
 [1500.151208413  261.180100354 1922.485994082]
 [1500.           250.          1900.         ]]","[[0.35692149270220597], 0.35692149270220597]"
2000,"[[1500.           250.          2400.         ]
 [1500.317389046  272.692178692 2367.739736954]
 [1500.448740937  282.128626545 2338.865602438]
 [1500.562032444  290.292051529 2310.274400143]
 [1500.657426536  297.187972946 2281.972590605]
 [1500.735114092  302.824593961 2253.966776302]
 [1500.795316438  307.213100708 2226.263586211]
 [1500.838288244  310.367992563 2198.869528952]
 [1500.864320907  312.307448683 2171.790808793]
 [1500.873746617  313.05373841  2145.033097436]
 [1500.866943444  312.633687595 2118.601252403]
 [1500.844342022  311.07922178  2092.498969037]
 [1500.806434919  308.428025565 2066.728345569]
 [1500.753790825  304.724399101 2041.289323918]
 [1500.687078187  300.020495592 2016.178927532]
 [1500.607109371  294.378411649 1991.390101311]
 [1500.51493592   287.874546476 1966.909574751]
 [1500.412096505  280.611518488 1942.712580921]
 [1500.301455269  272.765251541 1918.743014805]
 [1500.           250.          1900.         ]]","[[0.3634400737315962], 0.3634400737315962]"
