Iteration,Trajectory,Legibility
1,"[[1500.           250.          2400.         ]
 [1489.472888576  249.998522387 2363.158382097]
 [1478.946271171  249.997986705 2326.31648405 ]
 [1468.419711811  249.997575006 2289.474560951]
 [1457.893206281  249.99727835  2252.632612221]
 [1447.366750621  249.997087441 2215.7906373  ]
 [1436.840341113  249.996992554 2178.948635681]
 [1426.313974259  249.996983465 2142.106606962]
 [1415.787646764  249.997049367 2105.264550897]
 [1405.261355511  249.997178766 2068.422467464]
 [1394.73509754   249.997359378 2031.580356949]
 [1384.208870022  249.997577999 1994.738220054]
 [1373.682670224  249.997820365 1957.896058017]
 [1363.156495477  249.998071004 1921.053872775]
 [1352.630343126  249.998313091 1884.211667162]
 [1342.104210464  249.998528379 1847.369445145]
 [1331.578094626  249.998697422 1810.52721211 ]
 [1321.051992374  249.998801041 1773.684975078]
 [1310.525899448  249.9988286   1736.842742022]
 [1300.           250.          1700.         ]]","[[0.34400558553346583, 0.3431180690371287, 0.34268832968153035], 0.343270661417375]"
100,"[[1500.           250.          2400.         ]
 [1489.394066551  249.852371214 2363.206629001]
 [1478.837563522  249.798865715 2326.385244407]
 [1468.286867091  249.757753359 2289.561354481]
 [1457.741556096  249.728138997 2252.734901323]
 [1447.201235126  249.709091753 2215.905828891]
 [1436.665532702  249.699638426 2179.07408674 ]
 [1426.134099382  249.698756007 2142.23963457 ]
 [1415.606605768  249.705363166 2105.402447784]
 [1405.08274036   249.718310548 2068.5625243  ]
 [1394.562207198  249.736369694 2031.719892918]
 [1384.044723219  249.758220474 1994.874623631]
 [1373.530015177  249.782437029 1958.026840395]
 [1363.017815948  249.807472715 1921.176736959]
 [1352.507859797  249.831645879 1884.324596536]
 [1341.999875784  249.853132744 1847.470815966]
 [1331.493577137  249.869989728 1810.615933698]
 [1320.988639602  249.880299942 1773.760651738]
 [1310.484636796  249.883001268 1736.905767493]
 [1300.           250.          1700.         ]]","[[0.34404008319359003, 0.3430834550322266, 0.34275064157174395], 0.3432913932658535]"
200,"[[1500.           250.          2400.         ]
 [1489.314339458  249.705010224 2363.255359715]
 [1478.727597321  249.59812586  2326.454693823]
 [1468.152472452  249.516017486 2289.649017035]
 [1457.588123595  249.456892186 2252.838213549]
 [1447.03376084   249.418886025 2216.022171328]
 [1436.488641973  249.400050856 2179.200789557]
 [1425.95206869   249.398339371 2142.373987741]
 [1415.423382603  249.411588083 2105.541716808]
 [1404.901960956  249.437497914 2068.703972719]
 [1394.387211916  249.47361204  2031.860813182]
 [1383.878569282  249.517290733 1995.012378274]
 [1373.375486356  249.565683229 1958.158915943]
 [1362.877428549  249.615697559 1921.300813685]
 [1352.383863948  249.663972058 1884.438637871]
 [1341.894250141  249.706861042 1847.573182085]
 [1331.408012985  249.740479377 1810.705523119]
 [1320.924503286  249.76099546  1773.837064903]
 [1310.442867231  249.766287787 1736.969402156]
 [1300.           250.          1700.         ]]","[[0.34407484647756703, 0.34304865385440264, 0.34281346948514074], 0.3433123232723701]"
300,"[[1500.           250.          2400.         ]
 [1489.23450295   249.557917145 2363.304086877]
 [1478.617469844  249.397780601 2326.524137721]
 [1468.017868745  249.274792589 2289.736671874]
 [1457.434439375  249.186259807 2252.941515637]
 [1446.865998236  249.129383071 2216.138501017]
 [1436.311433125  249.101237549 2179.327476909]
 [1425.769697454  249.09875034  2142.508322727]
 [1415.239804256  249.118674975 2105.680965046]
 [1404.720819761  249.157562288 2068.845397989]
 [1394.211856345  249.211727182 2032.001708288]
 [1383.712064601  249.277210873 1995.150106178]
 [1373.220624165  249.349738641 1958.290963649]
 [1362.736732645  249.424674525 1921.424861934]
 [1352.259591501  249.496978482 1884.552650503]
 [1341.788386318  249.5611848   1847.675519591]
 [1331.322254983  249.611468823 1810.795084226]
 [1320.860222677  249.642086407 1773.913450173]
 [1310.401007111  249.649859393 1737.033009382]
 [1300.           250.          1700.         ]]","[[0.34410952655222465, 0.34301401590808744, 0.3428761834078351], 0.3433332419560491]"
400,"[[1500.           250.          2400.         ]
 [1489.154557046  249.411092091 2363.352810486]
 [1478.507181118  249.197830105 2326.593576101]
 [1467.883056003  249.034078875 2289.824319002]
 [1457.280503474  248.916242097 2253.044807599]
 [1446.697947356  248.840583149 2216.254817982]
 [1436.133906207  248.803198762 2179.454148836]
 [1425.586985731  248.799989162 2142.642639588]
 [1415.055870793  248.826624064 2105.820192577]
 [1404.539316853  248.878503855 2068.986800214]
 [1394.036140575  248.950715264 2032.142578359]
 [1383.545209276  249.037980986 1995.287807492]
 [1373.065428709  249.134603309 1958.422983679]
 [1362.595728342  249.234403605 1921.548881882]
 [1352.135042557  249.330665098 1884.666634616]
 [1341.682284405  249.416103925 1847.777828666]
 [1331.236303205  249.482957942 1810.884617189]
 [1320.795797823  249.523572636 1773.989807704]
 [1310.359056454  249.533715924 1737.096589304]
 [1300.           250.          1700.         ]]","[[0.34414412346159784, 0.342979541144433, 0.34293878330855715], 0.34335414930486263]"
500,"[[1500.           250.          2400.         ]
 [1489.074501767  249.264535177 2363.401530541]
 [1478.39673117   248.998274535 2326.663008963]
 [1467.74803426   248.793876553 2289.911958425]
 [1457.12631593   248.646839295 2253.148089446]
 [1446.529608246  248.552486511 2216.371122247]
 [1435.956061272  248.505934755 2179.580805378]
 [1425.403933583  248.502056082 2142.776938382]
 [1414.871582286  248.535435572 2105.959399483]
 [1404.357452313  248.600322802 2069.128179498]
 [1393.860064698  248.690576427 2032.283423524]
 [1383.378003406  248.799601168 1995.425482363]
 [1372.909900095  248.920277275 1958.554976198]
 [1362.454415746  249.044884792 1921.672873709]
 [1352.01021722   249.165031853 1884.780590392]
 [1341.575944497  249.271618325 1847.880109491]
 [1331.150157725  249.354946609 1810.974122182]
 [1320.731228774  249.405454    1774.066137652]
 [1310.317015278  249.417857216 1737.160142054]
 [1300.           250.          1700.         ]]","[[0.3441786372492971, 0.34294522951428386, 0.3430012691559238], 0.3433750453065016]"
600,"[[1500.           250.          2400.         ]
 [1488.994337133  249.118246515 2363.450247041]
 [1478.28612003   248.799114057 2326.732436307]
 [1467.61280355   248.554185828 2289.999590147]
 [1456.971876785  248.378051638 2253.251361192]
 [1446.360980952  248.265093413 2216.487413837]
 [1435.777898373  248.209445782 2179.707446574]
 [1425.220541073  248.204951346 2142.911219167]
 [1414.686938808  248.24510972  2106.098585843]
 [1404.175226225  248.323019316 2069.269535944]
 [1393.683628807  248.431310814 2032.424243909]
 [1383.210447095  248.56207151  1995.563130939]
 [1372.754038431  248.706760582 1958.686941372]
 [1362.312794971  248.856118077 1921.796837592]
 [1351.885115597  249.000078692 1884.894518017]
 [1341.469366686  249.127727905 1847.982362248]
 [1331.063818618  249.2274347   1811.063599375]
 [1320.66651558   249.28773035  1774.14244017 ]
 [1310.274883603  249.302283106 1737.223667766]
 [1300.           250.          1700.         ]]","[[0.3442130679585096, 0.3429110809681787, 0.343063640918445], 0.34339592994837775]"
700,"[[1500.           250.          2400.         ]
 [1488.914063165  248.97222622  2363.498959984]
 [1478.175347728  248.600348835 2326.801858135]
 [1467.477363912  248.315006907 2290.087214173]
 [1456.817186082  248.109879362 2253.354622849]
 [1446.192065525  247.978404109 2216.603692776]
 [1435.599417567  247.913732102 2179.834072465]
 [1425.036808265  247.908675199 2143.045482005]
 [1414.501940434  247.95564673  2106.23775174 ]
 [1403.992638676  248.046593581 2069.410869657]
 [1393.506833001  248.172918566 2032.565039641]
 [1383.042540449  248.325392105 1995.700753369]
 [1372.597843831  248.494053268 1958.818879367]
 [1362.170866126  248.66810345  1921.92077371 ]
 [1351.759737795  248.83580556  1885.008417675]
 [1341.36255107   248.984432572 1848.08458712 ]
 [1330.977285963  249.100422088 1811.153048943]
 [1320.601658293  249.170401538 1774.218715414]
 [1310.232661448  249.186993429 1737.287166571]
 [1300.           250.          1700.         ]]","[[0.34424741563200517, 0.3428770954563478, 0.34312589856452247], 0.3434168032176252]"
800,"[[1500.           250.          2400.         ]
 [1488.833679887  248.826474405 2363.547669371]
 [1478.064414295  248.401979034 2326.871274446]
 [1467.341715383  248.076339997 2290.174830509]
 [1456.662243866  247.842322703 2253.457874432]
 [1446.022862016  247.69241885  2216.719959091]
 [1435.420618914  247.61879397  2179.960683094]
 [1424.852735229  247.613227885 2143.179726956]
 [1414.316587243  247.667046819 2106.376897257]
 [1403.809689754  247.771045782 2069.552180744]
 [1393.329677378  247.915399825 2032.705810851]
 [1382.874283576  248.089563044 1995.838349803]
 [1372.441316406  248.282155376 1958.950790351]
 [1362.028629329  248.480840903 1922.044682243]
 [1351.634083923  248.672212402 1885.12228955 ]
 [1341.255497745  248.84173223  1848.186784291]
 [1330.890559837  248.973908648 1811.242471058]
 [1320.536656965  249.053467416 1774.29496354 ]
 [1310.190348834  249.071988022 1737.350638602]
 [1300.           250.          1700.         ]]","[[0.3442816803121369, 0.3428432729287173, 0.3431880420624522], 0.34343766510110213]"
900,"[[1500.           250.          2400.         ]
 [1488.753187322  248.680991182 2363.5963752  ]
 [1477.953319764  248.204004816 2326.940685243]
 [1467.205858004  247.838185302 2290.26243916 ]
 [1456.507050183  247.575381898 2253.561115954]
 [1445.853370478  247.40713789  2216.836212807]
 [1435.241502475  247.32463164  2180.087278502]
 [1424.668322035  247.318609649 2143.313954081]
 [1414.130879315  247.379310209 2106.516022476]
 [1403.626379552  247.496376102 2069.693469309]
 [1393.152162042  247.658754729 2032.846557665]
 [1382.705676587  247.854584418 1995.975920392]
 [1372.284456275  248.071066944 1959.082674491]
 [1361.886084695  248.294330426 1922.16856337 ]
 [1351.508154093  248.509299161 1885.236133829]
 [1341.148206812  248.699626785 1848.288953944]
 [1330.803640322  248.847894254 1811.331865893]
 [1320.47151165   248.936927835 1774.371184704]
 [1310.147945783  248.95726672  1737.414083993]
 [1300.           250.          1700.         ]]","[[0.34431586204084325, 0.3428096133349017, 0.34325007138042823], 0.3434585155853911]"
