Iteration,Trajectory,Legibility
1,"[[1500.           250.          2400.         ]
 [1489.472789614  250.00371225  2363.156829587]
 [1478.946123507  250.005309702 2326.314259141]
 [1468.419516998  250.006725812 2289.471737544]
 [1457.892966642  250.007954333 2252.629267619]
 [1447.366469255  250.0089894   2215.786852073]
 [1436.840021901  250.00982558  2178.944493471]
 [1426.313621879  250.010457927 2142.102194202]
 [1415.787266705  250.010882055 2105.259956438]
 [1405.260954098  250.011094225 2068.417782084]
 [1394.734681963  250.011091458 2031.575672713]
 [1384.208448365  250.010871678 1994.733629476]
 [1373.682251507  250.010433913 1957.891652998]
 [1363.156089687  250.009778568 1921.049743218]
 [1352.629961245  250.008907862 1884.207899179]
 [1342.103864459  250.007826581 1847.366118683]
 [1331.577797333  250.006543619 1810.524397692]
 [1321.05175705   250.005075937 1773.682728996]
 [1310.525737938  250.003462585 1736.84109824 ]
 [1300.           250.          1700.         ]]","[[0.35439182959512283, 0.3427446156263233, 0.34308541893580713], 0.34674062138575107]"
100,"[[1500.           250.          2400.         ]
 [1489.384370513  250.371334927 2363.05147538 ]
 [1478.823092218  250.531129921 2326.162897389]
 [1468.267768491  250.672783672 2289.279201055]
 [1457.718053527  250.795670073 2252.400667898]
 [1447.173627835  250.899201757 2215.527567862]
 [1436.63419687   250.982834786 2178.660156757]
 [1426.099489618  251.046074392 2141.798673018]
 [1415.56925711   251.088482064 2104.943333623]
 [1405.043270809  251.109684368 2068.09432892 ]
 [1394.521320782  251.109384129 2031.251816038]
 [1384.003213526  251.087374944 1994.415910384]
 [1373.488769226  251.043560761 1957.586674462]
 [1362.97781798   250.977983816 1920.764102669]
 [1352.470194056  250.890867911 1883.948099533]
 [1341.96572583   250.782693757 1847.138445801]
 [1331.464214794  250.654353325 1810.334737923]
 [1320.965380251  250.507545473 1773.536254949]
 [1310.468657058  250.34617738  1736.741561708]
 [1300.           250.          1700.         ]]","[[0.35454738845282047, 0.34292155784459993, 0.3429047789140443], 0.34679124173715487]"
200,"[[1500.           250.          2400.         ]
 [1489.295350678  250.742890942 2362.945249615]
 [1478.699249338  251.062581035 2326.010291172]
 [1468.115046615  251.3459745   2289.085089548]
 [1457.542048252  251.591816323 2252.170206027]
 [1446.979612999  251.798929827 2215.266178999]
 [1436.427149838  251.966225979 2178.373518852]
 [1425.884115147  252.092714828 2141.492701516]
 [1415.350009713  252.177519626 2104.624160302]
 [1404.824375502  252.219894437 2067.768275563]
 [1394.306791999  252.21924646  2030.925361508]
 [1383.796871877  252.175165028 1994.09564918 ]
 [1373.294255518  252.087460748 1957.279264049]
 [1362.798603493  251.95622137  1920.47619556 ]
 [1352.309585101  251.78189833  1883.686253526]
 [1341.826858302  251.565457464 1846.909000196]
 [1331.350027814  251.30868772  1810.143629081]
 [1320.878534728  251.014992323 1773.388698628]
 [1310.411252814  250.692190316 1736.641338982]
 [1300.           250.          1700.         ]]","[[0.3547045126013676, 0.3431003247173676, 0.3427221666541073], 0.34684233465761416]"
300,"[[1500.           250.          2400.         ]
 [1489.206623292  251.114666649 2362.839218125]
 [1478.575837676  251.594351275 2325.85797184 ]
 [1467.962884238  252.019569781 2288.891351019]
 [1457.366717646  252.388435466 2251.940194955]
 [1446.786372636  252.699180409 2215.005308969]
 [1436.220959813  252.950169341 2178.087456792]
 [1425.669661367  253.139916723 2141.187350897]
 [1415.131726579  253.267107855 2104.305640281]
 [1404.60646696   253.330625238 2067.442894954]
 [1394.093250771  253.329582    2030.599586153]
 [1383.591496535  253.263365355 1993.77606078 ]
 [1373.100664838  253.131695287 1956.972507739]
 [1362.620247084  252.934708331 1920.188912177]
 [1352.149748353  252.673087397 1883.424989953]
 [1341.688657374  252.348287856 1846.680085576]
 [1331.23638381   251.963000638 1809.952990241]
 [1320.792093     251.522338836 1773.241542152]
 [1310.35410167   251.038038008 1736.541437265]
 [1300.           250.          1700.         ]]","[[0.3548616299084982, 0.34327912884741946, 0.3425394078152024], 0.34689338885704]"
400,"[[1500.           250.          2400.         ]
 [1489.118186934  251.48666066  2362.733381596]
 [1478.452855116  252.126438582 2325.705940409]
 [1467.811278584  252.693566823 2288.697986801]
 [1457.192058324  253.18552423  2251.710636301]
 [1446.593902824  253.599949719 2214.744959646]
 [1436.015622425  253.934660653 2177.801972661]
 [1425.456123565  254.187675511 2140.882623407]
 [1414.914402767  254.357241941 2103.987775909]
 [1404.389540142  254.441871825 2067.118189484]
 [1393.880692086  254.440385779 2030.274492342]
 [1383.387082642  254.351971053 1993.457147468]
 [1372.907992597  254.176259723 1956.666407668]
 [1362.44274454   253.913440389 1919.902254443]
 [1351.990680061  253.564431272 1883.164310467]
 [1341.55111983   253.131181689 1846.451703279]
 [1331.12328015   252.617289555 1809.762822383]
 [1320.706053048  252.029583312 1773.094786106]
 [1310.297202234  251.383719667 1736.441856736]
 [1300.           250.          1700.         ]]","[[0.35501873957737734, 0.3434579699474084, 0.34235650415442553], 0.34694440455973713]"
500,"[[1500.           250.          2400.         ]
 [1489.030040175  251.858871593 2362.627740714]
 [1478.330299533  252.658840908 2325.554197897]
 [1467.660226862  253.367962949 2288.504998224]
 [1457.018066881  253.983079361 2251.481531683]
 [1446.402199618  254.501233989 2214.485132901]
 [1435.811133277  254.919695715 2177.517068541]
 [1425.243497001  255.23598665  2140.578521289]
 [1414.698033313  255.447917098 2103.670569535]
 [1404.173589985  255.553629274 2066.794161545]
 [1393.669110908  255.551652854 2029.950082446]
 [1383.183625314  255.440977272 1993.138911528]
 [1372.716234183  255.221149425 1956.360965967]
 [1362.266091624  254.892413257 1919.61622428 ]
 [1351.832376456  254.455926136 1882.904216725]
 [1341.414242437  253.914135738 1846.223854641]
 [1331.010714185  253.271551957 1809.573126481]
 [1320.620412842  252.536724068 1772.948431073]
 [1310.240553106  251.729234516 1736.34259757 ]
 [1300.           250.          1700.         ]]","[[0.35517584081749837, 0.34363684773341674, 0.3421734574258526], 0.34699538199225594]"
600,"[[1500.           250.          2400.         ]
 [1488.942181582  252.231298073 2362.522296161]
 [1478.20816879   253.191556212 2325.402745321]
 [1467.509726269  254.042755493 2288.31238662 ]
 [1456.8447399    254.781097618 2251.252882722]
 [1446.211259056  255.403029472 2214.225830608]
 [1435.607487957  255.905270348 2177.232746517]
 [1425.031776915  256.284845621 2140.275046788]
 [1414.482613228  256.539128562 2103.354023507]
 [1403.958611398  256.665892686 2066.470813529]
 [1393.458502174  256.6633783   2029.626358836]
 [1382.981119642  256.530379186 1992.821355244]
 [1372.52538496   256.266359785 1956.056184769]
 [1362.090284078  255.871622668 1919.330823608]
 [1351.674833747  255.347568191 1882.644710376]
 [1341.278021943  254.697146797 1845.996540996]
 [1330.898683254  253.925785352 1809.383903509]
 [1320.53517034   253.043759431 1772.802477635]
 [1310.184152881  252.074581786 1736.243659943]
 [1300.           250.          1700.         ]]","[[0.35533293284468603, 0.3438157619249524, 0.3419902693804993], 0.3470463213833792]"
700,"[[1500.           250.          2400.         ]
 [1488.854609713  252.603938732 2362.417048624]
 [1478.086460744  253.724582465 2325.251583696]
 [1467.359773989  254.717941803 2288.120153318]
 [1456.672073945  255.579575777 2251.024691036]
 [1446.021077156  256.305332437 2213.967054638]
 [1435.404682026  256.891380391 2176.949008672]
 [1424.820958522  257.334247922 2139.972202148]
 [1414.2681375    257.630871593 2103.038140173]
 [1403.744599266  257.778657186 2066.148147825]
 [1393.248860796  257.775557222 2029.303323878]
 [1382.779560694  257.620171994 1992.504480896]
 [1372.335440268  257.311886219 1955.752066205]
 [1361.915317624  256.851064378 1919.046054345]
 [1351.518048126  256.239353658 1882.385793071]
 [1341.142455081  255.480211676 1845.769763674]
 [1330.787184683  254.579987261 1809.195154437]
 [1320.450323492  253.550687744 1772.656926369]
 [1310.128000144  252.419760721 1736.145044026]
 [1300.           250.          1700.         ]]","[[0.355490014881095, 0.34399471224494144, 0.34180694176627047], 0.34709722296410234]"
800,"[[1500.           250.          2400.         ]
 [1488.76732312   252.976792205 2362.311998787]
 [1477.965173238  254.257917648 2325.10071404 ]
 [1467.210367192  255.393519238 2287.92829965 ]
 [1456.500065565  256.37851063  2250.796958243]
 [1445.831649921  257.20813917  2213.708806864]
 [1435.20271103   257.878021707 2176.665857088]
 [1424.611037015  258.384189077 2139.669989611]
 [1414.05460109   258.723141472 2102.722921881]
 [1403.531548449  258.891917921 2065.826166825]
 [1393.040181662  258.888184743 2028.980979942]
 [1382.578943511  258.710350917 1992.188290766]
 [1372.146395423  258.357724164 1955.448612404]
 [1361.741187957  257.830734165 1918.761918407]
 [1351.362015762  257.13127878  1882.127466458]
 [1341.007538566  256.263327206 1845.543524005]
 [1330.676215782  255.234155223 1809.006880234]
 [1320.365870236  254.057507364 1772.511777854]
 [1310.072093475  252.764770576 1736.046749993]
 [1300.           250.          1700.         ]]","[[0.3556470861552056, 0.3441736984197166, 0.34162347632791373], 0.347148086967612]"
900,"[[1500.           250.          2400.         ]
 [1488.680320349  253.349857139 2362.207147334]
 [1477.844304108  254.79155975  2324.950137368]
 [1467.061503036  256.06948517  2287.736826945]
 [1456.328711295  257.177898983 2250.569685961]
 [1445.64297333   258.111445977 2213.451089158]
 [1435.001570489  258.865190174 2176.383293849]
 [1424.402007565  259.434664628 2139.368411422]
 [1413.841998938  259.815933505 2102.408370977]
 [1403.319453782  260.005670062 2065.504872915]
 [1392.832459633  260.001256015 2028.659329394]
 [1382.37926311   259.800911198 1991.872787133]
 [1371.958245717  259.40386908  1955.145825492]
 [1361.567890756  258.81062783  1918.47841771 ]
 [1351.206732807  258.023339819 1881.869732182]
 [1340.873269095  257.046490237 1845.317823315]
 [1330.565773849  255.888286794 1808.819081867]
 [1320.281808499  254.564216662 1772.367032664]
 [1310.016431448  253.109610615 1735.948778011]
 [1300.           250.          1700.         ]]","[[0.3558041459018297, 0.3443527201790126, 0.3414398748069748], 0.34719891362927235]"
