Iteration,Trajectory,Legibility
1,"[[1500.           250.          2400.         ]
 [1500.000000359  249.999999937 2347.368419917]
 [1500.000000538  249.999999905 2294.736840402]
 [1500.000000718  249.999999873 2242.105260887]
 [1500.000000897  249.999999842 2189.473681371]
 [1500.000001077  249.99999981  2136.842101856]
 [1500.000001256  249.999999778 2084.210522341]
 [1500.000001436  249.999999747 2031.578942826]
 [1500.000001615  249.999999715 1978.947363311]
 [1500.000001795  249.999999684 1926.315783795]
 [1500.000001974  249.999999652 1873.68420428 ]
 [1500.000002154  249.99999962  1821.052624765]
 [1500.000002333  249.999999589 1768.42104525 ]
 [1500.000002512  249.999999557 1715.789465735]
 [1500.000002692  249.999999525 1663.157886219]
 [1500.000002871  249.999999494 1610.526306704]
 [1500.000003051  249.999999462 1557.894727189]
 [1500.00000323   249.99999943  1505.263147674]
 [1500.00000341   249.999999399 1452.631568159]
 [1500.           250.          1400.         ]]","[[0.34529495803501586], 0.34529495803501586]"
100,"[[1500.           250.          2400.         ]
 [1500.000035892  249.999993671 2347.368307486]
 [1500.000053838  249.999990507 2294.736671755]
 [1500.000071783  249.999987343 2242.105036024]
 [1500.000089729  249.999984178 2189.473400294]
 [1500.000107675  249.999981014 2136.841764563]
 [1500.000125621  249.99997785  2084.210128832]
 [1500.000143567  249.999974685 2031.578493101]
 [1500.000161513  249.999971521 1978.946857371]
 [1500.000179459  249.999968357 1926.31522164 ]
 [1500.000197405  249.999965192 1873.68358591 ]
 [1500.000215351  249.999962028 1821.051950179]
 [1500.000233297  249.999958864 1768.420314448]
 [1500.000251243  249.999955699 1715.788678718]
 [1500.000269188  249.999952535 1663.157042988]
 [1500.000287134  249.99994937  1610.525407257]
 [1500.00030508   249.999946206 1557.893771527]
 [1500.000323026  249.999943042 1505.262135796]
 [1500.000340972  249.999939877 1452.630500066]
 [1500.           250.          1400.         ]]","[[0.3452950145820299], 0.3452950145820299]"
200,"[[1500.           250.          2400.         ]
 [1500.000071783  249.999987343 2347.368193918]
 [1500.000107675  249.999981014 2294.736501404]
 [1500.000143567  249.999974685 2242.104808889]
 [1500.000179459  249.999968357 2189.473116375]
 [1500.00021535   249.999962028 2136.84142386 ]
 [1500.000251242  249.999955699 2084.209731346]
 [1500.000287134  249.999949371 2031.578038832]
 [1500.000323026  249.999943042 1978.946346318]
 [1500.000358918  249.999936713 1926.314653804]
 [1500.00039481   249.999930384 1873.68296129 ]
 [1500.000430702  249.999924056 1821.051268776]
 [1500.000466594  249.999917727 1768.419576263]
 [1500.000502486  249.999911398 1715.787883749]
 [1500.000538378  249.99990507  1663.156191236]
 [1500.00057427   249.999898741 1610.524498723]
 [1500.000610161  249.999892412 1557.89280621 ]
 [1500.000646053  249.999886083 1505.261113697]
 [1500.000681945  249.999879755 1452.629421185]
 [1500.           250.          1400.         ]]","[[0.3452950717003632], 0.3452950717003632]"
300,"[[1500.           250.          2400.         ]
 [1500.000107675  249.999981014 2347.36808035 ]
 [1500.000161513  249.999971521 2294.736331051]
 [1500.00021535   249.999962028 2242.104581753]
 [1500.000269188  249.999952535 2189.472832454]
 [1500.000323025  249.999943042 2136.841083156]
 [1500.000376863  249.999933549 2084.209333858]
 [1500.000430701  249.999924056 2031.57758456 ]
 [1500.000484539  249.999914563 1978.945835262]
 [1500.000538377  249.99990507  1926.314085965]
 [1500.000592215  249.999895577 1873.682336668]
 [1500.000646053  249.999886083 1821.050587371]
 [1500.000699891  249.99987659  1768.418838074]
 [1500.000753729  249.999867097 1715.787088778]
 [1500.000807567  249.999857604 1663.155339482]
 [1500.000861405  249.999848111 1610.523590187]
 [1500.000915243  249.999838618 1557.891840892]
 [1500.000969081  249.999829125 1505.260091597]
 [1500.001022919  249.999819632 1452.628342303]
 [1500.           250.          1400.         ]]","[[0.3452951288188335], 0.3452951288188335]"
400,"[[1500.           250.          2400.         ]
 [1500.000143567  249.999974685 2347.367966781]
 [1500.00021535   249.999962028 2294.736160698]
 [1500.000287133  249.999949371 2242.104354615]
 [1500.000358917  249.999936713 2189.472548532]
 [1500.0004307    249.999924056 2136.84074245 ]
 [1500.000502484  249.999911398 2084.208936367]
 [1500.000574268  249.999898741 2031.577130285]
 [1500.000646052  249.999886084 1978.945324204]
 [1500.000717836  249.999873426 1926.313518123]
 [1500.00078962   249.999860769 1873.681712042]
 [1500.000861405  249.999848111 1821.049905962]
 [1500.000933189  249.999835454 1768.418099883]
 [1500.001004973  249.999822796 1715.786293804]
 [1500.001076758  249.999810139 1663.154487726]
 [1500.001148542  249.999797481 1610.522681649]
 [1500.001220326  249.999784824 1557.890875572]
 [1500.00129211   249.999772166 1505.259069496]
 [1500.001363894  249.999759509 1452.627263421]
 [1500.           250.          1400.         ]]","[[0.3452951859374399], 0.3452951859374399]"
500,"[[1500.           250.          2400.         ]
 [1500.000179458  249.999968357 2347.367853211]
 [1500.000269187  249.999952535 2294.735990343]
 [1500.000358916  249.999936713 2242.104127475]
 [1500.000448646  249.999920892 2189.472264608]
 [1500.000538375  249.99990507  2136.840401741]
 [1500.000628105  249.999889248 2084.208538874]
 [1500.000717835  249.999873426 2031.576676008]
 [1500.000807565  249.999857604 1978.944813143]
 [1500.000897296  249.999841783 1926.312950278]
 [1500.000987026  249.999825961 1873.681087414]
 [1500.001076757  249.999810139 1821.049224551]
 [1500.001166487  249.999794317 1768.417361689]
 [1500.001256218  249.999778495 1715.785498828]
 [1500.001345949  249.999762673 1663.153635968]
 [1500.001435679  249.999746851 1610.521773109]
 [1500.00152541   249.999731029 1557.889910251]
 [1500.00161514   249.999715207 1505.258047394]
 [1500.00170487   249.999699385 1452.626184539]
 [1500.           250.          1400.         ]]","[[0.3452952430561841], 0.3452952430561841]"
600,"[[1500.           250.          2400.         ]
 [1500.000215349  249.999962028 2347.367739641]
 [1500.000323024  249.999943042 2294.735819987]
 [1500.000430699  249.999924056 2242.103900335]
 [1500.000538375  249.99990507  2189.471980682]
 [1500.00064605   249.999886084 2136.84006103 ]
 [1500.000753726  249.999867098 2084.208141379]
 [1500.000861402  249.999848112 2031.576221729]
 [1500.000969079  249.999829125 1978.944302079]
 [1500.001076755  249.999810139 1926.312382431]
 [1500.001184432  249.999791153 1873.680462783]
 [1500.001292109  249.999772166 1821.048543137]
 [1500.001399786  249.99975318  1768.416623493]
 [1500.001507463  249.999734194 1715.784703849]
 [1500.00161514   249.999715207 1663.152784207]
 [1500.001722817  249.999696221 1610.520864567]
 [1500.001830494  249.999677235 1557.888944928]
 [1500.00193817   249.999658248 1505.257025292]
 [1500.002045846  249.999639262 1452.625105656]
 [1500.           250.          1400.         ]]","[[0.34529530017506554], 0.34529530017506554]"
700,"[[1500.           250.          2400.         ]
 [1500.000251241  249.999955699 2347.367626069]
 [1500.000376861  249.999933549 2294.735649631]
 [1500.000502482  249.999911399 2242.103673192]
 [1500.000628104  249.999889248 2189.471696755]
 [1500.000753725  249.999867098 2136.839720318]
 [1500.000879347  249.999844947 2084.207743882]
 [1500.001004969  249.999822797 2031.575767447]
 [1500.001130592  249.999800646 1978.943791013]
 [1500.001256215  249.999778495 1926.311814581]
 [1500.001381838  249.999756345 1873.67983815 ]
 [1500.001507462  249.999734194 1821.047861721]
 [1500.001633085  249.999712043 1768.415885293]
 [1500.001758709  249.999689892 1715.783908868]
 [1500.001884333  249.999667741 1663.151932444]
 [1500.002009956  249.99964559  1610.519956023]
 [1500.002135579  249.99962344  1557.887979605]
 [1500.002261202  249.999601289 1505.256003188]
 [1500.002386824  249.999579139 1452.624026774]
 [1500.           250.          1400.         ]]","[[0.3452953572940841], 0.3452953572940841]"
800,"[[1500.           250.          2400.         ]
 [1500.000287132  249.999949371 2347.367512497]
 [1500.000430699  249.999924056 2294.735479273]
 [1500.000574265  249.999898742 2242.103446049]
 [1500.000717832  249.999873427 2189.471412825]
 [1500.0008614    249.999848112 2136.839379603]
 [1500.001004968  249.999822797 2084.207346382]
 [1500.001148536  249.999797482 2031.575313162]
 [1500.001292105  249.999772167 1978.943279944]
 [1500.001435675  249.999746852 1926.311246728]
 [1500.001579245  249.999721537 1873.679213513]
 [1500.001722815  249.999696221 1821.047180301]
 [1500.001866385  249.999670906 1768.415147091]
 [1500.002009955  249.999645591 1715.783113884]
 [1500.002153526  249.999620275 1663.151080679]
 [1500.002297096  249.99959496  1610.519047478]
 [1500.002440665  249.999569645 1557.887014279]
 [1500.002584234  249.99954433  1505.254981084]
 [1500.002727802  249.999519015 1452.622947891]
 [1500.           250.          1400.         ]]","[[0.3452954144132393], 0.3452954144132393]"
900,"[[1500.           250.          2400.         ]
 [1500.000323023  249.999943042 2347.367398924]
 [1500.000484535  249.999914563 2294.735308913]
 [1500.000646048  249.999886084 2242.103218903]
 [1500.000807561  249.999857605 2189.471128894]
 [1500.000969075  249.999829126 2136.839038886]
 [1500.001130589  249.999800647 2084.20694888 ]
 [1500.001292104  249.999772167 2031.574858875]
 [1500.001453619  249.999743688 1978.942768872]
 [1500.001615135  249.999715208 1926.310678872]
 [1500.001776651  249.999686728 1873.678588874]
 [1500.001938168  249.999658249 1821.046498879]
 [1500.002099685  249.999629769 1768.414408887]
 [1500.002261202  249.999601289 1715.782318898]
 [1500.002422719  249.999572809 1663.150228912]
 [1500.002584236  249.999544329 1610.51813893 ]
 [1500.002745752  249.99951585  1557.886048952]
 [1500.002907267  249.99948737  1505.253958978]
 [1500.003068782  249.999458891 1452.621869007]
 [1500.           250.          1400.         ]]","[[0.34529547153253126], 0.34529547153253126]"
