Iteration,Trajectory,Legibility
1,"[[1500.           250.          2400.         ]
 [1494.73234906   250.011162249 2357.909437127]
 [1489.468246757  250.016804058 2315.809529366]
 [1484.204821662  250.022350824 2273.708413905]
 [1478.941943864  250.027704849 2231.606180545]
 [1473.679493676  250.03277151  2189.50291769 ]
 [1468.417361344  250.037459225 2147.398712371]
 [1463.155446766  250.041679436 2105.293650274]
 [1457.893659232  250.045346608 2063.187815773]
 [1452.631917168  250.048378272 2021.081291954]
 [1447.37014792   250.050695125 1978.974160648]
 [1442.108287555  250.05222123  1936.866502461]
 [1436.84628073   250.052884395 1894.758396799]
 [1431.584080645  250.052616884 1852.649921897]
 [1426.321649192  250.05135685  1810.541154821]
 [1421.058957518  250.049051374 1768.432171427]
 [1415.795987696  250.045663875 1726.323046119]
 [1410.532737966  250.041195812 1684.213850862]
 [1405.269244265  250.03577452  1642.104649996]
 [1400.           250.          1600.         ]]","[[0.33698449926872437], 0.33698449926872437]"
100,"[[1500.           250.          2400.         ]
 [1494.29513393   251.163581293 2359.36837277 ]
 [1488.941116855  251.750207552 2317.800395605]
 [1483.654523546  252.325593159 2276.111549228]
 [1478.422294218  252.879531357 2234.310769591]
 [1473.232400758  253.402185794 2192.406853122]
 [1468.073815936  253.884083567 2150.408462224]
 [1462.936484835  254.316110948 2108.324130186]
 [1457.811298427  254.689512437 2066.162265588]
 [1452.690069426  254.995894363 2023.931156285]
 [1447.565510807  255.227235176 1981.638973007]
 [1442.43121791   255.375906491 1939.293772618]
 [1437.281656017  255.4347128   1896.903500944]
 [1432.112157526  255.396966265 1854.475994838]
 [1426.918938035  255.2566338   1812.018982366]
 [1421.699154898  255.008650431 1769.540077433]
 [1416.45107702   254.649675361 1727.046755763]
 [1411.174615307  254.180301805 1684.546255693]
 [1405.873495808  253.613968525 1642.045063975]
 [1400.           250.          1600.         ]]","[[0.3372655622086644], 0.3372655622086644]"
200,"[[1500.           250.          2400.         ]
 [1493.868857027  252.426232019 2360.849601599]
 [1488.431247427  253.646443831 2319.82258162 ]
 [1483.1278711    254.840542651 2278.553610251]
 [1477.932469199  255.98719759  2237.060466599]
 [1472.82086614   257.065948992 2195.36065237 ]
 [1467.770904476  258.057188416 2153.471408227]
 [1462.762386164  258.942146062 2111.409727777]
 [1457.77701964   259.702886711 2069.192369468]
 [1452.798372547  260.322316364 2026.83586667 ]
 [1447.811830565  260.784203815 1984.356536157]
 [1442.804563894  261.073225217 1941.770485143]
 [1437.765505005  261.175047634 1899.093616823]
 [1432.68534576   261.076484941 1856.341633829]
 [1427.556572661  260.765801778 1813.530037483]
 [1422.373587752  260.233356852 1770.67411567 ]
 [1417.133054196  259.473147658 1727.788893464]
 [1411.834970154  258.487309429 1684.888934724]
 [1406.487054986  257.30419931  1641.987322582]
 [1400.           250.          1600.         ]]","[[0.3375653260362475], 0.3375653260362475]"
300,"[[1500.           250.          2400.         ]
 [1493.458082044  253.793317669 2362.338896045]
 [1487.944163942  255.696622788 2321.856726769]
 [1482.630653178  257.555115639 2281.011291143]
 [1477.477952276  259.335368346 2239.829113768]
 [1472.449620795  261.005461744 2198.336306519]
 [1467.512271695  262.534947066 2156.558601124]
 [1462.635480285  263.894821935 2114.521376382]
 [1457.791704214  265.057521821 2072.249680621]
 [1452.95621365   265.996929949 2029.768249991]
 [1448.107031838  266.688411736 1987.101523076]
 [1443.224887956  267.108885838 1944.273652196]
 [1438.2931874    267.236955973 1901.308511476]
 [1433.29801153   267.053154362 1858.229700945]
 [1428.228175094  266.540412306 1815.06054364 ]
 [1423.075413347  265.685049893 1771.824065211]
 [1417.834909515  264.479142006 1728.542917744]
 [1412.50692525   262.927386343 1685.239082016]
 [1407.103439194  261.074623565 1641.932351692]
 [1400.           250.          1600.         ]]","[[0.3378819036381863], 0.3378819036381863]"
400,"[[1500.           250.          2400.         ]
 [1493.06279053   255.270543706 2363.836745803]
 [1487.47982019   257.909159664 2323.903551118]
 [1482.162774749  260.480229248 2283.485521884]
 [1477.058579401  262.937195568 2242.617825497]
 [1472.118414903  265.235791218 2201.335084776]
 [1467.297570468  267.333977371 2159.671432138]
 [1462.555317539  269.191906151 2117.660554181]
 [1457.854801454  270.771907203 2075.335727783]
 [1453.162949096  272.038501881 2032.729848708]
 [1448.450392132  272.958452852 1989.875453568]
 [1443.691407861  273.500865063 1946.804735847]
 [1438.863884165  273.637370577 1903.549556255]
 [1433.949324388  273.342466074 1860.141446625]
 [1428.932929992  272.594159702 1816.611603557]
 [1423.803857863  271.375323458 1772.990858103]
 [1418.555936033  269.676912985 1729.309571195]
 [1413.189864108  267.507285222 1685.597236299]
 [1407.722142979  264.929419827 1641.880476449]
 [1400.           250.          1600.         ]]","[[0.3382162291426357], 0.3382162291426357]"
500,"[[1500.           250.          2400.         ]
 [1492.682857935  256.863981005 2365.343657217]
 [1487.038010227  260.293008453 2325.963799279]
 [1481.723927678  263.627499004 2285.977264279]
 [1476.673921701  266.806671593 2245.427754487]
 [1471.826685469  269.772965768 2204.358300182]
 [1467.126097424  272.471954939 2162.811340767]
 [1462.521056119  274.852294031 2120.828790887]
 [1457.965341517  276.865701745 2078.452093229]
 [1453.417499422  278.466980979 2035.722259528]
 [1448.840747759  279.614086619 1992.679901102]
 [1444.202906598  280.268260424 1949.365249993]
 [1439.476359585  280.3942739   1905.8181713  ]
 [1434.638066379  279.960866432 1862.078165967]
 [1429.6696736    278.94157789  1818.18435951 ]
 [1424.557846541  277.316479605 1774.175460008]
 [1419.295179888  275.076280274 1730.089623388]
 [1413.882981942  272.234174167 1685.963956091]
 [1408.342533824  268.873030875 1641.832034204]
 [1400.           250.          1600.         ]]","[[0.33856930015534337], 0.33856930015534337]"
600,"[[1500.           250.          2400.         ]
 [1492.318033737  258.580093124 2366.860152716]
 [1486.618338575  262.85770203  2328.038239582]
 [1481.313551173  267.009290693 2288.487510891]
 [1476.323236598  270.958691289 2248.260090475]
 [1471.573498865  274.634045626 2207.407308166]
 [1466.99672799   277.967690452 2165.979813215]
 [1462.531391041  280.896090453 2124.027666089]
 [1458.121860021  283.35981792  2081.600411058]
 [1453.718271522  285.303582344 2038.747131686]
 [1449.276415672  286.676320228 1995.516491117]
 [1444.757655975  287.431368439 1951.956758716]
 [1440.128888705  287.52677045  1908.115824011]
 [1435.362565187  286.925821662 1864.041197336]
 [1430.43683423   285.598096966 1819.7799921  ]
 [1425.335952794  283.521575819 1775.378869157]
 [1420.051398996  280.687666138 1730.88387003 ]
 [1414.585254547  277.115664286 1686.339819072]
 [1408.963831503  272.910181547 1641.787374112]
 [1400.           250.          1600.         ]]","[[0.33894218231562273], 0.33894218231562273]"
700,"[[1500.           250.          2400.         ]
 [1491.967918229  260.425765444 2368.386769956]
 [1486.220185411  265.613395007 2330.127662816]
 [1480.930785594  270.638775706 2291.017283412]
 [1476.005410749  275.40911831  2251.116058277]
 [1471.357483783  279.837198197 2210.483504329]
 [1466.907840632  283.841211885 2169.178379955]
 [1462.584471326  287.344696732 2127.258806663]
 [1458.322310182  290.276510974 2084.782364521]
 [1454.063068013  292.570876507 2041.806164236]
 [1449.7551025    294.167495432 1998.386898355]
 [1445.353327805  295.011767026 1954.58087373 ]
 [1440.819173037  295.055162929 1910.444026638]
 [1436.120616545  294.255886172 1866.03192016 ]
 [1431.232363238  292.580102507 1821.39971831 ]
 [1426.13633924   290.004474469 1776.602114701]
 [1420.823015221  286.522134612 1731.693131636]
 [1415.295402294  282.159838509 1686.7254211  ]
 [1409.585084207  277.045897384 1641.746856498]
 [1400.           250.          1600.         ]]","[[0.3393360140614072], 0.3393360140614072]"
800,"[[1500.           250.          2400.         ]
 [1491.631935399  262.408336177 2369.924060593]
 [1485.842665909  268.57090932  2332.232880425]
 [1480.574418513  274.529989855 2293.567630336]
 [1475.718893447  280.17485543  2253.996915001]
 [1471.176753005  285.401777883 2213.588321257]
 [1466.857228496  290.113851543 2172.408612235]
 [1462.677803476  294.220902437 2130.523883042]
 [1458.56396047   297.639472998 2087.999682155]
 [1454.448981739  300.292883253 2044.901102154]
 [1450.273798734  302.111379741 2001.292843011]
 [1445.98689066   303.032401856 1957.239250662]
 [1441.544242652  303.001031835 1912.804332793]
 [1436.909394188  301.970773822 1868.051751747]
 [1432.053654988  299.90499729  1823.044788683]
 [1426.956689385  296.779894201 1777.846254313]
 [1421.608059001  292.59143216  1732.5182516  ]
 [1416.01184846   287.375281486 1687.121374782]
 [1410.205140951  281.285524001 1641.71085194 ]
 [1400.           250.          1600.         ]]","[[0.3397520115681911], 0.3397520115681911]"
900,"[[1500.           250.          2400.         ]
 [1491.309301256  264.535629219 2371.472588606]
 [1485.484582766  271.741782493 2334.35472204 ]
 [1480.24282176   278.697895576 2296.139623765]
 [1475.461618894  285.273918821 2256.903946203]
 [1471.028812147  291.348410234 2216.723224131]
 [1466.841996386  296.80833765  2175.672117248]
 [1462.808138983  301.548981801 2133.824604084]
 [1458.843275412  305.473931491 2091.254132451]
 [1454.872272979  308.495169692 2048.033730935]
 [1450.828655669  310.533261481 2004.236085397]
 [1446.654489899  311.517676141 1959.933583907]
 [1442.300342515  311.387317992 1915.198332613]
 [1437.725345397  310.091431604 1870.102142857]
 [1432.897454086  307.591264949 1824.716483408]
 [1427.794128498  303.863462811 1779.112370862]
 [1422.404105261  298.90802943  1733.360093521]
 [1416.732671036  292.771110275 1687.528307482]
 [1410.822619657  285.634747024 1641.679740002]
 [1400.           250.          1600.         ]]","[[0.3401914738089073], 0.3401914738089073]"
1000,"[[1500.           250.          2400.         ]
 [1490.99898686   266.81598874  2373.032928072]
 [1485.144370794  275.1383184   2336.494032195]
 [1479.933877948  283.158447275 2298.734355151]
 [1475.230915545  290.725515956 2259.838460773]
 [1470.91045325   297.699080054 2219.88970488 ]
 [1466.858440698  303.948890022 2178.970531692]
 [1462.971343292  309.354794181 2137.162710182]
 [1459.15577683   313.80675177  2094.54751671 ]
 [1455.328226604  317.204951855 2051.205869359]
 [1451.414842358  319.460047975 2007.218418788]
 [1447.351308324  320.493543049 1962.665599722]
 [1443.082800572  320.238407224 1917.62764626 ]
 [1438.564069894  318.64011499  1872.184571762]
 [1433.759747918  315.65853486  1826.41610706 ]
 [1428.645132014  311.271770986 1780.401567943]
 [1423.208199267  305.485163618 1734.2195376  ]
 [1417.455547004  298.357005453 1687.946858665]
 [1411.435870291  290.099612333 1641.65390753 ]
 [1400.           250.          1600.         ]]","[[0.34065578765874355], 0.34065578765874355]"
2000,"[[1500.           250.          2400.         ]
 [1488.059822529  300.319765783 2389.410443914]
 [1481.949878667  324.877838631 2359.031043742]
 [1477.052302747  348.216789244 2326.168933511]
 [1473.090247465  369.871598377 2290.979000102]
 [1469.816521533  389.419352216 2253.614764593]
 [1467.010184107  406.479511755 2214.229518086]
 [1464.473605945  420.71465392  2172.977217847]
 [1462.029989303  431.831528235 2130.013165763]
 [1459.52136847   439.582308829 2085.494486208]
 [1456.80713269   443.765969739 2039.580417656]
 [1453.763126313  444.22978731  1992.432430982]
 [1450.281394995  440.8711089   1944.214186328]
 [1446.270680115  433.639798969 1895.091337634]
 [1441.657864183  422.542390438 1845.231183593]
 [1436.390880734  407.650575079 1794.802126307]
 [1430.444634407  389.121613379 1743.97275392 ]
 [1423.835565793  367.257340618 1692.909698621]
 [1416.672935057  342.732486345 1641.769237673]
 [1400.           250.          1600.         ]]","[[0.3470423512755237], 0.3470423512755237]"
3000,"[[1500.           250.          2400.         ]
 [1480.38146024   363.325764655 2407.367103206]
 [1471.567897133  418.076488538 2383.899055149]
 [1464.491651756  469.552906864 2356.629614002]
 [1458.807220916  516.671380272 2325.766281756]
 [1454.241419766  558.464698974 2291.516998746]
 [1450.574844102  594.08628104  2254.092585362]
 [1447.624054474  622.815083402 2213.708626667]
 [1445.225305868  644.060527848 2170.586858026]
 [1443.220808752  657.366911769 2124.956096959]
 [1441.448506798  662.416953911 2077.052758031]
 [1439.736202089  659.034346644 2027.120981824]
 [1437.900583152  647.18550707  1975.412404161]
 [1435.751381702  626.981280603 1922.18558565 ]
 [1433.10062705   598.68052374  1867.705107565]
 [1429.777063321  562.700395154 1812.240294525]
 [1425.647083929  519.646788858 1756.063350531]
 [1420.649562534  470.410357352 1699.445910213]
 [1414.884897647  416.539698264 1642.648326223]
 [1400.           250.          1600.         ]]","[[0.35813277655402637], 0.35813277655402637]"
