Iteration,Trajectory,Legibility
1,"[[1500.           250.          2400.         ]
 [1499.999999639  249.999999936 2378.94736964 ]
 [1499.999999459  249.999999905 2357.894738671]
 [1499.999999278  249.999999873 2336.842107701]
 [1499.999999098  249.999999841 2315.789476732]
 [1499.999998918  249.999999809 2294.736845762]
 [1499.999998737  249.999999777 2273.684214793]
 [1499.999998557  249.999999746 2252.631583823]
 [1499.999998377  249.999999714 2231.578952854]
 [1499.999998196  249.999999682 2210.526321885]
 [1499.999998016  249.99999965  2189.473690915]
 [1499.999997835  249.999999618 2168.421059946]
 [1499.999997655  249.999999587 2147.368428976]
 [1499.999997475  249.999999555 2126.315798007]
 [1499.999997294  249.999999523 2105.263167037]
 [1499.999997114  249.999999491 2084.210536068]
 [1499.999996934  249.999999459 2063.157905099]
 [1499.999996753  249.999999428 2042.105274129]
 [1499.999996573  249.999999396 2021.05264316 ]
 [1500.           250.          2000.         ]]","[[0.3459311333652642], 0.3459311333652642]"
100,"[[1500.           250.          2400.         ]
 [1499.999963924  249.999993639 2378.947490324]
 [1499.999945887  249.999990458 2357.894919696]
 [1499.999927849  249.999987278 2336.842349068]
 [1499.999909811  249.999984097 2315.78977844 ]
 [1499.999891773  249.999980917 2294.737207813]
 [1499.999873736  249.999977736 2273.684637185]
 [1499.999855698  249.999974556 2252.632066557]
 [1499.99983766   249.999971375 2231.579495929]
 [1499.999819622  249.999968195 2210.526925301]
 [1499.999801585  249.999965014 2189.474354674]
 [1499.999783547  249.999961834 2168.421784046]
 [1499.999765509  249.999958653 2147.369213418]
 [1499.999747472  249.999955472 2126.31664279 ]
 [1499.999729434  249.999952292 2105.264072162]
 [1499.999711397  249.999949111 2084.211501534]
 [1499.999693359  249.999945931 2063.158930905]
 [1499.999675321  249.99994275  2042.106360277]
 [1499.999657284  249.99993957  2021.053789649]
 [1500.           250.          2000.         ]]","[[0.34593119371209313], 0.34593119371209313]"
200,"[[1500.           250.          2400.         ]
 [1499.999927848  249.999987278 2378.947612227]
 [1499.999891772  249.999980917 2357.895102551]
 [1499.999855697  249.999974555 2336.842592875]
 [1499.999819621  249.999968194 2315.790083199]
 [1499.999783545  249.999961833 2294.737573522]
 [1499.999747469  249.999955472 2273.685063846]
 [1499.999711394  249.999949111 2252.63255417 ]
 [1499.999675318  249.99994275  2231.580044493]
 [1499.999639243  249.999936389 2210.527534816]
 [1499.999603167  249.999930028 2189.47502514 ]
 [1499.999567092  249.999923667 2168.422515463]
 [1499.999531016  249.999917306 2147.370005786]
 [1499.999494941  249.999910945 2126.317496108]
 [1499.999458866  249.999904583 2105.264986431]
 [1499.999422791  249.999898222 2084.212476753]
 [1499.999386716  249.999891861 2063.159967075]
 [1499.999350641  249.9998855   2042.107457397]
 [1499.999314566  249.99987914  2021.054947719]
 [1500.           250.          2000.         ]]","[[0.34593125466860525], 0.34593125466860525]"
300,"[[1500.           250.          2400.         ]
 [1499.999891771  249.999980916 2378.947734131]
 [1499.999837657  249.999971375 2357.895285407]
 [1499.999783543  249.999961833 2336.842836683]
 [1499.999729429  249.999952291 2315.790387959]
 [1499.999675315  249.999942749 2294.737939234]
 [1499.999621201  249.999933208 2273.68549051 ]
 [1499.999567087  249.999923666 2252.633041785]
 [1499.999512974  249.999914124 2231.58059306 ]
 [1499.99945886   249.999904582 2210.528144335]
 [1499.999404747  249.999895041 2189.475695609]
 [1499.999350634  249.999885499 2168.423246883]
 [1499.999296521  249.999875958 2147.370798157]
 [1499.999242408  249.999866416 2126.31834943 ]
 [1499.999188296  249.999856875 2105.265900703]
 [1499.999134183  249.999847333 2084.213451975]
 [1499.999080071  249.999837792 2063.161003247]
 [1499.999025959  249.99982825  2042.108554518]
 [1499.998971847  249.999818709 2021.056105789]
 [1500.           250.          2000.         ]]","[[0.34593131562523716], 0.34593131562523716]"
400,"[[1500.           250.          2400.         ]
 [1499.999855694  249.999974555 2378.947856036]
 [1499.999783541  249.999961832 2357.895468264]
 [1499.999711389  249.99994911  2336.843080493]
 [1499.999639236  249.999936388 2315.790692721]
 [1499.999567084  249.999923665 2294.738304949]
 [1499.999494931  249.999910943 2273.685917176]
 [1499.999422779  249.99989822  2252.633529403]
 [1499.999350628  249.999885498 2231.58114163 ]
 [1499.999278476  249.999872776 2210.528753856]
 [1499.999206325  249.999860054 2189.476366081]
 [1499.999134174  249.999847331 2168.423978306]
 [1499.999062023  249.999834609 2147.37159053 ]
 [1499.998989873  249.999821887 2126.319202754]
 [1499.998917723  249.999809165 2105.266814977]
 [1499.998845573  249.999796443 2084.214427199]
 [1499.998773424  249.999783722 2063.16203942 ]
 [1499.998701275  249.999771    2042.10965164 ]
 [1499.998629126  249.999758278 2021.05726386 ]
 [1500.           250.          2000.         ]]","[[0.34593137658198986], 0.34593137658198986]"
500,"[[1500.           250.          2400.         ]
 [1499.999819616  249.999968193 2378.947977942]
 [1499.999729424  249.99995229  2357.895651123]
 [1499.999639233  249.999936387 2336.843324304]
 [1499.999549041  249.999920484 2315.790997485]
 [1499.99945885   249.999904581 2294.738670665]
 [1499.99936866   249.999888678 2273.686343845]
 [1499.999278469  249.999872775 2252.634017024]
 [1499.999188279  249.999856872 2231.581690202]
 [1499.999098089  249.999840969 2210.52936338 ]
 [1499.9990079    249.999825066 2189.477036557]
 [1499.998917711  249.999809163 2168.424709733]
 [1499.998827523  249.999793261 2147.372382907]
 [1499.998737335  249.999777358 2126.320056081]
 [1499.998647148  249.999761456 2105.267729253]
 [1499.998556961  249.999745553 2084.215402425]
 [1499.998466775  249.999729651 2063.163075595]
 [1499.998376589  249.999713749 2042.110748763]
 [1499.998286403  249.999697847 2021.058421931]
 [1500.           250.          2000.         ]]","[[0.34593143753886185], 0.34593143753886185]"
600,"[[1500.           250.          2400.         ]
 [1499.999783538  249.999961832 2378.948099848]
 [1499.999675307  249.999942748 2357.895833983]
 [1499.999567076  249.999923664 2336.843568117]
 [1499.999458846  249.99990458  2315.791302251]
 [1499.999350616  249.999885496 2294.739036384]
 [1499.999242386  249.999866412 2273.686770516]
 [1499.999134157  249.999847329 2252.634504647]
 [1499.999025928  249.999828245 2231.582238778]
 [1499.998917701  249.999809161 2210.529972907]
 [1499.998809473  249.999790078 2189.477707035]
 [1499.998701247  249.999770995 2168.425441162]
 [1499.998593021  249.999751912 2147.373175287]
 [1499.998484795  249.999732829 2126.320909411]
 [1499.998376571  249.999713746 2105.268643533]
 [1499.998268347  249.999694663 2084.216377653]
 [1499.998160124  249.99967558  2063.164111771]
 [1499.998051901  249.999656498 2042.111845887]
 [1499.997943679  249.999637415 2021.059580001]
 [1500.           250.          2000.         ]]","[[0.34593149849585353], 0.34593149849585353]"
700,"[[1500.           250.          2400.         ]
 [1499.999747459  249.99995547  2378.948221756]
 [1499.999621188  249.999933205 2357.896016844]
 [1499.999494918  249.99991094  2336.843811932]
 [1499.999368648  249.999888676 2315.791607019]
 [1499.999242379  249.999866411 2294.739402105]
 [1499.999116111  249.999844146 2273.68719719 ]
 [1499.998989843  249.999821882 2252.634992274]
 [1499.998863576  249.999799618 2231.582787356]
 [1499.998737309  249.999777354 2210.530582438]
 [1499.998611044  249.99975509  2189.478377517]
 [1499.998484779  249.999732826 2168.426172594]
 [1499.998358516  249.999710562 2147.37396767 ]
 [1499.998232253  249.999688298 2126.321762743]
 [1499.998105991  249.999666035 2105.269557814]
 [1499.99797973   249.999643772 2084.217352882]
 [1499.997853471  249.999621509 2063.165147948]
 [1499.997727212  249.999599246 2042.112943012]
 [1499.997600953  249.999576983 2021.060738072]
 [1500.           250.          2000.         ]]","[[0.3459315594529655], 0.3459315594529655]"
800,"[[1500.           250.          2400.         ]
 [1499.999711379  249.999949108 2378.948343664]
 [1499.999567069  249.999923663 2357.896199706]
 [1499.999422759  249.999898217 2336.844055748]
 [1499.99927845   249.999872771 2315.791911789]
 [1499.999134141  249.999847326 2294.739767828]
 [1499.998989833  249.99982188  2273.687623866]
 [1499.998845527  249.999796435 2252.635479903]
 [1499.998701221  249.99977099  2231.583335938]
 [1499.998556916  249.999745545 2210.531191971]
 [1499.998412612  249.999720101 2189.479048002]
 [1499.99826831   249.999694656 2168.42690403 ]
 [1499.998124008  249.999669212 2147.374760055]
 [1499.997979708  249.999643768 2126.322616078]
 [1499.997835409  249.999618324 2105.270472098]
 [1499.997691112  249.999592881 2084.218328114]
 [1499.997546815  249.999567437 2063.166184127]
 [1499.99740252   249.999541994 2042.114040137]
 [1499.997258226  249.999516551 2021.061896144]
 [1500.           250.          2000.         ]]","[[0.34593162041019765], 0.34593162041019765]"
900,"[[1500.           250.          2400.         ]
 [1499.999675299  249.999942746 2378.948465573]
 [1499.999512948  249.99991412  2357.89638257 ]
 [1499.999350599  249.999885493 2336.844299566]
 [1499.99918825   249.999856867 2315.792216561]
 [1499.999025902  249.99982824  2294.740133554]
 [1499.998863554  249.999799614 2273.688050545]
 [1499.998701208  249.999770988 2252.635967535]
 [1499.998538864  249.999742362 2231.583884522]
 [1499.99837652   249.999713737 2210.531801507]
 [1499.998214178  249.999685111 2189.479718489]
 [1499.998051838  249.999656486 2168.427635468]
 [1499.997889499  249.999627862 2147.375552444]
 [1499.997727161  249.999599237 2126.323469416]
 [1499.997564825  249.999570613 2105.271386384]
 [1499.997402491  249.999541989 2084.219303348]
 [1499.997240158  249.999513365 2063.167220308]
 [1499.997077827  249.999484742 2042.115137264]
 [1499.996915497  249.999456119 2021.063054215]
 [1500.           250.          2000.         ]]","[[0.34593168136754987], 0.34593168136754987]"
